FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
2.06E+06,1.59E+06,777769,348559,278672,206456,809874,279991,746937,478.274,61484.1,29772.5,20936.3,13590.9,9275.83,3680.96,9.7217
1.34E+06,960895,838486,626196,518387,397340,782786,505919,742644,739.838,248805,29751.6,33311.8,10771.7,14382.8,4807.07,9.7386
1.72E+06,1.08E+06,952071,607680,480617,287203,1.00E+06,396456,919668,1841.82,121979,58467.6,30748.1,17111.4,31693.5,2243.46,9.73914
1.50E+06,1.07E+06,840015,635091,604138,467127,775984,514379,740805,2257.67,74835.5,39418.5,39327.1,8511.75,10084.3,5044.68,9.75117
2.12E+06,1.38E+06,921425,571319,498633,342423,873714,419065,817990,1988.36,28916.6,47572.6,45740.9,24016,21657.7,5101.34,9.75522
2.58E+06,1.68E+06,919078,837509,732530,537063,818373,658058,763619,1915.33,45333.8,66106.3,63416.9,13709.7,15394.1,7189.5,9.75793
1.58E+06,1.22E+06,777795,485267,350910,254899,825997,383164,759884,199.373,254260,39658.4,29943.5,12545.3,10856.8,3722.22,9.77374
1.75E+06,1.31E+06,802196,454541,447220,335982,798650,365155,746874,799.472,59068.9,51185.6,34610.7,14374.3,12059,4633.24,9.77563
1.62E+06,1.22E+06,791063,570459,449214,325972,826845,458623,746311,678.855,50992.4,29682.5,26170,9178,9819.71,3929.05,9.7782
1.76E+06,1.22E+06,866272,695450,602031,439730,821456,537608,776160,886.879,30021.1,45071.5,33138.8,13544.2,13757.6,4228.84,9.78821
1.84E+06,1.33E+06,829461,645242,543342,320609,1.02E+06,416592,929315,3120.02,15673.8,62735.6,32879.1,12620,16535.1,4876.61,9.80348
2.15E+06,1.64E+06,786751,423152,302285,239331,757825,364039,697429,537.498,37735.1,49369.5,34849.8,11910.5,8618.79,3243.4,9.82281
1.43E+06,1.03E+06,837295,659416,424789,296827,858660,483921,817591,846.432,62417.6,50331.5,44404.9,14963.5,16546.9,6827.27,9.82471
1.48E+06,1.12E+06,789236,452207,317267,228214,834131,343837,789107,676.61,55862.5,39773.4,31609.7,21020.8,15020,5308.24,9.82998
1.59E+06,1.17E+06,810864,677164,507921,366586,831327,515390,788332,1112.14,229762,30891,34971.4,9722.93,13772.1,4844.6,9.83052
1.87E+06,1.32E+06,850225,480763,365061,260428,841064,362542,795654,377.429,27694.3,37656.8,39218.5,18841,17261.7,4721.21,9.83295
1.76E+06,1.05E+06,1.01E+06,926174,792937,456691,1.04E+06,571204,972865,1809.67,30736.3,78388,63446.5,46834.8,39562.6,8816.33,9.83998
2.36E+06,1.65E+06,860992,836416,708181,509515,833947,619889,809580,930.566,58822.3,54990.8,27146.1,19370,19611.1,7498.52,9.85079
1.47E+06,967726,914109,746836,582008,412150,847277,560102,800035,-22.644,56531.3,38201.8,33628.8,10454.6,10819.1,5047.86,9.85688
1.82E+06,1.31E+06,834959,821011,633235,444011,855702,622749,791019,1279.27,110073,46420.1,23890,22724.8,19078.7,5374.83,9.85999
1.21E+06,900921,805280,467574,233759,171604,817319,375309,747502,2113.82,51306.3,22767.7,18973.9,5522.55,9734.45,2507.28,9.86229
903010,621453,871837,508723,273063,189785,863282,417372,731323,-115.208,26257.8,34822.8,39636.8,5027.07,7757.52,4134.83,9.86796
1.63E+06,1.16E+06,844264,589388,370543,263600,843421,472343,748678,2113.92,107813,24916.8,21392.9,9408.71,8994.18,4972.51,9.8804
1.55E+06,1.12E+06,829676,666690,477344,339856,842729,490652,815270,1388.88,27704.7,47164.2,34848.7,14575.6,15500.7,6126.31,9.88689
2.27E+06,1.53E+06,893361,505504,413686,286425,866585,378661,800986,401.743,35502.8,44917.6,24233.5,24712.5,16601,6272.17,9.88702
2.32E+06,1.58E+06,882130,672541,557364,385375,867773,497709,810764,1782.07,128265,102289,29702.4,52783.7,65086.9,8135.57,9.88756
1.44E+06,1.00E+06,861312,583596,351901,262585,804084,473362,739724,2174.62,28042.5,40536.9,20219.6,6951.96,6384.79,2941.1,9.89878
1.89E+06,1.37E+06,826260,483441,365272,249818,877291,364748,795247,173.735,17516.5,61028.8,31580.8,14388.3,12707.7,5369.56,9.9123
1.88E+06,1.36E+06,825733,574756,500098,387867,773613,474172,727276,3015.18,125376,36351.2,17205,9962.28,9080.66,4107.27,9.92582
1.90E+06,1.40E+06,812872,508253,448206,323802,830518,399033,764226,1410.39,103687,35652,13065.8,7783.86,9304.31,9795.34,9.92812
1.15E+06,818128,840960,702292,465719,347151,804928,555521,758523,783.46,65330.1,32271.7,26702.2,8894.91,9465.4,4444.08,9.93001
1.79E+06,1.38E+06,777904,556966,432197,306223,846828,420488,794743,1246.47,73979.7,40458.6,32521.3,12235.5,9229.29,5219.77,9.93772
2.00E+06,1.37E+06,874439,727809,628408,451209,835633,532906,819441,1863.46,29094.7,51351.2,27321.9,19005.8,19202.6,5660.11,9.94691
1.74E+06,1.26E+06,825597,521421,318775,221891,861978,395170,791692,661.5,58126.3,31075.7,17709.4,10736.4,9614.86,6183,9.95042
1.69E+06,1.29E+06,785252,436929,380124,302816,753179,362111,723970,-388.439,79211.1,43331.1,17289.4,6443.16,10439.2,4090.71,9.95651
1.53E+06,1.11E+06,825489,555173,490287,364334,807425,437049,762166,253.261,58243.9,35904,17063.3,10678.1,8644.38,4771.59,9.95786
1.64E+06,1.22E+06,804863,535219,463145,334001,831994,412014,779419,990.366,142432,48868.9,22625.8,13714.5,12235.7,4456.64,9.96002
1.19E+06,806209,887201,750587,656016,488012,806558,576649,780982,466.306,44891.6,51091.1,23404.6,11726,12991.1,5174.49,9.9607
1.87E+06,1.41E+06,796388,557370,299737,221097,813409,444807,751836,1577.69,169620,21892.3,32222.1,5090.82,10256.7,3452.17,9.97462
1.39E+06,1.08E+06,772422,479493,291986,229987,761746,398157,722569,-161.976,70661,26210.1,19835,8659.95,7664.7,3539.37,9.98976
1.14E+06,880697,777939,385773,263733,198249,798186,309789,747165,221.164,45510.2,27291,16062.3,8579.5,9325.55,2835.94,10.0219
1.44E+06,1.11E+06,783989,523522,446987,340231,788264,395287,794645,1379.74,45287.1,56697,21533.8,11087.1,13007.3,3625.62,10.0287
1.62E+06,1.16E+06,840243,587970,544516,382335,854511,436940,807392,2644.59,65211.7,42594.5,21215,14764.2,15671.9,5855.07,10.034
2.24E+06,1.56E+06,863628,824122,644935,453526,853228,595989,829668,2208.17,173412,54532.9,23981,33076.4,15472.8,8357.33,10.0376
1.24E+06,840815,882229,553971,432613,298334,870057,413810,803225,726.885,41151.7,33939.4,17683.7,10586.3,9342.49,4125.4,10.038
1.82E+06,1.28E+06,853459,925254,651749,459472,851084,676560,820552,1712.16,47730.8,49412.8,20550.3,12808.8,16159.8,6700.76,10.0399
2.48E+06,1.68E+06,884698,794079,693026,489007,850326,582161,818412,2691.61,118761,50898.9,18553.9,21104.2,22646.1,9572.52,10.0426
