FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
1.44E+06,1.05E+06,823151,455608,395275,299294,792415,367911,743018,496.97,82964.6,34338.9,17632,10173.7,9401.4,4407.28,14.8137
1.39E+06,817292,1.02E+06,724871,476803,305363,936858,520878,834979,1978.45,25722.8,43417.9,25291.9,15240.5,12073.9,4615.13,14.8179
1.24E+06,937944,795951,578238,317013,239871,792958,474612,731003,901.763,110127,34866,24193.5,10525.7,8643.51,3806.92,14.818
1.70E+06,1.14E+06,893239,949151,558947,377939,887361,704991,807798,3682.04,39333.8,51648.2,24269.2,23005.6,19837.5,5307.34,14.8229
1.68E+06,1.03E+06,975536,1.03E+06,639462,383844,999565,676565,916622,3434.74,33942.4,47658.3,28328.1,16356.8,21000,7223.16,14.8244
2.68E+06,1.66E+06,970581,808146,475397,304193,937688,578552,838106,3233.72,18849.1,81384.2,30533.2,32596,21707.2,4050.88,14.8245
1.62E+06,1.26E+06,775771,499455,331583,230355,863665,378297,792163,1262.98,125297,27122.1,16682.5,14770.5,11037.7,3463.18,14.8269
1.40E+06,980185,858433,640361,481118,356047,810766,513211,748653,2653.82,51975.3,36945.9,16284.3,10997.8,13305.5,8280.85,14.8294
1.91E+06,1.31E+06,874610,536176,334624,236434,849176,417957,769710,2037.17,39380.2,30570.3,21151.1,11477.3,13604.5,5839.88,14.8313
2.69E+06,1.90E+06,848009,584654,500815,351620,854584,436286,804042,1557.12,33152.7,46837.2,20831.8,17284,17523.6,4142.03,14.8365
1.71E+06,1.13E+06,905714,600517,328743,235629,837103,449299,801938,2127.09,38608.5,45677.4,16481.3,16119.2,9853.41,5299.54,14.8379
2.46E+06,1.56E+06,947706,671588,480070,334984,859868,498143,808909,2867.9,23516.2,59224.6,34677.6,17400.8,17324.9,5524.46,14.8403
1.32E+06,1.04E+06,764699,581236,405395,290604,837004,442649,787852,2060.65,776987,35411.7,17489.3,9420.44,11563.2,4206.65,14.8431
2.18E+06,1.57E+06,835364,530514,376798,264039,856232,387600,821229,1896.28,32754.4,53285.3,20418.2,29939.8,22069,6349.15,14.846
1.60E+06,1.14E+06,839558,504626,303861,214336,850610,382408,791761,1921.02,31503.2,25950.9,12194.9,9443.63,10550.2,3998.74,14.8489
1.85E+06,1.32E+06,839587,631137,570122,415885,822518,475315,796698,2022.28,86175.6,42355.9,17523.8,12065,14636.1,8723.25,14.8491
1.11E+06,804198,831157,408643,233048,180774,773502,338032,725333,338.871,60378.3,24115.7,15869.5,5387.69,7532.41,2741.37,14.8499
1.40E+06,1.08E+06,779368,441762,292782,222073,791043,358596,739152,1540.86,32581.6,31621.4,18538,6743.74,9591.23,3630.57,14.8508
1.72E+06,1.20E+06,858992,695222,441648,318575,831793,520339,801657,1844.15,247125,51869,22888,18743,14648.4,6439.71,14.853
1.44E+06,1.05E+06,826094,556981,307846,211197,874576,412801,809563,1351.74,119433,33602.5,13038.4,10916,11080.8,3080.98,14.8683
2.09E+06,1.27E+06,987298,657372,429279,291355,884033,456063,864843,2172.05,58380.2,61239.3,30337.9,22913.7,18976.9,5145.89,14.8859
1.68E+06,1.18E+06,855126,664097,586424,435263,808372,502409,793095,2728.7,82971,44320.3,29738.6,15172.7,13837.2,5282.33,14.8865
2.63E+06,1.86E+06,847335,765648,557435,391215,854929,553823,829487,3783.35,49417.7,51903.1,28826.5,30187.4,20707,6773.96,14.8875
1.86E+06,1.34E+06,832610,576336,416836,304056,822551,445603,776031,2774.98,34992.9,39579.1,25302.7,14425.7,13376.6,5086.64,14.8878
1.83E+06,1.36E+06,809429,530109,341163,250100,818463,402660,789911,-77.7706,28656.3,47240.7,39004.4,14873.8,12100.7,4830.78,14.8899
