FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
2.13E+06,1.54E+06,830002,661988,472096,329202,860437,514793,771558,2352.46,21366.7,62458.4,51291.5,26245.8,14263.8,3647.62,19.9406
1.91E+06,1.40E+06,821676,710254,503777,384666,785789,578105,737154,891.665,15097.3,53175.9,34409.3,19757.7,9930.4,4767.6,19.9512
971116,691665,842416,813043,429801,262204,983512,579939,841167,1333.71,15552.2,28895.5,36586.3,10519.1,10772.8,3202.84,19.9562
2.11E+06,1.67E+06,758634,435741,379269,292464,778084,350498,745924,1319.73,11745.5,51162.5,25635.5,15040.9,8948.05,3572.19,19.9676
2.04E+06,1.69E+06,721459,505005,351261,255445,825056,394582,767909,189.296,49593.2,52563.9,18327.8,13798,12767.6,4293.69,19.9735
1.17E+06,788786,890732,767337,617991,397861,931970,513927,895852,2972.21,20947.2,38397.2,25781.9,14664.8,16452.3,5502.51,19.9829
2.28E+06,1.59E+06,862021,814767,642873,445173,866459,623956,783485,2487.01,30777.4,35387.6,28947.6,27816.6,12680,5296.8,19.9837
2.15E+06,1.50E+06,858208,743514,597042,431139,830881,572701,778955,808.702,29310.1,77902.6,75351.9,8981.09,12710.6,5892.76,19.9842
1.61E+06,1.20E+06,805041,701526,552951,378495,876553,511762,822483,2375.46,28550.3,66166.3,38080.1,18965,15076.9,4713.81,19.997
2.14E+06,1.61E+06,798687,746398,612946,455165,807988,579298,773071,1689.76,16200.3,47778.2,27755.6,14092.8,11455.1,6252.13,19.9987
2.42E+06,1.79E+06,810811,588091,483393,325019,892365,438881,803987,715.211,29641,52701.3,24637.5,17806,11528.1,4759.41,20.0065
1.68E+06,1.13E+06,888333,845539,712671,463653,922247,597136,849595,1849.16,156315,67991,27702.9,25686.1,19640,4158.33,20.0122
1.79E+06,1.31E+06,819578,822795,732542,511788,858804,608775,810935,5114.92,108373,33664,25062.8,8992.05,12808.1,5425.66,20.0155
1.86E+06,1.45E+06,765510,407219,336547,255770,789491,327928,745076,2076.3,37317.7,38674.6,26233.8,10366.7,8318.54,2543,20.0168
1.99E+06,1.48E+06,803866,818429,614830,455354,810134,645673,760536,1653.49,46771,41014.5,28292.7,10730.2,15412,5794.62,20.0168
2.14E+06,1.67E+06,767624,447377,367316,279845,787541,354939,756260,313.867,34957.8,48935.6,20027.9,13997.4,8016.37,2795.9,20.0193
2.26E+06,1.61E+06,842486,605539,476850,328129,871943,450148,807120,2413.71,12618.2,145508,50886.7,22173.8,17334.5,3642.64,20.0205
1.99E+06,1.49E+06,799355,706498,605000,441919,821418,552080,767821,2761.69,45899.7,71502.4,31837.4,17620.7,11838.9,4244.23,20.0256
2.33E+06,1.60E+06,872008,879444,805448,562031,859862,650158,811597,2211.98,31512.8,52203.7,34337.3,20814.8,17888.4,9345.4,20.028
1.91E+06,1.43E+06,802958,562005,494100,371111,798845,456477,738707,-110.368,23547.9,60454,35111.1,14927.5,9771.26,3879.53,20.028
1.66E+06,1.20E+06,831320,911799,743596,535739,832789,694608,787608,1868.85,38946.2,34581.2,24838.5,14405.8,15150.4,5576.15,20.0292
