"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.65259e+06,1.36092e+06,728594,340520,260421,203082,769406,288397,708441,7095.9,-192.854,7190.71,200324,5252.09,6683,2499.94,10.8287
1.17182e+06,845182,831886,581692,424154,279089,911867,417159,836648,11859.3,-543.943,28989.4,91724.5,30628.3,13534,2775.61,10.8415
1.61698e+06,1.30832e+06,741551,470776,379954,314944,723850,402009,702634,10758.5,-1097.99,10406.3,87178.1,31193.8,12244.9,2494.68,10.8468
1.34756e+06,997637,810453,702878,523768,375938,835938,549244,767831,12521.2,-860.208,49418.6,71436.6,29453.6,17633,2222.76,10.8565
1.62215e+06,1.31648e+06,739311,455640,362492,292772,742882,386658,707043,7251.83,-334.655,19414.5,87196.4,24131.1,7933.5,2939,10.8619
1.29373e+06,1.00456e+06,772719,532625,338414,249375,814230,433813,736666,8951.99,13.038,7515.38,69564.3,18380.8,12263.9,2309.64,10.8651
1.92356e+06,1.51682e+06,760896,522132,424302,314260,810097,425036,737065,9801.71,-55.1689,48593.4,71720.1,25458.5,11798.4,2581.68,10.868
1.93857e+06,1.45769e+06,797934,754549,639280,448033,856115,573543,789356,21124.7,-2240.27,74836,226138,42197.5,16038.3,3824.62,10.8705
2.00797e+06,1.54361e+06,780496,559383,347446,209228,996366,365433,918445,8035.09,949.545,1.27911e+06,331734,16565.6,12114.8,4831.93,10.8815
2.00834e+06,1.65752e+06,726993,324959,237465,188905,754237,278731,699512,6752.49,109.507,43718.9,54134.6,15055.3,8156.21,1149.71,10.8902
1.96564e+06,1.51236e+06,779830,401962,278341,214235,779539,332617,725090,3431.42,791.114,83116.8,155787,16671.6,5812.26,3140.02,10.8972
1.61579e+06,1.30127e+06,745026,241660,161508,128629,753366,212099,683625,4607.89,-683.979,37291.3,88720.5,12718.8,4428.8,1955.35,10.9032
1.58798e+06,1.26576e+06,752741,571616,351055,270576,778462,480219,714194,7050.22,19.8611,20295.3,74677.4,17825.2,8782.97,2185.54,10.9039
1.2959e+06,901441,862556,724260,538301,375051,861165,545569,796519,12216.5,1198.32,32009,87556.5,46219.9,12873.7,3142.55,10.908
