"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.30789e+06,751453,1.04429e+06,1.17405e+06,1.01514e+06,597538,1.01933e+06,734238,959405,21215.8,2946.98,231360,101942,34040.9,16431.4,12487.2,16.207
2.0427e+06,1.2626e+06,970715,1.27472e+06,976816,534612,1.09629e+06,758772,1.00799e+06,57320.2,4283.09,549910,75311.3,23861.9,21467.5,20461.9,16.2153
2.01649e+06,1.26552e+06,956044,702713,568538,369558,923056,491547,857757,22779.3,3461.13,126611,85058.6,19164.2,15501.1,15038.5,16.2284
1.78565e+06,1.19393e+06,897366,952825,691019,399027,1.03906e+06,607357,941283,29352.3,2709.16,270603,105330,34964.8,15152.6,12981.2,16.2354
2.40704e+06,1.63083e+06,885576,815079,581768,411617,848023,584511,836678,39325.3,2524.14,671832,56545.4,20012.3,16563,10782.4,16.2667
1.29399e+06,978522,793434,661998,444571,324549,821886,520032,763797,14278.6,1809.3,779788,30801.3,14678.6,6193.66,4200.26,16.28
2.03566e+06,1.22418e+06,997730,754903,385652,232060,997117,520546,870128,34763.6,2978.68,246024,74892.2,39741.8,13885.1,13155.4,16.2831
1.61875e+06,1.06604e+06,911080,585057,327989,219163,897931,436712,803812,34378.5,1517.61,240244,71600.2,26092.2,12154.4,5945.26,16.2875
1.66143e+06,1.27036e+06,784705,385407,325198,258509,754786,318120,726908,16034.8,-118.528,216937,45635.4,23559.2,5207.29,3601.25,16.2918
1.66038e+06,1.16859e+06,852507,564740,432160,300571,862677,427922,791836,17127.5,1724.17,512419,71294.2,17034,9657.92,6958.49,16.3048
1.85626e+06,1.32872e+06,838215,654987,522723,377861,830024,512612,766646,13880.5,2651.85,824082,62770.8,17273.6,7282.17,12608.4,16.3096
2.19087e+06,1.26575e+06,1.03853e+06,1.59438e+06,1.11404e+06,596428,1.12071e+06,897131,1.06632e+06,44637.7,4649.03,526913,95429,44198.8,24476.2,17920.2,16.3252
1.51851e+06,918458,991997,914622,762503,512815,892138,657218,834994,29551.5,612.669,827042,73871.1,21842.5,10065.2,10901.1,16.3259
1.38885e+06,885987,940547,875379,543523,351577,927574,603609,870145,27881.5,2031.37,526392,58610.7,21982.5,13081.3,8886.49,16.3366
2.05499e+06,1.35806e+06,907909,810789,476871,291230,982463,553704,878580,41945,2547.56,638043,73886.7,12319.2,14885.9,13829.1,16.3384
2.57712e+06,1.62313e+06,952647,782416,495933,338098,880100,584123,803683,26444.3,1199.53,138913,70885.8,38362.4,14561.6,8700.2,16.3423
2.17712e+06,1.29702e+06,1.00713e+06,1.4041e+06,973735,581483,1.00474e+06,880036,957302,37356.2,6263.86,575522,94012.6,38970.8,20390.9,15703.1,16.3508
2.52409e+06,1.70735e+06,887020,930437,604877,383632,946026,612863,910909,37337.9,3617.44,296437,73515.2,30693.9,15289.7,13215.4,16.3527
2.32311e+06,1.63473e+06,852661,605386,420233,304683,827549,450570,806161,21736.8,1439.95,125830,62989.9,53935.8,9187.02,10197.3,16.3538
1.89308e+06,1.13914e+06,997106,998813,561260,351695,957523,675937,886603,42575.4,4666.64,146244,100096,52417.3,16934,12077.6,16.3609
1.56974e+06,1.18388e+06,795556,627176,402395,277406,870337,484119,777300,15609.2,1197.31,1.462e+06,63395.3,24568.5,7376.34,5811.42,16.3609
1.61907e+06,1.053e+06,922545,717260,465462,301728,925593,507768,847544,26027.4,171.396,213480,76982,26652.8,15803.2,10170.7,16.3628
2.5619e+06,1.63984e+06,937370,1.02504e+06,968034,531099,1.09362e+06,644641,954059,47560.7,2781.15,634086,107150,24237.9,21682.8,16945.8,16.3877
2.07208e+06,1.44068e+06,862957,678717,548592,362658,907618,475048,857240,29653.8,1134.35,230817,98914.9,20956.9,16212,11420.2,16.3937
1.54923e+06,1.2035e+06,772360,482456,352017,291254,725175,394380,733996,7964.9,1995.68,1.11454e+06,31732.4,6749.51,4405.6,6903.26,16.3938
1.79719e+06,1.16077e+06,928967,664197,369853,244444,907824,479352,831368,21439.5,2491.91,241065,66456.5,19582,14396,7266.34,16.396
1.49281e+06,1.07684e+06,831774,631499,413017,309320,801146,482063,785996,18022.6,2373.1,516607,75829.7,21211.5,10490.2,8398.32,16.4001
2.33635e+06,1.5155e+06,924982,779276,687078,446652,922971,530041,882131,37772.7,1381.55,538721,73069.9,31870.4,18379.8,10321.1,16.4231
1.3412e+06,885717,908550,633093,325852,211362,925008,462184,821872,14688,1518.22,533097,59460.3,20705.3,9832.11,7713.25,16.4333
1.85705e+06,1.32784e+06,839127,663418,484366,341144,851898,493091,807256,20915.7,1454.49,869789,75547.9,22414,18936.1,8525.04,16.4375
1.5259e+06,995746,919453,710124,552124,368808,898230,515819,826016,22786.8,1226.36,303330,66341.5,18519.9,13674,13940.4,16.4397
2.46058e+06,1.67088e+06,883573,659010,507695,332640,915756,458118,863109,24270.2,1310.84,565065,42258.9,19477.8,10791.3,8864.01,16.4445
2.08657e+06,1.17583e+06,1.06473e+06,880700,550056,308541,1.06966e+06,554790,952468,26257.8,4844.48,308320,99701,36238.3,19033.8,13072.1,16.4505
2.84226e+06,1.88199e+06,906144,647819,447886,273991,980804,428524,907047,39226.5,1638.19,219570,71804.5,25880.1,11945.8,14770.8,16.4688
1.7524e+06,1.05323e+06,998298,832262,673488,398026,1.01524e+06,542807,919953,31681.1,792.235,428535,79665.1,24095.8,16334.3,11884.5,16.4766
1.35761e+06,890104,915133,742414,370851,247109,900454,544788,817654,16318.3,3848.94,252352,65061,24006.4,12857.1,8908.14,16.4805
2.76171e+06,1.87507e+06,883714,735630,527189,343724,920253,501513,880093,29298.2,3108.01,323955,53082.9,16442,15164.8,12676,16.4996
2.06039e+06,1.37691e+06,897829,833568,635550,421178,905389,584627,855487,27039.1,2589.5,271851,75896.7,25094.6,12579.6,10283.6,16.5056
1.72886e+06,1.19595e+06,867358,1.0107e+06,724671,482188,901729,718411,844112,18227.9,1320.02,493840,47476.3,32033.1,11665.2,13019.5,16.5232
1.61375e+06,1.09694e+06,882684,816681,467704,307164,913591,602506,813284,23210.9,1179.99,352975,62809.6,20602.7,10452.4,10904.2,16.524
2.23592e+06,1.55271e+06,864006,621664,511632,349792,877605,473168,788300,20136.2,380.204,714012,72047.4,15359.7,10484.5,10063.1,16.5365
2.16896e+06,1.37305e+06,947802,690921,405450,252579,963144,456868,907379,25630.6,2867.11,262665,56193.5,16321.4,12335.8,6341.25,16.5412
1.85508e+06,1.19002e+06,935316,857242,460884,304161,909159,614679,836770,28611.9,825.008,543504,138389,35928.1,16029.4,8509.98,16.5446
2.15434e+06,1.37435e+06,940519,1.10483e+06,738975,453949,976728,714426,927875,53212.4,6298.27,512173,83704.7,20994.1,21584,8499.81,16.5462
2.171e+06,1.25188e+06,1.04052e+06,837851,497897,277727,1.07565e+06,517777,970902,31264.5,5087.35,342271,83935,22200.7,14549.4,12593.8,16.5637
3.07538e+06,1.90586e+06,968186,764356,650083,395400,986469,491807,932507,23306.7,2823.8,584776,79749,30107.7,16091,16418.1,16.565
2.30923e+06,1.4338e+06,966337,1.17773e+06,695796,408905,1.02097e+06,749501,942809,38722.3,5493.89,355505,81063.3,37055.5,18101.8,14441.1,16.5807
1.69438e+06,1.01548e+06,1.00113e+06,858263,428959,278315,924764,606665,848834,21057.6,4250.6,560027,50971.5,29435.9,14812.7,11730.6,16.5854
1.86453e+06,1.09682e+06,1.01996e+06,849113,500084,291775,1.02836e+06,527523,965773,17399.9,884.044,347278,82095.9,29342.1,13213.9,9543.66,16.5963
1.30759e+06,952027,824090,607731,366663,262105,839349,464622,784807,16803.5,2038.12,211226,78368.2,31594.9,11064.5,10167,16.5973
1.41545e+06,882492,962352,850015,533935,362897,882787,601689,847629,16557.8,1470.95,191803,65647,27787.3,13544.7,11435,16.6095
2.57621e+06,1.54316e+06,1.00166e+06,879901,730992,458409,956777,584066,903905,44987.9,2257.14,509827,115006,21336.1,22978.2,21023.3,16.6121
2.62978e+06,1.71116e+06,922105,857117,513054,327662,939481,583891,880764,27893,3593.51,746483,45404.7,32948.8,14125.3,15026.4,16.613
1.86545e+06,1.30282e+06,859113,537261,441578,303558,872804,412569,781340,19128.3,688.429,283017,61802.4,13900.6,10743.5,8514.14,16.6316
2.27852e+06,1.62459e+06,841513,608812,411550,278180,887662,428244,852989,25454.9,2559.93,286963,68905.5,11965,11092.7,9200.08,16.636
1.87336e+06,1.40659e+06,799107,424259,336366,265460,760265,346452,734749,22641.5,-280.469,216727,55405.9,19808.8,7693.89,5464.9,16.6371
2.03965e+06,1.32298e+06,925024,703826,494195,311688,951327,497740,848426,25152.3,1531.81,283114,58035.8,24750,13694.7,11881.6,16.642
2.2888e+06,1.71071e+06,802755,422327,337130,260261,777212,348933,726202,10074.2,1009.99,35901.1,45310.2,15386.7,38216.8,3318.05,16.6636
1.49252e+06,934532,958248,669463,480407,325712,884967,490946,818171,20166.7,448.899,455960,58652.9,26712.5,10174.3,10428.2,16.6661
2.62537e+06,1.63368e+06,964215,890409,588909,349019,1.0124e+06,576635,926488,24277.4,2989.55,976371,72104.4,18344.7,15805.1,14762.5,16.6694
2.3375e+06,1.6133e+06,869339,748972,699879,426494,984603,492052,913284,23007,53.3412,1.58868e+06,114174,40179.2,12836.7,10337.4,16.6779
2.48116e+06,1.65036e+06,902048,505350,306798,182136,1.01067e+06,323949,935981,12057.2,702.936,426682,59424.7,11157.4,8568.55,5360.33,16.6896
2.24358e+06,1.35007e+06,997092,1.03264e+06,590689,356249,994847,642976,963618,48832.2,5222.15,587195,92597.1,43560.5,19367.4,12451.4,16.6896
1.33888e+06,1.02497e+06,783763,363146,167162,123084,814866,306796,710204,4053.34,2629.04,1.32752e+06,33500.5,2045.41,2711.65,3151.14,16.6954
1.29612e+06,866051,897952,666746,347864,217581,959267,458267,872957,13725,1197.41,239831,41174.7,28197.4,9910.88,16648.7,16.6963
2.85933e+06,1.74234e+06,984656,925659,511739,296424,1.03583e+06,575788,964584,42304.7,4207.69,269849,79607.5,50319.7,17026.7,10243.9,16.7246
2.73892e+06,1.57607e+06,1.04269e+06,1.23292e+06,697692,354045,1.18238e+06,731519,1.01125e+06,57113,4613.64,345443,126900,54697.1,17419.3,13250.3,16.7348
2.03485e+06,1.27985e+06,953943,711629,409770,258738,950236,487487,875875,28242.4,4371.6,339141,59807.5,27724.5,13610.3,10150.3,16.7375
