"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
2.15806e+06,1.58594e+06,816446,556379,421311,316120,799654,447695,745658,6677.48,356.054,24781.5,203100,55314.8,15366,2133,11.3009
2.21432e+06,1.71221e+06,775949,349770,228707,174218,787658,282424,743074,8806.91,-708.185,20991.1,95237,25378.4,13996.5,7212.18,11.3026
1.79152e+06,1.25793e+06,854508,560997,348673,249422,838754,428204,786070,23402.5,1401.82,23900.2,94472.4,25929.6,16900.5,5055.59,11.3036
1.73887e+06,1.34419e+06,776172,573944,434385,311853,835749,429251,802249,15069.7,216.268,248525,50028.2,25310.2,17337.1,4942.01,11.3116
1.61034e+06,1.18109e+06,818060,479632,306994,233867,787611,383260,750872,7332.29,719.593,15918.4,70812.3,61841.6,11909.5,4218.62,11.3128
1.28921e+06,903490,856152,842774,573201,426751,805904,656703,770005,14208,2077.35,20939.6,93071.4,41089.6,16922.3,2540.82,11.3143
2.64474e+06,1.76138e+06,900908,711277,640071,433785,885329,525665,811860,25642,1043.18,26939.4,80179.2,40932.7,22229.5,5608.04,11.3168
1.75466e+06,1.34072e+06,785248,533617,368869,274690,805714,423792,755488,9890.07,14.7393,119018,55726.3,18182.2,13875.6,3460.59,11.321
2.02276e+06,1.48309e+06,818328,390718,306034,218181,841596,319257,734301,9225.79,1009.24,11338.3,42460.4,13484.1,11932.1,2731.52,11.3235
2.5077e+06,1.86283e+06,807707,621763,592618,422258,842070,460194,810654,11415.1,1147.22,56357.8,161507,22410.8,12756.5,6639.96,11.3368
1.22091e+06,825265,887647,497166,381792,273397,837884,392702,759608,8614.03,39.049,932010,37768.7,11561.8,15165.3,1997.73,11.3373
1.63559e+06,1.159e+06,846726,708231,453417,328778,827459,542876,782754,13506.2,52.5609,39900.8,42426.3,16918.6,15197.2,4660.09,11.3385
1.68337e+06,1.31623e+06,767364,467183,401861,309812,778267,383960,730049,11133.1,742.637,13783.2,64786.3,11292.6,13815.2,2664.74,11.3402
1.23757e+06,821279,904132,554831,372261,252786,883579,410835,810298,14968.7,-383.67,21371.5,59914.4,19962.4,16485.1,2561.06,11.3415
1.66946e+06,1.29689e+06,772372,534036,388128,312932,744176,451285,710021,7480.82,658.83,3924.59,47379,12818.9,8572.76,5897.89,11.3437
1.34653e+06,930651,868119,823522,485081,327708,888134,615043,803380,11184.6,2046.85,76078.4,41648,21270.9,22483.2,4563.26,11.3476
1.92054e+06,1.53627e+06,750079,448420,319387,230585,831070,347338,774612,17189.1,-821.354,26316,75097.8,32400.7,13476.1,3695.6,11.3538
2.07853e+06,1.54039e+06,809610,393387,329670,254466,777321,325954,724128,10851.7,-1515.52,23520.4,160836,17461.7,10815.4,4730.25,11.3632
1.64086e+06,1.25917e+06,781879,505250,459217,361263,762687,420124,721572,10611.4,520.746,21245.2,59195.6,14709.9,11347.8,5613.57,11.3671
1.29529e+06,955891,813035,585427,418216,332879,753817,483143,727023,9568.57,-994.598,111529,90784.5,39469,9159.2,3955.54,11.3695
2.00221e+06,1.51894e+06,790899,588775,490419,332592,884722,442470,798393,23835.4,1167.77,188445,119990,23743.4,20597.3,5160.42,11.3697
1.25678e+06,903814,834317,657621,465262,335223,832751,504630,781905,10590.3,275.312,51859.4,59813.8,19983.1,13390.8,4666.56,11.3715
