FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
1.54E+06,1.17E+06,788880,503460,338714,238684,851455,374615,806364,-1214.41,40048,39124.3,18163.4,21557,14083,3815.27,10.1345
1.96E+06,1.64E+06,718155,376403,257605,204340,756400,306058,737905,200.2,86109.1,34223.2,10179.3,7899.54,9119.89,6388.19,10.1379
1.72E+06,1.30E+06,791424,589649,442928,311127,854174,458903,770945,157.381,439888,58740.6,17167.2,10241.5,13519.4,2534.71,10.1415
2.22E+06,1.67E+06,797621,370411,315406,252620,749124,322565,688998,-1226.07,19633.2,108829,36493.4,5387.33,17715,4879.63,10.1442
1.16E+06,836649,834551,429579,223156,161551,828801,348853,738842,-2026.07,39524.3,55942.3,24506.6,17544,7864.64,2274.28,10.1547
1.50E+06,1.15E+06,783809,504463,285044,214529,797217,417079,725709,-1966.3,23150.7,65354.7,22971,20912.7,14062.1,5593.85,10.1547
1.74E+06,1.35E+06,775754,514919,366340,263862,833027,405711,761506,-1930.85,10253.6,78436.8,13352.7,12568.7,8851.29,6060.34,10.1584
1.47E+06,1.14E+06,777170,406640,326691,257069,762499,328444,742848,-2089.45,15051.7,62229.8,10848.1,11473.9,5895.62,3260.13,10.1608
2.79E+06,2.00E+06,836097,364473,302282,224205,808944,303025,721669,-3031.14,35585.3,112722,16772.1,8276.43,12808.1,4463.5,10.1636
1.28E+06,944686,814269,534006,285867,205101,836271,427398,749661,-1371.36,5549.21,63674.7,14314.9,11224.1,11802.4,3478.67,10.166
1.33E+06,929486,860017,679035,572547,420389,817167,514975,791148,-32.5629,59761.8,74364.2,40401.2,11003.2,14427.7,5261.61,10.1666
2.34E+06,1.81E+06,773971,322547,212012,172116,739079,269836,717206,-2990.94,23597.9,101962,19646.7,3665.29,7246.97,5953.53,10.1667
1.85E+06,1.45E+06,763550,580237,457031,356164,769922,477786,728657,-1307.19,111039,44261.5,17503.9,7776.45,8055.25,4286.61,10.1819
1.83E+06,1.34E+06,821509,422972,393805,306090,771939,357075,710727,-1498.81,22820.8,54396.5,13393.8,5621.06,8219.26,4725.58,10.1833
2.04E+06,1.64E+06,746617,382713,309349,246028,754424,305825,750848,-1324.88,252.271,47024.4,23966.7,16462.9,7730.78,3981.31,10.1848
1.74E+06,1.27E+06,821832,559071,457075,321834,852132,433798,773269,-2750.4,7066.73,54746.1,20246.5,24811.5,11333.1,4484.05,10.185
1.77E+06,1.46E+06,727190,295727,214276,169174,759960,252485,702759,-575.55,28434.2,81759,4318.93,5962.73,6282.96,1765.58,10.1959
2.29E+06,1.86E+06,736740,281797,224525,190313,707860,256254,659807,-2326.98,42723.8,59291.8,30425.4,6547.69,6714.4,4933.22,10.2039
1.62E+06,1.16E+06,837448,648098,519100,378291,823334,503177,772807,-2145.84,79504.1,77919.5,20128.9,8634.21,12032.8,4187.32,10.2047
1.72E+06,1.32E+06,779005,553415,489631,379512,774095,447293,742352,-1879.14,55946.3,54574.3,17685.3,9512.4,14269.5,3883.17,10.216
1.86E+06,1.44E+06,776270,610600,410214,279179,881614,453460,807921,-1564.94,11765.4,69656.8,22925.8,17457.6,15232.9,5003.81,10.2164
2.43E+06,1.77E+06,825595,372837,294508,220805,800276,306865,728992,-1846.32,16343.5,105726,11224.7,5950.63,6801.33,10616.9,10.2195
1.95E+06,1.44E+06,809676,525955,345808,255295,812726,442499,713161,-1598.94,23146.5,128608,12996.7,13037.5,7147.53,10329.7,10.2279
1.13E+06,704041,963892,627715,386213,259721,892218,449715,837484,-1868.71,25957.2,63337.7,22589,19419.2,15374.1,6740.78,10.2295
2.30E+06,1.33E+06,1.03E+06,887830,772838,479740,966571,591622,900403,-545.849,11833.5,252162,41097.6,44683.1,24264.3,7806.86,10.2308
1.44E+06,1.03E+06,842754,697382,676676,508860,797872,527004,793978,-1807.59,28353.8,48005,22923.1,14034.6,21624.1,4435.58,10.2368
2.09E+06,1.68E+06,747197,341069,217236,167394,778653,287012,713007,-1256.22,9670.81,46973.9,15525.7,8807.22,7674.02,2867.06,10.2439
1.40E+06,1.11E+06,760410,477521,288066,223685,772691,398221,719482,-1531.45,8319.68,61817.7,19111,12326.3,9823.23,4902.72,10.2508
1.28E+06,919550,834987,776131,532448,364916,875459,568964,818468,-1309.09,55160.7,46234.2,25102.2,14355.5,16227.7,5074.04,10.2679
2.10E+06,1.52E+06,827626,607057,480870,331031,871586,465103,783126,-1638.79,87854.6,126828,14630.7,17170.8,11931.8,5970.71,10.2694
2.04E+06,1.56E+06,787700,490394,437912,349019,752816,409695,718185,-1495.56,10461.2,61882.8,14446.7,6913.77,7629.54,3821.75,10.2697
1.92E+06,1.52E+06,758220,404166,277746,224108,743603,361550,670723,-414.429,28379.3,39203.7,10057.7,5022.24,3710.36,6763.26,10.2713
2.17E+06,1.72E+06,756942,306989,283942,234502,726497,264825,695529,-296.18,50842.1,33153.5,11537,3218.52,6716.99,2603.93,10.273
2.57E+06,2.01E+06,766784,377392,298501,221960,806904,290539,779363,-1400.24,80737.5,42192.8,21055.6,8458.21,7073.16,4692,10.277
900623,624850,864806,621667,528067,368658,859442,477699,780827,-1883.71,48091.8,42941.5,27419.8,14036.4,19384.7,5428.76,10.279
1.79E+06,1.41E+06,764191,606083,546078,412274,794731,485413,749155,-198.911,28758.2,65027.9,12120.1,13945.2,10260.1,4363.77,10.2792
2.02E+06,1.70E+06,712538,224158,162978,137026,713638,194115,692862,-1375.24,11409,72385.6,25145.1,3724.5,7727.73,3999.65,10.2874
