FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
1.61E+06,1.21E+06,802316,521018,399887,297184,807352,425970,733879,305.427,32657.7,98243.2,11190.2,11296.3,12152,1973.63,10.3468
1.78E+06,1.31E+06,817291,583236,512232,397760,772676,485240,721173,1228.34,141857,75491.6,18119.8,8003.67,9342.89,2641.72,10.359
1.02E+06,675940,901208,710212,643043,448193,860848,540574,788286,1043.57,9896.08,88992.9,16154.8,12181.4,12261.9,3868.14,10.3641
2.18E+06,1.69E+06,772667,376900,310576,245304,759651,316736,713969,1328.57,35341.4,72197.8,15268.1,5378.04,11402.1,2452.82,10.3645
1.97E+06,1.63E+06,724347,267445,236391,199162,712158,234961,682952,496.623,32199.8,93221.8,5515.85,3673.62,4643.24,2429.18,10.3685
1.74E+06,1.38E+06,759117,347481,255441,210527,728004,305011,683545,725.772,77890.2,84584.1,6081.98,3696.4,5164.78,1380.95,10.369
1.80E+06,1.47E+06,733571,387650,298489,245452,729647,334787,694740,-597.809,16560.4,127138,4372.38,15145.1,6506.65,2130.38,10.3701
892135,597868,895316,418885,354639,250496,849448,326155,770588,-311.198,13065.3,74388.5,13562.8,7782.12,14801.3,2299.86,10.3771
990160,672745,883093,473730,333398,256680,779332,376149,755653,1047.56,7672.95,60688.6,15974.3,8279.71,14045.7,3640.07,10.3795
684199,472765,868337,431015,366235,261464,840426,312255,828198,-138.069,44328,50557.9,9946.14,6325.1,12178.2,1739.43,10.3844
1.81E+06,1.42E+06,762521,520050,335626,255692,787571,420799,741518,-512.112,111468,95485.6,26542.2,14478.2,16171.4,2591.27,10.3848
2.31E+06,1.65E+06,840649,918457,830010,589552,844720,679151,811416,-18.09,41463.5,169294,68361.6,15346.8,15898.1,3838.68,10.3904
1.81E+06,1.24E+06,874988,716896,559212,425156,789186,581677,739478,196.997,44786.4,82616.1,24986.9,9107.3,21112.6,2350.64,10.3956
2.09E+06,1.54E+06,814584,512180,360430,282797,764711,405012,758763,2275.69,88778.1,135772,12142.6,8417.3,11428.2,2676.88,10.4092
1.74E+06,1.31E+06,797711,391290,319886,242739,790690,328634,714393,2184.36,80369.6,78612.2,13730.9,4075.1,9948.22,1638.43,10.4118
1.65E+06,1.25E+06,791861,297151,258868,199381,779014,243200,733103,-324.282,32666,83091.6,7156.55,2717.03,5874.79,2092.22,10.4166
919421,676801,815088,335266,210979,155730,812863,270191,744509,-276.723,64761.3,43234.1,13516.6,6162.74,8863.28,1278.27,10.437
1.65E+06,1.24E+06,800375,628390,409990,301054,817109,490772,768246,1341.59,190318,56556.3,24266.5,13531.5,12076.8,1526.95,10.4392
2.16E+06,1.72E+06,753871,309731,252494,208871,725311,276784,671421,687.752,46305.5,157576,16603.6,3070.55,4887.99,1221.12,10.4458
2.03E+06,1.53E+06,793761,328557,164290,131226,751178,274332,718596,397.564,18827.4,65280.8,4548.53,3042.14,4264.58,3335.17,10.448
2.07E+06,1.45E+06,854425,624804,573670,388217,886622,442200,847766,-821.566,775.217,90619.5,26561.7,6043.37,14389.9,3990.26,10.4485
1.07E+06,781383,824268,610501,502779,399452,755202,493534,742199,-221.042,30311.7,102270,24228.6,10313.8,10899.2,2402.55,10.4511
1.57E+06,1.19E+06,790971,573054,388076,286094,813878,453748,757761,197.243,35737.9,37279.7,10244.5,8931.96,13842.6,3308.67,10.455
2.60E+06,1.77E+06,883517,850795,725445,506478,859400,636730,801717,432.408,30986.8,55993.9,30836.4,12891.4,14905.4,3557.97,10.4556
1.83E+06,1.35E+06,808999,485164,329176,238149,829335,392694,741286,415.807,41886.3,48890.3,7633.87,9901.91,9294.59,1990.96,10.4603
1.91E+06,1.37E+06,834603,685054,532692,384159,831986,559018,735276,391.447,7406.16,80924.1,15401,15700.2,14381.3,2350.02,10.4626
1.65E+06,1.19E+06,836253,526245,510331,370952,825440,406355,777023,392.013,16893.2,66901.4,9140.07,9147.9,10788.3,3536.51,10.4647
2.00E+06,1.73E+06,692599,196399,117325,103777,678332,176605,667248,-240.507,37914.9,17771.1,17848.6,2550.32,6134.22,2255.16,10.4696
1.82E+06,1.32E+06,829072,568613,394441,278567,849578,418476,815263,58.043,15667.3,289555,7877.39,18109.8,10524.5,1797.98,10.4718
1.08E+06,780999,828551,448354,277982,215742,773095,380092,707756,19.5494,83477.4,58334.8,13263,5062.6,7042.51,1770.99,10.4745
2.24E+06,1.73E+06,775952,295607,231652,165188,841413,236737,749203,-2494.08,8519.08,236153,11089.7,9397.52,8580.26,2956.93,10.4756
1.72E+06,1.27E+06,812501,521543,408073,308828,792817,420335,744468,257.023,35807.1,85821.3,27239,7986.8,6380.4,2125.46,10.4758
1.57E+06,1.34E+06,703597,307520,197862,165631,716758,273183,675414,-316.352,51809,53120.3,8901.6,5765.88,4154.79,1409.74,10.4822
2.08E+06,1.63E+06,765298,568707,410311,309797,794670,448426,760938,-142.547,16943.8,77142.1,19930,18362.7,12931.3,3613.54,10.4824
1.72E+06,1.36E+06,758230,444232,334593,264459,759120,366404,727446,1145.24,67976.4,54246.9,14223.4,4475.73,6303.25,2313.08,10.4888
993504,692647,860615,525266,305011,230229,794889,429687,733463,241.897,16162.9,49459.7,13104.3,10098.3,7969.49,2147.25,10.4932
1.99E+06,1.53E+06,780579,535963,456007,357679,764944,454044,708252,1049.79,18623.9,37976,10753.6,8037.36,8896.39,3228.24,10.4984
1.56E+06,1.22E+06,768496,437068,245821,193031,764087,370054,708655,993.086,17137.3,119027,5961.4,3958.8,6247.51,1975.49,10.4984
1.22E+06,931579,786066,392700,303700,236314,771094,323916,727411,-926.089,6650.28,52282,13244.1,7131.19,6890.67,3405.62,10.5006
2.06E+06,1.64E+06,756869,294966,247414,211773,700979,271147,652707,-535.685,32220.6,101041,6020.64,3886.81,4641.53,2855.27,10.5025
1.08E+06,717718,900221,618804,416349,285119,876158,445349,833689,-1185.35,2005.99,105722,39337.5,14063.1,15268.1,3243.58,10.5122
1.63E+06,992876,983403,742093,534809,302190,1.06E+06,457081,974128,-198.211,-803.079,91087.9,60153.4,16039.7,13701.9,1964.67,10.5207
2.66E+06,1.75E+06,909596,768346,665214,443586,899778,538645,855866,-218.173,13512.2,175157,60285.6,39255.6,21424.1,4319.77,10.5226
1.70E+06,1.22E+06,835881,679789,407853,293867,832730,529385,770466,418.549,38844.5,76773.2,14731.5,9050.04,14403.9,2548.43,10.5232
1.81E+06,1.34E+06,809435,505160,414050,328844,755464,423241,716130,-1566.12,15421.5,273225,27821.7,17226.8,11911.8,3780.77,10.53
1.18E+06,835563,849132,709126,427034,304278,842061,548052,776342,-1489.08,43948.1,56115,35642.1,6198.85,15437.7,2179.06,10.5343
2.70E+06,1.82E+06,888541,693013,517718,343030,905551,524632,792570,-454.09,7062.52,60368,15867.9,13319.6,12952.2,3152.83,10.5372
1.92E+06,1.35E+06,853672,296730,235260,154099,916009,223651,796054,501.937,17915.7,75556.9,9118.84,3769.66,4840.92,3535.11,10.5454
909321,666502,818591,576590,473004,341274,831596,442281,782204,-667.658,77223.7,48547.1,17926.6,6510.12,26127.3,3194.3,10.5536
1.09E+06,837159,780181,324142,249117,186471,801574,252984,768765,-142.91,60689.8,17618.5,9068.24,3567.86,8720.46,1399.54,10.5544
956616,631875,908360,588005,341050,221512,923788,411509,857340,-386.521,36966.1,49396.9,17109,6312.47,17420.1,3354.01,10.557
1.79E+06,1.38E+06,776756,419855,340380,275521,741243,349183,721436,-2199.84,36620.1,225528,21948.1,7729.71,13137.7,3253.18,10.5622
837874,584542,860032,477359,423323,291026,872752,341245,839324,-178.019,86931.3,49194.3,18278.1,8013.6,10779.7,2451.42,10.5663
2.09E+06,1.68E+06,743053,537293,439705,347382,759461,453087,711510,-1370.07,181657,44157.3,12624.6,20370.5,11465.1,3068.14,10.5695
1.32E+06,978799,807820,583503,480471,357638,806073,480228,729032,0.379517,10119.1,46944,9836.56,10509.6,8613.29,2503.14,10.5725
2.21E+06,1.49E+06,889128,747771,537710,367970,876773,555040,808343,-1147.21,88703.7,222106,116026,11136,19554.5,3531.1,10.5774
1.24E+06,879931,846584,598172,403304,304273,795281,478817,749562,-120.961,34102.7,64956.6,20622.2,8659.34,11901.2,1605.46,10.585
1.12E+06,576982,1.16E+06,723737,455802,260422,1.05E+06,459016,946029,82.2452,12681.8,127124,24219.4,11245.6,12694.1,3183.11,10.5866
1.40E+06,1.15E+06,730102,509661,342866,266742,771231,424487,720392,-667.245,23003.3,103355,17894.3,9918.04,11110.9,2644.19,10.5898
1.21E+06,818963,885333,550553,295203,217022,816146,444913,742463,1829.95,40781.4,127385,51154.3,18366.7,12167.6,2250.45,10.5943
1.48E+06,1.04E+06,853696,680899,447992,319454,841420,527009,775204,-693.821,20667.9,73829.8,19118.1,11283.9,18415.2,3897.39,10.6032
1.48E+06,1.20E+06,740018,574704,399340,330216,725598,494728,696994,-357.651,89354.6,46585.7,15503.4,7094.68,6685.16,2273.21,10.6109
1.31E+06,1.03E+06,767808,574170,469010,358965,783938,468731,734967,586.718,6823.79,76400.2,11667.2,7487.65,10941.7,3479.1,10.6122
1.71E+06,1.30E+06,790846,586729,461230,333711,829274,466897,753993,183.071,37505,65951.2,16940.1,12442.2,11322.4,2537.23,10.6185
1.44E+06,1.20E+06,720648,196706,152630,133985,683493,182449,646887,-896.623,35161.2,135124,1984.83,5482.38,6565.87,667.045,10.6276
2.04E+06,1.65E+06,740361,403720,294495,227335,777254,325868,743344,691.937,5778.54,123617,16069.7,17017.5,8048.22,4913.16,10.6312
1.93E+06,1.31E+06,885440,837837,569278,389315,877353,613641,819212,436.197,10795.9,162591,24623.9,14614.1,11059.5,4888.83,10.6364
2.45E+06,1.85E+06,792885,441951,424097,341288,745582,375002,707118,603.52,29148.5,151487,7553.76,7002.36,5331.74,5716.48,10.6472
2.01E+06,1.47E+06,818159,334826,187529,147638,762118,298798,672346,-1705.83,1818.04,70495.1,10462.1,5912.57,10195.6,1160.85,10.6498
1.83E+06,1.42E+06,768669,250590,177987,139463,765737,217725,690570,-1684.56,7152.17,113209,5291.75,13185.8,5140.63,2596.22,10.6516
2.66E+06,1.91E+06,835168,437501,366303,270282,813157,353690,742177,-546.37,4742.27,144401,37726.3,13781.9,11572.5,3219.55,10.6592
1.05E+06,769512,820763,393379,254261,179389,850423,315217,748777,1303.75,46192.7,78239.7,12318.4,6237.52,6044.71,1451.48,10.6601
1.15E+06,791323,868206,568595,335190,248184,810342,428747,795706,25.4788,7191.37,60884.1,13325.6,10528.1,9661.39,4329.22,10.6609
1.62E+06,1.26E+06,774423,449373,412595,326584,758019,376726,715702,-1981.03,-541.106,139961,48708.5,8704.8,8167.65,1087.57,10.6688
2.46E+06,1.53E+06,962370,671307,337597,245733,824301,529848,760188,-242.998,44103.8,86260.9,10734.6,7237.56,9170.82,1842.45,10.6702
1.85E+06,1.12E+06,994797,499556,395383,231340,1.03E+06,327996,913833,-1306.91,1089.6,101685,16679.7,6807.33,12637.1,4359.17,10.6823
2.13E+06,1.79E+06,714762,340321,243069,197964,736706,293802,695002,596.401,76470.9,71420.1,7031.02,5354.44,6741.43,1879.49,10.686
1.47E+06,1.06E+06,833812,649433,391478,287249,817712,527396,738837,173.536,11481.3,43822.4,12241.6,6295.55,11638.2,2294.51,10.6862
1.42E+06,1.06E+06,801498,337008,216067,160499,807732,260315,776769,29.958,14667.7,58579.7,9190.81,8321.34,5413.54,1315.41,10.6895
1.26E+06,998688,754496,636716,481093,357485,807463,527027,724877,-188.196,50971.3,42736.8,11745.4,11229.4,12599.9,2843.17,10.696
1.44E+06,1.16E+06,746607,263878,140174,110032,764363,230849,685845,-1591.93,42058.7,74221.4,12490.6,3536.15,4175.99,1244.69,10.6961
2.20E+06,1.49E+06,883662,703431,513165,344534,893668,492630,856746,-2535.8,13940.6,334762,19518.9,38468.9,23768.8,3193.2,10.7024
1.54E+06,1.20E+06,772500,244938,123491,98187,754626,217083,676990,206.37,23096.3,90203.2,482.402,2832.77,4389.7,1339,10.7121
764814,496585,924088,432177,340136,248408,821559,334734,774663,-604.175,18620.4,44977.5,19541.2,7968.33,8580.26,2669.63,10.7139
2.02E+06,1.51E+06,800938,450478,298768,239227,749333,380159,710983,-10.6858,9333.14,134900,20205.5,9043.31,7287.43,3125.64,10.7206
1.52E+06,1.09E+06,835740,503391,287660,212832,810950,402706,750013,-128.826,30444.6,167485,21369.8,13806.2,8879.12,1609.11,10.722
2.30E+06,1.58E+06,876155,488985,389229,263867,885057,373345,785844,-846.696,950012,35717.9,15570.8,4526.19,43968.8,835.614,10.7232
2.17E+06,1.54E+06,846154,715079,476454,325664,877814,525260,816828,-1061.17,21095.2,77741.8,29609.5,15316.3,14895.4,3432.13,10.7242
1.02E+06,771070,795691,468041,302494,222662,815120,365369,768605,-458.62,16796.6,70402.3,11297.6,9982.62,10211.1,2496.31,10.7243
1.77E+06,1.27E+06,834448,661378,410888,284984,865076,496004,800047,-401.985,1746.37,100992,33813.6,20802.2,14117.8,2360.12,10.7268
1.11E+06,816637,816670,458650,297122,227328,784211,368085,747626,-459.361,6229.64,72086.7,17200.8,5834.22,7735.96,1951.69,10.7272
2.15E+06,1.80E+06,713477,286595,177130,138899,765147,243130,707265,59.2598,36488.7,27240.1,13049.4,3035.68,7956.12,3787.93,10.7379
1.13E+06,754437,899288,740110,461560,305178,907457,535615,829077,134.297,101774,62307.7,24889.9,17841.5,18713.5,2347.09,10.7402
1.74E+06,1.45E+06,720829,292890,201022,164544,733015,246580,712685,-799.597,3207.58,60768.2,5427.68,3552.32,5219.55,3469.42,10.7461
1.95E+06,1.44E+06,813519,429673,268170,201952,796733,355046,726114,-1061.98,21301.2,223625,19081.8,10524.2,6514.48,3534.74,10.749
1.79E+06,1.41E+06,759915,431907,270256,210216,771366,360038,719768,939.172,14172.4,30427.3,17146.3,9055.06,10294.2,2978.78,10.7583
1.88E+06,1.44E+06,780009,612545,499846,371176,807994,473339,776456,232.248,7616.31,63821.8,17791.9,10269.8,17578.2,2084.1,10.7588
2.06E+06,1.67E+06,741130,277540,166907,135172,740867,231824,718320,-1367.71,8198.39,109930,8282.13,5633.62,8286.06,1938.4,10.7636
1.79E+06,1.45E+06,740742,495641,367480,295864,745234,402032,739703,-259.53,118022,61207.5,36139.3,10050.8,10241.5,1952.11,10.7647
2.64E+06,1.86E+06,851235,522468,456593,323930,845726,395349,792922,-1284.75,9848.3,119603,32507.7,14364.4,18893.9,6080.73,10.7687
2.29E+06,1.53E+06,898949,863972,608466,406293,898562,623173,831845,684.569,51227.2,251252,29398.5,12106.9,14192.6,3029.4,10.7713
2.07E+06,1.71E+06,723698,255490,217700,184218,709051,224048,684202,-13.5418,10044.3,122582,19318.7,6839.31,7067.67,2280.94,10.7762
2.61E+06,1.98E+06,794146,307189,243413,182817,798875,261606,704545,139.95,30524.2,76020.9,7088.59,4261.69,3582.19,6460.26,10.7764
1.16E+06,851117,814403,683497,391850,277951,845868,529699,774209,222.997,82617.9,44722.3,18160.2,10520.9,17442.5,2355.58,10.7767
966648,676144,857789,362467,240320,181979,792357,279110,779192,1005.48,26688.9,69590.2,14991.9,9389.25,10713.8,2097.73,10.778
2.42E+06,1.62E+06,896144,762007,515406,337537,916177,530256,862233,-953.481,39165.3,55778.5,33588.7,10224.2,16309.9,2805.3,10.7787
770907,544774,849057,382898,157914,113945,831527,309146,743140,-63.8675,119.304,35971.8,19311.2,3804.37,5201.65,945.132,10.7804
1.56E+06,1.21E+06,770785,492886,312232,241073,777107,395532,747680,596.371,35861.4,52378.3,19441.8,8477.01,9980.71,3241.11,10.7832
1.73E+06,1.36E+06,762538,607078,348869,269118,777805,506155,719635,-135.272,19772.1,85841.6,22300.9,10072.3,9890.3,4758.37,10.7843
1.98E+06,1.40E+06,848979,601881,524375,393960,798621,474479,761106,-2317.91,1180.27,111055,78453,13141.8,11813.8,1333.48,10.79
1.01E+06,637756,946761,723737,373828,255018,879533,524750,827522,88.7985,236392,49563.5,38205.9,9775.91,23689.8,1976.47,10.7926
2.04E+06,1.67E+06,730558,241483,217275,181081,719927,213381,679019,-673.174,37177.7,61054.8,11142.3,4000.99,5203.45,1292.98,10.7968
1.70E+06,1.39E+06,736056,467496,372249,291959,765002,387556,723760,-1528.5,8233.78,78017.4,8065.5,6744.6,10977.7,2634.16,10.8006
1.83E+06,1.64E+06,668443,132836,99526.8,96195,620781,131488,606150,807.492,1.03E+06,29844.2,4905.92,1824.8,2320.61,196.645,10.8132
1.71E+06,1.25E+06,821878,550545,488010,362155,808509,431046,766338,-375.014,22847.9,92521.6,13396.7,5879.84,12220.1,2743.24,10.8145
1.32E+06,922947,859682,692324,449928,331310,814816,563968,736556,616.441,9758.01,48753.3,16778.8,10970.9,10910.9,2807.01,10.8152
2.46E+06,1.90E+06,778116,278417,210774,169371,746671,240092,695776,-292.73,10834.8,65658.7,8126.95,4815.2,4608.73,3143.73,10.8157
1.83E+06,1.50E+06,735435,331177,240721,197740,730417,284268,699010,-255.906,10938.9,77659.1,18089.9,4398.37,8948.24,3842.01,10.8179
1.51E+06,1.15E+06,788564,398082,220015,164868,800696,333039,717181,-1587.59,14305.4,75090.3,39384.9,10643.2,11275.6,1128.61,10.8263
1.49E+06,1.05E+06,853942,696691,597298,433012,827642,546122,765423,-439.281,18173.4,47405.9,20261.7,12394.1,16656.4,2635.52,10.8304
1.54E+06,1.19E+06,778701,505730,374123,283369,792161,391787,774498,-388.868,175.119,80995.1,8848.42,14728.9,11228.2,3643.31,10.8306
1.80E+06,1.15E+06,934590,709793,556938,358621,931800,522012,815835,-644.55,60910,83982.3,18573,10762,15139,1842.78,10.8309
2.23E+06,1.63E+06,818317,642152,434325,270295,964114,429776,896493,214.191,23651.3,61618.9,8617.49,14186.2,18294.4,2732.66,10.8346
1.08E+06,744846,868014,440440,379296,259060,878474,318558,829563,-976.578,40322,67892.3,17762.8,8153.78,10596.3,2918.08,10.8346
1.67E+06,1.34E+06,748516,403417,256080,209150,734632,346525,698507,-408.871,52704.7,152470,3140.77,3847.55,6448.97,1747.95,10.8356
2.63E+06,1.92E+06,821336,382930,309997,242448,767167,326243,704253,299.797,27966.2,105179,8802.94,4744.11,5267.53,4563.74,10.8372
806899,496549,975008,651663,574489,367634,937600,459476,850965,-1262.35,6278.64,73048.3,18703.3,11162.4,18691.7,4314.86,10.8404
1.63E+06,1.15E+06,850506,598801,476993,358671,797935,486591,738362,1623.31,32303.1,65160.7,61542.8,10212.9,12395,2048.43,10.8415
1.86E+06,1.48E+06,752059,347867,232119,186817,745497,298327,699635,-919.864,1690.24,67333.8,22739.1,6631.23,8172.3,1709.59,10.8426
1.84E+06,1.42E+06,776764,509019,423696,337553,753120,402200,759353,-407.698,14698,54465.3,22819.4,7225.31,9830.7,2838.28,10.8487
1.81E+06,1.27E+06,850476,722174,538809,374658,862882,569561,760770,981.962,22606,210002,59623.3,26095.7,12136,2612.81,10.8523
1.94E+06,1.42E+06,817961,743705,553864,389986,852129,563033,792534,-531.122,55954.1,75008.2,24066.3,13600.3,19891.9,2877.59,10.8561
1.43E+06,1.10E+06,783200,494882,348192,276677,755087,403487,735908,-361.649,10869.4,60900.7,35256.6,7751.7,7907.07,2085.08,10.8634
2.10E+06,1.65E+06,761942,465662,367324,297598,740577,402673,693856,1152.28,18125.5,56654.3,17349.6,4771.82,5656.08,2086.86,10.8637
849914,566507,900162,685733,549179,407500,808607,523435,786038,-372.251,18949.2,66169.8,15199.1,12137.2,13503,2161.51,10.8728
