"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
993284,707213,842703,327644,244249,175398,835526,245765,799896,5849.56,-298.985,42247.7,39543.5,9895.21,9766.48,2137.52,10.3488
2.90991e+06,2.04540e+06,853595,703386,411040,288412,855109,526327,801843,14321.1,-1222.99,21222.2,79005.1,19293.8,14839.5,2955.75,10.3509
1.9909e+06,1.60681e+06,743425,415665,298010,249031,718007,360894,691058,4562.32,-524.944,23369.1,47509.5,16912.2,9003.36,1432.71,10.363
1.55468e+06,985932,946118,632820,344274,217685,948914,431489,879957,34709.1,-137.92,37598.9,94217.7,43525.1,17370.7,2884.63,10.3631
1.94371e+06,1.60859e+06,724998,221342,194524,160866,725538,193688,685665,4417.98,-795.959,26058.6,37403.7,6553.9,4420.33,1974.1,10.3709
1.26093e+06,919614,822694,792914,433255,328549,791216,649557,732419,17096.8,-290.131,20585.6,70129.1,37067.2,21462.9,2161.21,10.3796
2.01685e+06,1.39856e+06,865256,753961,464003,312264,891559,554353,816045,7502.26,139.907,213980,42283.5,13961.7,14747.8,1763.71,10.3857
2.29656e+06,1.67486e+06,822719,530816,433400,329457,789299,444905,715859,6447.57,-348.417,31971.1,119501,13436.9,6725.27,2415.71,10.3875
1.93721e+06,1.57042e+06,740137,509665,346013,265534,781851,411624,742909,9499.92,233.888,149019,42617.3,12877.4,14447.9,2959.23,10.3877
2.11799e+06,1.6987e+06,748098,294849,217168,172806,754031,260547,678992,6534.18,-1692.31,2576.77,146512,9961.23,7004.06,3479.88,10.3891
1.9816e+06,1.50274e+06,791194,550355,493384,372249,795249,430723,766648,10983,2614.93,76740.8,53796.7,22860.6,11969,4019.96,10.3934
1.85206e+06,1.36108e+06,816438,779453,637487,442985,863442,596380,784184,19012.4,240.737,9633.62,94302.4,22330.3,16099.1,4073.88,10.3935
1.82148e+06,1.40398e+06,778423,331275,256719,201179,765644,284553,698517,6294.52,-488.059,35483,137906,3004.03,6859.03,5508.65,10.3974
2.06011e+06,1.43219e+06,863060,467045,300908,183770,982449,293435,954987,9454.92,-1018.38,65382.1,39554,9346.55,9021.39,2674.05,10.4013
2.0487e+06,1.61078e+06,763121,495149,350677,268494,783653,392616,756692,11314.2,101.246,8154.9,79339.6,15408.6,19418.2,2009.27,10.4021
1.43767e+06,1.1172e+06,772107,370633,253287,195566,777088,304211,731006,4693.15,-1096.28,8000.09,94654.1,13516.2,6093.24,3886.5,10.4067
1.67512e+06,1.2212e+06,823016,452454,384585,290410,794570,379441,715453,7038.21,-1283.46,35110.9,221704,19315.4,10200.4,1036.69,10.4072
1.93624e+06,1.56823e+06,740801,446274,266140,200115,797962,349532,766066,12127.1,-218.135,35130.6,81384,18857.2,16661.3,1669.96,10.421
1.70874e+06,1.37061e+06,748019,480625,361744,282239,769015,401508,718229,6291.27,763.087,76602,85020.2,23710,11453.1,3229.58,10.4313
1.71274e+06,1.40763e+06,730049,334528,194118,148984,781768,274323,731682,10056.6,-270.363,26438.4,45831.1,11158.3,9909.78,1986.84,10.4461
1.93667e+06,1.36849e+06,849115,345628,192607,148192,779828,300455,690208,4560.49,-252.67,8050.94,49670.7,9426.68,8124.46,3902.47,10.4517
1.48208e+06,1.12075e+06,793437,715343,415886,320879,777651,584040,734892,12430.1,-811.778,16432.6,92485.6,38786.2,15390.2,3448.56,10.4593
2.11723e+06,1.58267e+06,802654,291963,167116,129692,773138,242652,721931,6046,-944.238,18215.2,77209,17926,6819.1,3406.49,10.4621
1.32507e+06,935471,849885,753341,709556,508088,837913,574070,787368,11372.2,497.422,42623.5,71434.6,26770.4,17569.8,3641.37,10.4654
1.77333e+06,1.14578e+06,928625,832119,440750,285339,926792,592268,842982,11464,550.307,10176.2,77671.3,37136.8,13727.9,4907.82,10.4674
1.59798e+06,1.28157e+06,748136,476963,335115,268009,750232,395198,724138,10568.5,-1289.97,18929.5,91104.7,16309.4,8090.51,1371.31,10.4719
1.85466e+06,1.46081e+06,761767,462054,295854,233283,760932,364942,759661,11511.2,-537.55,31249,37158,16601,12457.3,2945.66,10.473
1.2353e+06,901401,822250,757979,421599,330940,764366,629293,722696,5220.35,717.172,24649.8,42144.6,11517.3,7420.22,1855.09,10.4778
1.82925e+06,1.42924e+06,767926,406602,353198,271420,780778,342243,712830,7528.69,-1289.34,149560,29471.6,8494.41,11989.1,911.314,10.4854
1.63459e+06,1.24466e+06,787973,399370,356920,291064,735756,330378,725296,7777.57,-922.482,4293.13,113966,17806.4,9168.99,1414.8,10.4872
1.96873e+06,1.67346e+06,705865,379392,230937,190378,727827,330720,688301,7088.59,469.803,76660.3,62176.4,18749.6,7324.4,2267.06,10.4971
1.71087e+06,1.30288e+06,787889,428745,338082,252082,804696,352505,729769,6881.87,-1695.58,6457.76,163121,26356.1,12423.2,4057.51,10.4984
2.36344e+06,1.52767e+06,928251,745006,661041,462255,858022,549408,813609,24946.9,-2388.93,-1515.79,279793,83556.2,23006.5,5649.8,10.5069
1.48967e+06,1.13201e+06,789571,362645,325289,252957,771568,302482,719338,5919.94,596.525,91463.9,49391.9,4479.77,4209.37,3084.97,10.5166
2.51934e+06,1.59278e+06,949036,715284,388063,240989,966176,454868,943505,8239.78,1038.07,20129.7,30938.5,20748,10504.7,3804.42,10.558
1.25726e+06,968852,778606,367811,175790,141070,747673,323122,682983,4150.88,487.87,49107.4,101169,6210.37,8001.08,1926.1,10.5595
1.88295e+06,1.50569e+06,750334,503512,387259,301879,769697,396127,762653,15456.6,-375.402,38110.8,65108.3,16829.4,13160.1,4064.93,10.5608
1.35929e+06,1.01798e+06,801168,583416,416201,319183,782374,451577,775172,14988.2,534.826,57321.2,220812,29329.4,11024.5,3649.18,10.5658
1.44129e+06,1.00398e+06,861341,714527,581411,392231,889391,529593,809520,14899.2,1323.18,7050.57,122006,27726.7,19093.4,7064.27,10.5813
1.57203e+06,1.15798e+06,814538,804090,569421,425454,803030,623371,773943,8315,328.562,36771.2,38394.3,15195.1,10716.7,3297.95,10.5824
1.55812e+06,1.19535e+06,782092,432373,272851,209789,780358,381071,680775,4416.95,-902.109,9179.99,50327.9,8459.5,6182.69,1717.34,10.6317
1.77682e+06,1.38661e+06,768848,516204,288397,208172,831226,406127,762625,19575.2,-616.706,34988.8,126931,22125.4,11529,3330.42,10.6348
1.25017e+06,897905,835392,525602,284732,208168,820680,414475,760868,15757.2,-768.537,4684.94,53585.4,11655.5,12884.6,1649.09,10.6442
1.68623e+06,1.19150e+06,849127,746430,607329,436713,834409,591185,757560,21153.3,-1532.17,52144.8,93729.3,46637.2,15469,2503.79,10.6493
1.99869e+06,1.32006e+06,908454,1.01209e+06,459743,302103,913085,740822,819707,8382.09,-668.71,39058.5,54646,15215,13058.9,1781.59,10.6585
1.61281e+06,1.14824e+06,842758,372587,280943,211407,797351,312876,714506,3726.71,-506.503,11804.5,91249.7,6140.98,6745.18,1906.25,10.6595
1.73124e+06,1.19706e+06,867746,670263,578858,395120,879012,513373,783363,9447.49,-119.593,79.2817,64879.1,16910.9,13164.2,1912.6,10.6618
2.34348e+06,1.88765e+06,744889,456165,334534,284006,706746,397464,688613,8712.47,-1017.58,21083.1,59525,20951.8,8480.26,4944.51,10.6628
1.58888e+06,1.20392e+06,791857,658547,353603,255456,830522,527618,748890,12204.2,-1379.73,48216.9,56294.7,25776.9,13585.5,2863.47,10.6692
2.23587e+06,1.88461e+06,711832,225242,166156,139492,714691,198462,680963,4199.66,-427.12,42260.3,30676.9,5896.9,5474.97,1350.68,10.6779
2.09885e+06,1.44887e+06,869170,485418,243098,178539,816957,384215,758042,6291.81,161.832,4442.02,93145.8,15379.3,9485.52,2120.61,10.6788
2.0045e+06,1.23316e+06,975297,627364,327179,178856,1.09757e+06,376710,999226,11652.7,-1269.76,15168.6,73023.5,8983.98,12504.9,7026.26,10.6817
1.55836e+06,1.15737e+06,807882,609284,373058,272010,822892,492286,742598,10034.9,-89.8436,24146.1,63256,12848.3,12298.9,3373.74,10.6822
1.69963e+06,1.25249e+06,814197,397965,272193,212133,769874,325783,732938,4719.57,89.8864,20964.8,50091.6,16803.4,5353.39,1337.18,10.6929
1.87591e+06,1.5802e+06,712282,356179,240676,187468,770294,300203,711877,6415.19,-162.854,17263,56006.6,12152.8,5466.39,2995.2,10.6929
1.78259e+06,1.30832e+06,817501,646259,379956,273667,833032,507061,764712,16037.9,323.405,32768.1,82025.9,13896,15859.8,3096.28,10.7028
2.51323e+06,1.68838e+06,893124,1.07919e+06,714098,477035,898170,776130,834288,22597.9,1104.15,15561.7,381802,70457.8,48148.7,3313.34,10.72
1.72326e+06,1.35734e+06,761753,487552,409694,303232,810655,394470,741580,9450.6,-178.333,48288.8,37262.1,11690.6,8830.53,2500.78,10.7407
1.73407e+06,1.39392e+06,746418,317821,246079,190163,776425,262958,725182,6739.39,-1038.65,19921.1,233936,1455.31,6838.85,2959.79,10.7579
1.5389e+06,1.16936e+06,789611,597522,357562,265468,808147,464934,771106,12529,-679.314,3963.78,79510.8,21992.6,13126.6,2272.59,10.7693
1.88164e+06,1.45208e+06,777491,518746,349444,261856,800693,414435,751017,8460.33,583.218,43197.6,37074.5,11779,9841.43,2424.74,10.7695
1.7334e+06,1.37032e+06,758977,363635,321562,275984,699089,323884,673638,8675.03,-268.187,77352,117898,6023.18,6186.55,977.508,10.7788
