"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
2.06522e+06,1.37303e+06,902477,791243,684223,457109,898109,554474,856209,33088.2,877.538,159470,61999.8,39568.7,16262.6,11915.4,9.58213
2.66138e+06,1.64259e+06,972138,1.25086e+06,751603,368332,1.22434e+06,682731,1.09929e+06,45368.6,2351.97,279406,107817,48270.1,29612.8,20202.8,9.58511
2.42467e+06,1.46581e+06,992491,689778,501029,319607,940584,494081,837650,48998.6,272.05,142972,68149.5,25164.3,16738.4,14331.4,9.58877
2.25634e+06,1.29962e+06,1.04169e+06,1.54478e+06,1.08773e+06,600750,1.08638e+06,891767,1.03936e+06,77512.3,147.321,284120,116033,57449.6,27118.6,21063.6,9.60369
3.20376e+06,1.82788e+06,1.05163e+06,998886,838492,518866,969605,665474,900608,55640.8,965.898,283468,96232.2,36376.3,19345.5,16397,9.60789
1.90632e+06,1.22042e+06,937212,716324,405498,267461,909660,507952,846132,26245.1,623.22,317040,59045.5,34071.3,12428.5,11261.8,9.60979
2.02442e+06,1.20235e+06,1.01023e+06,806563,416027,215374,1.15899e+06,462564,1.04621e+06,36523.9,1598.25,194270,53061.8,41331.1,11599.9,8350.27,9.62918
2.54909e+06,1.45949e+06,1.04794e+06,1.23521e+06,860409,486294,1.06159e+06,741920,998930,77674.9,-54.4664,578179,92939.9,39635.1,36578.7,23462.1,9.63392
2.14865e+06,1.49581e+06,861865,480564,393849,273146,865139,341212,845042,25844.5,-11.5972,144417,61386.2,20306.3,10913.2,8850.97,9.63623
1.86634e+06,1.05587e+06,1.06055e+06,1.32972e+06,944416,499747,1.13387e+06,759984,1.0498e+06,57019.7,3903.74,429638,130244,43035.3,32627,15356.1,9.63935
2.44362e+06,1.45127e+06,1.01027e+06,1.28885e+06,926709,508911,1.09258e+06,769712,1.00468e+06,34643.6,719.81,327168,81985.3,39945.3,22057.7,18497.2,9.63948
2.28545e+06,1.29609e+06,1.05801e+06,1.01201e+06,508829,304361,1.00308e+06,686985,883867,47345.7,2294.81,545197,60542.5,26472.2,18587.6,14511.2,9.64925
2.00243e+06,1.58085e+06,760007,367332,285360,235886,725841,325165,677806,3461.37,-616.533,951836,28724.2,5242.19,1947.48,3509.84,9.6525
1.57702e+06,914068,1.03517e+06,715049,350595,212271,990984,480419,893032,34678.2,657.397,151926,53194.1,33612.7,14986.4,9381.06,9.6567
2.80676e+06,1.81892e+06,925858,687246,430666,274731,940554,461759,892993,63944.8,247.68,154688,84109,32829,16524.1,14924,9.67663
2.23465e+06,1.49734e+06,895448,629827,498849,330919,904480,446246,846834,29655.6,581.749,215613,59327.8,19497.2,12996.7,10164.1,9.69968
1.56208e+06,934959,1.00245e+06,820904,474806,278478,1.023e+06,524567,938950,45059.2,2172.62,564496,68017.4,17603.5,18444.9,12888.7,9.7024
1.45e+06,827183,1.05176e+06,1.09105e+06,683268,452919,905152,736900,888353,26409.6,1700.56,513790,63258.1,19156.9,17402.6,8054.66,9.70389
1.88276e+06,1.1555e+06,977634,1.12019e+06,571319,325142,1.05428e+06,717659,936535,30978.9,4180.06,583656,98694.6,25649.7,21802.1,13127,9.70578
1.83762e+06,1.12607e+06,979133,952699,824167,521981,947352,652267,876358,31117.5,66.3208,573865,53133.2,10631.4,15811,14193.1,9.73927
2.33303e+06,1.53397e+06,912546,681856,560218,391678,858182,503224,812985,28846.5,715.035,782120,73001.3,17973.6,12040.8,7917.89,9.74185
2.06727e+06,1.16138e+06,1.06801e+06,1.17218e+06,585064,320773,1.09435e+06,720280,976441,54327.8,517.041,582239,53281,38221.9,18110.2,20881.7,9.76599
1.65167e+06,1.01888e+06,972637,602795,456984,300747,911697,421217,858648,24206.7,-969.125,350092,58312.5,23559.8,12763.1,7741.19,9.77358
954260,686314,834248,440811,239244,183734,781272,357972,738847,19634.2,-351.634,900720,33596.5,10780.9,7412.11,6445.02,9.77521
2.46799e+06,1.71807e+06,861895,642923,455225,289114,944732,431250,894501,42939.2,1294.23,260430,92402.9,31140.9,25941,10344.8,9.77873
2.59415e+06,1.57611e+06,987551,855316,681244,454213,899901,625954,819852,20355.3,-1806.84,502716,27935.4,27496.4,12822.8,10960.6,9.78185
1.89489e+06,1.18004e+06,963469,1.09778e+06,671767,356157,1.13169e+06,649658,1.01387e+06,51028.4,453.426,899281,89289.5,23325,19349.6,19890.2,9.80164
2.24973e+06,1.4962e+06,902178,695160,412495,246892,1.00245e+06,456858,912966,37095,-608.847,520298,85132.4,33161.5,18127.7,12390.5,9.80558
2.65423e+06,1.58679e+06,1.00362e+06,1.29674e+06,1.04238e+06,592910,1.05484e+06,787338,988193,46760.8,3197.54,1.14093e+06,109015,42351,30313.2,19688.9,9.80775
1.65124e+06,1.00503e+06,985784,1.134e+06,618981,448484,828098,926782,734154,26554.7,312.919,290735,59422.4,46149,13076.5,8548.34,9.82578
2.16261e+06,1.19714e+06,1.08389e+06,1.43824e+06,1.11155e+06,603445,1.10521e+06,884139,976028,66499.3,2349.53,538934,81195.7,31876.1,19518.9,14933,9.82754
1.512e+06,934822,970450,703054,566209,351269,967138,467772,901791,29818.4,-1082.19,547463,45075.9,14211.2,14499.2,6850.02,9.84015
2.22539e+06,1.612e+06,828309,541552,451905,324113,836569,407355,797662,26688.6,53.7968,275899,40758.6,19077,8104.85,10993.7,9.84463
1.36604e+06,1.02149e+06,802384,600067,404712,292806,829311,464475,775156,13532.5,-157.59,1.04949e+06,223709,29306.6,7257.8,7960.36,9.85927
2.39671e+06,1.49675e+06,960764,875044,658271,392035,1.00747e+06,577201,909608,48174.2,-226.469,292530,66274.4,25839.5,18313.4,18865.6,9.86496
3.0085e+06,1.89963e+06,950238,1.03363e+06,721316,397510,1.08875e+06,641039,967456,50601,1937.56,360670,66322,32136.6,19679.9,17168,9.87052
1.55041e+06,1.05753e+06,879643,684486,434799,258099,1.01077e+06,444104,924765,26036.1,-1117.59,146007,131645,40425.9,15505.2,16029.2,9.87527
2.00838e+06,1.3254e+06,909181,606017,497648,343166,870100,449233,809402,40715.3,3728.03,498859,57144.3,24357.4,13371.8,8074.03,9.87567
1.85938e+06,1.44587e+06,771596,454648,334359,252820,793511,369562,738141,19136.4,544.639,823350,40808.8,12072.1,9257.25,5748.16,9.88028
1.79817e+06,1.39196e+06,775092,345166,314387,250523,752954,293546,705511,12013.3,-731.597,685387,29471.8,11325,9446.93,3360.66,9.89208
1.77062e+06,1.19897e+06,886068,827040,462112,316646,875638,637826,777993,41872.2,-107.132,323322,40133.5,19226.6,14258.1,5566.06,9.93248
1.9575e+06,1.23994e+06,947225,790476,445989,270253,990158,524391,904451,44306.4,337.301,499386,62054.3,18140.3,17274.9,11790.8,9.93601
1.84170e+06,1.26495e+06,873568,746246,564081,387338,873781,534062,838381,23289.2,383.143,557987,50239.4,19218.1,10615.8,11157.8,9.94157
1.44014e+06,732189,1.18014e+06,1.19811e+06,798082,400344,1.19609e+06,676512,1.06261e+06,48718.5,1683.72,454449,91709,28878.1,20112.6,13019.1,9.96625
1.37098e+06,921462,892699,908637,686413,411142,1.00172e+06,592986,919385,22290.2,500.006,553966,63453.1,26637.2,13626.1,12441.4,9.9676
2.00273e+06,1.20902e+06,993892,1.17964e+06,963302,552203,1.04668e+06,718226,985464,42183.4,1790.44,362080,70485.9,31937.5,19511.3,22470.4,9.96855
