FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
1.55E+06,991436,935146,724331,416330,277062,901597,520958,834230,720.723,337468,57060.7,23567.5,35507.9,14593.4,10097.2,9.57722
1.61E+06,994328,972212,703180,408520,247305,991133,473940,890213,1189.5,281252,61995.3,22042.1,31276.3,17923.9,8115.84,9.59911
2.49E+06,1.54E+06,970482,754135,625086,395808,947560,522830,865446,-1389.33,537345,61966.3,24475.4,45298.1,22695.2,8394.48,9.616
2.62E+06,1.63E+06,967847,920310,668872,407320,985277,615370,897323,686.106,403515,70272.3,28357.3,44430.1,21918.3,15862.4,9.62018
946677,676682,839399,748383,662700,483723,822000,551716,813878,-250.379,496582,57216.7,24360.8,21069.3,13576.6,7224.42,9.62113
1.99E+06,1.29E+06,920732,506276,381036,263924,866240,382110,794969,-986.169,127722,40286.8,10743.6,36292.5,11081.3,7550.02,9.62181
1.80E+06,1.25E+06,859914,567499,423045,294468,861984,426665,798048,-1800.03,824712,54360.3,15412.5,29149.9,13378.9,9054.83,9.63329
3.19E+06,1.93E+06,990184,1.19E+06,904998,527599,1.03E+06,737746,967537,-512.923,250513,96793.6,40889.2,75732.5,22778.9,17846.3,9.64437
955527,559895,1.02E+06,787443,447868,276724,971078,548429,861489,-57.5968,174803,31183.9,21567.2,16667.9,12233.5,8150.87,9.65775
1.79E+06,1.25E+06,858096,516851,414866,296336,839992,380485,815040,-130.682,158147,42763.3,15147.6,18355.5,8626.4,7812.71,9.65788
2.00E+06,1.28E+06,934600,765593,388411,244036,954969,536308,856514,1107.01,251846,53193.6,30977,46610.4,19341.7,12324.6,9.66693
1.61E+06,1.00E+06,962446,579841,340235,223636,912828,407123,854544,1002.85,256370,53805.1,26821.4,36435.1,14339.9,7037.27,9.66734
1.04E+06,675206,922058,595185,330373,225634,878520,449826,793887,254.808,652228,37285.1,15075.6,13698.1,11035,3938.61,9.67747
2.07E+06,1.40E+06,887885,458381,363398,253352,860615,352148,781004,-1113.52,158088,45078.9,13950.3,26190.4,9648.42,6326.25,9.69328
1.85E+06,1.22E+06,911535,569905,301681,198222,913162,420918,812374,433.851,285123,58057.2,21602.4,26348.5,12574.4,7058.11,9.71882
1.94E+06,1.29E+06,906198,673751,495406,312340,951667,449573,899187,826.239,244829,55684.3,18809.3,38442.1,16020.9,8499.76,9.72017
2.54E+06,1.43E+06,1.06E+06,735722,521078,329417,949090,489375,902035,185.469,183642,101721,26958,60188,25267.2,13152.2,9.72355
2.58E+06,1.76E+06,880321,792499,511362,355775,862391,583644,814708,-204.21,240466,40868.2,16146.3,23372.5,9069.15,7028.64,9.72706
2.11E+06,1.21E+06,1.05E+06,1.34E+06,1.01E+06,586974,1.03E+06,859131,934583,-642.304,498600,109292,29062.8,36049.5,23446,22021.9,9.74354
1.93E+06,1.27E+06,914028,550618,451332,286574,944954,377342,875521,-1406.31,413886,42976.6,13172.6,41261.4,13421.6,7009.3,9.75152
1.54E+06,878257,1.06E+06,995917,648019,375315,1.04E+06,673915,886685,1026.53,471141,59472,17937,26336.5,16015.4,7827.52,9.75517
1.89E+06,1.18E+06,963506,836790,708067,452751,938352,581832,862920,127.848,289901,52666.8,16876.2,24876,14549.9,9282.89,9.75814
2.00E+06,1.27E+06,941964,797052,585448,370451,948219,522116,915948,1540.88,491001,80787.2,20278.4,43170.4,20541.4,12832.7,9.76597
1.78E+06,1.07E+06,995269,871869,419877,262824,958535,604534,865330,2493.94,550909,60505,19572.1,37198.7,16603.3,9448.85,9.78097
1.93E+06,1.44E+06,800038,571084,495350,336561,883080,423846,808432,829.686,584869,42749.3,10173.7,23409.3,8447.2,6266.67,9.79016
1.45E+06,917366,949020,785315,543959,339629,960976,553848,850755,122.2,122436,47191.3,19158.2,27585.2,11210,6092.88,9.80191
2.08E+06,1.21E+06,1.03E+06,1.02E+06,844946,447627,1.13E+06,570272,1.07E+06,1396.31,295551,121337,40558.3,57129,33614.1,22579,9.80867
1.82E+06,1.26E+06,869026,552303,427494,278282,921713,411494,805314,-77.5017,346026,33752,10359,22820.7,8352.55,4775.01,9.83164
2.78E+06,1.55E+06,1.08E+06,1.18E+06,843183,481821,1.05E+06,740539,953973,78.556,476430,121375,34618.7,40230.8,23709.4,15987.6,9.83434
