"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
926628,639667,869166,509253,459064,333048,827024,395544,772485,9556.86,-595.343,46999.2,31536.9,14176,10818.6,5083.44,10.4414
2.31266e+06,1.84227e+06,753200,318940,185166,151345,734080,277565,689439,8461.94,-790.996,20527.9,107859,24625.2,15350,6426.78,10.4452
1.07824e+06,711200,909652,532578,384974,286587,805983,417283,765779,12047.1,748.529,24419.1,57954.4,43621.3,13303.2,6077.25,10.4612
1.74948e+06,1.31008e+06,801239,550786,469359,360653,780849,457353,722574,14463.3,-684.517,11156.5,44169.3,14561.3,9665.86,3154.55,10.4679
1.65182e+06,1.26364e+06,784319,556547,424132,303470,838565,417090,800615,18471.9,259.69,103799,48419.3,19488.6,24487.2,3365.03,10.4761
2.58513e+06,1.84960e+06,838598,395769,344020,243586,847388,308181,770526,5986.35,347.354,118714,157030,15532.8,7058.86,6515.91,10.4811
1.43457e+06,1.06429e+06,808747,646903,458812,315806,871698,483589,802628,16663,1576.97,31508.5,46337.9,27635.5,11663.4,5086.71,10.4812
1.28677e+06,1.01574e+06,760099,497033,270419,226921,715012,429099,694991,13632.6,-607.159,80832.8,56593.5,27568.8,13312.8,3198.03,10.4839
1.3244e+06,911321,871962,984332,884005,615614,861583,736703,801679,14738,1941.51,24433.2,54158.7,37798.9,24273.7,7641.88,10.4981
1.94431e+06,1.58209e+06,737369,395190,281296,205152,822694,317197,747530,12271.1,-265.179,49556.5,52880.7,7356.37,10626.4,4107.05,10.4984
1.61663e+06,1.2141e+06,798928,627981,579870,441190,788599,504374,747042,18099.9,-14.9405,20810.8,39746.2,7792.39,13320.8,4885.54,10.5008
2.104e+06,1.45915e+06,865165,793755,624597,439551,852593,612014,778173,20718,914.438,356844,41191.1,16283.1,21711.3,3641.61,10.5065
1.18945e+06,842888,846698,588560,513026,369842,832290,452958,779622,16071.7,-1005.25,16883.5,47505,15836.4,16222.5,4348.48,10.5075
2.7804e+06,1.83896e+06,907168,704222,538416,348423,927176,510402,827844,23911.7,240.512,17879.7,70140.4,55122.1,24761.9,5482.51,10.5091
1.98088e+06,1.46859e+06,809297,519310,368858,268763,823457,422968,736665,15252,-267.441,9902.01,67248.5,13849.5,10690.8,3892.37,10.5127
2.08076e+06,1.5452e+06,807958,540552,427102,319821,801265,449409,721684,6513.8,867.051,47033,95498.8,13400.6,9964.25,4005.17,10.5274
1.78498e+06,1.23537e+06,866938,718672,605058,440454,824229,546322,789284,18447.5,418.102,5942.84,98319.3,36656.2,15889.1,4375.02,10.529
1.74883e+06,1.26711e+06,828104,405041,199985,145810,822928,328021,740881,6080.43,847.394,151460,34117.8,25091.6,15750.7,1874.8,10.5294
2.33947e+06,1.64953e+06,850960,403798,367553,269392,818629,316148,766347,14415.7,-535.157,8239.65,104989,14611.3,8890.34,4780.83,10.5417
1.83456e+06,1.1155e+06,986765,703743,507162,328267,926980,503543,838549,6783.89,2249.62,24934.2,93497.9,20463.2,16489,8226.74,10.5418
1.49897e+06,1.01702e+06,884333,559472,431789,299277,865664,428136,784057,9677.4,-190.694,12722,60607.3,9540.22,10241.3,4834.42,10.56
2.00481e+06,1.37128e+06,877200,504554,295597,201138,881775,385951,784380,12264.3,-132.969,47095.7,102565,29878.7,14455.9,3132.37,10.563
1.16943e+06,857245,818505,557072,365529,274368,799355,426772,783190,10636.6,-699.078,48894.2,51016.1,21188.1,17962.8,5633.5,10.5638
1.5388e+06,1.09567e+06,842658,541165,288582,215317,804160,433411,749171,18287.1,-581.106,109892,49838.2,18535,15305.6,4833.85,10.5703
1.20203e+06,877776,821641,545221,402879,297313,813040,439855,743728,10599.5,488.726,12998.8,46495.7,24192.1,10048.2,4021.11,10.5821
1.87808e+06,1.47037e+06,766370,384685,365111,282980,774142,308409,748393,19345.1,-576.735,12699.3,46032.6,13313.6,13142,3557.99,10.5828
1.83545e+06,1.41087e+06,780559,597114,418223,290030,865200,459512,779671,27589.8,-1951.7,39041.6,69185.1,47402.8,19013.3,2980.72,10.5909
1.46564e+06,1.09816e+06,800780,611259,427665,332485,771761,497025,737901,15222.5,-710.348,25470.6,44037.8,10873.1,13554,4044.15,10.5932
1.64674e+06,1.32836e+06,743808,416114,277914,203048,821225,322139,775032,16844.9,-395.63,184266,31898.7,16973.3,10497.2,4321.8,10.5961
991954,725201,820700,373413,163673,122017,804836,318137,704248,7907.7,-142.504,52485.1,18165.3,9941.11,10495.4,1552.88,10.6016
1.34908e+06,837260,966784,654676,505093,332162,912373,465241,844305,20282.3,-720.186,10189.1,58549,31822.9,16050.2,4236.68,10.6023
1.59207e+06,1.18925e+06,803230,359657,228743,176261,778651,311424,692927,5863.04,-342.083,5670.13,81744.3,10406.3,8453.49,2731.45,10.6103
1.71345e+06,1.26994e+06,809546,598650,443427,333899,796816,496529,723402,15751.2,-639.04,88393,55403.5,15039.3,10946.6,3486.65,10.6147
1.44317e+06,902318,959640,609728,459940,254558,1.08409e+06,355648,1.02865e+06,3880.56,953.289,20600.7,29400.8,6589.6,2259.19,2914.59,10.6169
1.67403e+06,1.44124e+06,696914,284735,197075,175284,674589,258014,662139,3111.89,542.469,955217,17924.6,4205.13,2397.71,1355.52,10.6233
2.37986e+06,1.79791e+06,794209,518819,421728,315422,802216,410431,758451,14164.2,-751.545,17550.8,100416,40599.9,18766,5933.65,10.626
2.01968e+06,1.47326e+06,822536,355262,291545,226696,771638,299276,712242,3507.42,-554.385,116283,39304.7,24022.5,8715.02,2015.83,10.6284
1.38865e+06,948582,878354,790707,392310,272595,863501,604103,785337,16122.2,2280.95,235596,51981.5,35670.5,15388.4,4368.37,10.6289
1.18823e+06,818196,871353,662429,606810,433912,839079,500125,794716,16603.9,628.932,45672.8,32751.9,13867.2,16263.2,5375.25,10.6304
2.37826e+06,1.66805e+06,855463,702362,608389,436914,835481,527205,799343,12065.6,-105.63,23543.9,100511,22756.6,20421.7,10775.1,10.6329
1.54471e+06,1.20355e+06,770074,529191,432314,332416,780312,436784,726938,21270.7,-708.914,24993.3,51136.8,11339.3,10753.1,5833.08,10.6347
1.16657e+06,845833,827517,576646,407097,296957,822538,462089,748746,11844.8,-291.487,24867.9,50252.4,20369.7,9345.86,5126.65,10.6356
2.22626e+06,1.8103e+06,737864,369332,254544,206536,739467,307892,719730,8873.57,-178.506,23889.3,53994.9,18899,9443.05,8258.79,10.6476
1.3923e+06,1.02401e+06,815795,511612,417066,320984,779601,431241,711822,12237.3,-815.1,6565.08,32176.7,9742.96,7706.71,3520.33,10.6517
2.3395e+06,1.80372e+06,778223,376160,306340,248824,738692,317198,711530,11793.2,-603.475,14009.9,114094,22353.6,10986.2,5503.17,10.6523
1.19085e+06,855109,835580,647112,498127,361633,826462,503433,771239,15306.9,-267.444,18105.2,68736.8,41917.2,13225.3,3576.44,10.6563
1.80986e+06,1.41166e+06,769245,476818,360623,285569,757694,392718,728489,12819.5,-300.634,13540,75319.5,22010.1,8279.72,5689.92,10.6609
1.66925e+06,1.18335e+06,846367,619282,550716,391475,844062,471203,788555,17528.7,309.972,18443.4,59594.2,29789.6,14433.5,3648.25,10.6681
1.94374e+06,1.52301e+06,765752,463868,311543,228143,819335,357909,777631,22415.9,46.5113,71977.4,71352.6,17148.3,12508.1,4766.98,10.6687
2.1234e+06,1.58633e+06,803138,502668,302964,224624,809255,385696,781966,10070.8,-575.911,55060.5,63821.2,17396,18163.2,4344.13,10.676
2.02391e+06,1.4989e+06,810158,548719,460938,329469,839419,408724,805511,15265.4,-1013.08,212813,73897.8,43471.3,13464,7599.96,10.6771
1.76218e+06,1.22219e+06,865091,1.00773e+06,637088,425566,898223,707969,854048,34324,1202.83,112821,102404,38134.4,22690.5,9249.96,10.6773
1.26076e+06,842000,898405,851634,583429,397053,881639,656158,778746,20601.4,1750.46,19110,49459.4,31808.1,14768.5,5541.96,10.6782
1.81859e+06,1.26766e+06,860762,770484,648706,464867,837279,596195,775401,18470,3037.75,55603.4,43654.7,31612.3,15862.1,6222.53,10.6796
1.51985e+06,1.18415e+06,770099,596424,467649,369045,760312,474151,754727,7137.24,-448.729,41342,38798,16812.2,9771.87,4751.99,10.684
913319,495597,1.10572e+06,530664,354672,227145,936861,384563,827949,19968.4,-1000.72,76392.1,100666,20394.9,14127.4,4150.79,10.6871
