"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.8029e+06,1.36704e+06,791300,296012,145933,114624,763885,253166,701544,4527.07,309.379,22639.8,30958.7,5671.84,7951.11,803.953,10.3617
1.78093e+06,1.32632e+06,805658,621212,533606,390378,820137,491721,758006,15164.6,-654.413,50255.4,81398.4,14846.8,18228.5,2895.9,10.3628
1.38543e+06,1.10768e+06,750446,287690,132174,103330,767489,249456,691961,6170.69,-621.376,13205.9,63280.8,4855.47,5791.75,1128.12,10.3632
1.51836e+06,1.11879e+06,814286,584280,512045,378724,811217,458084,765292,10130.8,-883.726,9081.82,66850.2,24379.5,13348.5,2828.9,10.3694
1.27917e+06,965965,794547,421654,368445,279070,792157,342241,739222,5492.78,-279.667,20221.9,51652.9,13992.9,8203.18,2333.17,10.3748
1.76271e+06,1.53414e+06,689396,257777,137083,110740,742728,221883,697063,5675.76,-169.576,24242.5,33033.5,4847.8,5149.61,1331.49,10.3786
1.75825e+06,1.43689e+06,734192,301899,258728,217141,714912,262273,690653,4448.31,-1361.04,15540.6,139181,16958.1,12000.8,1941.73,10.3789
1.9911e+06,1.5949e+06,749049,373114,327421,251084,782418,303570,737453,8084.74,-1789.89,7714.49,138645,14526.8,8935.02,2976.97,10.3839
2.49255e+06,1.89326e+06,789923,323035,275535,218560,756410,273233,709361,3246.61,333.473,11403.9,66609.6,17981.1,4817.45,2986.06,10.3864
1.4745e+06,1.13106e+06,782188,294188,152533,121165,755330,259369,680546,5527.03,-67.6257,100265,39024.7,14364.1,5234.35,1371.54,10.3875
1.29606e+06,886139,877555,519669,410424,285335,863037,397548,784312,11974.8,-434.527,29776.1,67846.2,29805.3,12732.3,3294.46,10.3909
1.36596e+06,1.02745e+06,797679,706144,442647,330402,803833,563536,751835,7827.46,1436.33,510814,28522.9,19555.9,14496.8,2942.75,10.4004
2.02301e+06,1.56629e+06,774955,576612,478949,364525,788339,473508,730647,13003.4,-1470.27,167937,89026.8,36456,13542.3,3202.45,10.4074
1.40163e+06,994725,845439,614040,405001,297379,817141,499669,737336,11605.8,-867.488,3453.85,89039.3,54876.8,10877.8,1048.13,10.4134
1.55e+06,1.10304e+06,843123,350844,290505,206609,843636,276286,761916,13859.7,917.791,19997.8,47219.2,16376,10968.1,3968.12,10.4161
1.20317e+06,866861,832775,701166,583197,441704,792201,561355,749436,8545.93,-236.405,9498.72,55922.2,24358,16981.8,3050.52,10.4202
1.80583e+06,1.23477e+06,877492,468552,222562,159112,839264,379155,741468,14871.9,-189.559,2462.95,43156.8,49246.8,18523.6,2442.4,10.4291
1.9215e+06,1.62931e+06,707603,235656,176551,160276,660925,219968,642793,2946.02,-657.499,19764,26404.4,8941.45,6584.74,1659.62,10.4373
1.34627e+06,992089,814202,612455,547393,403358,814253,470001,781855,12003.8,-694.725,16562.5,54954,21026.2,13772.5,2657,10.4386
959769,740532,777632,319182,219640,162221,812374,256942,745341,4153.72,-1118.93,34204.5,52935.2,32999.1,3713.07,938.432,10.4426
1.42946e+06,1.10835e+06,773831,390156,331198,266406,745925,338267,692039,11178,-628.998,15943.6,138564,3253.17,8347.73,2324.69,10.4437
1.53075e+06,1.23598e+06,743096,229289,194043,167035,697013,213732,643674,2656.71,-1394.09,63883.4,56335,2590.78,4144.23,1560.85,10.4531
1.18867e+06,913304,780902,230710,148487,107168,831334,185738,745277,3408.23,-102.092,20254.3,55013.2,9941.22,6251.51,771.183,10.4577
1.14105e+06,789018,867699,567135,435524,312662,835774,438782,775513,13375.1,-1774.89,12664.4,199725,19140.8,10877.6,4209.42,10.4613
1.61437e+06,1.25375e+06,772580,492146,347941,278092,750703,439767,671464,4208.88,1252.3,7444.01,52721.7,11092.3,8583.72,2339.31,10.4675
1.34674e+06,1.07278e+06,753226,331932,158152,121068,783786,283951,701386,2645.26,395.504,14973.1,18218.9,6961.75,5292.08,1367.83,10.4718
1.47187e+06,1.03993e+06,849208,723939,499431,360267,831768,578519,750820,10519.5,1013.16,21244.1,56516.8,22926.9,13886.3,2889.06,10.4733
1.25319e+06,836181,899226,454208,243928,173471,843698,340467,800444,5980.91,-1678.38,-376.285,64724.1,35371.6,10586.7,1271.54,10.4871
1.76582e+06,1.28644e+06,823583,557054,449664,335709,803667,447799,746389,9309.88,-1058.54,37932.8,69229.4,17360.4,13093.5,5429.02,10.4955
1.80632e+06,1.50509e+06,720085,314857,227297,200659,679651,287364,657405,3688.98,-1106.12,16785.2,50617.4,10425.2,7339.66,3111.05,10.4981
2.55917e+06,1.86281e+06,824293,584635,522163,403185,777058,486074,721662,8181.98,242.853,80078.2,90736.3,11232.5,12552.4,2222.99,10.4999
1.20155e+06,944741,763099,533441,348268,267404,781441,441659,724687,11074.7,326.436,42427,66376.8,13312,10771.3,2275.61,10.5182
1.96123e+06,1.52258e+06,772855,519683,434560,315515,826381,416317,748972,11412,-1549.81,30305.2,134526,25624.1,12426.8,1494.11,10.5184
1.31766e+06,917201,861963,572048,507896,353530,861985,431130,796114,9803.48,-47.2916,31330.1,48330.4,19829.2,16462.9,3972.62,10.5238
2.03123e+06,1.66181e+06,733380,457750,306315,241635,760607,389585,704981,5249.72,1562.59,9590.43,96279.8,6483.31,9229.7,2104.89,10.5293
1.8513e+06,1.45895e+06,761355,270735,153141,122687,748936,248160,654581,6451.78,-156.819,22997.3,82312.7,6257.16,5262.24,1283.62,10.5295
1.34934e+06,926931,873424,312098,236868,173913,817193,254859,734753,4454.31,-1180.88,-15.7749,107558,4731.6,9433.44,1364.3,10.5326
1.67154e+06,1.35294e+06,741294,230480,202370,171769,706892,206729,668935,3772.02,-1331.06,34723.4,55771.1,6267.53,7689.48,1803.19,10.5448
1.6071e+06,1.22354e+06,788088,433596,381007,297226,769127,350591,742055,11162.1,-2235.23,43823,110020,19079.7,13949.1,2563.49,10.5484
1.54032e+06,1.12038e+06,824896,332644,250826,195223,770892,267278,746736,11153.3,-1191.76,20408.1,100966,12113.4,7560.66,5622.7,10.5603
805694,553793,872919,384493,295391,220485,803839,322192,716019,3141.32,-504.862,72287.5,78619.6,4396.58,4823.89,5519.36,10.5651
1.58159e+06,1.0441e+06,908874,1.02364e+06,650017,440161,886062,722149,850495,17392.9,-473.816,73971.1,75487,45544.8,23848.4,4219.55,10.5678
1.59418e+06,1.3476e+06,709785,587495,499065,456764,655567,536105,657514,6484.04,813.145,107939,65973.8,13041.6,8247.15,4423.47,10.5726
1.78478e+06,1.3013e+06,822921,663901,471098,356497,792878,562433,708245,12253.5,-1170.78,254.388,92536.8,56475,13916.1,1847.87,10.5791
1.33568e+06,1.00472e+06,797645,564830,500599,375613,799651,447512,757294,11460.4,220.678,214.571,119105,31260.5,11796.1,2888.18,10.5841
1.52094e+06,1.00812e+06,905214,704500,487239,321651,908884,521988,809789,9210.53,43.1271,39137.4,116382,19076.9,13923.8,2291.9,10.5924
1.13529e+06,826986,823686,429615,276802,206659,803649,337631,763463,9666.18,-236.705,15337.2,78469.2,17603,13862.3,3967.44,10.5954
