"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
2.14428e+06,1.56013e+06,824655,585400,435076,307249,849623,445265,788833,23459.3,-14.4525,576016,44164.6,19956.2,12283.6,6651.93,12.8677
1.2003e+06,728490,988591,928659,487654,303120,965269,646141,862343,3879.25,3547.44,1.23776e+06,43726.4,18891.6,15772.2,5161.28,12.8685
1.9143e+06,1.35762e+06,846028,546141,412593,284200,871062,397152,825087,26298.8,-188.855,209772,47258,14242.4,18288.9,8061.27,12.8779
2.72576e+06,1.5832e+06,1.03301e+06,1.25978e+06,720155,423634,1.01997e+06,809231,934054,59230,1768.56,534702,86340,41073.7,23250,19670,12.8789
2.18412e+06,1.25129e+06,1.0473e+06,850106,482965,282453,1.02594e+06,545049,935812,50434.4,2857.95,243073,67033.5,48154.6,32281,13758.7,12.8836
1.81087e+06,1.20962e+06,898232,993956,549405,336309,980179,680985,875751,32838.5,2292.73,296537,50250.2,31424.4,21534.2,18569.8,12.888
1.81071e+06,904964,1.20052e+06,1.05906e+06,623542,337683,1.10792e+06,662379,959322,36757.8,2837.99,291115,60458.6,41280.9,28707.3,16732.7,12.8891
1.40767e+06,1.00281e+06,842238,588259,364816,259211,844446,444507,794038,17454.9,1948.35,1.08573e+06,38797.9,17975.2,16261.5,8402.72,12.8897
2.51308e+06,1.71615e+06,878623,721238,496514,316723,940596,504256,858181,68178.4,968.319,215940,75556,22342.5,21160.3,16415.8,12.8911
1.81889e+06,1.20878e+06,902836,820040,499201,329930,907831,580630,847396,24283,1534.6,214908,36026.5,16984.8,16313.4,10905.3,12.915
2.19209e+06,1.47977e+06,888825,507478,327867,220729,891230,356336,854493,41738.4,344.484,252639,49905.5,27861.9,21957.9,11282.8,12.9152
1.85243e+06,1.1723e+06,948103,1.05234e+06,590100,353292,1.00217e+06,672159,939368,63648.1,2956.87,149793,65933.9,50789.9,22570.8,9113.82,12.9229
1.79755e+06,1.12253e+06,960802,776147,564545,350589,966165,513738,906470,26669.7,391.928,241537,46238.5,19395.5,26563.9,15205.3,12.9318
1.55173e+06,1.01806e+06,914525,795786,482121,328599,880321,570902,836346,25479.1,4694.41,1.19302e+06,49234.6,30266.2,16336.7,12459.4,12.9337
1.55893e+06,1.02152e+06,915657,531380,271088,177653,915565,390483,816496,23231.4,1259.82,222114,38127.8,17445.7,19422.8,7416.9,12.9337
