"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.01787e+06,869014,702774,418800,291119,249186,700967,400182,627915,8436.65,-165.454,97174.4,15094.1,14276.2,1829.4,2599.8,9.87735
1.90195e+06,1.28988e+06,884712,692583,454393,305397,892726,495067,839381,29972.5,-560.648,476172,48308.9,24967.8,24345.9,10179.7,9.89957
2.15096e+06,1.34633e+06,958588,879798,633071,383152,991363,611533,863206,49186.4,-605.478,236634,52813.4,24648,22757.2,10361.3,9.90818
1.98954e+06,1.35204e+06,882900,476118,417689,288465,868782,348941,818679,46785.9,-870.999,156954,44981.8,24392.9,18835.7,5589.55,9.92999
2.03107e+06,1.25709e+06,969417,732606,549380,337364,977068,491549,894242,33448.5,891.004,251479,49154.5,26637,25802.8,14389.3,9.93179
1.68546e+06,1.02511e+06,986507,1.07055e+06,683807,433487,946475,706883,908676,27158.7,765.003,560740,48706,26569.3,20696.8,16636.7,9.95693
2.51088e+06,1.53268e+06,982941,856449,645454,435244,889782,632805,812050,26240.5,-580.216,162635,55673.3,48611.8,23745.4,10783.6,9.96818
1.47563e+06,914053,968631,724490,522692,356092,880714,555210,782936,14995,387.952,587156,74699.3,31085.7,14856.4,3751.97,9.9779
2.29391e+06,1.63001e+06,844376,538070,406027,281682,864862,391541,824542,49246,2228.82,545884,51515,28342.4,20959.4,9924.51,9.98887
1.96614e+06,1.32639e+06,889392,931926,771024,507785,911044,676143,826978,15191.7,196.065,621121,44691.8,29582.6,20704.2,9653.87,9.98887
2.17162e+06,1.26415e+06,1.03071e+06,924752,703799,350728,1.20401e+06,469548,1.18167e+06,33461.5,4436.57,658238,56735.5,51391.4,55431.9,17346.3,10.0207
2.91472e+06,1.78642e+06,978956,977834,746654,464261,964958,651980,899875,74920.7,-218.508,552465,80297.9,35102.6,41437.9,15815.8,10.03
1.9703e+06,1.33519e+06,885402,708152,476618,318984,896506,497701,853707,26042.8,-177.768,457990,86194.5,39157.5,26644.2,11946.8,10.0315
2.85443e+06,1.62685e+06,1.05274e+06,1.17836e+06,700394,388603,1.0814e+06,707959,998671,15989,1336.55,983164,24655.7,19194.9,12796.6,6773.52,10.0453
1.53881e+06,987902,934595,948773,499203,325739,919514,693819,820479,21884.8,587.774,344368,38760.7,30266.9,18242.1,14943.3,10.0479
1.42799e+06,1.06422e+06,805088,755861,630747,446719,847173,568995,797049,15499.1,-360.239,365433,49650.8,39301.5,13534.6,5858.9,10.0569
2.15561e+06,1.23487e+06,1.04737e+06,1.41858e+06,1.16931e+06,680131,1.03154e+06,880557,966604,66170.5,520.815,483713,76070.4,32509.5,52054,22153,10.0744
2.22315e+06,1.50303e+06,887465,704906,465021,296171,942066,491411,860672,49627.8,-429.819,415093,66477,38694.3,26950.4,9153.6,10.094
2.38384e+06,1.69571e+06,843484,465670,359631,239532,900835,328613,850246,28134.3,-94.7788,145915,80915.4,43767.1,20914.9,11741.5,10.1055
2.21077e+06,1.37502e+06,964684,1.0359e+06,852609,526769,971138,701413,886130,71008.3,-559.349,83397.7,51149.5,33020.8,23981.7,15011.3,10.1086
1.1285e+06,768561,880997,634442,316757,212750,893322,475932,799831,27691.2,964.161,279620,36156.3,25120.2,16831,3829.27,10.1133
2.21564e+06,1.43296e+06,927719,955260,567792,348559,977382,640054,895480,42866.5,2496.43,466373,69238.4,30443.9,28516.1,12863.9,10.118
1.65518e+06,1.11538e+06,890377,887973,601661,401172,899855,642926,828686,20836,355.759,499246,33992,28163.3,19341,25042.7,10.1482
1.1109e+06,760955,875922,757080,408620,279493,877202,571187,795270,13645.8,1540.55,1.10662e+06,33453,29876.4,14244.1,10533.7,10.1573
1.54895e+06,1.01456e+06,916032,864877,722468,467787,926663,597939,867858,23425.9,2043.18,297905,64603.2,31805.3,24643.3,10292,10.1641
