FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
1.39E+06,1.02E+06,820512,678622,495381,335131,886903,500695,813216,-449.127,32030.5,103053,26204.1,8230.83,17129.9,3386.58,10.7183
1.10E+06,736124,896077,440020,354228,262011,811175,337848,781453,-937.77,7499.93,101543,7317.24,9056.99,10269.9,3857.93,10.7379
1.95E+06,1.67E+06,700124,266817,199955,168608,711551,232960,687199,-681.607,40737.8,101070,9510.32,6088.55,4537.41,1870.61,10.754
1.80E+06,1.34E+06,807462,483755,427328,304990,840673,368452,787764,1201.18,39044.8,75633,22768.6,11458,11374.1,3179.25,10.819
1.94E+06,1.47E+06,792143,452833,286043,224148,765681,383575,708336,1885.72,4790.83,97291.7,20691.8,11848.8,8196.96,3328.18,10.8215
2.66E+06,1.80E+06,887267,713793,597241,398460,899324,526544,813372,-913.51,36779.5,115425,66042.6,10263.6,18972.3,2255.67,10.8271
1.74E+06,1.45E+06,719511,318808,242257,193715,750350,276237,692466,653.703,41322.5,65719,13917.2,4686.22,5737.71,1941.34,10.8396
1.66E+06,1.40E+06,714378,380235,257397,224172,688926,349381,652987,-716.734,27517,65498.7,19170,7885.22,7742.4,1235.31,10.8417
1.19E+06,826108,863490,549371,416053,300429,830918,421088,782787,-1733.36,36583.7,158884,36038.9,13877.9,20188.5,2330.17,10.8517
1.75E+06,1.49E+06,706523,197809,158672,132997,715828,169425,700520,-491.477,21899.2,24713.8,14052.8,3169.5,5412.97,1509.18,10.8552
1.80E+06,1.35E+06,800511,522225,394742,303625,780058,423722,739482,1113.64,17407.8,51937.4,17417.6,6742.05,8715.09,7734.22,10.8616
2.08E+06,1.61E+06,771519,247554,188017,156780,719543,217734,682175,-1469.1,39680.4,121812,14896.9,3933.88,7291.98,3131.83,10.8651
1.41E+06,1.11E+06,760251,697985,551702,456638,724909,587421,712932,2562.69,18739.2,65842.4,21344.8,7426.53,15559,2585.42,10.875
1.80E+06,1.45E+06,743372,304365,195544,153407,764804,260587,700798,288.229,80427.2,101498,10929.7,4654.95,5727.36,2993.34,10.8768
1.61E+06,1.17E+06,821868,716491,600394,431159,835507,548534,783716,-1660.34,137.993,150072,42104.2,16736.4,13404.7,4221.59,10.8853
1.78E+06,1.40E+06,760877,526822,383164,285124,806310,416962,758086,1489.77,601609,46971.7,19354.5,10338.9,14744.4,3148.79,10.8923
2.03E+06,1.64E+06,742658,276702,192352,160361,719698,242973,683291,-2129,19771.5,179595,23397.4,7892.38,10092.8,3181.06,10.8972
1.94E+06,1.45E+06,800602,362997,214781,160954,800656,302298,720476,-789.188,716.321,113540,16099.9,12862.8,13478.9,1604.85,10.8977
1.95E+06,1.47E+06,793988,429768,363744,271147,804901,332916,774552,2314.43,144765,34047.8,16616.5,3280.36,13273.3,1047.71,10.9048
1.63E+06,1.37E+06,713941,418547,302501,254051,714427,359083,699359,286.635,30604.6,85842.9,6316.9,5995.22,6606.11,2640.44,10.9122
1.62E+06,1.17E+06,833455,779320,606570,448944,810662,615063,760234,-1546.63,45758.3,214647,34409.7,19120.9,12396.7,3372.6,10.9129
1.53E+06,1.23E+06,746542,310076,154734,128419,722950,278845,667201,275.085,88782,70101.6,12604,4337.07,6331.94,2077.95,10.9181
1.95E+06,1.51E+06,775980,272984,218948,176115,745926,237513,689605,-862.719,16127.7,118147,9165.22,3400.9,5908.92,4088.29,10.9225
858933,550095,936856,634405,456457,308757,887022,469365,810974,207.855,23839.8,85256.3,27951.8,8582.2,17150.5,3072.23,10.9241
2.06E+06,1.64E+06,753816,284035,244301,197720,741355,256085,665487,-707.13,10813.1,175110,5035.77,8113.27,4412.82,2593.94,10.9251
880871,560362,943181,612747,486540,319271,914345,442263,831288,-1234.97,6852.9,107593,29998.2,13048.7,19077.9,2609.16,10.9362
1.81E+06,1.50E+06,723626,400449,294694,236164,748702,335959,715175,-339.714,3416.99,70888.2,14291.5,7657.59,8898.24,2289.74,10.9442
2.00E+06,1.73E+06,692564,272711,172458,141456,731496,232247,704537,974.983,14020.2,38623.1,8578.4,3697.89,4341.09,1053.97,10.9472
1.64E+06,1.11E+06,889759,644922,551835,386383,856924,484997,797847,-168.373,8764.03,89889.3,26575.6,16908.6,23107.2,4086.84,10.948
2.64E+06,1.79E+06,885756,589139,486667,351253,831310,465875,758752,-507.286,8466.12,219739,39995.8,22410.6,13210.5,7729.21,10.9486
2.12E+06,1.62E+06,787383,517654,323296,225214,861304,389312,797798,787.475,12442.4,76417.6,20383.3,18297.4,18248,4370.49,10.9514
