"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
2.14231e+06,1.43874e+06,893413,813373,579789,394049,882817,579232,842536,28696.9,1277.96,576891,77707.7,36152.6,17538.9,13287.6,10.8789
2.37451e+06,1.50967e+06,943719,863397,672846,405744,994982,594143,871909,23988.7,1493.84,556011,70494.2,14380.2,14553.9,15204.9,10.8899
2.33456e+06,1.51326e+06,925642,786808,506920,341749,889987,583197,809477,27247.2,3265.78,280239,63658.6,28444,10377.5,9135,10.89
2.91933e+06,1.9845e+06,882640,528358,449892,296265,911127,367449,862745,23581.7,437.847,231924,60964.8,12188.4,12857.7,15217.7,10.9193
2.15325e+06,1.52407e+06,847698,507554,376738,260246,868574,357162,852646,21328.8,813.766,648127,41906.8,9766.21,7807.51,12019,10.963
2.96585e+06,2.02984e+06,876678,517063,400952,232422,1.03506e+06,321230,965782,34065.2,842.425,278176,53640.6,19409,9369.8,13001.7,10.9717
2.47549e+06,1.45243e+06,1.02262e+06,712196,569413,364665,936882,484795,881440,20079.5,3199.51,293646,51013.8,23476.2,13821.9,14453,10.9801
2.56092e+06,1.67052e+06,919804,632310,491821,312558,944122,447309,848152,32950.2,1177.09,349129,85786.6,22943.6,13982.2,14953.5,10.9973
1.78605e+06,1.37596e+06,778825,426681,230950,176472,785225,345666,740625,15636.3,1491.92,703155,38227.8,12000.2,7477.33,3907.28,11.0054
3.12919e+06,2.03912e+06,920746,696832,539163,345760,935614,464659,899798,31344.7,3732.15,358615,66923.3,25540.8,10630,11257.6,11.0071
2.03011e+06,1.49626e+06,814073,587856,370598,281523,789843,474136,743908,11119.6,1088.56,1.34842e+06,43546.5,20760.4,14059,6881.76,11.0192
1.78737e+06,1.39943e+06,766328,508936,250022,183600,817066,416078,733905,11683.3,1883.01,1.51618e+06,19119.8,8267.3,6239.62,5188.92,11.0385
3.14821e+06,2.18634e+06,863969,578688,406913,263971,924903,415595,835459,31715.7,2384.09,252969,48334.9,20412.6,10998.2,12467.5,11.0447
2.99581e+06,2.01302e+06,892932,708512,580935,401740,867628,519410,818442,30954.2,-817.409,276862,66699.5,18541,8638.51,14183.7,11.0556
2.53625e+06,1.90219e+06,799999,492616,361199,262794,824675,389409,759020,21589.4,-265.4,460506,63250.8,15051.7,8889.1,7076.55,11.0641
2.86222e+06,1.86126e+06,922672,592309,393800,247128,956103,397114,894920,28574,1599.34,357663,61291.4,23915,10983.4,10553.4,11.0653
2.79331e+06,1.91441e+06,875460,1.0326e+06,849423,630560,808256,773185,801309,16830.8,2267.81,1.00179e+06,60159.8,18293.1,12801.5,15352,11.0717
3.17025e+06,1.87893e+06,1.01236e+06,1.14475e+06,803189,477764,1.00869e+06,763648,899435,35228.3,4487.79,323655,86550.2,22520.2,13616.4,15498.3,11.0759
2.59482e+06,1.83269e+06,849511,588190,518390,372588,834793,449602,784947,24065.1,532.607,531809,48922.6,10805.4,11193,9692.74,11.0816
3.11067e+06,1.99892e+06,933705,822917,669393,443158,906303,600607,822086,48234.8,-629.473,580178,75019.6,16949.4,13014,11913.9,11.0853
2.05063e+06,1.21477e+06,1.01284e+06,1.04408e+06,834731,480272,1.04282e+06,646031,969689,48263.9,-448.71,485886,135609,31247.8,22746,15135.7,11.0872
3.17232e+06,1.88643e+06,1.00899e+06,1.03635e+06,797118,453311,1.05506e+06,661136,940516,42684.2,643.597,430253,78586.6,22701.7,18331.8,18043.1,11.0989
2.97436e+06,2.24386e+06,795330,548782,398053,264042,904522,377883,871352,38081.5,1144.05,333310,53305.5,13426.5,7327.76,14529.8,11.1122
3.08827e+06,2.02723e+06,914036,716268,516357,340586,909651,537882,798987,16974.7,1293.97,239078,51918.1,23150.3,6763.47,13566,11.1142
1.96774e+06,1.39224e+06,848018,548286,378763,271718,836374,430142,764798,15390.9,1536.01,1.11549e+06,69823.5,11103.7,15241.7,10069.1,11.1167
3.12923e+06,1.92846e+06,973591,884797,472831,265284,1.06941e+06,561099,946140,35328.4,3880.82,574388,41726.3,35889.4,11462.1,16331.8,11.1213
2.61773e+06,1.77052e+06,887109,704929,395360,249645,950214,486469,869444,26537.3,2702.08,348681,47073,21343.9,12627.9,10349.1,11.1408
2.78461e+06,1.79477e+06,930907,908679,584571,330651,1.06076e+06,559665,974168,31626.1,2264.05,589771,104816,17499.2,17308.2,16161.2,11.1489
3.2506e+06,2.0564e+06,948434,1.05792e+06,680823,387063,1.05537e+06,656439,966962,25699.4,2882.86,279586,70427.8,30645.3,19281.2,25725.1,11.1489
2.21791e+06,1.31481e+06,1.01212e+06,863132,797398,513794,931188,570648,907528,32630.9,93.055,613882,65832.8,14770.9,13348.4,13233.8,11.1597
1.60732e+06,1.23368e+06,781719,480568,253124,189906,799733,389456,740368,6111.65,1661.27,621980,26652,5105.9,5698.09,4522.01,11.1626
3.28253e+06,2.20934e+06,891450,753035,633208,438818,865791,552697,817484,29743,696.51,1.06792e+06,97714.5,12805,13922.7,13511.3,11.1721
2.19881e+06,1.41562e+06,931954,762289,675321,435230,930985,509544,897613,22461,1097.39,663179,73115.2,21025.4,13394.2,13625.9,11.1752
2.78462e+06,1.89251e+06,882833,507874,431046,301116,858896,375893,810668,19119.8,905.433,243779,53785.3,25560.8,9035.62,10763.3,11.1808
2.67935e+06,1.75601e+06,915491,766100,676092,434010,934668,500758,917928,29297.6,1053.8,306726,69300.2,19977.6,12055.6,10778.1,11.1835
3.19976e+06,1.90489e+06,1.00786e+06,826607,569547,363855,939187,578884,856759,29520.4,2959.9,286705,57814.3,33080.2,16163,17391.6,11.2117
2.3192e+06,1.63143e+06,852943,645356,567475,389407,874368,475460,814398,13232,1230.45,656682,49291,12777,8172.19,8047.01,11.2343
2.92286e+06,1.86992e+06,937857,737950,550228,335270,984690,471781,938507,24028.7,1081.08,434021,84686,23943.1,23701.5,12637.8,11.2369
2.84123e+06,1.64328e+06,1.0374e+06,949760,737932,428638,1.03294e+06,599932,949868,63665.9,842.466,594912,96471.2,41249.8,21050,15783.8,11.2626
3.00576e+06,1.97797e+06,911770,947401,833982,545955,916540,690618,823090,20082.8,755.018,594617,74437.4,20434.2,11309,13078,11.2733
2.40721e+06,1.77139e+06,815361,570812,349555,237179,884281,438837,780443,17492.8,1280.64,336001,57808.2,15820.7,8682.52,6057.08,11.2825
1.89739e+06,1.36779e+06,832320,553983,474645,330508,861664,417947,795292,22016.7,297.916,275658,48605.8,12935.8,8050.63,8875.06,11.2936
2.39745e+06,1.89971e+06,757205,554895,312754,224593,835523,439691,757207,9597.74,2675.05,1.23127e+06,34002.1,9488.05,5324.98,6859.86,11.3148
1.65151e+06,1.39544e+06,710104,321060,253159,213076,712868,287762,669427,2643.09,818.52,2.06974e+06,37010.3,3171.03,2714.54,2179.85,11.3157
2.36343e+06,1.72922e+06,820059,667609,431605,288352,898080,494925,809345,23504.3,2422.34,1.41615e+06,54262.5,13278,9372.67,8628.71,11.3183
3.25942e+06,2.02843e+06,964119,847374,510649,317451,965155,582451,872905,36980.1,1508.01,1.31159e+06,107035,20017.4,16631.1,10472.9,11.328
2.92476e+06,2.06897e+06,848176,581116,495434,331895,895645,409056,852377,27412,1172.96,272784,45544.3,18718.6,6597.29,15514.5,11.3324
2.96747e+06,1.96911e+06,904206,627113,408918,258401,949497,453505,829689,18490.6,2033.36,739870,30300.5,27271.2,6850.27,8665.83,11.3415
2.12907e+06,1.75212e+06,729083,415983,341955,275127,745738,360291,692745,4707.43,273.149,1.90989e+06,28093.9,9889.09,1988.57,3743.52,11.3503
2.11067e+06,1.61045e+06,786364,561181,415693,340079,733406,485894,692967,4680.58,671.981,1.44679e+06,33748.3,29123.9,4161.32,12858.1,11.3511
2.12492e+06,1.63511e+06,779734,505289,334541,253027,793293,418772,723958,15696.6,1705.5,928336,60508.7,14117.8,9591.23,4754.49,11.3583
2.4146e+06,1.7433e+06,831046,654062,518238,361243,860758,471434,832433,19265.4,1224.11,926367,64872.6,13516.1,12070,11894.7,11.3598
2.57875e+06,1.87367e+06,825786,519228,336503,226799,890224,364826,853933,27359.9,804.611,246288,47768.3,14467.5,8988,12587,11.3758
2.95479e+06,2.06453e+06,858730,676348,469104,300695,936039,467444,868144,39067,596.149,494982,69394.6,16562.8,13730.8,15712.9,11.3908
2.38972e+06,1.55e+06,925055,1.08208e+06,600012,406500,885627,758414,856062,28645.3,1791.88,625380,63120.2,22825.5,12992.2,14607.3,11.3926
2.85832e+06,1.93231e+06,887533,517350,414261,271820,914416,357470,868352,20815.1,1749.85,199012,47106.8,29161.8,9175.18,12480.8,11.4105
2.83546e+06,2.04294e+06,832760,616442,425233,285119,894854,450285,821403,36421.5,513.714,301303,44107.6,9417.5,6904.39,12810,11.4205
3.08622e+06,1.97901e+06,935687,629246,461177,294625,939181,447747,843217,35439.3,1374.84,290709,55987.3,16970.4,13199.4,8202.48,11.4262
2.68352e+06,1.8214e+06,884001,764060,652097,426121,918186,527743,868672,19166.7,759.506,263345,78128.6,18361.6,12517.7,12523.5,11.4398
3.23217e+06,2.2449e+06,863871,557099,483464,308852,939214,387237,863190,22835.7,2495.25,414618,59935.7,27292.2,5249.13,14158.5,11.4528
2.21915e+06,1.47952e+06,899949,632480,495349,334083,889627,458347,827950,24487.8,1005.43,339872,61851.5,13695.4,11490.1,12138.3,11.4554
2.42632e+06,1.66222e+06,875812,736100,460265,288202,958213,511555,863368,24440.3,2593.43,380088,57865.7,17470.5,14133.1,13578.4,11.458
3.103e+06,2.22315e+06,837463,559797,468310,324203,866697,398230,843428,19168.7,1328.53,238684,53847.7,23814.8,8793.94,10651.2,11.4627
2.64166e+06,1.64841e+06,961531,758756,565871,339639,999658,507440,897158,36054.1,915.407,389580,82425.7,17551.3,12619.8,18966.2,11.4941
2.11083e+06,1.58903e+06,797026,486094,325686,234897,831904,368311,791875,10775.5,2080.91,914856,64792.8,12508.2,11899.9,5436.37,11.5075
2.99609e+06,1.90166e+06,945310,699038,481518,309375,933853,468282,895663,28638.7,1151.62,299030,70610.4,19013.5,15835.4,17478.5,11.5181
3.14328e+06,2.02082e+06,933268,728762,530727,293648,1.08442e+06,432225,1.01164e+06,39993,2313.15,351222,66144.9,26116.9,19127.3,23873.9,11.5182
2.61167e+06,1.95611e+06,801080,686519,591086,426177,832170,521047,790545,16997.7,2722.69,211564,38143.4,13922.9,9219.28,7018.64,11.5209
2.15054e+06,1.7666e+06,730400,410116,283894,232214,733533,356262,690699,12519.8,592.023,887505,54459.9,9775.22,7558.4,5045.66,11.5393
2.27247e+06,1.44508e+06,943537,837902,726912,503021,867056,604876,831148,22588.1,4209.92,256313,54195.8,14623.2,12823.1,11840,11.5664
2.04298e+06,1.4742e+06,831493,661763,560324,398635,843363,498182,797013,13404.5,1111.3,409448,48417.3,39326.4,7417.35,15566.1,11.5744
2.6002e+06,1.68293e+06,927024,646566,530812,337582,943437,439952,881778,18022.2,1601.19,284960,60960.5,22146.4,21119.4,12129.1,11.5843
