FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
1.63E+06,1.19E+06,821048,567689,427846,321036,799623,434124,784600,48.2914,74427.6,41429.6,8110.82,10926.7,6418.25,6254.08,10.9463
1.66E+06,1.23E+06,807364,441205,345527,263818,785830,356635,742280,-1013.7,31220.6,52902.7,18619.8,11650,6549.15,2995.96,11.0002
1.91E+06,1.56E+06,735030,291877,215769,170898,757536,249444,702065,498.826,1.32E+06,61387.6,6835.33,9106.24,7033.06,2284.53,11.002
1.02E+06,692816,887535,631236,423418,298049,852378,472612,801379,-277.642,102892,62625.5,25579.1,10203.9,9425.53,5127.89,11.0149
2.37E+06,1.74E+06,816113,550246,336602,250041,807712,436660,756074,-1393.69,31736.7,105103,41460.2,13716.2,10834.4,5119.81,11.0188
1.79E+06,1.09E+06,990424,619455,442421,292107,908751,441253,842313,-725.814,116346,158084,28409.1,6766.05,10518,6419.7,11.0205
2.04E+06,1.40E+06,873759,665521,448650,304861,882993,491434,812546,507.906,81878.4,91516.9,53802.6,10980.6,9562.63,5797.89,11.0408
1.95E+06,1.40E+06,834798,868258,539763,375137,863306,641032,812682,-75.7177,280578,59959.9,29405.4,18123.5,11124.6,6051.22,11.0625
1.45E+06,1.06E+06,820553,540829,347438,238047,875722,410660,790185,2419.91,1.16E+06,48317.5,12551.7,9160.29,10973,4366.67,11.0775
2.16E+06,1.53E+06,847180,619901,446261,297789,899150,449247,827920,-894.338,26549.6,53266.3,15594.2,13368.3,7317.22,4873.34,11.0783
1.68E+06,1.13E+06,892456,647736,495252,338777,877130,459382,846010,-841.893,57247.2,82114.2,32774.6,11852.5,10539.4,8169.69,11.0928
1.09E+06,779294,838617,628869,516878,386574,802244,497567,758333,-832.871,61428.2,60454.7,20174.3,13938.2,5805.75,5196.7,11.0985
1.63E+06,1.20E+06,815888,485206,263786,176608,896175,349037,834077,-516.13,63254.7,44998,32131.7,13448.4,7230.23,5733.92,11.0986
