"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.88904e+06,1.47345e+06,769234,428995,296404,223906,794273,350907,733520,4040.99,-82.6241,148306,42396,20444,7906.11,1434.09,31.1924
2.39608e+06,1.76796e+06,813171,434553,338127,264794,766166,352349,739981,7948.73,-129.973,17674,155908,30716.1,10913.5,10192,31.1964
2.08936e+06,1.55639e+06,805466,468499,415069,295932,841550,359393,782150,12136.8,317.038,88655.1,65388.2,7840.15,15415.9,3402.39,31.225
2.22343e+06,1.6412e+06,812852,453422,278514,213441,782925,376828,721957,11891.1,525.43,32754.1,109386,23787.2,12505.7,7186.22,31.2278
1.94906e+06,1.51995e+06,769394,288882,168617,131800,767603,242584,714512,4098.47,130.965,65008.9,46474.1,14425.4,6230.73,1637.78,31.2618
1.75328e+06,1.31472e+06,800149,463014,376717,290706,777521,391538,709531,6480.59,867.855,40161.9,71279.1,10501,8935.3,2762.25,31.2677
1.54422e+06,1.15862e+06,799689,477417,299991,220645,815766,387298,739612,17940.9,239.578,27035.3,71575.7,21424.5,9250.97,2227.36,31.276
2.2502e+06,1.69596e+06,796078,385657,331940,234618,848888,295181,783907,11756.9,113.27,7978.83,54404.9,9610.42,9474.46,3314.52,31.2962
1.75129e+06,1.39838e+06,751422,606885,466553,359453,778771,496256,733757,10810.8,-1008.31,22021.3,61127.3,20211.5,15226.9,5153.83,31.2979
1.74118e+06,1.28313e+06,814188,540437,466857,351095,797830,449365,721600,10536.3,1728.76,14908.9,41883.8,14695.9,10547.9,6780.24,31.324
1.39738e+06,1.03478e+06,810246,621808,516053,393013,787842,516143,722833,17658.1,-229.923,9529.98,62402.2,35785.7,13638.6,7561.81,31.3254
1.11324e+06,772358,864810,468076,351230,248993,846361,363147,773367,10453.8,-1293.65,86081.5,49558.7,31478.8,13345.8,3031.79,31.3572
2.33987e+06,1.81942e+06,771630,507027,387631,309343,751846,436896,696313,9338.9,-1365.84,21336.9,121473,17902.2,9165.36,9778.16,31.3592
1.42965e+06,996052,861192,586446,488184,360842,811741,475335,740252,10430.9,1070.07,10587.5,58087.6,19635.3,12653.7,2415.52,31.3869
1.58081e+06,1.10810e+06,855955,814846,668132,479803,835508,644773,758263,19558.4,2947.38,95558.6,91126.2,15749.8,15795.4,6845.58,31.3919
831533,565462,882322,569713,507508,378072,805414,456334,749074,10290.4,-52.1833,21532.8,48407.1,27409.1,13384,4229.55,31.3977
1.57976e+06,1.17641e+06,805719,468912,368218,257832,856878,363843,773266,8743.71,-234.062,51552.6,55340.3,12933,17907.4,4155.67,31.3995
1.21842e+06,872945,837456,492599,378620,298605,760778,398308,742037,8040.96,1079.74,20929.1,36893.1,10326.4,15448.1,1960.13,31.4117
1.76764e+06,1.33985e+06,791571,583355,421385,304735,829676,458275,763762,10890.9,1509.77,109642,62596.4,15727.1,15857.8,3216.58,31.4206
1.83276e+06,1.46411e+06,751071,439468,339627,262241,777058,352563,747897,15447,-1059.21,9132.99,71406.3,16580.7,17133.3,2536.89,31.4321
