"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.87835e+06,1.25598e+06,897318,396229,322823,229885,842569,311345,763582,8109.38,-895.304,48731.3,121686,20024.2,11044.5,3548.11,17.0157
1.94801e+06,1.39229e+06,839487,599294,405237,275876,881346,444457,809024,15218.3,1405.75,14988.8,38806.6,33783.5,18337.8,8993.48,17.045
1.33113e+06,984618,811152,360001,274686,214904,766908,306145,705550,2607.59,-361.813,50877.8,51930.6,13102.6,5449.21,1636.78,17.1133
1.54423e+06,1.13185e+06,818603,558473,419878,317656,793080,466409,718434,8587.81,36.5149,55926.2,35073.5,26905.7,14435.4,3012.24,17.1474
2.37698e+06,1.46292e+06,974890,748598,527267,341877,925363,532647,843258,10005.1,589.61,31685.4,109610,72920.5,29710,9585.15,17.2224
2.09389e+06,1.64544e+06,763524,427534,370452,268382,828190,338125,758655,13294.4,805.484,19447.7,50615,6791.8,14340.8,2563.06,17.2235
1.32347e+06,828284,958711,397474,338818,204348,994826,262141,909756,10493.5,-262.271,14061,54344.1,12766.1,15268.1,4021.41,17.2498
2.36737e+06,1.77298e+06,801152,534981,345438,259211,799591,429224,747834,7937.95,-383.696,9578.51,251920,5678.6,11539.5,9682.34,17.3554
1.09133e+06,826745,792016,601103,426847,328540,779535,499369,722235,13724.2,1045.05,154778,51682.6,20126.6,17695,3209.38,17.3838
811900,549490,886531,664406,479041,345100,832873,521624,764235,10609.2,753.388,103077,92708.2,34626.5,18104.7,4067.81,17.4002
1.91764e+06,1.45834e+06,788965,527219,341305,263432,777365,443243,713674,13278.5,1585.34,31451.9,50952.2,11452.7,10065.7,2762.29,17.4986
1.52289e+06,1.14821e+06,795788,513662,372054,284501,784646,427676,720632,11331.8,-308.879,101266,91733.4,19771.7,10013.7,4559.61,17.5081
2.0023e+06,1.52171e+06,789493,533905,425380,329187,775328,449988,711892,13833.9,2774.4,31168.4,54132,13846.4,8392.49,3971.66,17.5135
