FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
2.16E+06,1.54E+06,841122,657747,421116,293938,859602,502271,785727,168.319,109709,361932,57682.9,13747.8,33218.1,4783.63,17.6738
1.60E+06,1.23E+06,781527,457777,261657,205185,765136,383571,716076,999.854,670939,43165.1,15026.5,12771.5,11809.5,3427.97,17.6888
1.58E+06,1.22E+06,781365,355144,188172,144077,783631,299313,711918,1368.44,27607.4,30328.2,9369.63,6240.3,9010.22,2236.68,17.6934
1.52E+06,1.19E+06,766075,506141,312340,245652,762884,432214,702625,1805.58,18386.1,108007,12952.2,4864.63,12074.5,5187.16,17.6953
1.67E+06,1.34E+06,745636,283283,198010,156663,758355,237818,714706,-671.322,15438.5,36738.2,8790.65,7589.39,10087.1,2309.51,17.6971
2.29E+06,1.56E+06,880357,912070,672419,444929,906777,643544,850357,1477.69,25578.5,86090.1,25904.2,20026.8,29303,5041.81,17.7002
1.37E+06,969923,848278,460112,238784,176973,809560,361068,764585,1287.59,13425.9,36681.3,13375.1,12082.2,15424.7,1926.75,17.7104
1.88E+06,1.38E+06,816569,584697,357130,248176,863412,435002,806474,-622.72,19393.2,47049.7,13869.3,12236.9,15051.8,2495.51,17.7105
2.14E+06,1.67E+06,769407,455840,288502,216187,800700,364711,749919,22.5648,22932.7,73887.5,21728.1,14843.6,18306,3868.4,17.7179
1.34E+06,987915,814429,719952,399479,281411,851735,565076,764448,-214.54,147496,71079.5,20231.6,10612.1,16974.8,3911.28,17.7204
2.00E+06,1.49E+06,806208,471140,357458,271209,790810,380232,743452,-2583.11,102205,162603,42680.6,4681.36,21230,2503.85,17.7286
1.01E+06,730405,833460,594239,305710,214671,854452,477487,746708,275.162,30773.8,54245.4,36251,8801,9990.5,6703.35,17.734
1.81E+06,1.28E+06,847595,768670,511140,364416,841576,601375,766913,1579.5,27906.5,43639.4,34880.9,9834.3,18665.4,4088.24,17.7385
2.46E+06,1.74E+06,847724,689017,480904,337272,855518,494983,835201,156.982,61421.9,68286.1,33053.9,16288.3,22834.5,6924.02,17.7408
1.89E+06,1.39E+06,819194,527145,424809,305785,833545,400299,790127,-378.331,7332.56,69554.9,19928.8,24290.4,19278.8,3015.99,17.741
1.56E+06,1.20E+06,782215,529535,413983,309221,803276,430269,738424,621.044,81393.7,27673.8,35887.6,11040.8,11592.4,2550.79,17.743
1.99E+06,1.54E+06,777110,448612,302207,216753,836547,343208,784268,-51.217,10389,54170.1,10272.8,17791.5,25322.4,3169.34,17.7433
2.34E+06,1.71E+06,821153,372678,257605,191532,806983,313759,712672,-2083.29,89287.3,103396,46697.6,8883.92,26118,2990.3,17.7453
1.18E+06,820416,866091,543502,394183,286988,824110,431607,755551,-1389.76,26175.5,118019,30198,7763.84,18418.3,4496.65,17.7473
1.93E+06,1.46E+06,790412,395303,334292,255448,785191,319012,743489,-5.73273,23136.1,35448.1,13686.5,14134.8,10741.6,2602.52,17.7482
1.77E+06,1.19E+06,889726,758660,429114,306374,840372,591208,769942,-421.9,18975.3,62096.9,22685.1,13896.8,10045.4,3444.99,17.7508
1.79E+06,1.41E+06,760586,464237,288698,204731,846081,358380,777226,-1623.18,22202.4,72457.8,24441,10672.6,18694.9,3978.27,17.7525
1.84E+06,1.45E+06,765985,397748,300956,244732,737841,341977,697850,-1411.87,16410.7,150071,25423.7,15015.9,12771,3305.2,17.7567
1.26E+06,944718,802093,802633,634019,439212,866123,589268,817251,1056.41,102438,75859.4,29852.2,14745.4,21007.8,6477.84,17.7614
1.27E+06,871580,877266,668293,359396,245812,877247,500812,800651,1215.75,12884.2,54015.5,24879,13793.5,17728.7,1954.34,17.7688
1.19E+06,891223,797974,351762,227799,183542,744675,300680,701932,-718.659,26660.6,6846.74,4755,2259.36,1589.01,1531.47,17.7753
1.88E+06,1.37E+06,822989,698995,512759,382383,804574,577511,726215,433.739,44598.1,72323.7,25150,16341.9,18368.6,4248.03,17.7826
1.17E+06,795255,881986,519069,301177,188131,960533,369282,843371,1315,52265,51509.6,12173.1,10418.8,13633.4,3902.53,17.7838
2.00E+06,1.64E+06,731931,316243,230698,189173,731705,281097,675019,-956.298,28554.9,71768.4,7008.23,7067.49,9393.45,1673.43,17.7854
2.40E+06,1.68E+06,857607,719709,711227,544602,783575,575565,750264,-53.4028,28001.9,56560.7,34907.9,12239.1,17695,6232.98,17.7869
1.84E+06,1.33E+06,830791,656546,406014,313218,777759,550316,715820,287.757,24200.3,51356,16686,7418.74,9779.36,2637.7,17.7894
2.37E+06,1.67E+06,854383,684825,462060,312184,888054,508384,808237,-217.783,23520.2,97303.2,27053.6,16181.9,19804.9,4631.12,17.7909
1.87E+06,1.31E+06,856190,693746,610667,436435,839530,538035,773644,1173.46,49407.7,100296,32870.5,12441.1,19189.8,4611.46,17.7939
1.31E+06,1.03E+06,761827,332034,271789,207900,784383,286462,695452,54.6404,190807,34166.9,14180.3,4402.7,9528.35,1815.25,17.7943
1.98E+06,1.33E+06,894321,604899,340387,221190,923335,453936,799538,-577.13,1954.98,70711.7,58092.4,19983.1,36426.2,3348.29,17.7949
1.40E+06,1.02E+06,820380,485166,275260,204414,807948,396440,734284,278.857,123403,36530.3,18729.9,10542.2,12674.2,2203.83,17.7998
2.31E+06,1.68E+06,826619,425032,374709,288411,779530,357654,713034,-1429.14,3916.16,98644.2,22322.8,7628.57,29694.7,3891.86,17.8002
2.55E+06,1.93E+06,791231,455496,312128,254179,736791,399077,684824,224,52884.2,71780.4,13006.2,5742.39,9477.52,4194.24,17.801
2.12E+06,1.33E+06,959696,580667,365675,254496,862116,439465,792783,235.19,38992.9,259842,33890.3,7281.88,19577,6375.92,17.8067
1.38E+06,1.01E+06,818048,568714,335197,246766,815016,444370,767893,2205.43,121761,25968.5,10465.8,5897.76,6926.99,4453.38,17.807
1.69E+06,1.31E+06,772673,505932,346483,244980,848598,384771,788934,-905.628,46827,86215.6,17818.1,16518.5,20638.5,4199.87,17.8084
1.67E+06,1.31E+06,767963,429467,283081,214684,791157,359877,716023,-494.393,119397,64128.4,18823.9,13834.7,14433.1,2775,17.8116
1.23E+06,862221,855287,665490,372172,257588,866900,497055,803319,287.223,96129.4,96401.9,50449.2,12777.1,16925.2,5560.68,17.8118
1.83E+06,1.36E+06,810622,584057,390716,280718,835108,465372,753020,2868.33,83242.2,73863,25981.6,14070.1,17925.7,3633.18,17.8144
2.52E+06,1.50E+06,1.01E+06,1.09E+06,787947,475666,993908,714930,912903,1283.68,390001,151921,72568.6,24753.3,65293.8,7309.32,17.8192
1.34E+06,973569,825295,580363,442424,320178,829085,476600,730629,-1501.63,26629.2,48488.2,29569.8,9341.02,17780.9,2332.95,17.8194
1.01E+06,698719,863536,597134,387379,257323,903252,446077,803181,-1373.14,42526.2,51305.1,23094.9,13179.9,13342.7,3177.08,17.8315
1.42E+06,1.02E+06,835927,737431,430297,314017,822178,600450,736878,69.2286,32852.8,59271.3,26190.2,12423,14507.7,4608.54,17.8478
2.16E+06,1.38E+06,941769,658295,469157,311120,904777,475682,830339,346.784,3660.1,86328.4,23752,19548.2,34152.7,4037.52,17.8505
1.34E+06,1.02E+06,788123,428534,237506,186084,765803,360707,712823,123.134,91329.9,32126.9,11411.9,9968.86,9039.51,2049.14,17.851
1.87E+06,1.39E+06,804759,571066,403548,292735,827127,435487,786796,-572.416,14501.9,57136.9,17013.1,19685.9,18533,7596.88,17.8674
2.39E+06,1.90E+06,753667,323684,247261,207018,716637,277762,699196,-1172.12,62905.3,122646,23633.4,6207.19,15843.4,3111.85,17.8769
1.71E+06,1.26E+06,811794,596992,445917,345014,775476,477749,749756,-706.918,26613.8,45107.3,53570.9,15126.2,12968.3,5225.67,17.8815
1.74E+06,1.41E+06,739285,375567,253296,191374,794138,302506,744911,-945.423,23982.5,45490.1,10252.9,11030.4,12347.1,3371.06,17.8839
1.39E+06,1.03E+06,813272,571476,329989,236068,838714,445820,769113,750.064,5026.92,139615,27462.8,14300.8,14485.5,6690.24,17.8849
2.11E+06,1.63E+06,779327,455663,335976,261374,771255,371324,736279,-172.33,13820.2,54396.1,15918.2,15237.5,11571.3,3783.24,17.8859
1.77E+06,1.29E+06,825524,606459,431684,310011,835488,455698,798501,-37.8469,60317.6,54927.6,12739.8,14119.9,14765,5956.87,17.8869
2.18E+06,1.69E+06,774239,328083,238983,194978,735417,273101,720795,-818.209,29097,103445,18214.3,8277.71,12898.9,6613.74,17.8869
1.99E+06,1.57E+06,760468,435628,320925,258383,745230,365696,714739,414.395,81037.2,53264.2,9118.09,3396.03,12167.1,2370.33,17.887
1.36E+06,988297,828294,649945,476909,342871,834557,510700,763593,145.316,29074.7,60683.8,36941.3,12903.6,15267,4993.02,17.8872
1.63E+06,1.18E+06,829059,566295,510072,379553,806326,433398,783984,-1166.61,315607,58883.4,23408.1,13329.1,20181.8,4171.67,17.8939
1.88E+06,1.48E+06,761194,417341,274058,200000,822173,325541,769196,-996.29,12926.9,43104.6,22445.8,17376.6,15320.5,4126.75,17.9004
2.47E+06,1.91E+06,775478,375700,308413,239167,773719,303586,742524,78.3909,39063.4,103330,12066,6038.21,13653.5,3109.53,17.9097
1.33E+06,1.00E+06,799182,447232,257992,190691,811758,345413,776865,-972.965,36528.5,53941.6,14745.3,3431.8,8229.63,3807.56,17.9157
1.79E+06,1.43E+06,750725,434584,320706,263867,729244,358141,728067,-132.214,51520.7,56287.6,10397.9,8476.03,14005.2,1356.68,17.9187
1.82E+06,1.34E+06,813297,748011,460045,307917,896434,550935,814627,-554.021,49083.2,78681,26468.2,22760.5,21259.2,4204.67,17.9255
2.02E+06,1.54E+06,784218,532680,339462,250322,813660,423376,754903,1943.9,102129,52859.7,11936.2,10243.3,15721.8,2799.76,17.9261
1.37E+06,1.02E+06,804329,589351,297644,214119,834052,476770,741679,1175.67,22051.7,38888.6,14480.1,9333.45,10495.5,2974.26,17.9264
