"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.36425e+06,1.0591e+06,772873,534581,381871,292666,782880,440323,728439,7673.86,1266.81,43440,57616.2,18662.1,10494.3,2192.84,11.623
1.4155e+06,997199,851688,820508,425682,296317,861946,635031,775245,9551.88,1110.7,98831.7,46886.2,30518.8,13535.2,2490.74,11.6284
1.06655e+06,705228,907412,561137,403859,301766,802990,447372,752577,11136.6,-257.222,9307.12,92882.1,20183.6,10097,2988.23,11.6294
1.0661e+06,787157,812621,349741,284947,212707,803773,292131,718323,6344.86,2406.45,148757,67669.5,16602.4,8768.27,6215.14,11.6302
1.84112e+06,1.40871e+06,784173,680259,488856,344467,851500,511697,797650,11823.8,-103.085,46369.4,74639.9,20546.4,17688.1,3157.44,11.634
1.83508e+06,1.29407e+06,850841,961375,794190,568822,837721,755027,763980,8928.12,3114.42,41968.5,54813.7,23650.4,19308,3980.75,11.6352
1.62899e+06,1.34116e+06,728768,428088,306935,261353,704646,370546,693174,6635.46,-191.984,104542,52083.8,8724.01,8441.83,2842.1,11.6362
1.44862e+06,1.03768e+06,837609,682618,327479,246187,798122,560791,730345,7161.44,1937.97,22265.2,294492,21030.4,7892.71,3262.58,11.642
1.59284e+06,1.189e+06,803793,579221,341808,250475,818784,469370,740423,8564.83,1037.95,8334.92,71198.3,18228.8,10521.6,1145.38,11.6427
1.31336e+06,960216,820664,445929,372524,284358,786032,369037,725014,4357.12,-368.43,35747.8,147646,7613.88,4851.28,2235.3,11.6443
1.12694e+06,843350,801763,599960,475166,355079,802918,464759,774544,9894.21,2397.06,36732.9,93212.6,30819.3,14141.6,2468.21,11.6477
2.74627e+06,2.00323e+06,822551,560646,436111,325799,803154,478315,703276,5840.04,-46.002,34791.6,140274,7669.26,2859.84,2357.3,11.6484
927911,594690,936197,944445,601912,386960,933294,641507,883337,13266,1245.9,20806,101274,49179.4,17711.3,4668.74,11.6493
1.62397e+06,1.24915e+06,780034,801471,554645,373779,890330,566453,848937,11622.6,496.203,30106.5,71872.6,22179.3,18198.9,3297.46,11.6498
1.57831e+06,1.2178e+06,777625,496179,352786,278670,759579,427619,696197,11178.5,617.621,54563,102220,8641.49,7316.31,570.987,11.65
1.26172e+06,929142,814763,618380,362077,252247,861244,475259,780686,9842.33,1976.84,34965.2,87710.3,22917.8,12038.3,2389.1,11.6515
1.27725e+06,928975,824942,716216,347116,249848,833584,559908,767500,8950.65,626.984,22150.9,83636.5,40960.1,10808.9,3045.19,11.6592
1.60156e+06,1.2221e+06,786299,501364,307763,246412,749387,437002,688368,5204.49,426.843,21566.8,54183,9496.15,5510.18,1767.43,11.6786
975727,631020,927762,557756,329341,214017,923313,403888,828579,10595.9,-1312.99,20411.4,84983.4,38623.9,12013.3,3506.16,11.6807
2.26153e+06,1.90066e+06,713917,219023,147856,124614,711908,193837,677961,4442.79,-1101.83,47728.6,41662.8,43290.7,8527.8,1679.67,11.6814
1.39106e+06,1.08963e+06,765979,502110,394074,308154,767292,427535,704658,3981.14,11.7576,128281,72868.9,23408.3,9848.14,2130.03,11.6852
1.35155e+06,1.03594e+06,782797,445771,241924,185344,783162,384784,695098,4830.06,1196.96,40022.5,52379.4,11146.8,5947.14,2830.36,11.6853
1.66576e+06,1.36612e+06,731602,347357,258761,212181,731717,304475,684504,4989.84,49.731,35566.4,76091.9,7215.76,5195.35,1496.15,11.693
1.73431e+06,1.40087e+06,742815,234716,199994,159336,753102,207704,678030,4671.94,-1050.35,41404.7,76909.5,13918.5,3499.6,1046.11,11.6949
1.998e+06,1.41247e+06,848726,383183,332671,257591,774882,316433,726567,3855.92,-1046.24,38074.5,106301,18966.5,21946.9,1611.76,11.6974
1.7063e+06,1.23294e+06,830354,777876,555062,386327,862061,618002,755217,18209.9,138.428,195720,79984,34740.9,15590,3727.37,11.6986
1.7116e+06,1.33017e+06,772051,362698,240213,188327,765307,318585,683079,2899.3,-426.166,17741.8,111151,3973.87,4784.39,2961.91,11.7018
1.37857e+06,910550,908397,612175,487842,329324,888807,456395,804797,7707.5,84.2754,101791,68743.4,30310.4,11898.4,3296.88,11.7057
771200,539674,857406,399914,192167,135200,852812,318555,753241,6934.09,939.169,72649.5,53092.7,11042.1,8976.75,1981.73,11.7072
1.90504e+06,1.53388e+06,745188,522585,329273,248427,795259,415523,754593,11426.6,8.15253,7773.75,89679.7,13128,10034,3930.96,11.7072
924101,630520,879370,529156,415046,295859,841709,402673,788465,11467.7,1959.78,80454.6,94507,30136.9,14215.6,3478.64,11.7187
1.17018e+06,799716,877943,502947,441900,319350,830248,389504,774750,9050.75,-775.012,24086.8,80051.4,28105.5,14500.2,2767.74,11.7205
1.95785e+06,1.55671e+06,754610,405645,298433,237346,754426,342568,710477,2576.93,918.063,17476.8,96749.3,21044.6,8507.99,254.709,11.7217
1.57495e+06,1.17856e+06,801799,638211,489744,376017,781471,508270,753392,8139.69,819.45,19221.1,61553.3,34039.7,9895.52,3320.17,11.724
1.20975e+06,903610,803275,587434,379558,293142,776876,468859,751740,10131.2,-359.45,35057.7,92257.5,51916,8121.94,2764.94,11.7242
1.03029e+06,683125,904917,520471,395614,274885,863518,394780,791029,6576.38,392.963,61306,64322.3,21408,19000.3,900.769,11.7268
1.73303e+06,1.46407e+06,710224,292012,187515,153643,732276,252825,692997,3850.05,-1545.55,22520.5,119389,14083.6,8144.46,3280.46,11.7399
1.43872e+06,1.05121e+06,821180,893374,563236,388436,870006,669899,800157,10978.5,1585.41,9539.03,80247.5,31041.2,11663,5116.78,11.7403
1.71832e+06,1.3626e+06,756634,532405,320523,242337,793579,435530,733458,12459.5,823.282,14768.1,84756.6,27022,10130.9,2337.32,11.7426
1.07719e+06,696041,928557,652613,404963,266907,910346,483167,810419,10651.1,1129.35,96474.6,55367.7,26435.2,18456.7,2906.65,11.7433
1.99255e+06,1.514e+06,789650,425939,273040,210668,777640,364262,701592,7783.29,12.4174,15619.1,89002,13504.4,12149.5,3108.41,11.7438
1.79033e+06,1.48847e+06,721679,383032,312991,251839,745693,320877,716222,12026.3,-618.518,12183.7,88178.5,20226.7,9790.85,2537.25,11.7446
1.76842e+06,1.37531e+06,771500,558547,491494,392018,752252,462995,723827,9410.22,3333.25,27059.2,101696,15260.4,9953.7,2254.32,11.7463
1.42638e+06,1.06116e+06,806498,742423,464704,339953,820180,586496,759518,10090.6,1799.25,8070.41,76938.5,16945.2,10877.9,3924.33,11.7466
2.4953e+06,1.79857e+06,832430,383085,204965,142669,861989,298990,768759,3194.94,1160.28,11199.6,61147.1,20486.6,9624.22,4766.31,11.7468
1.77241e+06,1.1787e+06,902221,878497,740863,551746,805657,682167,772682,8352.54,595.236,63050.5,145130,62983.5,12962.9,5304.17,11.7475
2.37574e+06,1.49136e+06,955802,1.10656e+06,841425,547970,921318,796568,833496,20111.7,156.322,6439.71,229446,66083.5,18880.3,3168.85,11.7495
1.83567e+06,1.50194e+06,733320,490793,420463,317661,794174,394800,745886,11763.8,-431.499,21420.6,111739,29310.9,8472.37,2402.21,11.7507
709058,449372,946732,564644,432853,311799,832947,417351,811755,8226.25,-352.505,63455,87860.1,26251.2,9445.44,2128.75,11.752
1.64785e+06,1.34559e+06,734775,416119,360443,299398,722335,359436,694620,6489.77,-517.412,27046.1,51291.9,13706.5,7355,1638.99,11.7544
1.30977e+06,918606,855491,640072,399962,283618,846128,489527,784519,9636.28,119.545,32758.7,112219,35168.2,13988.4,2719.81,11.7548
1.22076e+06,833985,878263,583946,332608,238016,838452,448298,781551,7243.26,170.07,40737,65259.6,26919.6,9446.91,2548.12,11.7573
2.09931e+06,1.5752e+06,799634,618741,393994,294275,803318,479568,774123,13242.9,-21.5803,3755.13,194989,24107.5,9098.22,6519.91,11.7609
988782,660875,897702,600480,316006,223914,846770,462473,779046,7215.54,261.092,7595.08,64608.4,32843.1,7919.46,2213,11.7627
1.51935e+06,1.17573e+06,775358,653344,365855,283596,774035,537272,729624,8814.92,1539.66,85491.9,48510.9,20983.7,13309.9,2041.92,11.7676
1.59233e+06,1.16657e+06,818981,600517,324365,231497,840697,470215,766266,10206.7,1223.69,18338.4,81749.2,26833.4,12678.8,2911.8,11.7686
1.70051e+06,1.21177e+06,841999,356087,178501,135428,790832,299116,714279,4505.81,89.5972,22354.2,83341.7,27974.8,9252.27,5124.79,11.7686
1.54469e+06,1.09421e+06,847020,425403,245492,176548,834308,346397,736848,10693.1,202.389,20603.4,82595.6,18218.8,11301.1,2322.95,11.778
1.94306e+06,1.29319e+06,901521,696236,511070,304781,1.00611e+06,439206,951129,12734.9,-1025.34,47613.3,115020,37702.5,13390.5,4014.54,11.7796
1.60656e+06,1.29574e+06,743927,229799,148900,122423,729765,209080,659457,2761.78,-840.124,19061.4,97274.3,4789.08,4252.37,1004.93,11.7801
1.16645e+06,845852,827415,469149,415275,299912,830793,358976,784146,8440.83,3.51312,16213.1,95027.3,21206.3,12005.7,1603.5,11.7873
2.15581e+06,1.6425e+06,787512,370551,270724,213717,760045,295006,753647,3756.68,1695.41,33905,74227.2,10162,5984.07,6560.2,11.7886
823584,537234,919804,517962,274921,192315,857720,411514,755204,6243.49,158.288,28475.4,66748.3,27145.3,5822.9,1916.99,11.791
3.16423e+06,1.97251e+06,962497,643416,341792,215681,950827,456229,846176,4969.37,425.238,42849.6,113639,14397.1,9420.65,3669.67,11.7941
2.43974e+06,1.81181e+06,807944,738923,532160,356882,894683,542556,817157,15142.2,426.728,70344.4,91939.4,27030.4,20477.3,4179.38,11.7943
1.38974e+06,1.00072e+06,833241,624995,314200,231996,812601,516962,725386,6490.6,-306.236,12557.2,45047.5,15653.7,7493.16,2251.94,11.7947
1.99789e+06,1.59101e+06,753442,580098,392525,303479,776050,479803,725420,7690.41,115.639,37601.2,80829.6,27826.2,13193.9,3459.75,11.7972
2.60202e+06,1.80201e+06,866373,883793,528742,375234,845460,678307,781763,15844.5,912.284,9172.19,340910,26260.6,18600.5,3604.63,11.7989
1.01447e+06,783431,776943,491125,397548,305467,780867,403844,729676,3303.98,-61.937,16934,79128,17298,11341.4,1499.31,11.8009
1.92023e+06,1.53449e+06,750828,400040,331587,265684,748830,342838,700109,4416.87,1733.69,46616.5,75262.7,11179.5,5084.88,1687.11,11.8016
1.66426e+06,1.22883e+06,812608,454357,345568,264601,783597,378727,719817,3888.5,2960.93,15748,105719,5908.68,6736.69,7856.93,11.8038
986539,678125,872882,552934,363378,240080,908143,402844,823545,12664.5,1366.05,852.996,49762.3,24690.5,9657.2,3144.95,11.8051
1.17082e+06,854183,822414,591852,346899,252331,824867,478494,742144,7918.47,1268.33,3993.47,78657.1,27014.1,10380.1,1611.7,11.8087
1.76123e+06,1.34201e+06,787427,612835,365381,270760,809679,473307,776876,10703.9,1352.79,23021,89351.2,30515.4,11724.2,4068.88,11.8098
1.05639e+06,829295,764302,379188,306037,240849,762395,318497,714332,8125.94,261,24559.8,91426.6,32583.7,7984.41,3108.01,11.8124
949009,658526,864666,583056,340875,239551,853785,460171,760225,9849.76,601.008,23718.4,60103.9,10516.6,10429.2,2307.2,11.8126
2.38412e+06,1.60541e+06,891033,573954,342959,241811,850976,440660,781493,4624.4,-108.707,16624.2,134755,23732.8,9321.81,2925.77,11.8153
2.35149e+06,1.77033e+06,796967,445585,395737,308362,770012,374560,713774,6924.27,340.351,151038,49960.6,13364.9,7307.72,7341.42,11.8163
1.21286e+06,928493,783762,531921,271665,201787,807776,432315,738241,8588.03,-357.835,74384,54588.4,30736.1,8033.05,2452.53,11.8177
1.0439e+06,759786,824367,439342,324279,245053,793982,350266,752585,7326.56,-1405.36,33956.2,73099,14195.7,10546.4,2158.66,11.8208
2.00193e+06,1.52111e+06,789662,414708,340012,269716,756377,343584,724204,3613.38,-169.729,35917.4,44165.3,12932,8976.46,2965.23,11.821
2.42769e+06,1.80703e+06,806081,310312,240355,188730,764124,261652,711584,6094.58,-475.27,9658.57,139406,16198.7,8940.87,3341.56,11.8263
868131,549943,947151,656262,347019,228132,912680,479119,821835,14615.2,1683.37,79181.5,127860,60318.6,12446.6,2957.06,11.8269
906714,634940,856819,518055,461601,353889,782620,411896,754640,10831.1,271.746,6303.64,87045.3,44414.6,9103.19,3309.08,11.8332
1.67151e+06,1.28634e+06,779655,547390,419412,320559,785026,434564,755778,6998.57,1764.2,57364.8,79311.8,14136,15764.4,2485.5,11.836
1.07012e+06,840843,763603,499667,264066,212872,744295,428919,698967,3704.87,237.695,36686.2,50431.1,10957.5,8339.96,1286.52,11.8397
1.8136e+06,1.28434e+06,847250,773087,568816,405102,842478,589991,786202,7391.31,2050.88,86946.3,69386.9,24394.2,11797.9,2950,11.8456
2.31894e+06,1.55441e+06,895106,516071,306569,210325,874558,385965,802256,11311.2,-316.498,18618,101116,17272.8,12439,8161.85,11.846
1.8195e+06,1.53429e+06,711534,303583,230648,199617,693272,269345,676270,3786.13,25.909,34704.9,39493.2,12930.4,8404.47,1545.52,11.8461
2.22545e+06,1.55506e+06,858659,692902,577033,425525,813630,556767,746706,26048.6,-111.118,135937,338378,16060.2,11403.6,3173.08,11.8472
1.55436e+06,1.19738e+06,778877,479564,357162,270628,791851,393539,731156,6515.92,50.5002,10336.1,64997,12674,9043.44,2499.73,11.8479
804809,561387,860165,575124,362479,257157,845739,441894,780899,9190.77,1135.57,52911.4,55400.3,13028.2,11384,2434.59,11.8559
1.46539e+06,1.16587e+06,754142,268537,184233,149858,737631,239500,672743,1573.14,600.458,39280.4,40247.6,8944.01,3354.03,753.971,11.858
