"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
2.09013e+06,1.53295e+06,818080,485355,326159,244235,801257,380051,766247,9597.86,1704.29,43568,56881.7,48697.5,15466.1,2201.77,10.4538
1.36339e+06,998929,818911,760636,492980,372380,794318,633352,720582,7977.68,2689.97,39796.8,49616.4,26288.7,11060.4,2609.56,10.4703
1.03499e+06,734923,844978,469972,315155,221302,854458,354475,795495,8063.01,1024.64,18122.4,83314.2,24365.1,9201.76,2340.41,10.4902
1.86171e+06,1.39338e+06,801664,284612,184866,155752,712157,258315,661080,3327.32,503.514,14506.4,65104.8,19349.8,8732.67,2978.87,10.4998
905594,559954,970359,561954,518907,347042,897137,389342,866006,12857.8,1445.67,21325.1,92859.5,28570.4,10454.5,2837.01,10.504
1.59942e+06,1.19699e+06,801724,644078,449925,340981,791700,504244,766389,13713.3,6.21613,1909.66,86692.8,50840.7,14212.3,2661.68,10.5076
2.41982e+06,1.73028e+06,839111,520007,443854,311095,856049,394537,790810,8391.18,734.585,98222.1,81348.2,20020,11277,4607.57,10.5141
1.13813e+06,704941,968705,622100,555414,363447,916911,437453,853258,12038.9,-203.844,15843.6,71254.7,56049.3,10471.2,2980.24,10.5223
1.53949e+06,1.21001e+06,763374,378179,313074,259414,724110,327370,693123,7755.21,526.751,80885,62968.3,20450.8,9346.64,1781.09,10.5244
1.04075e+06,723914,862605,506309,474927,343035,830691,390745,777451,10275.4,-149.223,37411.1,66007.8,35560.9,15391.4,2102.57,10.5348
2.17724e+06,1.56327e+06,835651,736454,535208,350561,916031,514127,859462,33159.3,687.574,15046.5,288810,29759.4,24376.6,4427.86,10.5389
1.03579e+06,692121,897931,663225,458439,334797,821582,511985,777239,8160.86,784.607,77240.7,64592.7,36772.6,10979.6,2934.77,10.5396
1.61178e+06,1.11387e+06,868208,555822,471768,355659,795877,433307,769646,13882.2,1020.86,36511.4,47539.5,21216.4,13373,2434.99,10.5425
