"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.0604e+06,746749,852017,452221,327895,242476,811367,346640,782751,7344.81,-474.086,28173,39383.9,16756,5380.67,4239.84,10.2378
1.7981e+06,1.33736e+06,806712,524928,434430,326530,798267,407957,772035,17491.2,3185.91,112285,61710.9,23510,8521.63,5441.02,10.2381
1.44894e+06,993847,874745,600569,412734,289596,855125,436579,825375,16012.6,936.436,20437.6,53147.6,21176.7,9347.42,10543,10.2409
2.113e+06,1.53508e+06,825886,462772,342909,258721,795240,362470,766030,14240.2,900.406,50609.1,53342.8,36925.1,6368.25,9814.72,10.2414
914058,617549,888083,531253,424176,294315,864739,404518,787980,7449.98,-948.671,49956.3,44172.9,19522.6,6425.18,3440.04,10.2468
1.8691e+06,1.27258e+06,881250,650104,481939,337995,855525,494457,788870,6769.85,-965.09,62627.4,99959.3,47799.7,16843.2,8739.39,10.2484
1.84086e+06,1.3667e+06,808166,401323,244947,183701,800041,327349,735587,7363.73,1308.04,29017.6,29963.1,13371.1,6161.63,5433.91,10.2501
1.99412e+06,1.47986e+06,808502,406907,352523,279040,758005,339260,719637,6637.41,-252.955,137137,33677.2,17056.8,5508.61,5806.55,10.2519
1.9994e+06,1.55261e+06,772658,356594,262832,199130,791941,288726,741036,19340.9,1257.28,37708.2,37437.9,11667.8,5125.42,5371.4,10.2538
2.30190e+06,1.67001e+06,827027,515346,417105,319472,783365,407660,758493,23066.9,1530.46,100388,58332.6,33818.3,8378.2,12278,10.2589
2.01405e+06,1.52916e+06,790256,409443,325161,243374,801632,327361,750443,11033.4,1030.34,65369.1,45198.1,12537.9,6162.05,3250.91,10.2634
2.16457e+06,1.62748e+06,798012,389539,315009,233200,810486,311889,749380,8737.37,713.938,55593.5,33227.9,20683.9,5193.51,4650.65,10.2687
1.42916e+06,1.05492e+06,812857,399012,311225,240744,775658,338582,707088,9526.17,-366.097,45863.6,43639.3,27644.9,5430.39,4466.61,10.2724
1.43474e+06,1.1344e+06,758856,327081,263920,213209,742709,272399,720446,11019.8,-748.144,129410,30998.2,23735.7,6729.55,3344.5,10.2779
1.0987e+06,724763,909565,584097,409852,290179,847447,430491,814090,11943.3,1567.74,27020.7,51984.5,27858.3,8160.23,5928.33,10.2817
1.25124e+06,942649,796421,525831,357836,277412,773944,417991,754797,11934.6,1320.08,53418.4,50171.8,23812,6079.97,5415.44,10.2852
