"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.4128e+06,1.03973e+06,815290,640478,419888,300896,837275,498937,770211,14924.5,-2132.32,63946.8,84284.9,14741.3,13130.8,1456.69,19.7108
1.32589e+06,1.03418e+06,769247,539476,342556,228184,900735,403096,802999,15314.1,-2091.14,19760.8,78233.2,18929.8,15071.2,2784.09,19.7147
1.44705e+06,1.10804e+06,783574,514385,336358,253255,796884,402936,765955,11271.1,-1422.7,8577.63,44075.5,18113.3,11260.8,3883.37,19.7179
1.44093e+06,1.11417e+06,775970,530232,444747,367866,725396,453463,701577,7349.92,-1652.03,47159,84588.8,28366.2,10229.8,1804.68,19.7222
1.77475e+06,1.2438e+06,856129,576412,345220,235228,880558,431207,802044,5885.49,-1559.36,17387.1,75516.3,36080.3,15209.4,4546.22,19.7225
1.23133e+06,859457,859607,552651,480958,330908,872070,410682,807415,14810.9,-2683.8,99766.6,40789.4,24607.7,16716.5,3057.81,19.7244
1.54752e+06,1.17565e+06,789790,561354,498358,351812,849928,430816,781801,9898.48,-875.709,18743.8,67197.8,16687.5,9854.31,6357.46,19.7258
1.60469e+06,1.15418e+06,834196,639958,383389,285379,806064,510653,751928,4574.27,-915.44,79150.8,37105.3,21054.1,12926.2,1891.71,19.7274
1.37205e+06,1.07231e+06,767713,530384,438692,322070,817262,411612,773131,10879.4,-2217.16,13595.8,52229.7,23363.2,10203.5,2922.87,19.7286
2.54862e+06,1.93761e+06,789204,326789,233804,177563,790042,263715,743504,7760.09,-645.835,46276.9,117578,12390.2,8197.63,9382.07,19.7338
1.04495e+06,759744,825240,531165,372877,272297,821626,413515,770708,7887.46,-2551.86,15335,57101.9,19578.6,11250.2,3327.23,19.736
1.74947e+06,1.28263e+06,818380,481762,389225,290344,804339,392414,736612,6933.23,-1033.53,17685.3,68289.1,11672.2,13527.8,5652.98,19.7371
2.24769e+06,1.67523e+06,805030,637814,449292,325175,829016,517644,739289,10363.5,-974.943,42746.6,45691.8,21474.7,12245.3,4681.71,19.7374
2.25693e+06,1.74621e+06,775483,318235,287270,228691,753689,263247,725331,7799.73,-1561.57,27538.9,148186,8778.87,6358.71,5582.31,19.7379
1.15006e+06,747314,923357,514068,401863,279685,862105,398828,773369,10152,-2277.5,19022.3,86092.6,26158,11123.6,3042.1,19.7389
1.44313e+06,1.20553e+06,718255,362058,213493,177783,720516,324724,668984,4398.26,-1849.23,38434,82982.7,4113.29,3223.9,2720.18,19.7415
1.92655e+06,1.44810e+06,798237,717938,463024,332759,834881,552106,780218,12665.5,-1906.48,23837.7,84934.7,27965.5,14193.5,4595.65,19.7436
2.01083e+06,1.48082e+06,814750,673789,383581,276703,831753,530281,762376,13270.9,-863.781,45237.5,215975,18760.1,13267.4,4586.82,19.7452
1.90709e+06,1.1134e+06,1.02771e+06,485029,402246,253844,950770,313766,927498,5709.89,-1379.67,80834.3,195315,45514.4,6387.49,2941.92,19.747
2.94104e+06,1.98251e+06,890094,833350,661439,438565,904913,598939,834826,26593,-2402.4,26577.3,426440,47473.5,38018.4,4145.68,19.7508
1.85118e+06,1.44031e+06,771158,574223,499503,386830,774764,466955,737830,10186.7,1261.3,26520.5,36191.5,15116.5,9666.8,3226.66,19.7539
1.45234e+06,939909,927118,278996,228254,167344,818387,229027,730909,5300.86,-2652.33,10687.2,197615,17305.9,5043.71,4031.6,19.76
1.01882e+06,667918,915220,584630,364989,246582,888115,441729,794102,8070.68,-1444.98,10515,51157.5,26541.2,10564.8,1733.91,19.7615
1.19698e+06,807832,889032,640106,559431,391266,857878,477157,804900,5326.56,-1895.19,99621.6,36307.9,25614.7,20994.7,4955.5,19.7726
1.26608e+06,865236,877964,503054,356465,262211,815675,390049,773832,6986.95,-1657.5,16735.4,55489.5,24560.7,12487.3,4122.06,19.7737
1.60458e+06,1.30332e+06,738687,419919,282525,224052,756588,352618,714516,5519.16,-1682.39,44847.4,54376.9,21402.7,8794.35,2702.6,19.7808
1.7078e+06,1.22128e+06,839019,695195,536005,396015,812098,548934,759867,9532.38,-1134.85,35914.2,47304.9,26402.5,10305.2,2684.25,19.7813
2.0469e+06,1.55863e+06,787963,463883,417866,315680,794221,378967,734443,14663.3,-1644.31,9030.3,53520.9,16306.8,23066.5,2649.29,19.7914
1.55537e+06,1.24063e+06,752217,306298,169623,138481,734929,266061,690739,7338.59,-371.867,12918.9,59279.8,8841.71,6340.02,2077.62,19.7956
1.87478e+06,1.32952e+06,846073,784822,518628,360758,862563,594412,792200,8338.67,-1212.77,18835.3,36022.3,40344.9,10757.8,3050.91,19.8032
2.00251e+06,1.60802e+06,747199,437592,301905,239679,755773,366272,716830,8736.43,-818.146,81266.1,125636,23818.7,11113.3,3272.02,19.8054
