FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
2.01E+06,1.31E+06,919511,694482,406822,252345,967300,471256,884209,4177.14,323631,49893,22673.6,21566,13425.5,11844.2,10.7818
2.32E+06,1.55E+06,895568,575031,465472,308454,905429,415554,830262,3425.73,718187,77111.4,-3831.34,34802.2,14955.2,11673.2,10.786
2.03E+06,1.25E+06,972942,742847,485702,300703,969133,502782,886484,2216.66,303454,87656.4,3325.78,27183.4,14359.2,15073.8,10.8023
1.72E+06,1.12E+06,919297,640869,466412,311384,898720,440316,873286,2619.21,450067,76618.2,13031.6,19626.2,12982.8,12546.2,10.8125
1.80E+06,1.31E+06,823024,377526,328333,248388,793113,300749,753171,1205.58,269851,34246.6,-10860.1,18259,7905.89,4701.84,10.8142
2.36E+06,1.60E+06,884185,567703,360254,236933,912292,392399,868050,2431.43,141790,58785.1,15450.2,40413.8,13754.2,10718.3,10.8144
2.18E+06,1.50E+06,875462,729681,587360,406208,867576,536985,815309,4311.22,192375,66565.2,15801,14238.1,9807.5,8689.73,10.8151
1.97E+06,1.33E+06,890888,658934,429158,260440,988692,435259,908334,3808.71,282480,67825.6,2043.78,38771.2,16436.2,13457.7,10.8168
1.35E+06,843013,959528,799481,480005,293141,982473,556006,862740,2541.8,307111,72620.1,26240.1,37397.9,21132.6,7206.76,10.8297
1.88E+06,1.10E+06,1.02E+06,991058,733796,431177,1.02E+06,628898,945518,1854.2,1.29E+06,186963,3609.15,23403.8,17354.1,12881.3,10.8299
1.75E+06,1.18E+06,891496,968878,836247,574179,873853,696277,834907,3675.38,320191,71758.1,-2284.5,20846.8,11156.1,11001.3,10.8334
1.98E+06,1.31E+06,910732,563167,388020,256757,906740,394177,857230,4070.74,243680,50923.8,-5638.8,23626.9,11029.1,13383.9,10.8399
