FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
1.60E+06,1.11E+06,861643,797097,691787,490180,846775,589214,811688,-860.988,510391,50721.4,24543.2,14652.5,9725.73,10968.1,11.027
2.57E+06,1.77E+06,872864,623057,418586,280774,894497,424625,880387,2653.37,322106,57044.9,22497.1,39635.9,18618.2,10629.7,11.0277
2.36E+06,1.62E+06,873542,578123,385111,253421,911789,405471,855483,1081.48,276622,55325.5,20065.5,31171.3,12509,10745.2,11.0345
1.40E+06,834572,1.01E+06,776438,477400,282592,1.01E+06,494476,942135,953.176,531678,56797.1,31857.4,22424.3,16957,8986.37,11.0442
2.20E+06,1.62E+06,813445,502506,329932,210839,938911,353796,852195,569.862,249862,45803.4,18166.2,23897.4,15207.8,7318.1,11.0491
2.55E+06,1.40E+06,1.10E+06,1.19E+06,780645,449630,1.04E+06,710646,1.00E+06,3771.83,484986,72433.6,29484.7,34476.8,27073.6,21159.3,11.0492
2.40E+06,1.72E+06,836556,641918,540965,380743,852488,476307,808618,1028.69,204227,64670.1,42939.2,13598,14985.5,7878.18,11.0698
2.33E+06,1.55E+06,904240,680793,549568,368342,895203,507120,805482,861.147,145297,59218,22137,32092.2,15894.1,12623.6,11.0883
2.08E+06,1.25E+06,1.00E+06,924426,469945,287232,981669,619174,895799,1942.17,298541,54120.6,32401.2,39501.3,21322.5,13531.2,11.102
1.91E+06,1.11E+06,1.04E+06,795634,607231,381218,955722,550406,867324,-432.918,288725,48979.6,22402.1,16201.7,17194.7,9894.65,11.1046
2.41E+06,1.74E+06,832312,645379,524776,364563,863679,474078,816801,-623.367,827923,78006.6,26255.6,32523.5,22456,10645.4,11.1047
1.76E+06,1.02E+06,1.04E+06,706305,564645,347813,974049,481880,879437,984.604,229401,60480.7,19554.2,20309.2,16584.4,11387.4,11.1177
2.71E+06,1.84E+06,884266,922988,605148,353536,1.03E+06,564180,981589,1757.55,578543,52816.3,20975.9,42285.5,22466.1,15593,11.1193
1.79E+06,1.14E+06,947450,736386,608278,409100,892121,536279,823884,555.029,436722,146370,19028,21997.8,21025.9,9967.53,11.1228
2.73E+06,1.90E+06,862803,566854,347563,231451,901002,403333,843255,419.984,267418,84900.4,22005.9,27543.2,20230.6,7998.4,11.1284
2.54E+06,1.61E+06,950252,595992,387545,243722,954067,398948,896345,2434.77,269672,75445.9,40427.6,23168.1,17655.2,11432.4,11.1299
1.28E+06,641253,1.20E+06,1.14E+06,950677,514029,1.11E+06,651774,1.05E+06,1886.08,299449,73862.5,28995.1,42962.3,21083.9,21551.2,11.1358
1.82E+06,1.27E+06,862399,642190,409889,272801,901513,456631,843820,1549.61,210363,51198.3,25570.2,14981.3,13339.8,10498.9,11.1372
2.83E+06,1.58E+06,1.07E+06,942304,669054,344325,1.17E+06,508680,1.11E+06,2409.17,535170,72489.9,26620,36155,29854,15514.5,11.14
2.08E+06,1.32E+06,943850,654210,329144,204207,967089,456196,860433,1923.42,144295,46170.6,22685.2,20749.2,17983.9,8259.83,11.1418
1.78E+06,1.21E+06,882010,678517,559358,395618,848330,517472,786729,1346.25,306553,51939.4,13540.7,26517.8,15383.3,7854.28,11.1445
1.50E+06,942472,957728,884478,592297,364721,974384,621391,854031,734.149,242928,32345.9,15765.7,11968.5,13020,7614.76,11.1464
1.85E+06,1.13E+06,985268,1.06E+06,619824,357453,1.04E+06,665584,955346,1792.25,572019,72210.9,47283.5,13250.2,15342,10500.5,11.152
1.75E+06,1.01E+06,1.04E+06,910978,846691,530664,957319,622153,878541,-172.899,522583,81553.4,28197.8,13854.2,15867.3,10982.6,11.1587
2.61E+06,1.82E+06,860120,604594,375055,238734,942610,406619,892128,1795.68,267557,68128.1,29509.3,27967.9,20527.9,8481.04,11.1646
1.21E+06,885751,817982,494752,379036,275506,825468,403676,735371,-10.6251,302373,39669.4,11552.4,7281.21,8442.89,4684.31,11.1715
1.90E+06,1.33E+06,858146,543066,310072,218114,852963,425621,765562,575.387,332389,41351.7,11778,27928.4,9886.06,4927.83,11.1781
1.87E+06,1.24E+06,904470,577451,403973,277075,874794,408679,847781,1364.41,279797,66760.7,43194.5,21963.5,16531,7713.83,11.1992
