"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.63273e+06,1.24312e+06,788046,684460,410621,304047,810310,537565,763956,12321.5,-536.445,70207.8,32950.2,16552,13735.9,4878.78,12.5357
1.17947e+06,826816,855912,664138,375958,275878,817661,525330,758538,8764.88,373.074,50618.7,59139.2,24498.1,15020.7,2989.75,12.5361
2.12088e+06,1.68488e+06,755264,345024,291865,237548,737194,293426,705508,6422.92,-500.985,32221.4,107578,20116.7,7982.63,2894.37,12.5423
1.82064e+06,1.13747e+06,960366,1.01789e+06,538751,332759,971426,683457,893594,15786.3,-90.6049,75215.9,58206.2,27714.5,28769.3,6443.78,12.5514
1.50448e+06,1.13743e+06,793622,534305,291172,218519,799487,433087,740228,11854.4,2815.68,123565,30822.3,19411.7,9857.68,2354.85,12.5573
1.00582e+06,721097,836910,436038,207153,139111,893473,346805,754380,4436.74,-427.183,22708.9,22768.8,28466.9,11533.1,2645.41,12.5582
1.40728e+06,1.0435e+06,809168,649176,389845,297200,787035,511092,762105,10007.1,117.211,18346.6,61017,21370.4,15026.3,5669.61,12.5667
1.51568e+06,1.13852e+06,798766,622182,430789,318584,811319,479697,778218,13233.5,1316.1,144273,63034.1,32820.7,22216.9,6314.27,12.5709
1.9463e+06,1.51008e+06,773320,243761,160786,128252,752206,213788,684119,5823.34,-1368.88,25194,145669,11182.8,12522.1,900.457,12.573
845915,596623,850703,447924,283092,189876,894559,331803,809982,6538.39,558.397,55235.9,40099.5,9091.6,7251.26,2476.51,12.5734
1.91079e+06,1.32486e+06,865358,895120,813641,563909,865715,648191,828571,30256,1867.21,11651.8,61627.9,40152.2,25680,4469.08,12.5776
1.64463e+06,1.26949e+06,777305,352276,293625,223041,789877,293752,719537,5319.79,1291.63,871273,38296.2,13039.1,15845.6,1679.67,12.5826
1.61726e+06,1.16911e+06,829993,643341,476730,349665,818035,515578,748683,12381.1,1626.13,25882.1,60321.9,15363.3,15507.1,4176.84,12.5892
1.34267e+06,1.05326e+06,764867,414671,345490,277477,747067,348793,713325,8229.41,1861.33,95957.9,35295.2,22412,12807.8,5774.79,12.5908
957780,696854,824660,437581,378938,280836,809592,354616,740374,7409.3,1115.4,46837.7,26791.7,11715.5,11846.2,1963.32,12.5972
1.54183e+06,1.14928e+06,804940,687358,378457,278877,814245,535683,769886,11691.5,676.609,14905.1,56297.6,26532.9,20933.4,2631.71,12.6003
1.36488e+06,938420,872669,618707,457882,333125,824704,500279,742034,11515.3,-6.75378,52328.8,84539.7,25484.8,12036.1,3248.34,12.6047
1.80865e+06,1.37729e+06,787916,376356,268534,211446,761992,316041,714508,13185.5,729.062,14544.2,40380.6,10892.8,11624.7,2977.54,12.6184
1.76338e+06,1.30639e+06,809889,617763,498265,365895,817062,468308,791483,13659.9,2209.11,60621.4,35924.2,22720,17222.3,2539.73,12.6426
1.65532e+06,1.25357e+06,792294,417229,273406,213025,770066,347003,721427,4929.86,356.641,157467,33668.6,39669.1,8913.05,4391.72,12.6446
1.54456e+06,1.12768e+06,821809,681913,341655,235948,868806,517822,790133,13693.5,1413.48,53461,57761.4,19484.5,13356.5,4981.52,12.6461
1.53604e+06,1.15452e+06,798277,558691,283017,211307,803619,451415,742586,10301.6,742.31,397445,29623.4,12512,16969.6,2789.29,12.6722
1.43789e+06,1.0147e+06,850235,576164,318323,225050,848674,433876,796767,15574,109.981,12406.8,36397.7,14120.3,11150.9,4205.96,12.6722
