FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
1.82E+06,1.38E+06,794460,514994,345672,260001,797702,399305,773836,-647.757,4976.63,54889,18946.3,21978.3,16348.3,4537.84,18.2251
1.29E+06,954059,810676,681421,442909,333851,796000,551007,742010,1072.79,23243.1,55832.1,22828.1,10443.6,12555.7,3576.89,18.2278
2.08E+06,1.51E+06,825711,575598,451306,338511,799925,471188,732954,-675.658,136.821,170133,29159,13510,19752.1,6947.2,18.2373
1.72E+06,1.34E+06,770851,502605,374617,268795,836214,387744,777738,-784.78,22884.5,51969.6,40489.3,19096.1,17891.8,2963.88,18.2393
1.22E+06,799679,911937,820705,748683,542070,828693,635080,775372,186.152,53136,44088.7,32031.1,9993.01,20110.6,5502.64,18.2442
1.76E+06,1.31E+06,805887,478728,370459,286473,775904,388201,739917,-1235.01,18727.4,153345,46828.5,15163,13695.9,2248.15,18.2494
2.16E+06,1.65E+06,784282,411441,299597,225214,798165,318705,774587,334.001,208475,85871,14712.8,8237.47,16666.7,2746.7,18.2523
1.78E+06,1.36E+06,784929,494261,343719,265354,777194,425385,697149,-450.162,47399,48001.1,13075.9,6341.98,12098.1,3093.65,18.2555
2.04E+06,1.65E+06,739539,429452,338517,269678,753159,358103,719544,-747.34,91122.3,31689.8,14719.9,9263.97,10607,5728.13,18.2574
1.99E+06,1.50E+06,795420,592301,452809,358234,758402,473929,749860,1920.93,9015.93,78502.6,28687.8,14936.4,17499,3063.32,18.2575
2.14E+06,1.72E+06,748138,396316,270049,208495,777139,313851,757651,532.959,62392.6,25723.4,10688.8,11414.9,12488.2,3349.97,18.2576
1.39E+06,1.02E+06,817505,485043,276436,199993,829338,382869,760118,-32.246,23131.9,25251.8,9499.09,12056.6,11137.9,2351.22,18.2626
2.63E+06,1.78E+06,887231,611598,515381,365963,844973,473683,774693,889.02,25168,118552,25317.5,12721.5,24582,5494.53,18.2649
2.04E+06,1.53E+06,799124,554178,448722,315880,852328,406642,817689,2016.74,14799.7,42447.3,23726.8,12238.1,15310.9,4619.12,18.2783
1.71E+06,1.23E+06,835558,503187,468539,346214,811992,393652,766952,2323.49,127345,31398.8,13338.9,14566,9357.87,2853.62,18.2891
