"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
2.32949e+06,1.77935e+06,785509,415799,375834,301039,749073,352804,707133,7456.19,-2320.12,68400.3,235286,27789.3,8631.67,2419.83,0.369895
1.06618e+06,779594,820567,549942,402612,298443,809425,449465,734129,6620.4,-665.394,36237,67275.4,20325.6,11817.3,3615.45,0.3872
1.62828e+06,1.15994e+06,842256,713071,589190,406548,869550,517056,827459,17149.6,-1195.29,53198.1,77274.5,31228.7,19836.8,5740.87,0.466312
1.79333e+06,1.29034e+06,833887,782400,563688,401211,842980,618774,758661,11998.8,593.048,48413.8,47969.2,23890.6,17762.5,7312.06,0.47055
2.04888e+06,1.74799e+06,703282,240561,188340,165986,680804,218516,660530,2851.11,345.033,47122,44438.7,11711.9,5430.14,2214.55,0.48762
1.9585e+06,1.57816e+06,744603,334072,264556,215567,736353,286128,700536,5358.33,-463.012,10562.2,67944.7,9437.14,6891.82,3037.51,0.495155
2.0302e+06,1.54964e+06,786065,386038,330324,263911,750988,329761,702396,3510.61,113.044,11467.5,61016.2,8660.17,6076.74,5480.38,0.518465
1.50076e+06,1.14823e+06,784210,491835,413261,322688,768410,401657,734709,9322.02,-1647.15,20468.3,50572.2,25177.2,10356.7,2895.55,0.532356
1.64613e+06,1.28284e+06,769917,452043,365164,285106,768480,378538,716508,9418.01,-1163.63,68955.5,59811.2,16389.9,6491.33,3359.09,0.553547
1.88626e+06,1.49697e+06,756033,379060,295132,234194,756121,322137,706023,5832.52,141.084,46106.8,107264,16463.9,9318.59,5667.05,0.615
2.32565e+06,1.79153e+06,778884,391662,278614,218151,766298,340713,689721,5746.91,-398.075,18728.7,102454,20993.8,7743.04,5378.96,0.632776
1.97793e+06,1.54056e+06,770343,418020,282243,219459,771652,354798,706916,3128.07,-60.3645,54638.7,68031.2,7425.1,9361.17,2921.72,0.632894
1.87482e+06,1.38443e+06,812529,529404,371260,289299,769984,431071,736868,7815.86,250.453,103344,134497,11330.8,14486,4056.97,0.633247
1.6569e+06,1.2959e+06,767143,541418,453005,363571,747592,448228,724745,13256.4,-1867.71,43447.4,80312.4,32161.5,8677.47,6089.07,0.699527
1.73341e+06,1.41929e+06,732791,363790,242053,207677,699316,333893,653724,4228.84,-1049.16,117420,45200.5,13171.1,5851.42,1822.69,0.74391
2.57673e+06,2.00132e+06,772507,629663,456936,333546,821961,500932,754190,10818.5,206.416,19220.8,101453,20209.8,9236.81,4603.06,0.762275
2.0363e+06,1.55911e+06,783640,536090,460164,328707,839954,414255,776464,17080.3,-495.059,9597,92810.9,17070.3,15708.5,3454.96,0.813368
1.70005e+06,1.31632e+06,774910,515792,484211,370214,784753,426247,726047,12406.9,-878.416,33265.4,64347,21814.9,13071.1,4499.1,0.815487
1.42267e+06,1.02459e+06,833117,765250,619530,463615,801782,610012,752690,10434.2,-632.931,119029,63619,33892.6,16228.2,3902.83,0.846566
1.733e+06,1.29457e+06,803200,863037,657341,483540,815661,681682,759624,11136.1,471.26,42215.7,71339.5,31215.4,12312,4028.3,0.852217
1.50058e+06,1.15043e+06,782621,759746,627907,474731,793596,595048,766069,10946.1,1267.65,67671.8,68898.9,21990.6,10300.9,3461.25,0.863519
1.19377e+06,832879,859985,445124,267922,189510,848256,348397,766581,4589.72,-574.057,757453,26622.2,13355.3,15448.2,2719.31,0.880118
1.83122e+06,1.451e+06,757224,389702,340423,291299,701182,356478,655920,5706.23,-1086.53,33716.6,99599.8,13271.2,7647.79,2984.63,0.889419
1.17497e+06,865805,814248,676286,498939,346537,863871,515535,787088,16490.1,-1532.42,46125.7,59557,29612.3,15242.3,4449.14,0.892715
1.41407e+06,975017,870180,885304,691833,490456,846355,685053,775389,17357.2,1773.08,705553,45053.8,39235.8,18549.8,6309.46,0.895069
1.99472e+06,1.4391e+06,831651,722480,531375,388517,820621,575406,753361,8564.52,-884.035,42249.5,140843,78876.5,17663,4570.75,0.899543
1.52188e+06,1.11573e+06,818410,577273,474839,358750,794156,464289,746010,11366.1,-947.186,20994.6,89468.5,21056.8,11137.3,4848.93,0.915318
1.85278e+06,1.36141e+06,816560,814224,605252,423557,857385,606504,805493,14254.8,-291.39,42311.2,85029,25621.3,18983.2,8712.52,0.927562
1.52718e+06,1.18139e+06,775618,538217,381805,306754,746797,464383,695397,5892.41,-1328.03,27349.7,144470,3901.83,6946.88,3522.44,0.95146
1.31249e+06,911983,863497,699684,634292,475336,800644,556630,754200,9160.75,-101.334,82643.2,68695.6,18116.2,16103.9,5589.18,0.978655
1.46897e+06,1.07997e+06,816116,589133,446710,331145,809392,469082,753556,8200.63,-93.3308,8670.43,46655.8,22297,11433.1,2726.46,0.984188
1.25714e+06,889892,847611,317034,246483,182737,809305,248965,764044,6029.87,-1236.5,46245.5,38463.2,28709.6,5082.09,1725.02,0.997256
1.85792e+06,1.4523e+06,767579,506260,381020,295344,774052,423567,717139,13395.4,-141.693,13962.6,37897.5,19759.3,10266,3500.25,1.00573
1.53903e+06,1.23941e+06,745048,538973,436543,348803,750928,450417,717965,8104.15,-1445.73,19791.6,59583.8,38439.1,10603,1522.34,1.01927
2.3007e+06,1.87448e+06,736431,310931,238105,185271,771102,260343,716588,5143.14,-1271.43,24050.7,96545.9,23007.4,12956.5,4539.75,1.01974
1.88795e+06,1.35711e+06,834695,577472,412118,285907,864864,437389,792163,15829.4,-2105.06,3462.55,90654.9,59661.1,25569.2,3741.28,1.02645
1.91683e+06,1.46512e+06,784984,454677,337940,265659,763250,383129,712048,5279.87,-979.142,22342.3,185778,8096.59,9208.94,5379.39,1.03634
2.00126e+06,1.44721e+06,829705,752349,535638,382369,840505,594255,759623,15455.7,612.161,21989.1,88076.6,21051.5,17160.4,4045.22,1.06459
1.92645e+06,1.48606e+06,777808,683021,547537,409761,801742,551513,743069,11868.1,1434.72,9280.22,71199.2,15390.8,13179.7,5988.19,1.06942
1.27867e+06,934298,821152,641524,553775,421875,787591,520326,739757,11836,-720.151,21699.4,61006.4,37731.3,18861.1,3623.31,1.07389
1.58535e+06,1.24989e+06,761039,502756,378737,295299,769532,424270,710994,10559.5,-1014.11,39294.9,66310.5,31998.7,8806.5,4864.94,1.07825
1.71804e+06,1.35410e+06,761260,595798,492011,385634,765510,513506,696153,11530.3,-156.629,18724,86071.8,18872.3,8424.4,3889.61,1.09638
2.8041e+06,1.91021e+06,880771,322952,244161,165055,887563,248154,780850,11079.9,-1392.4,5886.06,214061,13488.1,9482.34,3940.14,1.12475
1.73412e+06,1.30786e+06,795554,671023,529044,406470,780934,548565,733940,10129.5,822.337,329665,138313,29420.3,14951,2394.65,1.14842
1.26326e+06,931357,813816,689142,573055,388984,883926,514578,803543,8245.52,1823.36,47399.4,69307,26763.4,15144.3,5773.04,1.15889
1.66779e+06,1.29486e+06,772801,460886,361172,280993,771204,390035,708992,12766.2,-1274.2,103648,78931.4,28707,10538.1,3205.1,1.18562
1.59437e+06,1.16772e+06,819222,730080,576045,392223,881200,557263,786070,17647.4,-2351.35,90112.1,238862,86112.3,16029.4,6358.31,1.19786
1.85126e+06,1.46955e+06,755846,405059,347491,266859,781291,343528,707470,6268.94,-315.551,30949.1,52135.2,30684.2,6806.56,3528.44,1.22388
1.53621e+06,1.13565e+06,811626,772352,594309,435654,818506,611722,757552,12335.2,25.7632,12832.3,82027.2,16565.1,13320.3,4173.26,1.23141
1.96045e+06,1.50925e+06,779373,300842,259614,203194,766599,252742,714188,5920.98,-1224.97,45619,150162,5934.59,11398.2,3821.94,1.25319
2.41297e+06,1.77898e+06,813825,477969,388446,297175,784278,399354,718113,5908.77,-194.289,35994.9,87082.8,19061.9,7615.08,3243.17,1.25378
2.50487e+06,1.92856e+06,779297,485392,358756,283163,760175,419077,694945,10782,-473.069,13208,104643,8175.28,9857.01,4434.92,1.2705
1.76162e+06,1.413e+06,748037,534505,389548,298120,784009,453808,706693,4448.92,-702.02,8644.08,61656.8,15151.8,6757.16,2144.91,1.27285
2.13774e+06,1.69095e+06,758536,494070,399558,303300,790421,395914,748754,17772.2,-308.843,11235.9,52057,11720.6,12620.7,3955.5,1.31311
2.53152e+06,1.81588e+06,836460,509508,419553,307730,818028,403116,758354,12862.1,-723.016,21434.7,189492,66768.7,19156,6740.93,1.33372
1.47174e+06,1.0262e+06,860496,848549,666900,499148,801646,683482,744905,11699.3,-481.416,38179.6,72749.8,39572,13927.7,4759.77,1.3436
1.4201e+06,1.12499e+06,757393,305381,234803,183613,767275,254485,719998,4607.69,-619.731,13068.6,207648,3950.51,6893.37,1824.34,1.35408
2.02181e+06,1.5895e+06,763186,477206,421641,317548,796682,393052,728462,11454.4,-697.98,11831.3,51936.8,21611.6,10497,4282.14,1.36715
2.06516e+06,1.6147e+06,767384,376895,305626,248998,736455,335236,674560,6018.4,-1415.75,23910.8,161444,10008.6,10276.3,3748.78,1.40223
1.60946e+06,1.13828e+06,848362,655506,532738,375623,850967,501410,784395,25289.1,-402.327,1263.96,67868.7,31511.4,15951.4,3878.79,1.43237
1.46526e+06,1.09339e+06,804067,612142,400685,305828,786098,516415,711221,10028,2926.29,11246.3,49261,18555.5,9470.61,4590.74,1.43932
2.29272e+06,1.7507e+06,785761,360362,298460,220194,813264,289165,747730,7023.56,-1038.5,23059.8,109555,13258.4,9344.69,8114.3,1.44049
1.82183e+06,1.39544e+06,783335,394543,331085,238603,832559,303587,779763,4033.45,-1042.51,94067.4,114375,41026,12919.5,5455.15,1.45026
1.64988e+06,1.27684e+06,775298,638905,557108,419409,796989,523419,732383,13597.7,-1151.45,34173.8,105337,20069.2,14382.4,4211.71,1.49877
1.74655e+06,1.29489e+06,809280,684152,447669,320153,838978,532052,771525,12311.5,1320.94,12548,55604.2,29947.4,10796.3,4768.76,1.50006
