"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
2.20273e+06,1.54118e+06,857550,452244,338166,232060,874341,354333,765794,31390.3,3562.94,131295,38184.6,13009.9,18786.3,7979.41,9.76424
1.69888e+06,1.19926e+06,849965,783327,552898,381380,869838,580035,810290,16664.2,4561.19,522058,40237.2,13005.3,19969.6,9615.86,9.79463
1.77315e+06,1.26939e+06,838110,676178,469975,317491,888168,490296,827474,21711.5,7301.64,308087,40983.8,23726.1,21942.8,9054.42,9.86727
2.26327e+06,1.56542e+06,867474,1.09116e+06,909306,425045,1.28359e+06,533505,1.22716e+06,20151,4847.58,375190,71512,21937.4,20025.1,6799.31,9.91497
1.97972e+06,1.3679e+06,868358,633025,475814,324225,880526,456992,831119,33121.4,4342.93,155200,128474,33668.8,26659.2,8021.95,9.93228
2.03116e+06,1.39225e+06,875343,623138,436905,282311,928560,426369,876899,30083.6,9781.15,369724,70224,22744.5,30372.4,8725.67,9.93432
2.23925e+06,1.39793e+06,961097,645936,447048,293113,915104,431561,898046,35212.3,13492.5,805647,62769.4,20663.1,34245.2,10245.6,10.0061
2.06518e+06,1.21691e+06,1.01824e+06,853098,417899,246275,1.01813e+06,557620,917935,50217.4,8914.94,996051,41603.9,26191.1,27895.9,7109.56,10.0255
1.53037e+06,946852,969760,650831,540433,350438,925298,451308,865260,28712.1,4301.84,540242,56236.9,21991.6,29142.5,8485.19,10.0273
2.22988e+06,1.51112e+06,885388,547673,393025,260553,905056,376182,873524,41200,10587.2,224730,51843.6,20968.7,22887.3,11358.7,10.0274
1.81767e+06,1.15417e+06,944918,717707,384292,250728,919622,501530,858621,24505.9,5287.2,239754,46229,37523.9,27901.7,6182.29,10.0446
2.69936e+06,1.75749e+06,921551,709261,553550,384177,864523,539843,788297,19877.5,2903.41,336757,38437,48626.1,22994.5,10030.9,10.0464
1.88577e+06,1.57185e+06,719829,442876,280662,231064,728791,379835,699582,12042.7,4260.63,1.50061e+06,21137.2,12297.2,8776.79,4117.53,10.0488
1.82471e+06,1.18374e+06,924886,832984,672717,441731,913747,603969,827510,15915.5,5191.84,439444,39466.4,18519.2,21644.5,9140.75,10.0782
1.87042e+06,1.08837e+06,1.03113e+06,754180,409502,256950,956222,527423,857960,40762.1,6092.86,178390,59022.7,54974.9,31316.9,7348.47,10.0973
1.93981e+06,1.36394e+06,853327,581581,426141,277741,920587,419675,831473,20865.8,7578.02,576512,40927.4,14611.3,34822.2,6406.7,10.1026
2.38197e+06,1.58326e+06,902680,728617,611181,392892,933357,497397,878916,36820.8,10812.2,310514,80681.6,18992.6,26298.5,6313.13,10.1565
1.7108e+06,1.13133e+06,907327,559311,295662,198421,894045,414573,809475,17911.3,5952.56,77143.6,35730.3,30945.2,20891.5,7657.31,10.1923
1.02793e+06,699625,881557,835647,498840,333060,898648,614078,816489,19794.7,8586.14,235410,72221.7,21941,22232.5,6546.74,10.2272
1.97196e+06,1.2187e+06,970852,1.02205e+06,772276,500845,925167,704443,870517,14920.6,4368.56,962457,75946.6,17728.8,24484.9,9358.21,10.2434
2.07031e+06,1.48312e+06,837547,517015,386880,267828,866705,368973,840737,18307.5,7877.36,233879,66784.6,38853.3,24525.4,9786.38,10.2793
2.60683e+06,1.84783e+06,846448,596615,496257,297800,999847,372643,960622,10258.5,5392.03,274074,39194.2,16185.1,16029.4,6154.61,10.2989
2.3508e+06,1.57485e+06,895626,769395,618450,424703,873717,551955,836367,22119.1,6146.9,604325,67232,30531.7,22837.5,9902.71,10.3068
1.97602e+06,1.25042e+06,948170,1.11408e+06,642651,380934,1.01222e+06,694099,963043,41728.8,13505.4,279723,117922,43550.6,37911.1,8008.56,10.3694
1.79697e+06,1.22239e+06,882032,583654,467725,317886,882817,419883,834024,20995.9,7582.77,1.05663e+06,33401.2,21369.6,17904.1,9459.97,10.3884
2.70797e+06,1.82638e+06,889619,880859,628145,411898,915001,631397,837057,51190.7,6845.04,597448,60233.8,37668.9,30605.3,10589.2,10.4284
1.14583e+06,729626,942257,721370,397281,268515,887728,519126,833751,21381.2,3861.6,269782,35735.4,19482.5,18546.2,7778.44,10.4327
2.02636e+06,1.34592e+06,903334,598035,437298,300824,872201,453563,791116,15940,8830.83,197963,32539.2,14498.4,19982.6,7266.1,10.4458
1.81699e+06,1.21578e+06,896701,572307,444228,289616,920310,420423,816759,18269.6,6459.5,130262,41953.5,20240.3,24758.8,8527.8,10.4682
1.79751e+06,1.28201e+06,841261,581851,471227,323889,872941,442892,788253,25002.1,3449.28,449298,28842,13974.8,18731.8,7029.1,10.4763
2.39993e+06,1.50218e+06,958583,769900,556704,349004,957074,494585,933995,48109.3,11879.7,374247,87445.2,40988,53503.7,9167.07,10.5066
2.51331e+06,1.68154e+06,896789,845520,687392,442980,931047,596801,850052,32206.4,3483.39,560442,66462.7,21721.2,30270.2,8233.32,10.5608
1.78543e+06,1.06199e+06,1.00872e+06,613264,359408,236765,910796,443677,829338,25776.7,4292.57,350111,64789,29152.9,28813.9,7472.38,10.6175
2.35201e+06,1.46278e+06,964741,787678,431212,272574,949200,538678,877345,32149.9,12290.9,317828,60354.6,35894.8,27701.3,10844.6,10.6199
1.3502e+06,758832,1.06759e+06,665444,556658,289337,1.15435e+06,379575,1.05188e+06,28900,5529.84,259542,76473.3,15585.3,7291.43,7553.26,10.6271
2.50226e+06,1.70523e+06,880443,623322,477504,329686,869016,476526,784832,36776.5,3227.75,145479,50648.6,21512.1,40934.6,6274.72,10.6344
2.13318e+06,1.27887e+06,1.00081e+06,894779,663256,426779,932458,624664,859450,72323.7,3759.02,254752,43872.5,19120.6,27249.2,6241.15,10.6387
1.6589e+06,1.13159e+06,879594,770961,523376,350825,895107,554205,834667,10217.3,4885.6,260775,36471,14772.3,18851.9,8203.01,10.6592
2.39242e+06,1.63704e+06,876857,640874,449269,308984,872413,454923,845252,33953.2,10440.5,201641,67407.9,25386.9,24818.8,11205.6,10.6658
1.92603e+06,1.24306e+06,929656,563732,458347,306324,897768,397956,849941,33853.4,8711.56,411375,69871.3,27650.8,38964.7,8888.16,10.6706
1.88691e+06,1.16656e+06,970498,431618,328126,208984,942061,276513,936559,16202.9,3604.94,401131,33861.4,17298.1,17202.3,5825.43,10.6988
1.72679e+06,1.21376e+06,853608,620386,475928,331510,861382,454877,818313,15487.2,5042.82,250311,54495.3,21865.2,20667.1,7758.27,10.7455
1.60224e+06,1.07358e+06,895454,436460,272696,189798,862061,321552,814412,29809.4,7147.4,147351,42836.9,12739.5,18092.9,8780.15,10.7526
2.45204e+06,1.43987e+06,1.02177e+06,1.01661e+06,514061,308428,1.00003e+06,669393,911223,40922.7,8754.29,244559,48052.9,33220.2,31514.3,9775.98,10.7602
2.34964e+06,1.33548e+06,1.05564e+06,1.05675e+06,617597,319848,1.15854e+06,608812,1.04145e+06,26325.8,6060.92,682382,57482,37864.2,45256,9114.85,10.7724
1.45346e+06,986949,883610,617091,442163,283080,937182,440140,841220,24994.8,4244.61,241868,46916.1,19281.5,27023.3,7061.74,10.8292
2.32067e+06,1.53796e+06,905358,557346,483151,309783,935785,379819,880439,28400.5,2846.36,656346,49298.1,20874.7,23977.2,5780.84,10.8687
