"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.24839e+06,930279,805170,493477,447620,352657,761568,411058,720303,5225.24,829.203,44613.1,26791.9,7278.79,5888.2,3873.83,9.5761
2.00723e+06,1.29215e+06,932041,807501,550641,358104,922594,565253,857140,12326.2,3722.89,301531,45911.4,36620.4,10558.4,10593.4,9.5761
1.61705e+06,1.16637e+06,831833,536403,262760,186226,846585,415763,774099,12592.5,1385.7,32463.2,31970.3,28515.9,7624.82,4007.61,9.58229
2.42964e+06,1.60574e+06,907861,738090,567327,374904,907956,520320,851118,23171.6,4051.29,133457,73173.1,46668.6,13337.5,7140.92,9.58334
1.41563e+06,934315,909090,722564,611513,439902,834067,556344,779263,5800.37,115.565,215457,43377.2,45996.3,9303.94,6478.13,9.58545
2.28217e+06,1.56625e+06,874256,463933,390498,291334,804227,382217,728276,6283.07,-361.893,64378.5,57146.5,60114.7,6366.55,3657.45,9.58545
1.89676e+06,1.04543e+06,1.0886e+06,886923,631785,387586,978031,553776,960955,9337.58,3243.04,57307.4,49808.7,33382.5,8465.97,6350.08,9.59085
2.01551e+06,1.53987e+06,785332,379242,269006,206179,782833,305040,745951,12654.7,3321.58,27814.3,41397,14589.2,7798.51,3153.79,9.59098
1.96875e+06,1.50236e+06,786261,342509,248638,188526,791313,259914,790667,13156.4,2877.96,23516.8,27217.4,27070.4,7072.92,5280.03,9.5981
1.8557e+06,1.40032e+06,795120,449071,347940,268013,778933,371617,725055,8102.77,536.426,107012,43985.5,16352.3,7360.53,4679.54,9.59915
718727,471151,915282,625738,387293,270012,860612,462056,812548,7704.56,947.139,41280.6,43704.7,54159.8,7540.54,5098.35,9.60455
1.42369e+06,1.03755e+06,823298,821944,631232,447122,847060,619340,796277,9175.41,5103.92,528863,35983.8,28908.5,11758.9,5890.75,9.6085
1.38178e+06,985356,841391,463611,246452,177932,831053,376537,738750,3575.64,1437.72,32983.7,21894.1,25672.3,6356.09,3061.63,9.61009
1.72325e+06,1.34843e+06,766778,582964,381850,282773,810226,448921,779153,8327.13,435.642,646980,51807.8,22410.1,10947,5441.99,9.61114
1.81021e+06,1.28578e+06,844724,571910,471030,344847,819546,458438,748511,8733.5,-530.118,82394.5,35468.3,12987.1,6317.08,2620.77,9.61759
1.44982e+06,1.05191e+06,826962,660837,377071,266253,849728,513415,772284,5354.49,240.211,248070,30617.3,22083.9,8599.23,5968.26,9.61825
1.76901e+06,1.27089e+06,835167,544593,300867,213725,844639,422350,773661,6378.15,2398.57,158723,43110,16148.4,5978.87,3994.97,9.62049
2.04965e+06,1.27542e+06,964226,855613,598776,379901,945682,608948,843040,11842.2,4989.78,42627.9,52294.6,31310.3,11577,7607.82,9.62642
2.32072e+06,1.86305e+06,747391,361279,220958,173143,765697,287591,753734,5068.96,930.611,46899.3,57506.2,31560.2,6731.89,3718.36,9.62853
2.46111e+06,1.39555e+06,1.05813e+06,1.09858e+06,931566,579399,964689,718749,917073,22634.2,3782.68,384726,143960,81362.8,15924.2,10473.3,9.63367
1.0947e+06,730483,899157,816477,616022,395440,934688,578946,846169,11157.9,1896.42,113133,44886.2,36391.9,8301.02,7351.06,9.63525
1.09405e+06,765338,857702,631614,478105,342925,836519,481434,787166,6756.67,334.74,116349,53166.9,36414.9,6233.49,4282.8,9.63617
876183,578216,909193,519219,398718,291283,821300,397780,783174,6912.21,945.104,27085.8,36041.8,28713,6611.14,4760.82,9.64012
1.53666e+06,1.16789e+06,789459,440116,304650,213810,854919,331799,795872,14904.1,12.381,126757,35971.2,20948.7,6748.81,4184.79,9.64118
1.86955e+06,1.4027e+06,799693,472538,356993,277659,771436,385381,735695,19892.2,2528.1,32913.1,41082.8,16787,9603.12,9947.27,9.64236
1.29679e+06,930621,836081,481174,283807,205994,826646,362730,795922,8111.65,1640.09,42824.5,47041,18220.7,8699.85,4287.88,9.64394
2.03877e+06,1.3876e+06,881563,435582,365049,262291,835062,335188,779709,9279.46,918.057,94466.3,19478.7,18799.6,6391.7,3746.33,9.64618
1.24943e+06,911626,822333,700249,374254,266433,842810,550267,763537,7720.47,2038.05,125939,19521.4,19447.6,6630.27,8348.51,9.64684
1.89567e+06,1.2801e+06,888524,512270,448552,291463,923379,362051,848948,12001.2,4254.79,48475.3,32027.5,19670.4,8205.68,3947.83,9.64697
