time,replicate,genotype,counts,cohort number,condition
24,1,WT,6042,4509,0uM
48,1,WT,17796,4374,0uM
72,1,WT,77080,4298,0uM
96,1,WT,45646,2709,0uM
120,1,WT,37197,1852,0uM
144,1,WT,26524,1355,0uM
24,2,WT,5646,3789,0uM
48,2,WT,17736,4212,0uM
72,2,WT,73499,4051,0uM
96,2,WT,47854,2942,0uM
120,2,WT,39305,2021,0uM
144,2,WT,24152,1240,0uM
24,3,WT,6286,4317,0uM
48,3,WT,15328,4226,0uM
72,3,WT,69138,4068,0uM
96,3,WT,59274,3016,0uM
120,3,WT,34719,2051,0uM
144,3,WT,22470,1364,0uM
24,1,BaxBak KO,7426,7391,0uM
48,1,BaxBak KO,19440,8727,0uM
72,1,BaxBak KO,79669,8561,0uM
96,1,BaxBak KO,101446,8442,0uM
120,1,BaxBak KO,87223,6877,0uM
144,1,BaxBak KO,96206,7387,0uM
24,2,BaxBak KO,8143,8126,0uM
48,2,BaxBak KO,19049,8662,0uM
72,2,BaxBak KO,71834,7801,0uM
96,2,BaxBak KO,99589,8268,0uM
120,2,BaxBak KO,86500,6996,0uM
144,2,BaxBak KO,95243,7317,0uM
24,3,BaxBak KO,7657,7614,0uM
48,3,BaxBak KO,19854,8774,0uM
72,3,BaxBak KO,73986,8053,0uM
96,3,BaxBak KO,100691,8469,0uM
120,3,BaxBak KO,86600,6857,0uM
144,3,BaxBak KO,93520,7414,0uM
24,1,WT,6042,4509,0.1uM MCL1i
48,1,WT,18214,4015,0.1uM MCL1i
72,1,WT,73224,3745,0.1uM MCL1i
96,1,WT,42516,1973,0.1uM MCL1i
120,1,WT,21693,1171,0.1uM MCL1i
144,1,WT,16500,875,0.1uM MCL1i
24,2,WT,5646,3789,0.1uM MCL1i
48,2,WT,17229,4066,0.1uM MCL1i
72,2,WT,69713,3327,0.1uM MCL1i
96,2,WT,36820,1859,0.1uM MCL1i
120,2,WT,25937,1183,0.1uM MCL1i
144,2,WT,15975,883,0.1uM MCL1i
24,3,WT,6286,4317,0.1uM MCL1i
48,3,WT,15619,4034,0.1uM MCL1i
72,3,WT,74981,3483,0.1uM MCL1i
96,3,WT,45029,2002,0.1uM MCL1i
120,3,WT,31764,1308,0.1uM MCL1i
144,3,WT,15971,823,0.1uM MCL1i
24,1,BaxBak KO,7426,7391,0.1uM MCL1i
48,1,BaxBak KO,16923,7729,0.1uM MCL1i
72,1,BaxBak KO,71497,7722,0.1uM MCL1i
96,1,BaxBak KO,100509,8226,0.1uM MCL1i
120,1,BaxBak KO,86891,6690,0.1uM MCL1i
144,1,BaxBak KO,90737,7128,0.1uM MCL1i
24,2,BaxBak KO,8143,8126,0.1uM MCL1i
48,2,BaxBak KO,18540,8359,0.1uM MCL1i
72,2,BaxBak KO,73037,7978,0.1uM MCL1i
96,2,BaxBak KO,95491,7967,0.1uM MCL1i
120,2,BaxBak KO,87317,6923,0.1uM MCL1i
144,2,BaxBak KO,89383,7039,0.1uM MCL1i
24,3,BaxBak KO,7657,7614,0.1uM MCL1i
48,3,BaxBak KO,18777,8423,0.1uM MCL1i
72,3,BaxBak KO,72189,7755,0.1uM MCL1i
96,3,BaxBak KO,93766,8044,0.1uM MCL1i
120,3,BaxBak KO,83509,6736,0.1uM MCL1i
144,3,BaxBak KO,91743,7132,0.1uM MCL1i
24,1,WT,6042,4509,1uM MCL1i
48,1,WT,13280,3094,1uM MCL1i
72,1,WT,40996,2151,1uM MCL1i
96,1,WT,15734,853,1uM MCL1i
120,1,WT,7658,469,1uM MCL1i
144,1,WT,2048,156,1uM MCL1i
24,2,WT,5646,3789,1uM MCL1i
48,2,WT,11307,2999,1uM MCL1i
72,2,WT,36449,1985,1uM MCL1i
96,2,WT,14370,831,1uM MCL1i
120,2,WT,6403,450,1uM MCL1i
144,2,WT,2703,190,1uM MCL1i
24,3,WT,6286,4317,1uM MCL1i
48,3,WT,12653,2995,1uM MCL1i
72,3,WT,38274,1946,1uM MCL1i
96,3,WT,15073,878,1uM MCL1i
120,3,WT,7742,506,1uM MCL1i
144,3,WT,3707,238,1uM MCL1i
24,1,BaxBak KO,7426,7391,1uM MCL1i
48,1,BaxBak KO,17406,7793,1uM MCL1i
72,1,BaxBak KO,72094,7677,1uM MCL1i
96,1,BaxBak KO,98337,8108,1uM MCL1i
120,1,BaxBak KO,87131,6611,1uM MCL1i
144,1,BaxBak KO,93080,7118,1uM MCL1i
24,2,BaxBak KO,8143,8126,1uM MCL1i
48,2,BaxBak KO,17606,7910,1uM MCL1i
72,2,BaxBak KO,72911,7736,1uM MCL1i
96,2,BaxBak KO,94771,7867,1uM MCL1i
120,2,BaxBak KO,81291,6433,1uM MCL1i
144,2,BaxBak KO,89109,6929,1uM MCL1i
24,3,BaxBak KO,7657,7614,1uM MCL1i
48,3,BaxBak KO,17254,7789,1uM MCL1i
72,3,BaxBak KO,70563,7638,1uM MCL1i
96,3,BaxBak KO,91557,7822,1uM MCL1i
120,3,BaxBak KO,82831,6668,1uM MCL1i
144,3,BaxBak KO,92457,7230,1uM MCL1i
24,1,WT,6042,4509,0.1uM BCL2i
48,1,WT,18319,4324,0.1uM BCL2i
72,1,WT,66843,3689,0.1uM BCL2i
96,1,WT,35357,2019,0.1uM BCL2i
120,1,WT,23721,1131,0.1uM BCL2i
144,1,WT,14518,722,0.1uM BCL2i
24,2,WT,5646,3789,0.1uM BCL2i
48,2,WT,16504,4202,0.1uM BCL2i
72,2,WT,66127,3421,0.1uM BCL2i
96,2,WT,37494,2028,0.1uM BCL2i
120,2,WT,21301,1070,0.1uM BCL2i
144,2,WT,14079,675,0.1uM BCL2i
24,3,WT,6286,4317,0.1uM BCL2i
48,3,WT,17014,4167,0.1uM BCL2i
72,3,WT,65942,3516,0.1uM BCL2i
96,3,WT,43252,2026,0.1uM BCL2i
120,3,WT,20227,1054,0.1uM BCL2i
144,3,WT,13543,626,0.1uM BCL2i
24,1,BaxBak KO,7426,7391,0.1uM BCL2i
48,1,BaxBak KO,18963,8554,0.1uM BCL2i
72,1,BaxBak KO,75940,8101,0.1uM BCL2i
96,1,BaxBak KO,100134,8138,0.1uM BCL2i
120,1,BaxBak KO,87066,6748,0.1uM BCL2i
144,1,BaxBak KO,90471,7155,0.1uM BCL2i
24,2,BaxBak KO,8143,8126,0.1uM BCL2i
48,2,BaxBak KO,18240,8189,0.1uM BCL2i
72,2,BaxBak KO,76094,8153,0.1uM BCL2i
96,2,BaxBak KO,94583,7918,0.1uM BCL2i
120,2,BaxBak KO,88811,6861,0.1uM BCL2i
144,2,BaxBak KO,89760,6978,0.1uM BCL2i
24,3,BaxBak KO,7657,7614,0.1uM BCL2i
48,3,BaxBak KO,18403,8116,0.1uM BCL2i
72,3,BaxBak KO,77151,8333,0.1uM BCL2i
96,3,BaxBak KO,104777,8881,0.1uM BCL2i
120,3,BaxBak KO,84951,6723,0.1uM BCL2i
144,3,BaxBak KO,91969,7401,0.1uM BCL2i
24,1,WT,6042,4509,1uM BCL2i
48,1,WT,17377,4133,1uM BCL2i
72,1,WT,58651,3436,1uM BCL2i
96,1,WT,38306,1696,1uM BCL2i
120,1,WT,16620,709,1uM BCL2i
144,1,WT,7180,352,1uM BCL2i
24,2,WT,5646,3789,1uM BCL2i
48,2,WT,17944,4168,1uM BCL2i
72,2,WT,66716,3365,1uM BCL2i
96,2,WT,34363,1709,1uM BCL2i
120,2,WT,19496,739,1uM BCL2i
144,2,WT,6914,312,1uM BCL2i
24,3,WT,6286,4317,1uM BCL2i
48,3,WT,15046,3775,1uM BCL2i
72,3,WT,61134,3195,1uM BCL2i
96,3,WT,37361,1752,1uM BCL2i
120,3,WT,23439,733,1uM BCL2i
144,3,WT,8018,383,1uM BCL2i
24,1,BaxBak KO,7426,7391,1uM BCL2i
48,1,BaxBak KO,17857,8089,1uM BCL2i
72,1,BaxBak KO,71609,7959,1uM BCL2i
96,1,BaxBak KO,93729,8431,1uM BCL2i
120,1,BaxBak KO,80274,6759,1uM BCL2i
144,1,BaxBak KO,85254,7194,1uM BCL2i
24,2,BaxBak KO,8143,8126,1uM BCL2i
48,2,BaxBak KO,18283,8110,1uM BCL2i
72,2,BaxBak KO,70823,7991,1uM BCL2i
96,2,BaxBak KO,88917,8003,1uM BCL2i
120,2,BaxBak KO,77086,6440,1uM BCL2i
144,2,BaxBak KO,84366,7023,1uM BCL2i
24,3,BaxBak KO,7657,7614,1uM BCL2i
48,3,BaxBak KO,18437,8267,1uM BCL2i
72,3,BaxBak KO,70369,7970,1uM BCL2i
96,3,BaxBak KO,92437,7986,1uM BCL2i
