"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.71792e+06,1.29266e+06,797387,613141,547212,393217,834977,476841,771504,10672.3,358.796,44911.4,61788.3,29792.8,11990.5,3063.55,10.0821
1.79923e+06,1.30856e+06,824980,840699,770896,570802,810329,643137,784311,12472.5,2879.17,51073.5,64355.5,27281.7,13604.3,3485.24,10.0843
1.61375e+06,1.20575e+06,803026,566701,390558,269127,870721,419741,810073,11572.2,1512.02,27057.2,52222.3,29821.3,13101.5,4117.63,10.0883
1.47908e+06,1.1036e+06,804142,842672,735372,533557,826947,649444,778516,11407.7,3174.93,107871,80984.6,54709.1,22852.9,3857.6,10.0919
1.64012e+06,1.15759e+06,850107,801526,675242,488526,829322,621600,773673,13764.4,2332.54,186768,60588.7,37610.3,13286.4,2925.55,10.1065
1.68015e+06,1.23563e+06,815852,646879,436620,309673,845964,490131,791885,13678.7,1172.64,82660.4,54239.9,40526,15899,3806.06,10.1144
1.77221e+06,1.26035e+06,843676,771773,645763,443778,873089,549701,842393,14766.9,2270.75,92637,78486.9,46683.9,15932.3,5196.82,10.1149
1.64745e+06,1.26709e+06,780110,509649,443242,349305,761355,422317,724076,8061.69,-339.919,26807.2,36726.5,25428.5,11395,2485.36,10.124
1.59742e+06,1.25371e+06,764491,547429,332417,231109,863015,407299,806429,14527.7,-364.137,5316.69,62364.5,39091.7,14745.8,3490.21,10.1363
1.75916e+06,1.28681e+06,820242,737214,640013,452373,848875,564859,783078,10204.1,339.977,38928.4,58110.8,26122.5,11928.1,5652.34,10.1459
1.50396e+06,1.20199e+06,750734,568511,471092,346629,815439,434803,784509,7678.35,-142.277,48661.6,48919,19866.5,14055.8,3438.73,10.1466
1.36836e+06,974699,842327,894457,513908,360211,856012,672713,797776,11520.6,2711.24,48940.1,63733.1,29060,15393.4,2783.61,10.1475
1.3651e+06,1.00353e+06,816178,877713,750566,540189,833670,640736,821910,13846.1,932.82,19353,56264.5,35514,18821.6,4353.41,10.1526
2.26137e+06,1.38701e+06,978235,1.20392e+06,1.11097e+06,666945,999456,767870,940726,36212.8,3088.5,186819,176347,120349,28839.1,5439.19,10.1526
1.85506e+06,1.32595e+06,839421,739617,613516,434056,848070,555308,799143,15177.3,507.814,18867.3,70304.1,32677.2,18918.2,3577.12,10.1699
1.62636e+06,1.18655e+06,822399,591433,457426,348472,787597,489486,724964,11157.2,770.492,125524,41968,17592.8,12144.5,6188.29,10.1744
995315,577190,1.03465e+06,1.02466e+06,631878,405463,935047,706312,870434,11353.3,1292.03,89390.8,60866.8,70234.6,15664.7,7076.28,10.1799
1.42677e+06,920340,930161,1.39693e+06,811028,493590,985872,929005,902212,17148.3,2376.56,42403.1,96690.5,58919.8,24713.7,5647.09,10.1832
1.51851e+06,1.10405e+06,825240,864286,651573,453864,861367,627417,826518,13179.9,-173.319,387112,58893,58409.6,24463,4064.64,10.1895
2.08847e+06,1.27211e+06,985040,1.31358e+06,1.0498e+06,608973,1.03433e+06,862107,914213,22018.1,3733.14,87274,96304.6,34313.8,32539.7,3686.25,10.1895
2.09346e+06,1.37938e+06,910605,838158,427993,261339,982617,556059,904392,24666.8,340.342,1514.71,114013,64880.3,41809.6,3929.4,10.1934
1.55596e+06,1.20169e+06,776882,752374,483844,312697,928396,530395,851110,15160.6,739.75,42328,58743.5,25065.8,16159.6,5442.68,10.1997
1.37784e+06,952982,867491,929421,457762,303550,904817,679472,820715,14197.8,1624.08,53525.8,69216.8,33461.5,17195.8,3319.25,10.2037
1.58056e+06,1.13986e+06,831981,636322,424896,294648,865228,457064,835317,19311.9,2996.7,3277.55,103020,31967.6,15033,6002.52,10.2055
1.93527e+06,1.42233e+06,816379,546146,435207,300041,870296,426687,767981,9787.71,-369.276,16440.1,48545.5,21695.3,11232.5,4688.13,10.2115
1.72438e+06,1.24892e+06,828422,798764,566545,400867,847980,589502,812989,13508.7,1842.36,234610,75275.7,28122.9,18941.8,4461.14,10.2392
1.7334e+06,1.25305e+06,830003,711169,636144,452757,843027,522526,816613,9842.87,1414.77,41019.8,58555.4,34672.5,13669.5,7566.84,10.2397
1.8688e+06,1.41397e+06,793005,586149,415916,287837,866983,421159,835051,14477.4,2206.3,35567.7,53800.6,28488.2,16486.2,7049.78,10.2662
1.62436e+06,1.20524e+06,808652,614615,508260,350498,870064,462368,797566,13074.6,368.765,9698.68,65955.1,29640,10575.6,3523.57,10.2723
1.89485e+06,1.49254e+06,761730,535219,496922,386469,771480,422940,759284,8603.62,1639.58,92520.5,53792.8,19491.4,13453.8,4205.31,10.2893
1.11257e+06,751098,888752,949986,427168,268432,954807,692674,822886,17681.1,1041.09,87842.3,126639,49283.6,21250.9,2632.08,10.2902
1.76407e+06,1.21131e+06,873801,739341,618516,411860,901058,540139,821279,12433,-624.372,35043.6,58284.2,20740.4,14323.7,6787.09,10.2955
1.89346e+06,1.45047e+06,783248,631582,442346,320039,829298,492183,769936,13540.2,-786.748,5285.66,54084.9,24642.6,10511.5,4802.12,10.2995
2.1944e+06,1.27854e+06,1.0298e+06,1.61699e+06,1.20223e+06,716705,1.00646e+06,1.06676e+06,909481,26918.4,1987.75,119977,152511,62100.9,37145.4,6859.93,10.3053
1.48475e+06,1.05905e+06,841180,829896,537635,345303,934197,588313,846382,10254.1,828.468,76587.4,58560.5,31252.8,15886.6,3883.07,10.3084
1.35183e+06,1.05804e+06,766599,521667,337123,249533,810609,407274,768525,25640.2,99.1055,511.311,102518,34406.6,12023.5,2704.04,10.3225
1.63488e+06,1.25568e+06,781193,859129,637965,432339,885368,641424,803645,15672.8,638.952,190041,49119.3,30679.6,21268.3,4726.96,10.3311
1.43645e+06,1.0857e+06,793843,474695,264031,193199,819976,378520,752449,9906.15,2091.27,48801.7,40222.1,22495.7,14401.9,4824.72,10.3359
1.44527e+06,983752,881485,443242,220846,152352,869747,328319,810021,27888.8,391.882,3180.26,111412,56064.9,18772.3,2666.23,10.3396
1.50613e+06,1.06624e+06,847536,1.03915e+06,952759,576349,991856,712753,874766,17755,-1184.83,2544.87,105912,41405.6,15201,4919.21,10.3466
1.72877e+06,1.23244e+06,841632,950605,627212,442213,851009,725393,786281,16522.4,263.357,6101.83,73286.1,29763.6,23080,3567,10.3535
1.84861e+06,1.36684e+06,811482,680366,643296,499722,772384,549513,742876,12885.7,23.1806,85619.5,38093.9,21643.4,16297.5,4363.33,10.3537
