"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.8969e+06,1.46063e+06,779212,830594,581276,400916,869921,591115,843079,11773.2,1072.28,205090,49852.9,29608.6,15388.8,6074.99,10.079
1.99339e+06,1.48646e+06,804623,603086,486591,327569,891277,463185,781224,11956.5,-285.49,104322,54047.8,30760.7,10660,4622.73,10.1015
1.64588e+06,1.15789e+06,852871,653494,407891,294624,830667,508181,771568,11627.6,-192.451,3701.26,62858.1,32982.1,11798.4,3779.04,10.1024
1.56324e+06,1.24475e+06,753519,599930,371251,258248,862546,457301,787135,12951.8,646.55,11452.3,71477.2,35600.1,12758.6,2557.36,10.1443
1.34879e+06,1.04564e+06,773949,729319,523413,367708,854068,528838,827458,17279.4,-264.188,44277.6,46242.2,42115.7,15185.7,7233.67,10.1573
1.99195e+06,1.44767e+06,825582,716977,606096,464756,782470,572086,751961,19241.6,-344.34,208387,32471.7,19554.8,14612.9,6260.92,10.1809
1.5495e+06,1.07357e+06,865987,574354,450656,327554,825492,453390,760079,10469.2,-859.861,2001.96,62041.4,40816.1,8046.55,3666.77,10.1904
1.74083e+06,1.35275e+06,772128,552004,426594,318591,803401,439798,753079,14908.3,-1192.47,23186.7,51728.6,35446.6,16993.2,2256.39,10.193
1.36918e+06,927372,885845,963039,776865,576420,808645,745634,774943,13308.6,1595.53,28556.9,45407.4,42925.5,14412,6710.3,10.1932
1.7179e+06,1.23973e+06,831425,668733,598271,440614,814687,516827,776352,9515.79,-792.098,101023,39590.4,46038.9,10121.5,7374.71,10.1981
1.51368e+06,1.12682e+06,805995,846824,561281,387808,868391,619153,820629,14671.8,171.445,43014.9,50663.4,34005,18990.5,6832.58,10.2055
1.54947e+06,1.07783e+06,862546,1.00462e+06,526817,341490,925621,715851,842037,13355.5,2565.25,43088.4,44535.9,42174,21233.2,5955.77,10.2084
1.96401e+06,1.51396e+06,778359,764874,607771,440830,827218,568737,806919,14982.1,-339.171,21964.5,74239.9,24459.9,15373.3,6222.36,10.2141
1.14116e+06,746836,916798,723707,540248,375191,863957,555083,782269,15373.7,-1166.1,3680.93,121855,41043.5,16788.7,3701.73,10.2193
1.90645e+06,1.42068e+06,805156,532314,500202,372776,805098,413607,772202,7816.63,173.871,11862.4,44998.4,29089.2,10319.1,5185.16,10.2257
1.64955e+06,1.1029e+06,897387,931025,768540,543545,848364,695925,802694,17834,1124.94,19720.5,73847.3,38425.9,15803.3,7018.74,10.2273
