"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
842510,533052,948324,708104,447789,302151,889203,531163,799872,20042.1,1174.32,8050.6,56685.8,16055.4,10459.6,4601.77,10.9154
1.5765e+06,1.18208e+06,800198,640748,480142,342275,841677,492246,781009,19432.5,526.602,126471,46274.8,29344.4,15412.8,5215.96,10.9189
1.61209e+06,1.09808e+06,880855,991731,589122,379114,932366,688438,864331,16251.9,3538.93,27868.7,51160.9,31491.6,20239.5,5410.78,10.929
1.2568e+06,879813,857092,729666,644741,472890,818044,567545,771392,11159.6,791.576,64613.1,39968,25074,10938.6,4661.89,10.9308
2.07245e+06,1.51987e+06,818140,503624,424304,293436,867591,378131,799126,11463.2,2184.42,25182,26186.5,13731,11383.5,5734.72,10.9339
1.78222e+06,1.11743e+06,956957,992715,838770,533949,942528,687514,866352,20499.3,2795.46,42448,121545,42467.1,23293.2,5477.95,10.942
2.19728e+06,1.72226e+06,765485,430574,360356,283347,763070,348619,741050,11675.9,548.051,51474.7,43373.1,11962.5,11035.5,3556.29,10.9431
1.73444e+06,1.31502e+06,791368,620741,467908,345074,813578,484853,768160,19655.4,-308.985,11219.3,54992.7,28419.8,13183.6,5595.4,10.9488
1.5382e+06,1.03032e+06,895757,740376,611586,421891,869779,544557,815756,16611.5,2790.24,29227,62084.8,28156.2,20134.2,5953.17,10.9497
2.50746e+06,1.67622e+06,897539,744347,487801,339608,861819,546134,817763,27562.6,2362.76,28718.3,76433.6,34124,21424.4,3944.74,10.9548
1.48166e+06,1.07476e+06,827160,740571,650994,457803,853197,555468,799942,14130.9,1195.15,41967.5,60762,23294.4,14118.2,6133.61,10.9683
1.50888e+06,1.13707e+06,796197,687200,602214,453159,797355,551678,747392,18389.1,314.066,23655.5,51532.6,16235.4,13624.8,5061.76,10.9697
1.09774e+06,736302,894532,691635,642300,405067,951398,467526,887610,18799.8,1949.27,26830.6,43922.2,45338,14888.2,3828.31,10.9806
1.87952e+06,1.26718e+06,889937,718293,557868,354268,944824,487653,883775,18178.9,5074.2,24992.2,73991.7,38595.9,27734.2,5772.31,10.9836
1.35389e+06,878678,924496,786470,556481,365070,914588,572568,824150,18873.1,1792.71,12619.6,65612.2,35969.4,15811.1,6843.43,10.9935
2.08827e+06,1.54469e+06,811143,557961,511800,368979,832242,426792,784402,20338.4,371.468,13374.7,56999.6,19988.5,11920.1,3749.9,10.9965
2.00881e+06,1.55026e+06,777471,553923,373407,267374,837944,422132,787322,21966.2,93.3924,47804.3,52738,25262,14386.2,6847.15,11.0012
2.15319e+06,1.49675e+06,863148,546106,467373,321951,871014,410668,797879,17800.4,2793.98,103449,57111.1,10396,16004.5,4244.19,11.0017
1.82553e+06,1.44311e+06,758995,498591,441123,329901,802283,394948,757452,8366.61,1635.25,91740.8,52176.7,36898.2,10744,2861.59,11.0023
1.60594e+06,1.16796e+06,824998,641306,493542,351249,843063,504648,762479,11572.4,1104.73,126220,45898.8,18389.1,12267.1,3749.54,11.0093
