"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.24948e+06,876745,855083,615286,392571,285944,823737,492467,749637,10374.9,-746.168,6142,33089.3,27833.5,9604.1,3758.27,10.7614
1.52346e+06,1.09728e+06,833036,1.05021e+06,735307,484062,911421,785508,802191,18518.4,854.948,123737,77613.6,63725.4,26174.1,6981.08,10.7884
1.42091e+06,990034,861126,972698,743642,492257,906407,691212,844342,19647.8,322.012,53030.4,74177.9,44104.5,19383.5,4573.53,10.7947
1.82196e+06,1.43122e+06,763809,547340,425011,319589,797920,439010,748056,11882.7,-780.107,27648.9,30326.3,24378.7,12021.8,4484.54,10.7977
1.53031e+06,1.17424e+06,781943,725727,504506,349914,865080,548672,793619,18963.3,-355.741,30885.7,41246.3,34124.7,16684.4,3863.48,10.7987
1.09621e+06,876644,750279,401763,332365,268874,741682,351279,686228,5764.47,107.703,11554,30198.1,24331.3,4589.35,6716.31,10.8193
1.71061e+06,1.26602e+06,810704,672053,550529,417680,790838,538282,749109,13055.5,-993.035,75461.3,40346,48167.9,13921.2,9438.09,10.8223
1.84269e+06,1.54586e+06,715209,164517,128389,85424,901776,118562,832563,4019.98,-833.677,70067.7,17958.3,14628.8,3326.22,836.716,10.8254
1.48192e+06,1.1116e+06,799880,747592,626456,446706,841433,567800,789988,12652.6,1957.59,98847.4,59000.9,35096.2,19719.6,5270.79,10.8289
1.94469e+06,1.4108e+06,827060,830954,699094,514494,815279,658045,757657,16457,-607.865,66249.1,43085.2,39246.6,18917.7,9208.24,10.8329
1.78382e+06,1.33413e+06,802242,642827,521806,385774,811573,507687,759712,16323.9,-220.761,40147.9,60185.6,36360.8,18852.5,4939.49,10.8336
1.68631e+06,1.27807e+06,791655,681645,509990,360409,849019,492673,830138,13668.2,2176.87,102125,43883.8,61433.3,13303,3548.07,10.8356
1.94432e+06,1.43727e+06,811670,712264,660970,453143,875181,522516,817886,17887.9,-1463.71,45182.3,43741.2,35526.4,21514.4,8873.2,10.8508
1.77376e+06,1.27645e+06,833762,643878,557732,408572,819046,489587,789087,19361.4,3226.25,53270.3,57352.3,57502.4,18842.3,2590.47,10.8562
1.42307e+06,1.01125e+06,844344,722397,385621,259270,892400,535141,809951,16534.2,282.211,53627.9,29692.3,43515.3,19205,2925.12,10.8601
1.34374e+06,997428,808324,746666,475787,330699,863238,573781,780785,15960.2,957.271,35326.6,52824.4,38230.8,20024,6015.02,10.8621
1.32249e+06,818252,969742,1.10742e+06,992423,639562,931034,763673,870077,18348,1941.37,22222.5,85807.4,51442.6,21285.4,5071.98,10.8649
1.7525e+06,1.27722e+06,823272,846180,685093,483638,849924,620359,818410,13763.6,2417.44,60659.1,67693.6,47990.3,14258.7,7939.77,10.8695
1.69078e+06,1.27596e+06,795063,620891,421343,285553,885320,453193,822022,17342.9,390.778,16165.4,52300.2,39121.5,14954,4954.87,10.8701
1.66045e+06,1.06703e+06,933682,900634,642277,420142,917229,626603,862396,14905.2,258.629,41255,74166.9,39289.5,22676.2,7735.87,10.8711
2.04525e+06,1.45469e+06,843579,853269,768836,518481,889717,626379,817335,18790.8,172.713,41476.8,66807.4,34899.3,23472.8,6761.18,10.8774
1.22732e+06,936934,785958,712020,488275,344846,849552,527812,809402,15105.1,-1542.28,30558.4,60834.9,29518.1,16596.2,4019.33,10.8804
1.8414e+06,1.3936e+06,792795,409935,406218,311733,781858,327330,751416,13416.3,-119.507,31390.7,41656.9,34865.9,11571.7,2708.26,10.894
1.52847e+06,1.11337e+06,823702,744938,661099,471570,841147,566398,789132,16532.5,-660.231,87846.2,48397.1,30505,18450.4,3494.73,10.8949
1.00672e+06,642330,940378,535060,451770,308281,879270,386671,830256,11135.9,1427.38,8414.4,82813.6,29484.8,11727.1,3166.71,10.9015
1.92569e+06,1.39652e+06,827354,792286,665323,472249,845303,606224,784152,19152.6,1488.74,22354.2,57037.2,23874,20243.4,4751.98,10.9023
1.46096e+06,1.03636e+06,845823,668320,420455,289201,872310,506715,791357,11986,2291.77,101491,43192.4,28055.2,18941,3090.12,10.9359
2.39101e+06,1.60187e+06,895582,766073,596769,391124,915468,506730,907078,14218.3,184.405,101239,87393.9,33939.9,21379.5,718.1,10.9396
1.73548e+06,1.37768e+06,755829,508590,362251,256241,848227,379410,804285,20031,-1221.83,27532.2,44612.5,26560.2,15260.9,3013.46,10.9459
1.62187e+06,1.10446e+06,881083,636373,425772,301126,848360,459528,830905,26147.1,-1545.33,4119.35,205869,75241,22604.9,4473.15,10.9483
1.57893e+06,1.1657e+06,812694,811816,562804,398359,847683,587792,828677,14505.5,798.782,45941.4,50094.7,30349.9,16345.2,3635.26,10.9539
1.62366e+06,1.08521e+06,897702,968010,775556,520390,894202,704606,824299,20366.4,-472.317,5128.27,76352.7,51631.7,21058,6242.35,10.9636
2.19131e+06,1.50709e+06,872400,290935,184816,138153,802660,247801,704440,4690.98,33.4032,2252.17,33754.6,29206,9927.16,2225.96,10.9667
1.4935e+06,1.04277e+06,859345,793268,458726,299268,919696,561757,847272,14598.8,-1017.11,27803.8,64389.8,50664.5,15703.6,2856.51,10.97
1.02943e+06,671727,919506,596482,501556,340477,883859,444594,804980,6276.53,-624.297,17711.1,43896.5,29854,12796.6,3037.64,10.9723
1.59685e+06,1.14044e+06,840128,640408,398008,275890,865579,481251,798429,15073,-522.015,10727.5,48792.3,21978,11417.1,2992.07,10.9749
1.5394e+06,1.12877e+06,818271,810102,555709,379273,879117,563747,862198,17726.4,-703.333,21009.9,50667,37339.2,19654.3,4494.54,10.9779
1.28857e+06,902568,856604,1.04196e+06,555327,382259,871651,746003,838034,12806,1293.38,94388.3,28396.5,43635.6,16479.9,3347.03,10.982
1.47553e+06,1.15340e+06,767568,750642,665917,447529,892791,526566,855325,9525.73,109.215,15311.4,52898.6,21731.5,11876.6,2909.7,10.9884
1.75233e+06,1.17734e+06,893027,892422,832043,533827,935183,616721,868226,22277,-1086.22,29563,38837.4,35291.3,18979.9,8828.85,10.9895
1.85755e+06,1.25743e+06,886358,977078,687067,441122,934527,691716,847525,20328.7,-122.979,25006.4,51330.1,31610.1,35277.8,6021.8,10.9912
1.44058e+06,1.00272e+06,861996,905613,589168,405075,872680,655715,828665,12774,1056.75,374639,40483.9,33420,17812.8,2394.02,11.0012
1.67261e+06,1.21176e+06,828187,791629,682655,467557,876028,586845,809374,18883.6,1295.33,42085.8,50948.3,36220.9,15008,5335.95,11.0076
1.55725e+06,1.07805e+06,866706,893721,578851,396650,875610,636155,842927,13808,1288.01,29182.1,81659.3,52554.9,27403.8,5655.88,11.0094
1.66593e+06,1.23123e+06,811838,556460,536101,373945,860182,412403,809586,12637,1753.24,48188.3,41880.9,24987.5,14835.9,2832.27,11.0096
1.55613e+06,1.16097e+06,804222,573217,521047,383779,814604,449145,765744,14669.4,943.818,10598.3,35487,22896.6,13831,5673.49,11.0363
1.3722e+06,865216,951577,487603,287394,209179,824350,393834,742855,19463.7,-445.843,33888.9,54915.5,63049.2,11713.5,5851.34,11.0453
1.80791e+06,1.41069e+06,768950,641512,490953,341773,861893,479141,803328,15422.8,2104.9,246251,41002.2,30387.9,17153.5,5286.27,11.0712
1.37009e+06,1.0308e+06,797496,403209,197655,137686,861328,303783,796377,8855.6,25.5272,26810.1,36973.7,24861.8,7522.52,1722.08,11.0748
1.53842e+06,1.12147e+06,823072,734708,418203,292753,857111,554489,795011,8876.1,2552.13,85958.5,31653.5,27381.2,13716.5,2788.72,11.0818
1.99411e+06,1.48247e+06,807076,566474,348939,245726,852020,432414,786017,3379.33,2006.43,215211,53748.1,15075.6,7685.72,1672.24,11.083
2.12821e+06,1.60583e+06,795180,506835,379960,285053,799766,413778,734937,8479.5,495.914,48779.2,76550.5,38702.2,7749.4,1023.34,11.0866
1.49142e+06,1.10357e+06,810874,777536,468074,306715,915653,552860,843833,22733.2,1455.53,35127.2,48919.9,39631.9,21544.5,8082.38,11.0893
1.95135e+06,1.41446e+06,827744,716622,483597,336749,861645,510743,841858,27098.5,1625.2,2727.91,98367.7,21669.6,19552.8,5611.68,11.0977
1.71088e+06,1.36898e+06,749846,704208,507040,382357,795655,559611,755033,14927.6,880.167,1.00425e+06,31145.7,25129.5,14998.8,4811.97,11.0993
2.26175e+06,1.68055e+06,807505,1.04397e+06,800198,536397,895081,739029,847572,27960.1,-913.601,52267.9,70832.6,45416.9,38036.7,6476.55,11.1008
1.98367e+06,1.28799e+06,924074,1.19948e+06,886666,585935,907950,853810,842914,34527.8,-525.403,2129.53,130941,107305,23735.5,6715.22,11.1044
1.32916e+06,866541,920322,932514,608780,398015,917724,637364,877847,14783.5,2225.77,57649.2,39742,29014.4,22544.3,5084.94,11.1139
1.89396e+06,1.3985e+06,812567,703425,462809,297606,933065,483935,872131,22102.6,914.078,9848.65,33529.4,29401.6,19015.3,3261.74,11.1148
1.60082e+06,1.21707e+06,789186,614160,339681,242438,840663,476907,772679,11396.2,-369.969,55503.5,41045.9,20911.4,12403.2,3227.2,11.1317
