FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
1.34E+06,949903,848291,823002,477796,330826,866551,629278,784711,1063.67,199027,29438.5,21580.1,5874.08,15040.7,2785,10.0244
2.09E+06,1.50E+06,837073,643559,379671,262298,868488,468318,824515,3390.62,92966.5,52743.8,30347.4,12806.2,24384.4,3637.72,10.0325
1.53E+06,1.16E+06,792027,789245,503535,349834,863613,577745,819647,20.3382,23059.1,53898.1,30479.5,12898.2,12159.4,4320.4,10.0347
1.72E+06,1.19E+06,868408,629230,566167,415257,818048,498843,756827,-462.114,17380.1,36545.8,9848.11,10878.4,21475,7957.27,10.0369
1.95E+06,1.49E+06,788624,701351,653507,490116,800024,565940,743560,515.805,90904.4,35985.8,11532,7776.34,12054.5,3758.2,10.0481
1.82E+06,1.26E+06,870063,1.02E+06,883656,613330,864451,732669,835647,1983.92,80277.9,56052.4,31593.3,18227.9,22939.7,4612.14,10.0524
1.77E+06,1.23E+06,864991,1.15E+06,858679,572955,899211,834049,828383,1725.24,74111,59641.2,34039.3,17492.9,26544,8728.82,10.0833
2.06E+06,1.50E+06,824680,725241,583463,451891,774695,604813,719470,504.117,62817.5,43266.5,23662.3,13125.9,11916.4,5224.41,10.0876
1.74E+06,1.28E+06,817323,781355,528969,364583,870533,574307,816311,801.362,35365.6,48845.9,24413.3,16750.8,19912.1,6128.15,10.0877
1.80E+06,1.39E+06,779584,644666,438103,309805,848476,491596,786825,1557.17,40088.3,48353.5,19641,12261.9,15763.3,4045.38,10.0969
1.97E+06,1.42E+06,829829,940696,781896,530337,884603,694453,812751,3450.49,69691.7,67352.8,38466,15860.9,15466.9,4556.82,10.1026
1.83E+06,1.31E+06,840435,766404,550484,377605,874698,586651,783843,3890.61,181724,48524.8,70554.8,6821.7,13119.9,2867.23,10.1179
