FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
2.10E+06,1.35E+06,932030,958726,839555,542423,928672,669914,858670,-181.112,408616,64969.8,39747.5,20487.8,22022.6,19237.9,9.37651
2.23E+06,1.61E+06,829391,487345,412362,306566,807060,387030,755514,-485.969,329990,49188.5,25071.4,24489.5,18188.8,5116.7,9.39561
1.38E+06,938493,881722,609988,396558,277015,858924,431190,848797,119.982,200621,35187,13457.9,22287.6,16665.3,9178.19,9.41484
2.45E+06,1.52E+06,968770,831810,589308,372404,949465,557258,895610,2244.65,955844,98855,23927.9,42945.8,39255,11535.9,9.4202
1.30E+06,875644,890628,814309,419556,268833,936395,580643,841456,2080.85,319680,40555.8,22539,15259.6,31580.7,6920.65,9.44974
1.79E+06,1.21E+06,891533,649373,387028,257542,901666,471085,827077,1569.93,570559,46298.2,21911,32294.5,24345.1,4405.45,9.45579
1.64E+06,1.01E+06,974689,1.11E+06,608347,358560,1.02E+06,711918,934499,2079.23,238914,75530.5,22368.4,34612.4,34331.8,9466.3,9.45771
2.25E+06,1.52E+06,888616,767126,557581,379999,880393,540769,851150,1062.3,285953,58863.1,16899.8,43568.5,26758.5,6726.34,9.47503
2.53E+06,1.68E+06,905356,616356,398712,259849,920639,423558,873112,1178.39,307261,80499,33452.6,40212.3,28077.6,9582.23,9.4786
1.62E+06,1.32E+06,736476,300716,156468,121570,772235,257613,700389,1693.16,2.16E+06,26441.1,4334.02,3487.16,2350.16,2658.94,9.48011
2.52E+06,1.57E+06,963658,793564,624683,368458,1.02E+06,530590,897375,-221.697,502433,105619,28929.9,36281.2,28461.4,15795.7,9.48025
1.67E+06,1.02E+06,987845,962368,837756,523174,960777,645706,894248,2757.59,479252,42662.2,16815.8,25022.9,18699.6,7487.96,9.51707
2.39E+06,1.45E+06,987612,1.01E+06,688998,417155,990996,691230,878037,686.995,367499,60437.1,19044.2,34538.5,27478.5,8185.17,9.53493
2.74E+06,1.76E+06,931719,738646,598439,394211,910841,504452,878553,540.886,271131,65662.9,36240,46362.7,30620,12487.2,9.54002
1.41E+06,976683,865909,576768,457910,318195,863451,414815,834253,-487.899,209563,38137.3,18319.9,27490.3,18903.9,8052.92,9.55486
