"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.34815e+06,977036,827899,507544,259079,177818,874195,385669,789606,28232.4,-580.018,338480,42352.1,13704.4,14486.3,3479.45,15.632
3.19543e+06,1.84262e+06,1.0405e+06,1.05179e+06,829882,511424,973613,698400,903597,45000,1219.62,242852,88257.5,21469,26688.1,11336.5,15.6389
2.07119e+06,1.26035e+06,986006,846648,560748,332825,1.01089e+06,531159,956378,44984.6,1155.88,598052,77366.5,20416,30260.8,11836.8,15.6407
2.24844e+06,1.35878e+06,992854,808252,602127,393146,918936,568779,852617,41831.4,849.057,646433,75192.2,12821.9,23643.9,7087.95,15.6481
1.97707e+06,1.13163e+06,1.04826e+06,758630,460120,302152,913685,520565,874393,35496.3,1379.76,391624,63557,20901.8,32552.4,9530.08,15.6532
2.09541e+06,1.56797e+06,801829,442586,305251,221939,825229,336033,790255,22179.2,-116.098,151187,49542.8,11997.9,12329.2,5974.11,15.6554
1.91719e+06,1.18252e+06,972765,932927,571969,358405,957524,626311,893735,43912,1890.33,514960,87465.5,20979.6,26278.4,16190.9,15.6714
2.04784e+06,1.42051e+06,864976,566198,492381,354393,833618,429525,790918,28850.9,-144.056,377577,46907,5692.36,17925.2,5160.85,15.6776
1.47819e+06,1.14356e+06,775573,414121,214902,171669,751102,353891,702117,15673.2,-405.389,362618,26559.9,6926.31,9540.14,3167.44,15.6921
1.59235e+06,948930,1.00683e+06,688026,357931,226364,948731,480565,859021,32214.9,617.302,210179,61298.9,22969,21005.4,11791.3,15.698
2.13473e+06,1.30277e+06,983167,1.22905e+06,864827,514207,1.00912e+06,787558,936348,57151.3,866.087,579762,192724,36873.6,39503.8,14194.8,15.7103
2.67608e+06,1.74188e+06,921791,743585,575604,354362,974603,501137,890277,37892.5,528.881,314732,58888.2,23282.9,23701.6,12641.4,15.718
3.17235e+06,2.06958e+06,919706,1.09414e+06,634703,334095,1.13986e+06,651011,1.00841e+06,71750.6,248.612,481681,87163.3,40768.5,48627.6,13620.8,15.7239
2.16668e+06,1.39872e+06,929428,935234,599783,386278,931634,653944,858086,57615,352.88,389762,76780.9,20346.4,29445.6,7028.96,15.7459
2.96467e+06,1.92645e+06,923360,1.00551e+06,728907,458509,953840,680236,886910,72727.4,605.26,331730,89332.6,24522.2,33406.4,10632.4,15.7579
1.2667e+06,832843,912558,717472,382216,261047,878499,525612,819014,22533.2,342.929,288370,44685.4,15516.5,12909.2,7769.75,15.7727
2.00725e+06,1.41034e+06,853944,692097,430836,259830,994887,465423,892217,35261.5,-331.149,302696,78504.7,48407.4,22374.2,13520,15.773
1.66501e+06,932892,1.07087e+06,1.0466e+06,636762,321227,1.18937e+06,586750,1.07024e+06,39804.8,2499.64,592961,133673,25277.3,34929.7,13433.8,15.7941
1.30444e+06,946747,826685,717062,369202,250284,885080,548745,784038,12069.2,1609.9,1.03701e+06,40163,12939.1,16022.4,5253.91,15.7959
2.41641e+06,1.50215e+06,965183,626613,472899,313631,904693,455130,826067,28617.2,1360.72,312599,49166.1,47447.8,16594.9,10643.8,15.8042
