FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
1.20E+06,794970,906930,748941,693301,479354,867794,550597,816141,-935.111,109290,50686.1,14778.3,19546,10205.9,6233.45,24.0433
1.69E+06,1.25E+06,808892,404574,291603,208982,837209,320388,757657,-1307.74,23926.5,38690.1,20416.7,12925.6,5924.17,3715.36,24.0462
1.84E+06,1.34E+06,826077,572679,396689,275720,863243,432407,794639,-231.785,18800.2,53954.2,19185.7,15068.2,11887.7,5637.61,24.0479
2.86E+06,2.05E+06,838110,636175,426010,288372,886375,466969,817410,349.663,125122,59048.2,38311.8,13059.4,9695.07,6665.5,24.049
1.42E+06,1.07E+06,795407,525433,481469,358494,805819,433031,728031,1673.09,29306.5,20390.4,5084.11,7266.8,1241.56,2703.15,24.0525
1.88E+06,1.28E+06,879472,572833,509047,353645,863657,425840,807111,-478.123,32409.1,69632.9,28777.7,17358.6,9547.2,6346.09,24.0608
1.26E+06,920955,818898,543518,444982,305965,872614,406997,801261,-356.819,188329,42798.4,19821.6,12617.6,9161.87,4998.68,24.0649
1.63E+06,1.06E+06,924358,906263,547494,357014,920122,659051,825062,845.471,83600.6,68173.3,25644.1,21142.3,13531.7,5971.8,24.0661
1.94E+06,1.51E+06,773179,450567,322703,242138,799634,353482,764792,-929.373,115213,47950.2,18184.1,20244.4,5358.77,4761.77,24.0729
1.37E+06,1.06E+06,771672,496725,385646,293598,788110,407841,730763,-1952.56,56911.4,30948.1,14996.7,6972.21,6344.62,5058.12,24.0783
2.23E+06,1.52E+06,881727,581354,360076,250404,862788,439225,794155,600.966,35172.8,43126.3,30591,11332,9612.02,4975.71,24.0816
1.40E+06,921424,914739,826468,693784,498709,834696,637749,777549,-1101.33,83873.4,175463,40499.8,9329.28,12662,9791.47,24.0848
1.64E+06,1.17E+06,840536,362219,213551,156802,817148,290088,749191,-1237.36,54961.6,31225.2,31720.5,9297.85,6395.75,3458.15,24.0855
1.87E+06,1.42E+06,792567,446358,337540,249296,812383,362780,738229,-4.31789,65046.7,35228.2,18195.6,16014.9,7964.49,4503.19,24.0864
1.69E+06,1.36E+06,745211,415169,316176,253621,747989,348770,714228,-894.592,252705,41338.5,11141.4,8977.6,7997.95,3804.85,24.0871
2.93E+06,1.88E+06,937349,715378,598290,378540,948312,493049,870556,113.873,37953.4,84596,23463.6,47844.3,13595.3,5972.11,24.0945
2.43E+06,1.66E+06,879224,597998,481980,331843,871461,441649,812407,-615.355,31567.4,61430.3,39285.4,25727.3,13292.1,4637.19,24.0981
2.18E+06,1.63E+06,802364,585597,456006,321192,851838,444720,790066,351.617,59603.4,53561.9,22947.3,25183.2,9120.92,4571.89,24.0982
1.64E+06,1.12E+06,881312,715953,583475,401990,870880,538679,797455,197.081,30969.7,60060.5,28883.7,25937.2,9938.22,10532.6,24.0985
2.21E+06,1.45E+06,911879,513488,402419,254458,948884,347646,886225,-870.02,63515.5,102483,44470.6,30462.3,13738.3,4882.15,24.0996
1.94E+06,1.37E+06,850302,594905,453131,316270,859641,457618,780002,-440.162,101443,52916.6,17574.7,23599.4,10528.2,5388.17,24.1038
1.69E+06,1.06E+06,951730,621727,378538,256536,885344,453303,822928,23.9202,64257.9,47022.9,20077.4,24865.5,14780.9,4384.12,24.1079
1.88E+06,1.36E+06,827447,556111,333046,234099,853602,432328,771791,-86.9863,34906.1,50184.5,21448,16910,8719.62,4103.37,24.1096
2.45E+06,1.69E+06,870094,850002,662296,411036,966771,592316,861029,-2384.26,81012.6,88707.7,55731.7,51567.7,15137.4,7993.93,24.1137
1.78E+06,1.30E+06,825552,582754,523000,392858,798762,465151,751697,-1041.4,106238,48412.3,20470.2,17523.4,7808.46,5367.62,24.1155
1.71E+06,1.31E+06,781911,362332,263147,198820,794125,295405,735937,214.139,15971.7,37465.7,12619.3,14210.1,7160.86,2989.32,24.1263
1.79E+06,1.20E+06,897690,971243,738763,469746,943611,681121,855569,-1131.49,151356,85352.4,29764.1,21046.7,16130,6991.94,24.1292
1.63E+06,1.08E+06,905747,750119,594303,413116,863152,543175,828594,-504.323,16028.1,41427.5,28671.4,19404.2,8785.66,5402.17,24.1318
1.84E+06,1.33E+06,828766,655513,550010,395909,833540,500844,785290,-1169.62,85429.1,59329.1,25883.2,17395.2,11263,4581.07,24.1347
