"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.69146e+06,1.19446e+06,849651,478858,326764,239893,817274,378613,758862,16831.8,262,9077,24817.6,21643.1,11510,4513.64,19.1344
1.33172e+06,946776,843953,675758,403315,283525,853502,499871,811119,25755,760.779,13769.5,51876.9,14072.3,17895.6,2430.6,19.138
1.81327e+06,1.26127e+06,862590,649348,388993,267578,872252,487688,798889,21473.6,1892.14,3814.15,40998.7,26138.9,17033.3,2113.55,19.1416
1.5777e+06,1.17172e+06,807888,699973,447380,322240,833006,545697,769628,22696.4,1949.22,9066.83,24917.2,21901.9,11135.9,4123.21,19.1473
1.17817e+06,883300,800297,571643,505091,388087,780893,475772,720904,9185.81,128.965,5500.92,42704.5,16511.6,9919.57,3650.27,19.1544
1.3104e+06,882447,890975,607487,526176,379664,831540,483440,753955,11165.4,237.317,45531.9,31417.6,24006.8,13921.4,5674.23,19.1556
1.67924e+06,1.24487e+06,809361,627450,462762,349113,795322,492694,764105,15789.4,435.316,63087.4,69526,68473.7,11728.3,4308.85,19.1655
1.84244e+06,1.27613e+06,866263,854941,719263,494462,872782,619103,828561,23518.9,1922.01,182966,74293.8,55807.5,20883.4,4535.39,19.1658
1.90921e+06,1.42814e+06,802108,532143,431862,336285,770528,430644,741415,14549.8,2759.71,51879.9,31327.6,19173.9,13452.4,3225.36,19.1674
1.54587e+06,1.06444e+06,871373,767639,493991,333913,887640,564471,815956,17175.6,1273.37,24462.7,47758.5,38299.9,15498.2,4361.85,19.1691
1.34034e+06,1.02922e+06,781373,429687,263814,204991,772174,359363,717415,16009.4,-704.779,16145.2,24295.4,16013.5,7540.26,3281.25,19.1697
1.90922e+06,1.45282e+06,788488,524663,384674,286120,806670,406446,774514,21071.5,159.623,8453.7,39867.7,15997,11175.5,1532.28,19.1762
1.53259e+06,1.09316e+06,841186,587684,475142,358769,794621,477912,737814,21979.9,-848.818,7231.62,57384.5,17839.8,15621.1,3011.53,19.1777
1.95418e+06,1.42894e+06,820546,601835,502931,363351,830488,483317,747131,21808.2,82.798,30763.5,43056.3,16335,15893.2,4691.5,19.1881
1.49525e+06,1.08664e+06,825619,673897,407724,282107,867170,519984,777597,19188.9,833.732,31719.4,36089.9,17455.1,11063.6,3166.76,19.2218
1.81996e+06,1.26748e+06,861533,718049,569412,395680,863443,531353,810816,30272.9,1608.89,16025.5,55216.6,21571.7,19231.4,4770.53,19.2291
1.64237e+06,1.18419e+06,832148,681993,593106,422553,842175,530756,770968,21244.5,2962.87,50016.7,35096,15782.6,16697.9,5312,19.2323
1.92067e+06,1.42814e+06,806927,531655,475755,355178,803690,427574,746053,26044.8,-343.67,31296.1,38081.9,11019.7,13988.5,3980.94,19.2338
