"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.6994e+06,1.16782e+06,873112,863261,742938,504574,883444,605509,855407,14846.7,1934.02,87611.6,39699.6,28638,17006.5,4565.92,10.0972
2.3811e+06,1.8097e+06,789444,318466,197568,156910,755471,273961,697470,4771.45,1074.11,4833.01,24353,15846.9,6512.15,2765.32,10.1156
1.90751e+06,1.26992e+06,901239,1.14263e+06,974404,679204,860776,846721,809689,3799.52,2879.12,760657,96196.9,26843.3,17065.8,3938.09,10.139
1.18338e+06,773663,917750,1.03124e+06,635681,484448,787305,856150,722707,4717.68,2555.98,370788,92983.9,8786.03,13356.5,2640.33,10.2307
1.87958e+06,1.32296e+06,852440,324734,186846,139991,800819,270558,720143,8432.4,130.778,1447.53,55230.5,35721.2,14218.2,1833.34,10.2506
1.48389e+06,1.01889e+06,873832,726024,574826,409599,842033,561013,776478,21314.2,729.874,6638.66,60233,21393,16807.8,3495.07,10.2673
1.66263e+06,1.2416e+06,803457,392350,247405,189948,781494,307977,764375,7379.97,1743.65,55932.8,25438.7,9639.27,10082.9,3786.06,10.2681
1.63232e+06,1.10697e+06,884753,465705,366431,288070,763213,364067,767504,3698.11,-450.152,71333.3,58719.9,3226.02,7188.55,947.82,10.2906
1.54822e+06,1.04116e+06,892208,1.30111e+06,1.13969e+06,849910,804570,1.06499e+06,733024,4366.99,575.382,432997,104381,17107.1,13356.2,2008.57,10.3414
1.63624e+06,1.15798e+06,847806,345085,291273,222713,784704,270270,766090,10380.1,1649.24,8702.03,153558,15228.5,3510.96,6666.65,10.4544
2.04324e+06,1.47917e+06,828805,660827,545152,388791,841304,508489,779754,17039.7,-644.121,49242.9,48965.8,24158.9,11822.6,5500.67,10.4632
1.37328e+06,959925,858370,710784,378433,272568,833039,568612,750020,4515.35,2341.75,330195,43900,20336.7,10014.2,2565.77,10.492
1.67857e+06,1.22457e+06,822444,870514,766806,531474,865675,632895,825268,15527.6,1705.89,34879.6,102116,65417.3,15245,4184.2,10.5124
1.71257e+06,1.34401e+06,764533,646392,444324,314952,846460,498816,777512,14643.5,3159.41,80012.2,51415.1,30113.1,12950.7,2846.26,10.5147
1.22596e+06,869256,846217,582177,320793,215993,891120,455723,766488,2995.8,545.288,26454.4,52476.4,11239.8,9280.8,2353.18,10.5541
2.02593e+06,1.38283e+06,879035,749970,628692,411468,916755,537091,837813,4571.02,1214.15,465970,93981.8,10673.7,18157.2,4063.57,10.6004
1.70156e+06,1.36112e+06,750072,483744,330651,251991,787292,383868,756111,6165.19,2149.36,779818,39989.1,11835.4,18085.1,2040.61,10.6755
1.19303e+06,870137,822648,659480,509042,368993,827726,511107,774179,5985.17,1710.32,19327.2,33142,2681.73,620.664,2544.44,10.6972
1.57518e+06,1.18769e+06,795750,635498,576808,408973,846228,492544,774141,14871.4,890.784,9927.51,36102.7,21425.3,16436.2,7931.37,10.7123
1.71096e+06,1.17259e+06,875481,997572,879442,573160,920625,700211,854804,23242.2,2195.9,20467.5,40109.2,31917.5,25204.4,7919.4,10.7379
2.04687e+06,1.50121e+06,818088,611035,564570,439875,770087,489331,749229,3180.09,1570.6,84158,48893.9,7261.39,12991.5,2473.18,10.7564
1.6814e+06,1.33984e+06,752955,610570,412735,300711,823518,476945,768101,9423.69,1505.13,13812.4,32132.2,23092.6,11782.2,5140.27,10.7612
1.86632e+06,1.35596e+06,825829,519836,362481,251726,863990,385977,808083,20337.7,3014.58,3831.68,84712,22889,14849.1,2871.4,10.7694
2.21598e+06,1.51022e+06,880397,1.25813e+06,840857,520049,970129,844843,893514,28184.5,-559.96,5205.67,171336,118303,23252.6,6891.43,10.7927
1.87751e+06,1.30083e+06,865989,771356,661838,471267,842628,596525,775850,15383.1,772.531,5962.96,80123.9,32856.8,15707.3,3790.07,10.8237
1.76372e+06,1.1303e+06,936242,1.03074e+06,785489,501299,940145,742186,833272,18127.8,2082.4,84302.7,76918.9,34409.8,24913.3,4792.9,10.849
1.88894e+06,1.36425e+06,830758,1.04077e+06,907077,655158,830709,778018,802633,15858.4,581.914,27445.5,69146.8,38505.1,16622.8,4542.61,10.8703
1.68226e+06,1.23615e+06,816531,862504,750796,518501,868808,620650,833807,17006.3,33.9236,20465.6,64325.1,26465.8,17293.3,4321.97,10.8939
