"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
936270,625865,897577,657357,538521,362682,890897,486797,810223,5359.48,2489.58,11030.3,35318.5,26474.7,11424.4,1782.15,8.86355
1.27208e+06,949226,804077,575186,459059,334409,823648,465882,740770,2715.97,680.486,19592.8,41604.8,9883.72,8497.09,1358.7,8.86368
1.7255e+06,1.16748e+06,886788,1.14239e+06,908063,679404,801935,927450,739053,17109.2,3258.27,44358.6,45416.3,18447.9,17571.4,3590.57,8.97946
1.76451e+06,1.32454e+06,799305,749375,624063,474835,788564,612303,734318,9121.34,-205.583,98722.6,40235.1,20488.5,16854,3492.45,9.10247
720531,431692,1.00145e+06,570504,394721,253815,933092,410861,833135,3497.02,751.443,133970,50531.5,11013.2,13187,1271.93,9.22869
1.75651e+06,1.22950e+06,857178,581025,464534,337379,826134,465052,749626,18245.9,697.485,1760.05,40211.3,17482.6,13001.5,2410.96,9.2299
1.96864e+06,1.31697e+06,896892,679884,536741,366950,877625,484227,842436,7568.52,2623.99,143677,53709.1,56172.7,9520.39,2079.48,9.24557
1.7134e+06,1.18233e+06,869506,732063,576598,395450,874849,551843,795947,15272.1,3037.01,24304,42729.3,28056.7,17932.8,4985.56,9.24597
1.70934e+06,1.26822e+06,808697,473713,357688,254526,843186,360128,789242,3003.48,976.6,197147,67936.7,12187.4,12161.1,2033.02,9.35706
1.88056e+06,1.09952e+06,1.02621e+06,1.04021e+06,859698,548400,940588,716423,871168,13768.3,3035.27,767902,85720,32271.2,39533.9,3849.18,9.36067
1.56789e+06,1.30586e+06,720394,236187,137526,116136,710509,214765,659849,3005.48,-257.548,22097,85046.8,265.502,3347.97,2279.26,9.3734
2.32241e+06,1.67755e+06,830644,666509,401503,278130,866148,506594,789400,8318.32,-587.755,6135.99,69206,15869.9,11173.7,2402.57,9.42245
1.39987e+06,1.095e+06,767050,488282,320239,232728,825613,377667,775734,1762.35,1719.83,9714.63,39414.7,10494,11841,2056.2,9.44121
1.01027e+06,718603,843527,586966,401146,275717,872953,431798,815612,9126.62,1760.21,34024.1,43134.1,16703.3,12774.6,2653.49,9.54224
1.92839e+06,1.4063e+06,822747,672906,569979,415279,823513,526648,766630,10474.4,2597.33,8934.82,43868.1,21099.6,20306.2,4036.34,9.61312
1.58535e+06,1.13420e+06,838660,1.03274e+06,741814,496163,897061,765775,809169,13525.7,299.048,92934.7,132656,43386,21873.6,3210.66,9.61634
1.80798e+06,1.49087e+06,727624,171108,165599,148661,668364,161796,634532,2233.09,-548.839,35926.3,54057.5,8684.12,3474.19,1738.95,9.61687
1.37096e+06,992354,828914,690181,537217,375002,859543,507759,815561,3190.3,1671.21,45678.4,50892.1,24094.8,12610.7,3329.58,9.64247
1.30015e+06,944753,825709,748155,567296,422609,805420,614785,730163,2852.08,3025.46,7958.79,54580.7,20843.9,10499.5,1390.82,9.66042
1.48535e+06,973831,915160,848537,444379,335560,794574,689738,738138,2536.68,2668.98,158974,71301.5,12529.1,12414.2,2079.75,9.87147
1.64535e+06,1.22266e+06,807426,731930,498911,362894,824888,581372,755382,2341.04,1663.04,92993.1,57075.1,10520.9,9964.5,1732.53,9.90028
1.98602e+06,1.53105e+06,778299,672758,526420,420687,750801,565278,714082,12023.3,-61.2146,65205.1,42195.4,18759,26486,3182.48,9.90925
1.17142e+06,847354,829465,640542,430058,308705,835862,479139,802116,8896.56,2595.3,77616.1,46009.1,25767.1,14219.8,3779.38,9.91622
1.92048e+06,1.50176e+06,767293,568254,436689,342552,764886,452928,752774,14047.3,526.556,187168,82782.7,19186.6,19223,2761.79,9.91877
1.91609e+06,1.36134e+06,844503,728327,647042,442785,876780,537305,813311,11145.8,3538.37,33947.3,46468.9,20526.1,11832.1,2500.14,9.93967
1.96721e+06,1.39984e+06,843188,640946,356129,274875,777361,529158,726753,6415.29,269.922,90534,208866,18344.2,11710,1115.29,9.97625
1.56337e+06,1.26483e+06,741618,331719,197626,158658,747368,283683,701599,1982.61,-495.901,7713.05,57099.8,5032.6,4770.85,3375.77,9.99769
1.38551e+06,1.05273e+06,789664,702207,430444,315601,818332,541609,777912,13616.1,119.165,9012.54,49517.4,25912.4,13037.6,4893.67,10.0816
2.8367e+06,1.91791e+06,887436,603218,389425,269907,865687,477236,758389,2353.34,1025.21,94965.8,52647.6,10307,9108.15,1699.82,10.1307
1.42903e+06,952687,900000,796920,668554,458466,874945,595682,802697,17019.6,564.784,13820.7,54649.1,30041.3,11698.9,3620.3,10.1381
1.48797e+06,1.04471e+06,854574,744375,399324,284391,842482,573212,779162,13310,-124.407,12039.2,46033.3,37948.9,13237.7,3041.45,10.2366
1.38653e+06,925036,899337,805532,514373,344044,897048,592554,815654,3902.02,2187.77,178360,70811.3,16373.2,10491.6,2508.58,10.2901
1.87723e+06,1.31878e+06,854079,745327,497996,360094,829778,576867,775215,12006.2,3467.7,72155,140437,89946.6,22465.7,2722.69,10.3488
1.21363e+06,794625,916379,712923,674081,480993,840861,530857,805779,2278.09,1457.78,21144.7,40495.9,20143.1,12012.8,4847.53,10.3631
1.761e+06,1.38206e+06,764508,758063,579550,514003,676513,709633,640948,1334.42,2226.66,180818,50353.2,6792.2,9619.44,1278.1,10.3848
1.85846e+06,1.41218e+06,789612,764106,565955,410134,827956,566058,809923,11418.6,602.469,54195.6,64152.7,29075.1,22246.6,4436.24,10.4188
1.53628e+06,1.20444e+06,765311,643052,551532,383697,862449,473318,815163,5104.87,363.447,9983.1,46634,19174.1,10166.5,2936.94,10.4313
1.88954e+06,1.52383e+06,743997,481596,328382,262309,751134,400599,721314,9632.88,1818.66,20989.6,55510.1,11960.7,15145.4,2086.19,10.4393
1.47484e+06,1.02704e+06,861604,764789,648435,462354,841479,589800,778015,9977.57,3130.83,35830.7,36102.4,37264.7,14389.1,3838.05,10.4987
2.09624e+06,1.61147e+06,780495,324031,203693,155590,785500,258219,752921,13659.2,1953.05,23025.9,40746.2,32037.6,41417,691.582,10.5003
1.4507e+06,1.11937e+06,777598,562198,321122,264917,727298,476328,708165,1761.44,443.27,27238.9,58526.9,12388.9,10057.9,1892.08,10.5378
2.39428e+06,1.7819e+06,806201,444916,402954,310651,778277,371963,717678,5110.24,1813.94,116003,46948.2,7813.54,7230.3,581.305,10.5406
2.00959e+06,1.45054e+06,831249,458703,358914,263701,816639,354228,776962,3606.33,1647.23,183718,72636.6,14401.4,11027.1,2670.94,10.5681
1.56275e+06,1.25782e+06,745458,406466,290298,226820,767915,338770,719898,5807.46,-77.1655,138767,62887.4,23436.1,14219,776.635,10.5901
1.36807e+06,1.02008e+06,804688,390268,256744,218856,703870,331170,707071,3919.23,-391.365,39846.8,33580.2,10947.9,6958.82,906.887,10.5984
2.26476e+06,1.67512e+06,811197,601108,404487,280261,865951,437778,823852,17214.2,3178.27,32324.4,53839.9,25451.2,20147.2,2812.99,10.626
2.1667e+06,1.2977e+06,1.00179e+06,1.1406e+06,791116,426473,1.11301e+06,670501,1.02067e+06,7994.78,2822.6,73464.3,40877.5,16577.4,13636,1784.65,10.6385
1.80463e+06,1.31498e+06,823415,421515,321895,225959,854744,308255,820454,2689.72,1199.63,41562.4,73957.3,9868.68,8191.6,1632.27,10.6642
1.26382e+06,903857,838953,570162,346005,257929,804883,451598,757526,1909.81,2828.89,13211.2,56693.4,10746.5,13002.8,3671.41,10.6903
1.79165e+06,1.48004e+06,726324,426064,301806,248380,729059,361700,706769,5904.22,296.914,39427.5,71934,19634.2,12592.3,1051.65,10.719
1.77366e+06,1.32332e+06,804189,939986,593899,461654,771875,763910,738296,15599.6,3313.35,62004.3,50854.9,44018.7,16739.3,3849.62,10.7285
1.79697e+06,1.23157e+06,875452,902598,741865,439555,1.01266e+06,596001,908654,15569.2,3750.41,13574.8,50734.6,33360.5,19868,4075.25,10.7841
1.5765e+06,1.16074e+06,814909,577799,471296,335946,841736,438299,790966,3393.03,1619.07,16709.1,53516.7,8018.84,10786.2,1602.32,10.7844
1.90609e+06,1.48933e+06,767901,606127,441860,341362,776642,489163,743466,13819.7,139.65,88012.9,46673.2,21425.8,12847.3,3518.32,10.7999
1.29213e+06,881907,879096,661861,413263,269294,920769,473515,838657,3283.36,2679.88,84190.7,58899.2,13706.8,16638.5,1066.2,10.812
1.68374e+06,1.21164e+06,833783,819748,515062,319677,966717,559826,878575,11023.6,1015.95,49938,40974.6,32521.1,13972,2059.79,10.8321
1.77427e+06,1.33718e+06,796123,541422,269744,191044,847169,442096,734803,3151.34,2493.05,52114.1,19376.9,5815.51,5439.56,2081.38,10.8833
1.44539e+06,1.03511e+06,837821,674380,339204,240495,846266,512352,789746,7223.1,-573.227,10507.5,49309.6,21615.1,18204.4,875.911,10.8904
1.77248e+06,1.40367e+06,757648,381428,357778,287018,747920,330798,691833,4378.81,1240.6,75122.2,67537.7,10104.3,9580.8,5163.91,10.9408
862920,584166,886309,937987,743711,472010,945375,682430,824688,15500.1,1227.35,1221.09,114194,38306.8,17627.2,2343.96,11.0382
1.64192e+06,1.14505e+06,860354,941796,689067,462053,894789,684253,825831,14417.1,2531.29,11068.3,49771,38212.5,16671.2,6298.04,11.0426
1.30684e+06,1.22827e+06,638378,157915,88259.6,81172,652390,147565,642082,2472.81,-662.445,10321,6793.1,3378.74,1105.33,402.684,11.047
2.00978e+06,1.46113e+06,825298,442313,322378,247186,782516,348343,761858,15144,-547.754,-1470.2,85681.4,51339,23103,1275.88,11.0702
2.1526e+06,1.52981e+06,844262,746654,648486,466820,833494,572466,782566,2849.31,3354.19,25325.8,73779.6,19287.4,8105.7,2018.75,11.1854
1.58918e+06,1.11295e+06,856744,845742,765506,553461,829875,642203,790163,16405.6,1830.92,4200.65,87568.5,55314,18983.4,5767.67,11.2743
