"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.35977e+06,760427,1.0729e+06,780989,368944,217036,1.01995e+06,516672,906945,39441.3,4528.88,318691,49242.1,23187.2,31236.2,7042.57,9.88237
2.20242e+06,1.36903e+06,965246,1.0873e+06,863827,538790,961964,738052,883925,41864.9,3013.72,276176,54088.5,28722.6,28094.4,9172.71,9.90059
2.33871e+06,1.35262e+06,1.03741e+06,1.10182e+06,689782,384618,1.07605e+06,688489,960206,61986.3,2993.47,685131,81066.1,29352.5,45646.1,8927.54,9.91089
1.83e+06,1.16324e+06,943917,657695,486598,311852,936210,430834,915938,34473.7,2450.9,419339,64482.3,25015.8,31222.6,8917.77,9.92731
1.95492e+06,1.19659e+06,980248,1.03255e+06,613806,373144,986975,659535,939341,52380.4,5138.24,268666,71928.5,35500.3,36485,10060.6,9.9376
2.21531e+06,1.26021e+06,1.05474e+06,1.25298e+06,964150,566388,1.02137e+06,810625,927418,25691.7,2207.05,519283,58712.1,35729.1,35024.8,12919.5,9.94386
2.25808e+06,1.4797e+06,915623,1.06892e+06,928365,595553,935297,705410,909189,30376.1,1940.19,306475,64394.2,30305.9,56652.6,8379.8,9.94595
1.70995e+06,1.10643e+06,927282,987291,782655,506733,926707,703082,842540,40498.2,286.755,271751,85921.3,32879.6,27224.7,9766.58,9.95958
1.90696e+06,1.17969e+06,969891,840643,670021,420150,956831,550517,916204,37942.1,3502.36,528437,73689.7,37596.7,34121.4,10053.3,9.95986
2.20525e+06,1.41845e+06,932813,1.09419e+06,903290,567571,954900,721465,909974,49991.4,1574.59,365441,49615.2,18719.2,37020.1,11705.4,9.98907
2.26532e+06,1.39709e+06,972869,834320,711834,447687,954016,563845,887818,56846,1291.95,265241,64109.1,40953.9,30616.7,7413.07,9.99965
2.01128e+06,1.44219e+06,836764,698786,489372,311620,942248,495266,846559,18760,4141.56,337972,48254.1,20054.8,31087.1,8516.88,10.012
2.17786e+06,1.4188e+06,921004,637018,438331,300527,875125,440564,867549,30646.1,3599.75,276886,63253.8,16910.7,43785.2,8199.13,10.0325
2.33342e+06,1.39325e+06,1.00488e+06,1.01659e+06,512815,285176,1.07894e+06,616039,990127,40237.1,4402.81,321426,62692.7,24693.6,46688.7,10174.1,10.0481
2.31908e+06,1.48435e+06,937416,847602,458627,264226,1.04144e+06,546642,930337,44369.9,2943.34,147651,51859.3,23909.4,32801.5,10092.4,10.0738
2.24776e+06,1.44681e+06,932160,612866,540588,368423,880381,442660,830704,42284.6,1034.35,136285,50786.3,27255.8,30117.8,6173.76,10.0863
2.36712e+06,1.52544e+06,931056,831882,543815,349283,934168,552288,903748,24439.7,3535.93,223683,92421.1,32074.9,40350.5,11443,10.1187
2.40835e+06,1.5519e+06,931123,1.26145e+06,906506,504419,1.07828e+06,763895,990804,44274.1,4326.56,303759,85881.7,43809.7,49591.4,15753.2,10.1201
2.37975e+06,1.42173e+06,1.00431e+06,840901,543664,321489,1.01465e+06,555974,907489,53871.2,1557.65,366068,53354.1,66373.3,36103.9,8867.02,10.1499
2.37699e+06,1.52776e+06,933524,1.25213e+06,765894,428487,1.07246e+06,721749,1.04091e+06,67508.3,1203.13,519717,148328,49501.5,26750.7,24353.7,10.1509
1.72087e+06,1.27075e+06,812531,474954,286838,194848,883266,346377,822723,27657.3,577.498,330910,37260.6,13870.3,21142.7,4276.65,10.1589
1.6954e+06,1.03516e+06,982694,1.11241e+06,887237,565475,941407,771777,864814,8731.8,1091.1,1.10557e+06,58756.9,24860.8,25366.1,9105.97,10.1617
1.61482e+06,1.01141e+06,957962,1.16525e+06,826198,496043,999346,744093,939600,41288.8,2511.34,414188,56262.1,35430.3,30323.6,8668.84,10.1666
2.04144e+06,1.39221e+06,879796,813571,666576,446367,896002,597462,817027,34621.1,1139.95,290079,57441,19405.1,23318.1,14072.8,10.1925
2.68057e+06,1.58302e+06,1.016e+06,933998,752524,449798,1.00382e+06,610246,918317,50979.9,2144.88,281771,72189.5,27083.8,43510.1,10632.5,10.2079
1.79882e+06,1.21323e+06,889606,688292,386495,235763,983602,469884,878888,21501.9,2344.18,259760,40974.9,39907.3,28776.1,8963.66,10.226
1.81682e+06,1.15167e+06,946529,573811,445404,299744,891569,402216,855974,36660.8,2246.89,310847,63341.5,27466,27783.1,7438.42,10.2285
1.96024e+06,1.25524e+06,936985,786632,567154,356177,955403,535129,881992,34474.4,2128.45,186979,61048.1,20798.4,30355.4,9035.22,10.2288
2.42669e+06,1.47706e+06,985754,670545,439157,273079,964900,462437,870015,39764.5,2379.83,172623,52046.5,34599.2,29242.5,10639.8,10.2324
2.81269e+06,1.7093e+06,987316,1.02039e+06,828083,473779,1.0487e+06,639925,956730,69495.3,1866.2,453578,85367.1,37016.9,45919.7,12244.1,10.2538
1.70728e+06,979669,1.04562e+06,853670,477470,290103,987519,564791,906887,28414.4,4857.78,367291,55614,36679,33566.8,6921,10.2585
2.62304e+06,1.83096e+06,859564,650442,459675,317003,870039,487498,800547,27326.3,2704.61,170554,47331.5,36181.7,21527.1,9012.98,10.2613
1.73195e+06,1.11842e+06,929138,909773,582592,326728,1.06987e+06,536421,1.0176e+06,10845.2,2421.01,557191,58855.6,13369.8,30179,8644.45,10.2769
2.03083e+06,1.49274e+06,816280,471530,323925,227369,854800,344135,822113,29402.7,1025.64,196675,47079.9,28290.3,20897.9,5699.95,10.2987
1.34854e+06,857366,943735,776189,411352,268529,919123,552410,843057,26749,2765.17,286320,44744.7,35217.8,24839.8,6403.07,10.3081
1.86656e+06,1.13458e+06,987095,1.01763e+06,709009,492818,863210,664938,918246,41134.8,4134.72,378863,79173.2,36472.1,36717.6,15665.4,10.3277
2.36723e+06,1.58625e+06,895407,593926,372999,234720,953473,405548,878701,42950.7,826.036,328329,72776,31893.9,31131.5,6705.23,10.3277
1.82053e+06,1.15941e+06,942133,799634,469469,305711,921398,552783,867936,40422.2,3084.39,382435,50062.9,25462.6,30626.3,5345.24,10.3355
2.10969e+06,1.24293e+06,1.01841e+06,872918,692585,381464,1.08936e+06,538311,972952,50797.8,5181.99,313613,83270.8,25771.2,42472.3,9822.91,10.3359
2.17339e+06,1.29208e+06,1.00925e+06,1.05534e+06,593921,358664,993555,717583,882413,37695.4,4585.14,383874,51846.6,67740.7,39107.7,9671.36,10.3575
1.25978e+06,792055,954312,1.16709e+06,528845,337079,941343,827566,846163,5361.28,2489.62,633928,50734.5,28642.8,22160.6,7873.06,10.3583
1.23516e+06,717210,1.0333e+06,711161,414725,263520,944274,474329,899580,21483.4,2759.84,297467,43814.2,16322.9,18810.8,4359.93,10.3605
1.74042e+06,1.14257e+06,913951,1.02652e+06,705640,436428,970112,691853,890238,6027.97,281.496,968036,51293.5,20105.8,25796.7,6682.76,10.3697
1.40584e+06,981581,859334,640608,414009,265815,934505,438942,875662,18366.2,2514.11,184734,36011.8,19994.6,29100.8,4777.55,10.3698
1.32189e+06,799385,992178,894035,478757,286164,1.00381e+06,618254,867638,21213.7,3028.41,261076,78362,25380.7,26435.7,8916.5,10.3904
2.29969e+06,1.49328e+06,924011,770782,567746,359527,947488,511244,904595,34868.1,2497.46,317462,61111.8,22516.9,32929.9,5853.79,10.3985
2.85357e+06,1.66148e+06,1.03049e+06,1.15763e+06,750278,428761,1.04993e+06,720407,964145,59211.7,4171.51,298174,81532.8,45692.5,38485,9615.63,10.3997
2.89486e+06,1.74881e+06,993199,849767,658522,393860,1.00318e+06,573296,889349,40821.1,629.409,432242,60235.9,23987.8,27487.3,8881.22,10.4042
2.0886e+06,1.37446e+06,911747,740259,592697,392007,907173,530152,837788,22181,3321.73,294149,75382.3,32507.7,32364.1,7600.63,10.4166
2.30601e+06,1.44798e+06,955539,826337,520290,305058,1.02333e+06,523642,946834,27575.9,1888.08,284570,58911.6,33392.4,35885.3,11428.8,10.4265
1.43432e+06,948658,907171,563573,419975,286093,880780,413999,816775,18637.4,720.793,160080,37832.7,34521.7,18500.5,7299.99,10.428
2.12848e+06,1.34407e+06,950165,1.06184e+06,636355,398593,957902,702985,906283,80214.1,2263.65,546310,74303,37631.9,43619.7,8255.71,10.4338
1.89317e+06,1.27402e+06,891590,660160,435174,281396,927889,466920,848316,26246.5,1118.86,305522,58579.6,16360.6,16903.4,5859.64,10.4369
2.34569e+06,1.53947e+06,914219,583316,345130,227609,909797,398108,879132,28342.2,928.389,371049,50097.1,29537.7,13992.9,9590.07,10.4621
1.40462e+06,907113,929071,680113,474120,324166,877551,528317,772391,12679.9,792.573,151215,52190.4,40290.6,14849,6373.4,10.4765
2.54827e+06,1.54092e+06,992244,850264,693199,451846,920490,580907,878210,45968.6,2748.34,213327,55896.9,26229.3,35085.2,8419.97,10.4818
1.93521e+06,1.23468e+06,940429,866452,590841,372214,952421,573170,907010,9785.29,1326.21,368722,79346.8,26054.5,33828.2,14386.1,10.4857
1.51463e+06,1.099e+06,826915,694648,466934,333851,839178,526289,791940,17806.6,1467.1,291960,47007.7,17797.9,20898.8,3483.51,10.4911
2.33381e+06,1.40843e+06,994217,1.03507e+06,669708,400298,1.00381e+06,671892,924321,37357.6,3825.78,316109,55942.1,20579.8,33691.8,9789.94,10.4987
2.11467e+06,1.41198e+06,898600,768436,525270,343752,916830,517030,891750,25245.1,-36.687,185256,96960.7,55351.1,20080,11521.1,10.5003
2.26084e+06,1.28576e+06,1.05502e+06,1.30375e+06,729863,407713,1.07408e+06,813561,961515,68402.9,5697.34,170594,69263.9,39518.5,40363.8,12168.8,10.5037
2.14683e+06,1.35264e+06,952285,707294,510394,321678,951998,476883,889896,34907,4071.52,375389,53128.7,15782.5,35032.2,10569.1,10.5103
1.59404e+06,1.12284e+06,851787,507730,311868,220964,846840,392481,776185,18136.2,938.07,255234,32748.3,13356.3,19295.2,4556.8,10.5151
2.52475e+06,1.71167e+06,885013,1.43981e+06,1.18313e+06,673162,1.05454e+06,865809,997776,16785.3,2385.42,1.07367e+06,182295,83762.6,39611,14423.6,10.5353
1.63725e+06,1.07818e+06,911116,894202,784647,502585,936733,610190,879269,9662.02,286.751,431917,54005.9,17208.1,28405,7837.99,10.5429
1.84572e+06,1.2238e+06,904914,859600,581648,353634,986864,558925,922771,38232.3,3600.76,483938,66182.9,21939.8,31339.7,10769.7,10.5454
1.73881e+06,1.13151e+06,922026,708697,528598,323331,980911,473587,897867,33304.8,3765.28,148734,63472.2,36841.5,29272.4,7820.89,10.5659
1.77009e+06,1.16722e+06,909903,981821,604959,409767,885809,718162,820278,24601.4,2842.64,333993,49501.5,24637.7,23066.5,5871.15,10.5713
2.98738e+06,1.86013e+06,963601,817798,587133,358150,983609,519718,944125,69225.9,2736.31,400274,63978,40824.7,36700.9,11469.2,10.5803
2.08791e+06,1.51535e+06,826705,771435,604889,428975,846048,573312,807346,27773.9,352.306,246059,47144,17996.2,18958.6,5372.04,10.598
1.57176e+06,929359,1.01474e+06,761663,397397,251883,946622,541884,843350,28009.6,3799.79,93073.1,61130.1,36282.8,25404.8,6245.37,10.6013
1.66843e+06,1.04705e+06,956075,698718,361531,228170,950689,486915,860993,33097.7,2095.45,157705,47428,26660.5,29442.6,7931.52,10.6059
1.7743e+06,1.0832e+06,982808,839635,531316,338353,942180,582464,864914,29240.7,4842.81,601936,69989.3,30668.4,33106.5,6006.38,10.6145
1.24393e+06,798102,935167,1.01505e+06,1.0752e+06,909449,709351,802580,758843,5684.42,2296.06,1.15007e+06,43981.7,16345.7,15481.9,5667.86,10.6222
1.87888e+06,1.38078e+06,816442,452377,292960,196331,895305,324495,836456,26762.4,-266.185,211813,43260.4,15132,14769.1,6955.78,10.6324
3.03248e+06,1.92307e+06,946139,793602,655444,418293,940170,535939,888462,56119,1404.42,318886,68776.3,40411.6,28516.5,9323.71,10.6347
2.28123e+06,1.34969e+06,1.01411e+06,891147,504026,293303,1.03107e+06,574782,930245,37995.4,3274.04,491286,75835,26610.6,35078.4,7126.64,10.6554
2.24253e+06,1.35936e+06,989822,1.22932e+06,722580,426975,1.01539e+06,779173,946631,65046.6,3224.71,588832,79652.6,40747.6,44623.1,12072.7,10.6568
1.75769e+06,1.06893e+06,986604,970551,519166,306885,1.01504e+06,640995,908479,42109.9,4924.89,389793,83249.6,31205.6,31900.2,9375.49,10.6642
2.40046e+06,1.50656e+06,956000,715040,523870,306253,1.02635e+06,450771,951756,30345.6,1257.5,313791,71207.8,31734.3,39080.3,13239.2,10.6673
2.58587e+06,1.67384e+06,926927,821217,602731,378178,956266,535517,920102,35518.2,3807.3,309580,61614.3,38535.9,39204.4,11284.7,10.6674
2.26196e+06,1.36909e+06,991302,1.00964e+06,594905,344399,1.03642e+06,621153,975254,55673,1343.06,489203,102054,41861.5,37195.2,12261.8,10.6776
2.56092e+06,1.71706e+06,894874,794476,576841,415088,833810,581598,819613,44756,1952.32,140694,72679.1,31056.6,31435.4,10864.8,10.687
2.30341e+06,1.39758e+06,988882,714773,525405,338524,931228,499026,859402,39911.4,3408.57,106034,72671.9,47380.9,31507.6,11528.7,10.6998
2.19463e+06,1.31658e+06,1.00015e+06,748096,528084,344216,920499,551173,814367,38333.8,3475.11,140616,58519.7,52399.1,28890.9,6219.83,10.7175
1.69308e+06,981372,1.03513e+06,777214,593665,364249,977900,505035,923358,34347.1,3045.78,459512,73435.9,38615.1,33687.7,10326.3,10.7215
2.4317e+06,1.65574e+06,881185,664192,461177,294902,938299,443740,898082,77553.1,453.923,136535,53168.6,30116.4,36045.9,9514.77,10.7233
1.54194e+06,959134,964584,998652,833644,537802,930057,677629,884247,19236.8,2758.56,668329,51924.6,21666.8,23112.9,9476.83,10.7239
2.20543e+06,1.40891e+06,939206,783268,599822,366909,980879,512897,916287,39993.9,3839.4,226170,77024.7,26212.6,38800,12175.1,10.7411
1.48195e+06,903422,984222,906346,843173,532999,949165,607104,895741,30935.3,440.082,530251,56270.4,21610.7,27284.4,9378.7,10.7502
1.47866e+06,965218,919164,589739,275804,183374,902432,439662,804807,33391.6,1192.24,299745,42520.3,22715,22821.8,4823.59,10.7656
2.31922e+06,1.4123e+06,985295,1.27099e+06,1.01223e+06,581872,1.04377e+06,754331,1.01095e+06,66944.6,3539.51,576082,86718.8,28020.8,49895.6,16798.5,10.7744
2.35838e+06,1.56443e+06,904501,953757,763300,479872,954380,636360,899262,25059.3,3129.09,402189,81884.8,17132.5,32755.7,6446.35,10.7751
2.58745e+06,1.78897e+06,867801,529635,364582,246804,886328,373786,850169,28278.2,1877.26,287376,54693.5,17660,21570.9,11450.8,10.7832
2.06196e+06,1.4018e+06,882564,651770,461555,285594,969674,423835,922674,29072.5,2433.99,250845,65352.3,28610.2,30972.2,11274.2,10.7832
1.48558e+06,969468,919418,657823,298202,194789,918540,472457,835407,24888.8,2217.81,142579,28913.2,25148.5,20627.8,4954.1,10.8005
1.78971e+06,1.14698e+06,936223,1.17186e+06,937642,549591,1.02364e+06,724522,970455,29166.1,3068.95,313820,78320.4,47008.9,27405.4,10016.6,10.804
2.15283e+06,1.39920e+06,923167,810000,483073,298469,971103,560225,867508,40225.9,1346.37,571958,81080.1,38514.3,30269.6,6744.84,10.8145
