"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.88648e+06,1.38096e+06,819637,688312,611330,445417,823494,552126,747994,9289.42,-16.9511,96838.7,55348.2,15524.5,21364,3572.65,10.0296
1.96064e+06,1.45177e+06,810308,722111,521858,383844,815734,562065,770848,11929.5,3351.73,4399.99,76673.9,18634.6,14154,1926.99,10.0385
1.53918e+06,1.16664e+06,791598,699630,464852,321324,868006,529188,793249,11229.3,1193.33,23485.8,54600.5,18158.6,15731.3,3229.84,10.0422
2.02444e+06,1.37551e+06,883069,1.02965e+06,857415,601825,854815,804891,767546,13252.4,1178.65,95803,55740.9,43001.1,25506.9,5377.28,10.0456
2.23933e+06,1.66204e+06,808403,588142,582274,483848,722055,497718,709006,6312.23,1925.51,15022.1,19752.4,13380.5,13883.1,2833.77,10.0471
2.11544e+06,1.42854e+06,888506,935071,769116,538019,857720,698057,803720,18895.2,-292.312,9073.29,113981,44700.3,20076.9,2648.31,10.0481
1.74062e+06,1.28382e+06,813489,703682,594705,416026,857694,535678,788177,8737.68,3715.42,41431.2,67229.7,20959.3,14969.3,3692.63,10.0633
1.8905e+06,1.38218e+06,820662,514292,379900,278571,818248,409879,752844,4497.91,2556.88,80513.9,35110.2,13552.4,3030.65,7381.86,10.0649
1.72779e+06,1.13968e+06,909620,917984,741831,496046,897293,685972,802934,14202.6,1311.77,6490.28,67372.6,38662.4,15135.6,2263.92,10.0731
1.7249e+06,1.31209e+06,788772,630946,481519,358563,805748,512235,739050,7179.37,1422.09,180776,48040,22093.3,19978.2,1744.98,10.0741
1.65538e+06,1.12614e+06,881976,1.03219e+06,664898,416023,958935,706393,876731,10692.8,2759.2,38615.5,74969.7,41851.5,22619.8,3687.57,10.0967
1.74259e+06,1.35726e+06,770340,500476,455071,360092,758258,416215,721467,5684.23,856.765,26069.6,29629.6,8608.83,11576.4,1403.2,10.0983
1.92246e+06,1.35916e+06,848669,913932,848629,559582,909925,655915,836022,17133.9,969.062,8647.73,93215.4,34309,25527.3,4945.78,10.1002
1.79727e+06,1.53017e+06,704732,441839,351505,276711,762179,365637,725046,3610.18,3158.68,46335.2,39799.2,11904.3,2621.11,1143.05,10.1055
1.77003e+06,1.3465e+06,788725,430765,245247,188381,781121,375117,689009,11563.1,-532.769,38494.8,50547.3,15896.2,10586.7,1004.14,10.124
1.48835e+06,990711,901384,671308,575714,375251,920526,473526,850607,13956.2,221.301,73942.2,81769.6,34166.5,16892.8,7842.53,10.1334
1.98529e+06,1.50798e+06,789915,759201,588992,421226,838968,568006,801964,13832.3,1268.65,28684.5,79651.8,31172.5,19031.5,6079.92,10.1459
1.81277e+06,1.41797e+06,767056,438202,254583,190896,800172,339041,775484,17627.2,2162.64,3213.9,38058,17386.8,23781.9,1278.37,10.1459
1.68847e+06,1.17377e+06,863101,529401,330017,243990,811551,427250,743454,10889.3,361.563,6521.18,62776.5,35083.3,13296.8,1630.68,10.1581
1.46556e+06,1.1189e+06,785894,916704,733401,526107,836409,711773,772750,18063.5,105.496,16303.1,155049,43824.7,23544.3,4057.69,10.1645
1.64817e+06,1.23951e+06,797822,644927,398588,297310,804388,511268,756856,9475.39,2323.12,79406.2,44336.4,20657.5,14461.2,1920.01,10.1867
1.83725e+06,1.15442e+06,954894,971670,786092,482848,976819,623802,934595,12897.4,1876.44,30233.1,49059.7,31343.8,22986.5,2497.74,10.2085
1.54579e+06,1.05626e+06,878075,794387,401265,257290,935750,548046,869694,9710.02,684.403,33182.9,57659.3,32359.5,18521.4,2200.25,10.2285
1.75259e+06,1.37543e+06,764528,607605,437525,330168,795096,490690,742960,6023.48,2043.88,178037,29363.7,18688.3,10837.7,1546.13,10.2426
1.70341e+06,1.10044e+06,928757,1.17109e+06,951689,675860,844869,838723,837769,10170.7,2299.36,20711.3,55051.7,31696.5,19686.9,3580.33,10.2497
1.80299e+06,1.37064e+06,789263,708711,524584,386137,815126,557556,762662,12207.9,-242.495,89590.9,45760.2,40499,28529.9,2630.5,10.254
1.71917e+06,1.10142e+06,936521,1.11597e+06,759719,482302,945116,791288,846190,13655.2,2313.94,45237.9,79490.9,48753.6,28664.9,3140.78,10.2583
1.82949e+06,1.30238e+06,842834,778928,664378,476738,836155,608153,768486,11452.4,857.791,10195,63123.4,28184.6,16377,6214.02,10.2922
2.20471e+06,1.43813e+06,919824,843540,556195,367362,908414,605435,835967,23787,1438.92,12847.2,114882,33945.6,25851.1,8313.58,10.3003
1.33073e+06,799008,999289,916042,446606,276901,967723,645775,851110,13834.1,385.264,2500.03,103544,53483.9,24558.6,2295.37,10.3004
1.33091e+06,935696,853424,882050,530817,370342,859989,675182,783833,10620,3950.03,95220.4,78641.4,25501.7,23994.8,4112.16,10.3103
1.79115e+06,1.30508e+06,823464,685485,556280,437694,762560,560024,734416,8246.66,2142.02,2097.85,57402.6,24284.4,16533.4,5939.78,10.3184
1.40881e+06,1.04844e+06,806227,594201,355264,264310,806472,482156,739430,10423.8,-191.355,41534.6,45836,15633.5,16650,1555.75,10.333
1.84457e+06,1.47948e+06,748058,526620,331895,244444,814653,425905,741884,11748,-822.972,12053.2,53920.2,14010,11898.6,3343.28,10.347
1.91929e+06,1.46651e+06,785246,615806,412163,291277,849012,466239,792477,13694.9,-583.084,10133,53896.6,21787.6,16448.7,4122.88,10.3504
1.78641e+06,1.36705e+06,784058,642041,432272,308607,840432,488024,789355,13765.1,4048.8,45144.8,50207.3,21296.4,15305.8,7451.13,10.3521
971833,702043,830575,294552,195351,140874,832026,228715,772714,2831.62,-630.017,53096.2,35408.3,6969.14,5270.35,1476.6,10.3649
