"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.95334e+06,1.32891e+06,881929,563037,371636,252149,884325,413300,817377,15182.3,182.207,28803.5,52854.7,19601.3,12580.4,3527.17,9.43462
2.02222e+06,1.42177e+06,853393,450266,371361,280578,794135,367777,734574,13148.3,452.797,41131.7,27078.3,24763.4,12172.8,3263.12,9.44459
1.76783e+06,1.36829e+06,775203,445083,273439,204463,802410,355683,750809,12623.9,1091.32,14320.1,44606.2,10866.8,12048.9,2692.97,9.45484
1.50582e+06,1.05455e+06,856755,623660,351836,239850,880140,463202,807846,23709,1064.22,26718.2,50797.9,24511.3,17708.9,1869.26,9.46643
1.43703e+06,1.024e+06,842009,574561,318809,231314,826950,459267,750624,9194.51,517.739,112892,24727.1,40681.6,9076.3,2786.49,9.46953
1.32549e+06,940082,845985,785175,471059,329100,858813,590477,797838,15263.9,858.189,54750.1,72674.7,15897.5,22173.9,3287.7,9.47479
808660,529936,915575,436421,341465,217886,940302,297313,880731,5286.38,356.342,45301.1,36228.2,23325.8,6142,3726.04,9.47937
1.90982e+06,1.4125e+06,811249,478109,434391,320881,812246,383055,748889,3958.16,901.911,91654.9,32080,32714.6,5152.85,3725.06,9.47991
1.57024e+06,964369,976952,1.10212e+06,1.0136e+06,596768,1.01909e+06,667729,990330,25563.7,1652.5,32606.6,114761,28969.6,33496,7652.56,9.48571
1.80336e+06,1.3836e+06,782033,358019,313109,246025,763603,305103,704063,6365.66,-523,56637.2,35223.5,23439.5,5653.62,2631.45,9.48652
1.48031e+06,1.03714e+06,856381,968629,720953,462730,934826,670356,866968,22732.5,1805.1,15766.3,116898,33108.9,23001.1,5977.19,9.50229
1.49082e+06,1.08967e+06,820885,484556,296115,208419,852462,367136,791897,14552,445.787,30761.5,49742.3,21030.1,16984.5,2225.33,9.51227
1.31878e+06,994708,795479,487507,358590,270770,794600,386230,757332,8202.14,231.978,137166,28185.3,20855.2,6907.72,4194.93,9.52373
971230,635439,917063,639368,517927,368122,844167,510144,751986,12838,476.073,83764.4,26182.2,18023.1,7609.32,4474.15,9.5271
1.23642e+06,725636,1.02234e+06,605674,448703,272901,986518,399817,908927,9956.99,1615.65,117317,65530,31658.8,11063.4,3071.84,9.53775
1.80716e+06,1.46812e+06,738564,429155,306371,239818,766509,352174,731152,10855.5,-1032.55,32498.9,43830.5,18332.2,10490.1,5057.29,9.53829
1.61155e+06,1.18728e+06,814404,637443,524302,373100,843155,479776,797176,14073.5,-125.845,22508.9,50118.6,25437.5,18480.4,5790.09,9.53883
2.08893e+06,1.56132e+06,802759,667756,567952,397605,857060,496636,806735,16007.5,1023.96,50651.9,58389.3,16644.1,24018.7,2994.5,9.54233
1.60288e+06,1.13389e+06,848169,789222,612596,427181,860426,575486,822841,12071.8,1545.07,60037,63118.2,31406.1,21576.1,4486.71,9.5457
1.88422e+06,1.1291e+06,1.00127e+06,870228,537262,347421,927858,604740,863407,16983.1,1437.58,15151.5,48579.2,26890.9,25274.2,5338.17,9.54813
2.12546e+06,1.63556e+06,779715,684406,555423,404489,823888,529743,775175,16849.7,-923.694,76737.4,76766.8,29399.6,28742.8,3568.51,9.5484
1.4385e+06,945953,912415,742720,662834,432446,919653,526662,846144,9138.77,1924.56,25946.9,52013.7,39510.1,28247.4,4024.88,9.55177
1.58256e+06,1.17412e+06,808726,384394,276527,204167,812650,315538,730931,6538.1,1718.92,104085,25525.4,6212.99,4748.49,3190.1,9.55177
1.82031e+06,1.11651e+06,978210,994338,710348,467651,911382,690249,864330,14978.6,-404.53,41712.7,60479.7,37938.1,13700.7,4939.02,9.55514
1.66543e+06,1.18043e+06,846518,720791,451121,308188,878271,551241,784547,10727.8,570.853,120261,50821.1,36167.8,7398.5,4671.5,9.56175
1.8412e+06,1.23904e+06,891595,620842,486792,349180,836461,465972,799415,7177.84,1775.47,48852.3,52164.6,43008,9521.18,4425.61,9.57226
1.79816e+06,1.31192e+06,822379,688651,612835,453533,810748,542684,761384,16360.4,2008.69,222790,79431.7,23150.6,18803.7,3154.54,9.57307
1.42471e+06,1.06208e+06,804857,815329,552104,377583,877324,593770,823884,11227.6,1972.77,399025,62475.8,16208.3,29252.6,4523.39,9.57779
2.25153e+06,1.48537e+06,909481,497586,364572,263150,831250,399250,747780,9100.41,1723.44,29625.3,103395,14935.1,7591.86,4176.63,9.58008
2.08059e+06,1.59401e+06,783154,608769,505931,377554,804013,473835,770862,16852.1,803.17,12261.5,65966.6,20696.4,13041.9,4516.11,9.58736
1.49204e+06,1.08558e+06,824647,579400,399746,307480,780044,480384,723671,17036.2,882.745,5893.17,41543.4,16870.5,12561.4,1769.4,9.58803
1.93156e+06,1.50613e+06,769478,434904,312061,226267,827504,331713,786651,10950.1,2058.19,63514.5,42550.5,24508.2,10151.4,2846.83,9.59302
1.53329e+06,1.07702e+06,854184,866932,652985,465947,840849,684043,760419,11942.9,3568.33,51730.2,77382.2,19423.3,18827.4,5141.1,9.59316
1.82997e+06,1.2569e+06,873565,766404,563665,364957,926682,542880,847043,14207.4,2936.55,105181,60295.1,41873.2,9399.17,5322.04,9.59558
1.49524e+06,1.10586e+06,811265,486845,374171,250095,897668,363388,803843,9388.33,3898.41,27653.4,33978.2,15506.7,7504.11,4122.82,9.60165
1.59422e+06,1.26983e+06,753279,551135,395379,303529,781564,440796,750190,14957.3,-176.654,11418.4,50108.1,17863.4,13961.4,3217.42,9.603
1.72145e+06,1.26471e+06,816685,571997,409814,285980,859809,440002,779993,15104,773.707,23931.2,54326.1,8445.21,12253.1,4661.46,9.61688
1.75897e+06,1.2483e+06,845458,518600,322463,229411,843369,416320,747406,11370.9,1360.76,12880.5,37376.7,19607.9,13856.6,2975,9.61958
1.9467e+06,1.38307e+06,844514,505347,421250,309900,815586,402244,753792,11491.6,3783.11,28479.4,37809.8,14232.7,9175.96,4876.01,9.63751
1.98318e+06,1.46776e+06,810695,532097,480329,350093,823202,407532,783394,16632.3,1594.53,50172,43163.7,30825.7,15321.9,3461.32,9.64034
1.6341e+06,1.17714e+06,832920,517645,438568,323140,814324,404360,768096,17473.6,-239.732,14409.5,70948.3,22022.9,13101.9,4971.79,9.64641
1.90678e+06,1.5255e+06,749960,424967,276353,208771,794227,349181,730224,15199,-737.968,23280,47562.4,9314.08,11662.6,2629.16,9.6603
1.57988e+06,1.23102e+06,770036,396585,350153,268627,782095,332554,715526,8164.8,294.444,33095.9,42692.7,13807.2,9499.12,1828.8,9.66232
2.14779e+06,1.46217e+06,881344,630285,391998,273012,861497,487161,776276,32106.5,950.802,72734.5,40415.6,13096.2,12042.1,5850.82,9.66299
2.01699e+06,1.42602e+06,848649,887034,628478,412990,913066,659823,806611,24105.6,576.044,44148.2,86519,21739.7,20218.4,5052.19,9.66367
1.60842e+06,1.09585e+06,880646,696315,586418,424480,828899,544078,767885,13913.6,-1460.1,5696.67,127980,20757.5,26690.1,3951.5,9.67553
1.62381e+06,1.07886e+06,903070,524402,344752,225564,917040,376342,836052,27514.7,1190.98,13898.3,38437.2,14950.7,9653.5,4353.03,9.67769
1.78823e+06,1.11376e+06,963351,477184,392336,257739,913333,342652,835572,6389.36,98.5735,31030.7,21311.5,7638.37,9945.73,3491.52,9.68335
1.30271e+06,900205,868274,659912,409802,295100,833214,516198,767046,18049.3,276.197,41858.6,41228.4,29196.9,16564.9,2863.85,9.6878
1.53674e+06,1.17464e+06,784960,539010,329463,236247,836742,425557,759959,8793.66,112.482,13899.1,47356,17217,11361,2581.89,9.69022
1.60296e+06,1.10373e+06,871390,667404,528426,362847,873800,500231,800514,15178.5,651.667,14449.1,53554.9,32291.7,17290.4,2995.76,9.69117
775682,452669,1.02814e+06,536521,375410,253599,888198,408478,788078,6872.6,188.696,24315.2,29344.1,30462.6,5686.75,5594.34,9.69467
1.99124e+06,1.63368e+06,731321,370060,277862,217111,767890,304839,728371,6710.92,805.117,1.00074e+06,34821.7,1337.64,9966.89,2139.24,9.69548
952030,663321,861149,439868,241661,180175,804753,358739,735691,6700.43,744.787,58414.8,24748.4,19907.7,7278.23,2072.29,9.69926
2.13838e+06,1.58797e+06,807965,604985,477604,351390,815511,489560,741463,15294.5,-47.0876,31433.5,55233.9,15621.9,25730.9,2704.96,9.70101
2.19908e+06,1.49482e+06,882678,524478,436366,310141,844195,412794,762333,10798.9,3550.7,73258.1,46810.4,30967.1,9712.24,5335.61,9.71072
1.57659e+06,1.12713e+06,839257,469660,408841,311398,787753,391531,719728,5760.71,3353.92,46678.7,18307.9,2990.07,363.994,1793.58,9.7126
1.5775e+06,1.21699e+06,777740,428987,385568,299898,771399,344234,747725,12491.5,-927.581,22415,60653.5,22255.3,17309.7,2842.3,9.71517
2.30284e+06,1.39640e+06,989473,965423,860890,580959,889106,700528,826882,22494.5,2579.17,113686,109438,37829.1,23459.6,3517.49,9.72069
1.72807e+06,1.26623e+06,818841,544417,307555,228263,808422,434072,752525,10074.9,1756.45,65674.4,40638,48754,8567.57,5633.04,9.72811
1.72186e+06,1.30897e+06,789259,807086,507759,382638,796197,620145,780869,13433.9,2161.85,192758,48478.6,18637.8,26817.4,2236.8,9.74253
1.80138e+06,1.32412e+06,816258,627298,398397,284933,838929,504405,746184,16943.8,1416.39,24996.2,60908.3,14754.3,12884.4,3671.96,9.74401
1.68883e+06,1.20274e+06,842494,611167,412573,292100,847463,482690,759701,20281.3,-112.743,15572.5,82389.4,41004.8,13651.4,2388.71,9.74428
1.41737e+06,961473,884496,754515,552437,393538,842262,554166,816920,15675.6,1691.13,12860.9,57020.9,27145.4,28396.9,3298.06,9.76451
1.58032e+06,1.16734e+06,812268,669679,384572,273623,843288,512794,783565,11463.4,3528.76,94207.5,55373.5,13452.4,12380.8,3005.75,9.773
1.79214e+06,1.24472e+06,863875,708328,458006,308079,891991,517573,821134,12224.9,-487.753,118464,43056.9,22147,34177.1,3296.39,9.77516
2.51095e+06,1.70868e+06,881718,585900,353761,239568,885998,433310,811289,18757.6,1101.48,41977.1,85683.9,30639.4,27342.9,5115.53,9.78567
2.06887e+06,1.57736e+06,786960,540031,385749,286135,808882,422729,766492,13334.5,1238.49,28440.3,73945.9,45505.4,17094.4,5018.96,9.78823
1.89389e+06,1.42816e+06,795663,431059,378102,286364,792213,350431,738050,19292.4,-836.259,47714.4,81075.7,28712.7,10156.1,3780.27,9.78999
1.54599e+06,1.02424e+06,905643,821571,494361,341918,867508,610486,807460,21644.7,95.0474,24530.8,64156,36160.3,27172.2,4202.98,9.7943
1.6998e+06,1.34575e+06,757852,448986,325834,254011,769653,363759,740577,10881.3,527.256,56534.9,41824.3,17173.2,13127.5,4047.57,9.80023
1.3291e+06,925841,861333,762601,641130,420288,915272,552473,828205,11621.7,874.987,25405.8,32781.3,12825.6,15061.6,4197.45,9.80455
1.87364e+06,1.42639e+06,788134,596647,542973,390575,834114,458646,780533,14264,22.6398,13013.5,61266.9,20704.1,12835.2,5840.19,9.80873
1.82571e+06,1.41441e+06,774477,549352,415482,319941,779172,434377,758813,14662.2,-356.625,10148,50697.6,16682.7,15405.1,3216.07,9.81034
1.79855e+06,1.27041e+06,849435,723795,574330,415943,828475,579439,749478,20606.6,2819.56,110774,43784.6,12950.7,15400.8,4119.39,9.82275
1.7796e+06,1.35912e+06,785628,587609,418745,293049,857354,429121,821599,19297.9,931.215,34261.9,54484.9,21198.7,15801.1,4189.62,9.82827
1.22606e+06,901452,816056,734590,512674,368608,834502,562075,784155,13561,-399.223,3855.48,50678.4,42666.9,12715,6205.67,9.83448
