FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
1.51E+06,1.12E+06,811401,738423,677159,502719,808196,563096,786817,3628.28,60890.5,40678.7,18610.8,11521.6,17378.9,4968.42,11.7842
1.51E+06,1.10E+06,823761,470560,353283,262504,807492,378279,746370,46.3903,6835.17,39496.7,15675.4,9383.76,16283.5,4079.62,11.7861
1.50E+06,1.16E+06,774832,496443,264612,188340,842981,392980,757967,313.273,68071.6,31842.2,15290.9,12346.3,10227.5,3540.69,11.7901
1.08E+06,689865,936472,1.07E+06,713510,449113,953226,743832,860398,1172.05,48999.3,44867,26522.3,11602.6,50069.4,5078.03,11.7924
1.84E+06,1.27E+06,868015,336685,179508,120675,892520,248331,813476,3755.32,103345,34442.5,19881.6,10907.1,7315.18,1703.55,11.7932
1.88E+06,1.33E+06,848197,913792,779848,551030,849153,682225,803657,1938.04,7944.86,82673,38012.7,23955.5,15395.9,3768.18,11.7959
1.58E+06,1.12E+06,848338,644210,365513,263291,832948,505055,765315,3391.66,456042,26667.2,18524.7,8109.57,13857.4,4111.37,11.7968
1.43E+06,961073,892608,645647,376141,253047,891868,474769,815951,3370.11,121241,55056.5,17271.5,14272.5,20317.7,5116.8,11.8007
1.89E+06,1.35E+06,839953,776856,525375,367888,856851,581601,801432,732.035,27700.8,42891.6,19939.1,10678,10960.8,8453.38,11.8062
2.33E+06,1.48E+06,941972,690923,437493,261280,1.00E+06,446291,928887,1842.52,3692.83,83993.8,20503.3,29891.2,30414.4,7741.72,11.8115
1.41E+06,947659,894576,815110,609869,425393,860196,649254,753274,427.528,165277,43592.1,18609.1,10490.5,15770.1,4161.6,11.8215
2.35E+06,1.52E+06,923935,523421,307461,185718,993316,345398,909249,1662.82,6705.19,32783.1,16285,13606.5,10828.8,2218.51,11.8228
1.04E+06,761779,821669,674028,445519,311684,857635,511352,790877,66.5662,54215.7,49173.9,17254.8,11744.2,12836.4,5364.59,11.832
1.69E+06,1.24E+06,818416,595834,309535,227569,816109,476545,750193,-547.145,16257.9,46694,27107.3,13104.5,12587.9,4535.2,11.8329
1.47E+06,1.08E+06,816401,480884,233773,161435,868855,375956,767458,16.8458,8977.2,43110.7,15833.8,10313.6,11606.1,2161.91,11.8332
1.26E+06,851897,890138,1.03E+06,580387,395679,880087,774596,797914,-83.4775,59451.6,47274.7,33927.7,17182.8,19405.7,4656.77,11.8338
2.03E+06,1.41E+06,866772,968309,830769,567596,878197,707963,820644,945.501,25612.1,84120.2,60635.3,22027.9,43389.1,6396.95,11.8374
1.92E+06,1.47E+06,786638,783273,506194,358051,848249,609079,771597,891.224,4075.13,81746.5,27416.7,16694.2,16771.2,4672.9,11.8431
1.58E+06,1.20E+06,790576,713886,609744,434987,841052,550195,778508,952.267,205221,55060.9,26346.7,13566.9,15238.3,4878.6,11.845
2.19E+06,1.56E+06,838967,717566,645496,435219,889892,518479,830389,423.544,28435.2,75070.4,41758.8,17870.7,15963.9,8416.46,11.8456
2.07E+06,1.48E+06,837164,743186,537592,380262,848244,578318,771049,1006.8,27037.8,66838.6,25021.1,16556.1,20193.8,3191.97,11.8466
