"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.18833e+06,806319,884264,723699,561099,396286,849537,552075,786522,13572.3,-768.657,20807.3,123654,37226.2,11607.9,3953.27,49.8353
1.6521e+06,1.30887e+06,757338,418686,323289,243345,797112,351493,714700,13780.4,220.761,5951.9,50697.5,26944.2,8813.84,3288.91,49.8564
1.71378e+06,1.21055e+06,849419,907735,784742,559746,841176,663451,820921,19680.9,3545.23,3064.11,70767.9,30929.1,17041.1,3591.4,49.8568
1.78115e+06,1.42395e+06,750509,245629,199640,163632,732034,212419,693804,3165.26,-1183.86,36415.4,70261.2,9180.47,4711.75,3152.14,49.9287
1.28717e+06,920838,838697,534672,395439,288689,821865,420287,763295,11175.4,-1061.38,10000.4,70319.1,9698.6,10003.1,4003.96,49.9502
1.90187e+06,1.4013e+06,814333,744564,531613,397699,802033,605693,737566,11722.9,-1414.51,18564.9,93802.8,21441.2,16602.2,7342.99,49.9907
880161,556971,948158,628290,455027,306777,889951,469676,802625,10749,507.155,15064.8,72365.7,28791.7,14458.8,5002.07,50.1548
1.71478e+06,1.23581e+06,832546,969261,825431,536940,922373,702170,828228,12313.9,2898.3,54880.2,76871.4,28042.3,19825.7,4677.54,50.2162
1.65216e+06,960843,1.03169e+06,1.16945e+06,807406,518987,933441,821683,853941,18254.3,2839.94,4111.93,107356,85106.8,24035.6,4250.06,50.4136
1.54145e+06,1.03354e+06,894856,1.07637e+06,818914,527128,932124,749940,861168,14934.9,3817.61,27540.7,86567.7,41007.6,25576.6,3978.94,50.7331
1.77689e+06,1.27521e+06,836050,604391,448943,283939,948675,433585,836363,7821,50.2528,29700.5,56116.4,7654.93,7398.39,3033.53,50.8375
1.56599e+06,1.18804e+06,790879,643125,491890,353687,834449,495468,778809,13050.5,1762.64,5148.22,55124,28639.8,14466.3,2695.31,50.8482
1.77569e+06,1.37951e+06,772315,370727,329084,251090,786372,302044,736436,8482.92,-680.444,50494.1,70168.6,9234.87,10804.5,3044.5,50.863
2.01813e+06,1.42473e+06,849903,976805,814646,547956,892020,687358,852661,19830.6,-468.208,29870,117540,101605,27945.8,4623.75,50.9212
