"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.74556e+06,1.14202e+06,917091,780104,680423,479073,852175,560780,834663,24510.9,3654.16,3536.23,84962.9,38142.3,22879.7,3736.07,10.0988
1.94276e+06,1.36678e+06,852844,605677,476508,336584,849431,471049,771483,16992.1,1427.64,3527.23,72572.1,33501.4,13087.6,3371.63,10.1145
1.87272e+06,1.34976e+06,832468,916269,780370,535020,875149,677656,811269,16938.3,712.529,19478.8,73493,57951.9,18442.9,6012.19,10.1243
1.88423e+06,1.37651e+06,821306,783740,686062,473770,868855,590256,796678,19934.8,-771.516,12853.9,79360.6,37792.9,14050.2,8964.48,10.131
1.97029e+06,1.43127e+06,825963,431240,243222,189459,770263,359302,720130,9809.34,1407.86,21470.4,103791,26242.2,9208.33,4272.32,10.1452
1.70496e+06,1.27761e+06,800695,820030,574475,396523,869268,636988,772413,13018.7,2019.34,103275,52897.9,38889.4,16769.7,4067.48,10.1929
1.82668e+06,1.30294e+06,841176,1.03499e+06,689854,455085,909527,742431,836433,19157.1,4680.84,218095,86271.2,51767.3,23148.6,4110.08,10.2075
1.7502e+06,1.37681e+06,762718,507446,335385,255074,788912,400290,760617,12208.6,4825.81,221584,40312.1,34936.6,13226.1,3617.64,10.2253
1.40349e+06,974893,863784,963057,679029,455612,894220,715042,808113,13617.7,782.583,166062,61872.7,38437,20877.6,4789.19,10.2275
1.49168e+06,1.04739e+06,854517,1.18574e+06,762064,509021,898271,838995,847970,19555.7,3131.25,95695.7,83261.5,62425.1,24455.1,6179.84,10.2369
1.87405e+06,1.37616e+06,817074,680567,601009,448467,804085,538627,758113,10178.7,1354.39,50730.4,56644.8,48554.4,13077.5,3235.33,10.2475
1.95131e+06,1.50112e+06,779942,719527,439404,305143,863996,528895,816260,23625,1986.02,370992,46508.3,38670.2,19694.7,7073.68,10.2482
1.38613e+06,1.02802e+06,809012,568044,389898,294846,793426,424843,802241,24139.1,1710.42,16924.1,95180.4,25794.3,13345.8,3380.55,10.269
1.66613e+06,1.19713e+06,835064,740280,591646,430298,824982,599539,740850,16681.4,1411.59,3247.28,88623.6,33773.6,14487.7,4988.8,10.2735
1.6995e+06,1.27137e+06,802048,815256,742742,521313,854852,626247,781087,14548.2,2945.56,190847,50979.2,23532.4,14477.4,4861.79,10.274
1.83793e+06,1.30946e+06,842146,838389,519713,365090,854113,647077,777394,13666.9,4904.27,19124.7,54440.8,42097.5,12584.8,2958.05,10.3053
1.85985e+06,1.15810e+06,963565,1.2365e+06,856388,525033,978668,862905,859769,33918.1,3848.69,2898.39,128035,45896.5,35817.5,6465.36,10.306
2.42159e+06,1.67178e+06,869106,850308,644665,427729,904309,577595,883292,32018.1,1960.33,12910.2,146367,57229.5,29475.7,6247.14,10.3348
1.56034e+06,1.2383e+06,756044,555418,469234,364531,772336,458839,726291,19069.1,1891.59,8005.29,54727.1,41214.8,11229.9,3076.82,10.3442
1.79348e+06,1.23609e+06,870558,774485,541774,359419,904417,580583,800387,9788.83,1830.49,59544.8,45525,36810.5,15244.6,4828.62,10.3644
1.59687e+06,1.19255e+06,803422,837236,626149,434296,865053,616740,814511,11920.2,4514.14,48548.7,85119.1,37086.5,18529.5,6865.02,10.3731
1.90397e+06,1.37565e+06,830433,953517,960022,596232,966089,672015,851335,12761.5,1124.27,40517.1,65014,22181.3,15786.6,9503.5,10.3827
1.23881e+06,831660,893734,310904,160625,112375,857618,244901,761706,4913.11,392.304,73376.4,139852,19045.3,9698.68,1617.3,10.3869
1.44459e+06,936849,925180,1.11193e+06,750485,493116,913155,824942,808732,19116.5,3616.29,108761,83933.3,43114.9,21348.5,4625.77,10.3876
1.20676e+06,845845,856011,850303,699697,517830,810726,684451,745389,13551,-155.043,149677,36324.3,40009.1,12209.2,4255.23,10.388
1.67703e+06,1.18282e+06,850698,971745,714026,447202,957991,667071,874041,13683.9,4670.31,14756.9,70996.4,49597.2,17014.4,3967.46,10.3892
1.81472e+06,1.36667e+06,796706,616989,561772,384307,877067,443390,834916,11373.4,283.743,43655,38649.2,23720.6,16096.7,3668.42,10.3978
1.69944e+06,1.19205e+06,855389,954311,797155,521916,916417,691872,827590,21165.9,332.81,17217.5,65951.2,49130.5,18180.3,4959.78,10.3986
1.67549e+06,1.23353e+06,814972,473717,406808,300774,811522,365405,777850,15638.9,2404.82,9922.36,38609.6,13564.7,14219,1211.22,10.4258
1.48087e+06,1.12025e+06,793145,569149,502231,375763,801938,445552,766441,11317.9,-272.029,35976.4,43807.6,21720.2,12798.6,4206.06,10.4287
1.64851e+06,1.08177e+06,914343,764030,521144,340600,918046,578156,792896,25804.1,-320.39,8329.76,72213.5,49336,17134,5101.86,10.4548
1.87347e+06,1.26342e+06,889718,640394,400301,272596,881086,458459,838104,18517.1,4166.56,2302.49,98106.5,36581.8,18781.2,2841.06,10.4583
1.4701e+06,1.05619e+06,835138,820362,474371,331883,857600,621409,792098,14768.7,1917.36,39465.7,56416.6,37897.5,16479.5,2680.56,10.4795
2.04719e+06,1.4536e+06,845014,729362,671901,496326,812250,575000,761074,13095.5,881.795,53050.8,58374.7,26477.1,15927,3524.04,10.5018
1.83897e+06,1.29446e+06,852386,668083,636646,443009,862258,491424,815690,10741.8,1190.47,5121.39,50041.3,29472.2,17616.2,3795.3,10.5163
1.45811e+06,1.04018e+06,841068,800869,484703,334478,869480,602160,797996,12423.5,653.103,47296.2,52390.6,27527.2,13222.9,8266.79,10.5196
1.23158e+06,860568,858677,871031,459791,309867,890300,644133,811352,13121.3,1904.81,25560.2,41889.6,31551.9,16193.9,2592.97,10.5202
2.05443e+06,1.57286e+06,783702,250944,158381,126528,751047,217874,691071,3007.21,139.95,42336.7,16871.5,6301.68,2940.59,766.511,10.5335
2.28e+06,1.36141e+06,1.00484e+06,372401,205342,147060,837788,294376,759030,7302.75,2737.55,13478.5,46508,16389.6,6843.01,1083.02,10.5438
1.34825e+06,953057,848796,644586,329311,235426,839273,504178,767094,16765.8,2942.34,13680.7,34757.7,32650.8,11660.3,3607.86,10.5574
1.50915e+06,1.02885e+06,880102,973858,580386,410859,847570,742207,787266,17518.5,511.469,8221.84,48090.4,52611.1,15413.2,7014.92,10.5575
1.68427e+06,1.25570e+06,804776,945956,684116,467896,877266,696356,815062,14055.2,4855.87,234267,66391.6,31946,19402.3,5109.44,10.569
1.809e+06,1.30052e+06,834591,789668,711177,473254,901643,563443,840903,15103.9,1412.57,42344.4,55924.8,35542.2,16389.1,3715.8,10.5745
1.56764e+06,1.09647e+06,857828,761776,727576,499560,873861,559401,817063,16199.9,3223.29,85126.4,50371.1,29612.6,20777.1,5427.63,10.5895
2.18738e+06,1.59232e+06,824220,516385,405458,285920,850850,399559,775432,10070.7,-418.362,18463,67069.9,10385.4,12592.6,4152.89,10.5927
1.68835e+06,1.20308e+06,842013,475298,394708,284943,831131,371558,767521,16650,341.849,5463.38,81629.1,23352.5,12694,3134.91,10.6086
1.33193e+06,1.00068e+06,798612,670946,319643,237160,808678,555966,724086,11292,-423.209,14386.7,41039.4,23771.4,9473.64,3125.28,10.6126
1.936e+06,1.4645e+06,793175,754745,607808,434643,839044,579786,781059,13467,1794.8,191405,53075,23699.7,20647.3,6164.42,10.6157
1.08494e+06,814202,799508,936626,610670,426270,859553,706384,795566,20857.8,208.961,2042.54,63851.2,68881,18630.2,4373.64,10.6251
1.21499e+06,987413,738289,820227,369696,266476,832411,658254,747639,4450.61,4882.66,4666.33,22086.5,7559.22,1899.37,2127.74,10.6331
1.65937e+06,1.13107e+06,880250,1.0545e+06,811735,565916,860624,816582,774813,19462.3,3576.43,5314.77,75586.9,80327.4,19400.8,4694.97,10.6385
1.30945e+06,940137,835696,611033,452036,328705,825121,457463,801419,17939.1,575.31,21730.5,98839.1,43983.8,13263.7,2774.94,10.6515
1.7191e+06,1.28426e+06,803158,651149,445990,328353,814958,500113,781202,10423.5,4745.64,25230,44203,34214.6,16130.9,5692.92,10.6538
1.3794e+06,975151,848731,941647,597728,421499,850860,717083,787898,11982.8,3081.36,52594.6,32178.9,23931.5,14674.3,3074.39,10.6561
1.97295e+06,1.33719e+06,885268,565562,340482,249360,819254,460708,736555,7275.93,-105.23,20419.2,42139.9,48036.2,8211.43,4985.78,10.6589
1.76342e+06,1.27888e+06,827327,819358,707890,509402,833790,637712,770904,18238.6,1178.3,47824.5,57696.6,37446.1,16733.8,5305.77,10.6738
1.91427e+06,1.33879e+06,857909,777974,638703,443171,864726,585829,796793,16467.3,1220.99,145007,69475.7,47131.9,23135.6,4832.2,10.6828
1.90979e+06,1.43929e+06,796141,678393,587366,427743,823905,530420,767384,19534.5,1729.94,6454.06,82471.8,41740.1,14109.8,6280.38,10.6854
1.77138e+06,1.23436e+06,861033,550437,476844,346545,825597,426567,774233,18447.9,1799.61,471.535,98186.4,33539.3,16840.6,2940.18,10.6876
1.27723e+06,923235,830056,773330,469212,335233,839795,603871,768373,13200.6,621.779,8874.79,43788.2,40513.8,9497.17,3744.17,10.6906
1.88723e+06,1.43907e+06,786852,771935,646227,470064,824858,599103,773091,14246.9,305.096,44387.2,49432.9,22197,21814.4,7069.17,10.6982
1.47831e+06,1.0368e+06,855503,1.174e+06,876600,528464,995261,752293,936340,19606.6,1296.77,108223,94242,56536.2,23544.5,5961.47,10.705
1.87302e+06,1.4589e+06,770317,613376,525226,380660,827866,464805,791785,14064.5,-94.3579,41693.3,58850.7,28697.1,14183.1,5372.76,10.7052
1.72333e+06,1.25679e+06,822728,813713,709763,507932,838416,606324,805226,14782.2,1857.63,50379,62552.2,49428.1,19932.2,4598,10.7066
1.76156e+06,1.09738e+06,963141,787226,643216,434522,888170,560912,842085,17167.1,665.785,10673.8,108294,53384.6,18267.3,6128,10.7097
1.82534e+06,1.3099e+06,836100,698176,498815,345065,867342,503596,831829,15573.3,4528.45,14534.7,57529.5,26869.3,19767,8361.48,10.7153
1.2514e+06,967092,776392,409236,289099,229687,755199,332487,738499,9485.56,1020.29,167889,37727.3,17920.4,14026.9,2275.32,10.7164
1.2283e+06,826170,892044,800448,481130,314464,918000,560068,857519,25004.8,2589.09,1842.66,157008,51408.2,23043.3,2609.08,10.7216
1.87139e+06,1.3738e+06,817321,740920,655452,475074,827811,563930,788311,12643.3,554.054,109588,48257.6,32653.7,21424.4,6347.96,10.7279
1.64342e+06,1.23911e+06,795775,652766,440087,338903,779138,520727,752140,11806.4,3781.52,45891.6,41564,26653.3,12262.8,4893,10.7349
1.8213e+06,1.3029e+06,838729,954416,734451,514646,856260,689058,831061,16177.3,3463.53,24047.3,70128.7,39287.2,19481.1,7539.27,10.754
2.13914e+06,1.61592e+06,794278,665343,466510,364359,768215,534259,747214,16951,-366.031,17011,81868.6,40001.8,12377.7,5033.07,10.7581
1.25209e+06,899135,835527,919182,444331,291866,913428,674314,817882,7300.96,3113.81,31301.2,42556.4,28147,14240.1,4204.32,10.7674
1.20171e+06,722429,998060,921023,800379,498782,962800,624603,884744,15691.7,2071.58,154446,62591.2,47350.9,20940.2,5067.33,10.7718
1.31818e+06,890891,887772,922890,578007,390964,887049,683020,810715,15449.6,1007.94,6001.49,79114.3,68368,18962.9,5115.99,10.7766
1.7376e+06,1.21379e+06,858930,530412,366502,263084,835860,403268,789170,16824.9,1562.25,538.07,58166,20574.1,16966.2,6208.07,10.7875
1.85971e+06,1.38141e+06,807745,836935,661605,501494,791561,641593,782678,10539.4,2257.99,121739,45414.7,22618.3,19737.9,5096.82,10.8074
1.80734e+06,1.23004e+06,881600,734933,537404,360876,893499,517151,852671,25904.9,3839.31,47621.4,97518.4,60092.6,25867.3,4318.58,10.8112
1.89093e+06,1.39068e+06,815827,745282,674989,498914,811750,564264,792483,16156.5,1693.87,23906.5,75137.8,28279.4,14462.4,4832.24,10.8337
1.80255e+06,1.06972e+06,1.01104e+06,974249,574124,338278,1.01832e+06,653336,894715,24007.2,3318.94,1763.06,106109,49083.6,29550.6,5888.14,10.8355
1.25892e+06,864454,873794,581177,294676,211838,834626,454399,767401,21579.6,1245.05,5161.98,52826.9,42207.3,14192.6,3387.62,10.8454
1.75465e+06,1.32259e+06,796008,755883,502545,317757,948924,533977,849343,25439.1,-31.2337,37490.8,72163.6,35963.2,18803.3,5586.4,10.8565
1.39841e+06,1.09955e+06,763080,650674,461057,331710,833964,496589,786173,12678.3,1898.8,46192.2,44632.1,25142.8,15215.4,3477.92,10.8569
1.76497e+06,1.38682e+06,763606,502406,419232,325670,772374,404269,745652,10517.5,-512.807,19245.9,51748.3,38627.3,11230.2,3998.41,10.8823
1.58204e+06,1.20145e+06,790066,711351,515827,361925,855139,505198,844839,16097.4,588.009,179211,54241.8,28210.2,17385.5,7988.56,10.8928
1.75634e+06,1.19464e+06,882115,894111,753777,492153,918955,627302,855197,16448.2,2305.66,21347.2,67178.2,52451.4,17496,6263.52,10.9027
1.49503e+06,1.1315e+06,792769,806348,688662,493724,836900,633933,763186,10452.7,3806.89,40040.1,33133.2,176937,12702.5,5021.85,10.9096
1.58488e+06,1.18673e+06,801301,841289,679736,484331,842072,634967,794960,16650.6,963.374,45145.7,65560.1,43168.6,17158.7,6255.11,10.9116
1.78752e+06,1.32664e+06,808443,665342,506418,348331,872304,486898,819895,15007.6,2556.64,81850,61789.3,32609.2,16896.5,4164.56,10.9171
1.2783e+06,933333,821768,697128,518350,384210,809479,540125,774408,9154.36,2201.66,3928.74,47106.9,31097.5,11544.7,2110.72,10.9431
2.19327e+06,1.41916e+06,927283,586590,638304,325031,1.1783e+06,346354,1.01617e+06,12411.9,536.704,3129.78,58286,27358.6,12256.8,2982.49,10.9638
1.48824e+06,1.05957e+06,842741,641413,463299,339432,818954,499455,770536,14260.8,3524.44,26377.2,80009.5,15016.3,21832.7,3986.89,10.9657
1.5395e+06,1.30691e+06,706783,434258,382823,342055,671511,409101,636896,7803.41,5019.08,38755.6,49786.4,20636.7,6845.23,1242.97,10.967
1.36028e+06,910910,895994,644178,402885,289876,833912,501988,769952,20726,4047.45,18956.2,141397,58485.6,16296,5676.58,10.9945
1.78245e+06,1.18025e+06,906139,1.15746e+06,1.04548e+06,669384,937110,809987,857393,21550,3825.86,40961.4,95168.3,35639.1,19700.9,7397.77,10.9963
1.88041e+06,1.55048e+06,727676,667693,510954,413564,741293,587365,682056,5176.55,3034.53,6997.15,28926.4,11638.3,1624.08,2651.7,10.9999
1.58415e+06,1.21696e+06,781036,755373,523315,352497,890757,546016,830056,13448,-244.24,117912,60663.1,22552.5,21914.2,6318.47,11.0017
