"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
2.1977e+06,1.56283e+06,843736,692587,639424,453115,846705,531460,781907,17516,2476.76,40266.7,57924.9,17690.5,22139.4,5955.73,0.328855
1.74506e+06,1.31473e+06,796392,524461,464392,329643,845264,402813,781198,14412.9,1394.32,52806.3,40785.2,30049.6,10384.3,3782.69,0.391189
1.90814e+06,1.34267e+06,852690,542909,397824,286826,832192,425799,765021,82442.5,2593.41,7435.39,100608,24724.1,14595.2,3753.54,0.600708
1.92157e+06,1.48406e+06,776882,388952,320935,251035,767068,330016,707151,15224.1,340.177,14223.2,43256.4,13782.8,10016.6,2843.56,0.673115
1.42418e+06,1.02797e+06,831258,664857,492138,337118,875904,505361,789364,12948.2,1466.68,16688.5,64992.5,48289.7,9090.14,6148.08,0.729761
1.88172e+06,1.47380e+06,766068,473369,367950,270860,815071,375878,755621,18697.5,1448.39,26388.1,56439.9,15413.2,8551.37,3825.65,0.839854
1.60756e+06,1.11138e+06,867874,815123,667148,437727,914471,576788,847927,17228.6,2684.04,100364,67936.5,32883.2,15647,6721.96,0.890693
1.90794e+06,1.37838e+06,830512,644978,526141,365850,862880,481017,804518,15074.4,2263.58,52661.1,55386.4,18764,15040.5,6073.07,0.969144
909282,766163,712080,728961,592866,519736,684424,668427,654337,3139.68,952.622,4993.21,2978.93,1230.39,201.449,35.004,1.20284
1.58022e+06,1.11253e+06,852226,762275,625856,424209,885209,560650,815777,17669.4,2578.4,27657.7,43718.3,24525.4,18026.3,8453.21,1.32917
1.29723e+06,948110,820940,722958,583077,421745,829520,568191,763431,15758.9,2224.66,11079.4,49433.4,37605.4,11259.9,3993.07,1.65411
1.71154e+06,1.26516e+06,811694,554366,478928,337984,850209,425541,781639,20960.3,1717.5,22820,56231.6,30212.2,15819.6,3044.34,1.66549
1.11131e+06,793356,840459,458898,355958,260208,820785,362714,759108,8844.68,829.789,20018.6,53888.8,12867.7,12723.6,2005.28,2.03155
1.78737e+06,1.32996e+06,806357,642003,548554,373126,882095,483365,796917,19922.2,1682.37,112673,66702.2,37627.8,15581,4441.02,2.09401
1.60914e+06,1.19883e+06,805354,586358,441354,330284,801771,473485,743033,16999,-447.612,12942.7,98608.8,100538,10383.1,5735.72,2.45687
1.4563e+06,998652,874957,697980,520365,367358,849904,523564,799879,14791.6,2690.55,26935.1,53573,18229.8,10896.5,5150.39,2.74982
1.22241e+06,919239,797883,693103,559685,409040,820974,531582,782310,11757.1,413.221,23113,43452,23246.3,10524.8,4569.92,2.91513
2.21559e+06,1.65656e+06,802482,292393,269551,212274,761895,234230,748991,4785.41,2134.69,13172.9,31473.6,7212.08,7493.56,1483.02,2.99643
1.46763e+06,1.09533e+06,803938,555176,430985,306735,843044,424584,784546,12593.6,2040.35,7013.37,36823.3,21813.8,8913.05,2598.87,3.06042
1.54424e+06,1.18314e+06,783123,440992,318375,228575,835721,342938,771553,16965.4,167.385,53275.3,40927.7,29961,10840.9,4680.01,3.97588
1.76811e+06,1.39157e+06,762352,430493,323373,242960,798584,347958,742319,16878.9,818.607,66592.3,43571.3,21464,8982.18,2735.32,4.35653
1.76036e+06,1.29889e+06,813170,538133,379684,272826,835003,419922,768905,14205.1,2330.34,11682,48002.7,16433.4,10051.3,4152.11,4.38141
1.88221e+06,1.23776e+06,912389,366990,320246,222518,863516,281145,783205,4299.54,1298.4,20184.6,28641.2,10121.7,8308.51,1900.64,4.54057
1.86725e+06,1.34603e+06,832338,856452,670418,437400,919641,615367,835064,22396.4,1439.8,34299.9,55204,23969.9,18674.9,5258.65,4.90545
2.03192e+06,1.58274e+06,770283,542323,492682,357414,827078,423708,767967,14340.8,1902.44,312926,49849.5,22019,12571.4,3472.34,4.95107
1.99224e+06,1.48168e+06,806751,573366,481924,345791,836212,439557,782651,14305.8,1187.02,26022.3,63822.9,23148,20320.8,2292.18,4.98034
1.94942e+06,1.43701e+06,813946,682999,459903,333130,828331,529012,774650,15880.2,2955.16,54898.4,44586.1,19989.7,13700,4965.92,5.2375
1.90065e+06,1.51392e+06,753270,473212,406912,332677,733886,407112,697418,9114.16,2733.48,7378.71,45737.7,11895.9,9008.54,2449.51,5.56683
2.57123e+06,1.47661e+06,1.04478e+06,562297,407119,239231,1.02107e+06,368410,915768,18952.5,2111.81,15433.7,54780.6,20604.2,10314.2,4621.99,6.04915
1.8484e+06,1.39509e+06,794963,565030,439042,311216,846439,427251,793487,13851.2,2701.74,52944.2,56092.4,28131.6,20551.9,3030.38,6.23319
1.69296e+06,1.27217e+06,798454,563390,470146,343049,822296,442096,764616,16328,2692.41,34885.9,49147.1,12214.8,10115.2,3984.93,6.30583
1.79934e+06,1.35247e+06,798246,606724,467895,338241,829991,470945,772987,11701.3,956.668,47887.8,53374.2,25126.9,14073.1,9417.81,6.3165
1.51731e+06,1.13912e+06,799199,523545,420427,295796,852806,396769,791712,13726.9,1194.91,24603.3,40677.2,17347.2,10870.6,5033.3,6.35952
1.71215e+06,1.23345e+06,832860,685675,522974,351550,892574,510033,806624,16761.1,2918.97,23059.7,61251.8,19889.9,13512.3,4221.21,6.54605
1.5615e+06,1.19244e+06,785698,494080,375112,304290,739647,419864,706057,12289.8,1549.97,52340.4,41979.6,28420.6,6331.64,3181.75,6.69525
2.15393e+06,1.54656e+06,835636,677564,540492,403842,803025,532128,763986,13458.7,2165.67,27115.7,47618.4,31330.2,15444.3,3445.92,7.4333
1.92206e+06,1.41693e+06,813898,619402,480273,345826,833263,477171,778843,16064.6,2799.27,23526.1,64338.3,34421.7,10886.7,5551.94,7.89903
1.81896e+06,1.34821e+06,809501,555318,426461,310402,824340,438888,759171,18341.1,1650.54,14485.7,52804.2,26869.1,11878.3,2547.84,7.99087
1.9389e+06,1.52049e+06,765108,478916,365432,268138,817711,376916,762371,18164.9,-344.133,26959.8,55982.4,20014.1,10977.5,2383.7,8.56243
1.80784e+06,1.33137e+06,814726,779262,563037,431514,782877,633874,737619,20015.5,2689.65,24213.2,58282.7,33903.8,12684,3148.33,8.99154
1.86313e+06,1.40476e+06,795776,485537,347286,247628,841471,371342,784511,15358.3,1274.55,45905.3,46518.9,19979.9,11088,3452.28,11.4183
1.80742e+06,1.31076e+06,827344,738090,535983,377827,851157,563798,785483,17304.8,2943.08,58097.9,58524.9,26422,14148.9,5828.14,11.7454
1.6622e+06,1.26997e+06,785310,538467,444794,326499,817389,434592,743411,8691.83,2703.24,67455.7,50192.6,10445.5,14970.5,3607.99,12.0163
1.65541e+06,1.26129e+06,787484,589234,437112,298311,879175,442549,798873,12018.3,2199.72,24103.7,63618.9,18883.3,12816,4625.63,12.6197
1.55345e+06,1.15722e+06,805436,606122,473522,340511,834374,482248,754120,15762.5,3027.98,55890.7,46285.9,14870.5,12837.5,4494.96,12.8766
2.70366e+06,1.6758e+06,968014,890846,643993,407270,948746,637260,838759,20194.3,141.065,3192.52,150406,29688.7,127446,4484.98,13.4838
1.89147e+06,1.4445e+06,785656,542912,428806,305313,842688,411607,791403,19572.9,2307.15,31784.8,45356,26523.1,9437.24,2909.09,14.8287
1.8517e+06,1.36402e+06,814518,481632,363741,277123,787536,387843,745094,9130.26,129.884,25462.2,54759.1,44021.6,10612.1,2323.2,14.8366
1.4536e+06,1.07733e+06,809555,673536,521395,377986,827641,518905,778797,11593,2145.68,14967.5,47775.2,23326.2,12354.4,2206.06,15.1693
