"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.45754e+06,907959,963176,912481,724098,482428,900568,680404,804652,6852,1265.16,181075,65540,36626.7,16036.1,2147.25,10.1502
1.37348e+06,1.03785e+06,794036,708698,544800,382082,855522,535033,794752,14395.6,389.036,46150.6,67716.9,26229.9,21961.1,4035.5,10.1916
1.73186e+06,1.23037e+06,844557,862196,587249,390563,902158,636754,812430,10638.9,3749.02,10556.3,57304.9,24204.4,15731.4,2789.11,10.2497
1.87252e+06,1.33704e+06,840297,417762,354766,263538,807700,338973,739461,9708.17,-0.806213,806.913,37268.2,33243.9,11649.3,2687.09,10.2617
1.71213e+06,1.283e+06,800684,693677,492214,350107,843537,501587,829779,7477.8,5496.4,50382.1,48133.2,21877.2,14464.6,5275.15,10.2644
1.49543e+06,1.15559e+06,776448,852160,613452,410669,896272,628106,814028,7602.21,4767.81,105169,49840.9,20618,16045.5,3735,10.2648
1.52609e+06,1.06907e+06,856494,1.03127e+06,849376,581060,877061,748936,826185,9329.43,2273.7,111768,80532.9,28725.2,25340.9,2707.44,10.3294
1.70404e+06,1.412e+06,724100,250486,169236,134325,755941,208129,722107,4220.91,-534.556,7985.25,94318.3,4564.9,6311.47,4714.86,10.4124
1.73486e+06,1.31552e+06,791259,610111,467976,346266,810896,489284,748168,7949.71,357.536,80530.8,49429.9,25069.3,13832.3,1932.49,10.4566
1.58798e+06,1.15864e+06,822327,810805,548933,390347,843761,593077,820270,9170.66,1659.96,47479.7,49306.1,23039.2,18697.2,4911.11,10.4626
1.22163e+06,862506,849824,844839,432897,276072,940835,635807,797260,5612.8,624.959,46718.4,36596.2,24966.7,15264.2,1779.05,10.501
1.67624e+06,1.27133e+06,791095,901631,701176,470410,894338,652351,829275,5551.24,3027.01,83139.6,51753.4,22519.7,18590.9,5005.77,10.5035
1.72849e+06,1.25984e+06,823191,856125,698361,485816,862501,635044,808881,10888.1,1837.44,93279.9,69168.9,20599.9,27960.4,3858.78,10.5333
1.16771e+06,798945,876941,774581,369061,241396,917316,565400,821982,6022.6,4174.79,31035,31949.5,22392.4,14801.6,2534.87,10.6617
1.53717e+06,1.09143e+06,845038,692776,478530,326983,878082,532798,780157,8304.05,1098.09,158839,43776.6,17507.5,14781.1,2084.25,10.7533
1.8695e+06,1.41500e+06,792720,564014,494420,376960,786959,449766,752410,7889.26,-620.296,32115,66878.4,73627.3,10192.6,2455.81,10.8273
1.45224e+06,982338,887007,789698,529317,348707,910766,533144,888726,7568.71,3690.97,48555.9,53795.2,20354.6,18463,4346.03,10.8546
1.38106e+06,954101,868499,1.03353e+06,738074,495583,893582,770293,805038,7200.39,1599.47,173006,51924,23166.3,18243.2,4173.6,10.8771
1.67172e+06,1.3305e+06,753873,335847,295567,235044,754497,293868,685709,5101.8,3589.27,42627.8,91937.6,9218.73,7467.58,1724.14,10.9769
1.39032e+06,920772,905972,846281,763477,541951,845254,628448,807972,8998.66,2379.09,40232.8,57072.9,34206.1,17033,4712.43,10.9968
1.84093e+06,1.36769e+06,807607,1.07326e+06,1.11901e+06,822209,816586,771240,834960,6432.62,4581.73,152914,52039.2,31387.8,16779.2,3294.88,11.0057
1.74116e+06,1.21757e+06,858020,712709,621496,427315,872653,534390,800212,11131.9,958.209,31447.2,38605,18235,14832.7,3688.27,11.0182
2.0313e+06,1.55901e+06,781764,604469,395660,277685,854911,467332,776068,14809.7,-628.901,3164.94,58452,23083.2,12050.2,3022.58,11.1079
1.15206e+06,859551,804183,518960,293634,209649,840358,410927,757740,5326.55,1112.48,91752,17140.5,13649.1,15079.3,1092.54,11.1909
1.4555e+06,913742,955740,982083,779607,504957,926344,704187,836780,9393.14,181.917,88450,54688.6,24855.5,19589.5,3136.22,11.2251
2.12884e+06,1.22286e+06,1.04452e+06,629282,387034,234514,990221,386822,976079,6854.15,643.203,15888.6,49509.7,11672.6,16840.5,950.289,11.2879
1.58268e+06,1.19178e+06,796798,811109,545274,376754,868376,623804,780158,6479.24,2211.75,79200,40503.1,51140,14577.7,3419.81,11.3288
714869,600039,714822,502121,456259,395195,692709,479792,627923,3335.41,1029.53,3771.57,2299.24,3038.78,-275.554,216.121,11.3331
2.12176e+06,1.41572e+06,899228,712735,459792,297144,928422,498023,858677,12646.3,1234.46,5481.92,54880.8,29442.1,20513.8,3380.95,11.3444
833748,544032,919521,826300,574001,365873,941312,600919,825037,3255.63,3430.54,7688.18,3371.67,133.339,462.668,-91.9548,11.4288
1.73882e+06,1.38017e+06,755918,239204,168928,133601,758652,211983,677048,1612.02,-55.3484,91518.5,52100.6,9700.76,6964.2,1000.79,11.4347
2.02367e+06,1.54186e+06,787489,359659,332829,266263,750000,305758,705772,4916.52,-254.405,60776.3,73748.4,16392.7,9751.97,819.101,11.4674
1.18796e+06,857365,831356,1.05586e+06,723500,498969,869994,766803,826182,10890.7,1863.15,169810,53345.1,39947.2,19675.2,5928.72,11.4837
1.48402e+06,981340,907342,1.14861e+06,642651,404003,954425,805378,855707,7613.77,4819.13,23408.4,64867.7,68591.2,19146.6,3276.24,11.5252
1.33273e+06,917147,871879,1.00755e+06,924028,668720,829072,785006,770099,7513.08,1933.64,21139.8,74634.7,23622.6,14211.1,3040.74,11.6878
1.73065e+06,1.2768e+06,813271,892324,733187,493321,891736,642737,832992,8285.46,2025.9,22234.9,39850.6,27151,13894.7,4816.84,11.726
1.78873e+06,1.35643e+06,791225,447321,400085,303453,791065,366716,731882,17149.1,-211.564,48381.1,52156.3,8417.91,9840.77,2128.89,11.7407
1.86482e+06,1.25034e+06,894868,529003,340436,234367,871547,403616,786396,7042.66,1285.48,40623.3,128149,22293.3,11839.4,554.885,11.7842
2.23768e+06,1.5992e+06,839551,655078,472638,347629,815763,498660,788206,5723.87,629.827,73690.6,57799.3,9917.57,13181.1,1781.38,11.7879
1.2442e+06,877608,850631,417593,374082,266225,843081,328099,763660,9089.69,370.481,1583.28,45976.4,36112.7,8793.44,1673.65,11.7935
1.32647e+06,869045,915811,943148,527603,332038,953391,660543,856702,5654.89,4209.66,743975,32836,16033.4,20330.5,3816.6,11.7951
1.17882e+06,826174,856103,874439,694804,468844,889171,579313,905665,6442.07,3821.09,77928.7,64503.9,28967.6,22124.7,3963.73,11.8236
1.64776e+06,1.13973e+06,867446,884902,744633,516625,864805,663929,799695,10256.7,1604.15,19680.1,56686.5,31549.8,19003.5,3228.54,11.9165
1.91836e+06,1.48224e+06,776539,417098,283256,217412,781712,334437,748298,2472.27,1161.29,399245,78433,12342,9311.6,1737.9,11.9283
1.28234e+06,886875,867548,892177,448679,308971,871304,686664,779575,6249.83,1628.66,51636,48392.9,24533.8,18791.2,2013.39,11.9452
1.65194e+06,1.14851e+06,862999,944727,785185,485871,969622,650495,871392,6938.99,1536.22,85857.6,47482.9,20989.4,22284.7,3888.67,11.9731
1.24867e+06,813160,921343,954203,707644,448974,945681,624950,916109,9327.36,2812.33,36937.5,81995,47129.8,23770.8,4205.69,11.9862
1.94396e+06,1.32392e+06,881001,867446,806373,570624,847886,653556,796362,15138.7,313.192,40287.9,66247.9,32232.6,24227.1,5991.08,12.0805
1.80614e+06,1.35598e+06,799184,731933,564174,414991,815691,573390,765900,12057.2,2952.41,96975.5,46830,24135.8,16335.6,2659.07,12.0884
1.57323e+06,1.12813e+06,836730,654913,502873,369102,817453,514191,764206,12480.6,3187.17,15721.2,65167.6,25200.5,16034.2,3192.66,12.1102
1.85664e+06,1.41756e+06,785843,786379,677348,493075,824234,605946,778663,9337.22,1739.09,89094.2,43264.9,22424.1,17430.2,2793.13,12.1569
920815,623039,886765,641976,391188,274249,855838,483940,795937,7280.72,785.286,45576.1,30573.8,20928.5,20874.6,4108.39,12.1816
1.71229e+06,1.35743e+06,756854,700789,552616,389232,851856,546618,769227,9931.9,364.646,89606,93139.7,40917.4,19513.1,2230.85,12.2001
1.7828e+06,1.31701e+06,812203,766261,668132,491414,815767,601909,763830,11445.8,72.1025,18374.5,44453.7,21590,16734.2,3258.17,12.3482
2.49409e+06,1.67461e+06,893615,1.05081e+06,559709,350264,958778,720027,875645,28879.2,434.787,6385.69,423458,55348.6,24320.3,3085.92,12.3582
829585,605321,822292,564910,348351,242215,862913,430774,786831,3350.42,3888.78,9382.61,3961.85,2816.46,368.166,65.1834,12.3766
1.05985e+06,808773,786267,743908,538301,393869,820021,572342,779857,7771.95,3402.95,61322,47855.2,28151.6,22286,2935.69,12.3808
1.32837e+06,937547,850114,800058,490100,361140,814254,627639,764827,5953.89,2795.57,87755,44867.2,23303.7,15358.1,2389.12,12.4477
1.4989e+06,1.07050e+06,840107,827021,412402,298656,828516,671797,738635,6977.28,3729.17,55102.4,64478.6,21399,15298.7,2334.76,12.4909
1.56474e+06,1.13441e+06,827608,750525,593907,409083,871081,572212,786972,6145.67,2319.2,14195,56405.3,15352.3,14479.5,3718.27,12.5404
1.42946e+06,1.047e+06,819170,665892,362715,256457,848597,521982,765419,4605.08,3669.96,46303.7,30035.2,11586.4,11032.4,1409.5,12.6124
