"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
2.35834e+06,1.47584e+06,958775,734465,610337,408621,896191,502753,876532,34142.4,902.884,352832,58702.2,40034.8,30956.4,7493.03,10.0276
1.83005e+06,1.35778e+06,808697,499936,341982,250591,818821,374260,801478,10620,472.315,544605,34250.2,15213.3,19055,7252.4,10.0285
1.93112e+06,1.24804e+06,928390,740229,476960,317902,900202,557812,796214,28860.3,703.574,651852,47626.6,15890,23583.3,6682.23,10.0419
1.54881e+06,953215,974897,973822,611631,374209,980679,692943,843206,18390.8,637.33,502865,44455.3,26480.2,20594.7,8915.16,10.0498
1.9375e+06,1.17808e+06,986773,623764,481525,297940,969709,425743,879072,30848.4,510.45,136004,55859.7,26936.7,24306.1,8065.45,10.0839
2.03703e+06,1.31309e+06,930798,704849,551066,348779,947991,486600,869112,33164.5,968.696,228277,57200.4,20487.1,30786.2,6895.06,10.0923
2.65222e+06,1.60826e+06,989476,896115,775045,498829,932237,598451,898435,44390.7,1918.74,299266,69421.6,28801.1,18622.4,14377.2,10.0977
1.45025e+06,746283,1.16598e+06,1.20544e+06,973387,459375,1.27136e+06,628183,1.15136e+06,44832.6,1240.9,8123.32,182967,80192.6,51365.7,17040.1,10.1288
1.63756e+06,1.23224e+06,797358,516651,386338,263564,879493,364731,849916,15768.4,702.523,460659,45221.6,19576,20301.1,5718.23,10.135
1.21358e+06,763605,953566,889801,483132,310169,934585,616439,866072,19628.7,2436.35,252275,55460.1,27341.7,20354.1,7356.87,10.1559
1.79205e+06,1.27288e+06,844726,796396,534875,319404,1.00476e+06,524433,911152,29426.4,936.557,563862,67416.2,21854,25174.5,8784.42,10.1684
1.7901e+06,1.04697e+06,1.02587e+06,1.18757e+06,927835,526016,1.05834e+06,686869,1.03738e+06,31850.3,2287.14,518530,98273.7,77004.1,37749.2,10845.6,10.1706
2.54374e+06,1.51888e+06,1.00485e+06,1.40026e+06,750956,398108,1.13179e+06,815350,1.03042e+06,52165.9,4388.01,590509,117646,56035.1,49299.1,18582.5,10.1713
2.65791e+06,1.76072e+06,905737,1.04501e+06,687284,416062,991128,701906,893291,45985.4,908.889,309329,88984,36062.9,35132.7,6934.75,10.1803
1.14915e+06,766535,899492,688327,300468,200614,898646,511479,807455,26976.5,1857.5,286911,32813.9,17623.4,17055.8,5096.25,10.1946
2.17738e+06,1.4561e+06,897214,600727,463583,315699,881060,445671,808749,31482.5,2497.79,144642,82332.1,22574.4,20025.2,8268.14,10.2265
2.02593e+06,1.17742e+06,1.03239e+06,1.0547e+06,845954,470558,1.07866e+06,640870,987442,68968.7,2827.8,398976,85623.5,30805.1,28824.4,14465.7,10.2265
2.11615e+06,1.40691e+06,902469,606419,408613,267926,915059,417763,870952,40130.7,528.794,251211,53071.8,15681.7,25955.2,8213.24,10.2511
1.80185e+06,1.05629e+06,1.02349e+06,1.1201e+06,768147,469744,981148,781354,860121,17722.4,2009.82,619150,58446.6,28492.6,22188.9,7463.09,10.2513
1.68445e+06,1.13737e+06,888604,441504,359291,250282,861327,340485,778014,21695.3,-459.598,173705,46474.4,17534.2,13177.8,4049.57,10.2571
1.7728e+06,1.17823e+06,902775,647577,520490,345203,904667,451506,860556,28821.1,1312.61,256947,48002,27844.2,25040.4,8439.7,10.3161
