"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
2.57708e+06,1.5472e+06,999385,705239,466076,302665,923944,474350,892048,35453.3,1814.02,15614.7,73211.2,28938.5,14994.3,9416.08,19.2472
1.37361e+06,1.0589e+06,778324,469089,342741,254386,808395,372830,754910,6409.22,-344.288,18041.7,25987.6,17101.6,6647.09,5980.54,19.2602
2.23255e+06,1.6549e+06,809434,729908,479156,357551,804063,573245,763975,8510.68,2327.54,49668,17108.2,30730.9,1092.41,8202.19,19.2626
2.1549e+06,1.60628e+06,804929,442303,343941,255030,809177,350606,756923,7843.36,673.556,32845.2,43499.5,40732.4,7411.37,4575.08,19.2631
1.91684e+06,1.4052e+06,818460,468360,384550,295135,781779,391988,716900,5376.59,-692.331,40780.5,32802.3,32621.2,5471.51,3839.05,19.2643
2.3327e+06,1.83076e+06,764503,396498,258324,194436,797148,316597,751426,14934.8,1108.26,38284.5,38214.6,22262.9,6764.89,4949.29,19.292
1.7834e+06,1.27308e+06,840517,567157,341561,249216,822326,442231,769494,15265.2,13.568,31259,46541.2,29085.1,7415.9,3827.55,19.3013
2.18119e+06,1.37744e+06,950102,1.1744e+06,920189,602864,915818,846277,832636,4683.13,3049.05,289600,96675.7,16336.8,14853.1,9192.65,19.3055
2.0202e+06,1.44723e+06,837549,499066,400715,305378,787316,403242,742580,7072.78,387.39,16941.4,40688.3,30824.9,7267.68,4613.06,19.3174
2.22477e+06,1.45714e+06,916086,886463,749367,480546,935644,611441,869876,18200.3,-206.695,60745.4,62107.2,28892.6,17539.1,9056.89,19.3215
1.63786e+06,1.0349e+06,949580,730406,439313,305430,863006,540646,810593,11455.7,3.6087,449819,34191.9,26787.2,12536.5,4059.66,19.3217
2.11039e+06,1.44135e+06,878506,663412,557774,393366,850771,492672,807935,18641.1,-1178.98,136812,73117.2,62555.2,13859.8,4073.14,19.3285
2.10977e+06,1.55411e+06,814523,457948,379120,283949,801102,358176,767134,15178,168.347,20556.3,54951.8,22572.4,11075.2,6135.66,19.3285
1.80311e+06,1.32857e+06,814309,650148,527782,374657,845224,486616,801636,19659.7,299.659,117092,52184.5,16862.4,13401.2,4837.94,19.3343
1.87427e+06,1.36625e+06,823099,573166,451990,337037,804641,462104,744204,6700.2,-291.188,63326.7,36699.8,12547.4,9353.13,4238.12,19.3362
2.50896e+06,1.73534e+06,867484,590934,393836,263131,898039,423140,837926,11939.8,1090.54,23845.8,48881.6,26044.3,12498.1,7728.36,19.3382
