"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
2.22352e+06,1.41227e+06,944658,1.00306e+06,775109,494575,940334,650595,925053,10589.3,5148.38,1.17828e+06,80917,27318.6,32360.1,10907.1,9.40104
1.79978e+06,1.23074e+06,877413,901756,500107,338829,885593,672040,805091,4136.1,4489.02,1.26462e+06,40406.9,22343.7,16192.7,6904.03,9.43988
1.48027e+06,1.04923e+06,846490,843654,679056,443723,918216,627832,806254,3658.07,3441.23,1.11583e+06,44126.4,19293.2,19120.3,4598.43,9.55484
1.62246e+06,989134,984168,1.04306e+06,839820,521404,966414,677950,923132,4144.48,2244.36,985715,49747.5,32339.2,22119.5,6249.55,9.55868
1.96927e+06,1.21738e+06,970574,608094,393648,247185,955514,395971,921422,37423.8,3199.04,284047,76606.1,33722.5,35428.9,7151.45,9.60836
2.3842e+06,1.43279e+06,998414,956371,708492,441317,963242,635327,903192,31905.5,3323.49,263787,51139.2,34779.6,19896.1,15416.6,9.61219
2.14824e+06,1.43826e+06,896181,940971,727173,317497,1.3742e+06,448306,1.25937e+06,26034.7,3391.13,249947,64155.3,36399,28538.7,9262.22,9.61642
988113,726344,816236,603210,347080,262731,792628,484981,746268,1744.21,3239.7,1.13061e+06,30879.5,16253.3,10352.6,3151.85,9.71698
1.31246e+06,876264,898675,776210,481802,338729,853429,591158,787820,3803.19,2933.4,579379,43508.2,39680.6,12331.8,4373.1,9.73323
1.94818e+06,1.25219e+06,933488,823222,660166,392891,1.00817e+06,526329,938449,58072,3233.91,277581,83590.1,34592.1,34015.9,16365.4,9.79204
1.11432e+06,749738,891766,843149,663555,471344,844676,586644,862345,4139.66,3458.22,1.18349e+06,56895.1,34801.1,15170.5,7771.6,9.83736
1.34615e+06,1.16948e+06,690638,513203,438312,369985,710805,462943,665140,11119.9,1272.03,103685,17554.7,5435.79,976.456,1717.35,9.88902
1.7365e+06,1.19787e+06,869793,644627,432846,298732,869367,482846,801034,23437.7,2375.2,636364,37208.5,16058.1,11841.4,10495.3,9.91175
1.27495e+06,959280,797439,495142,433715,331035,786108,383658,774349,2821.71,1015.68,922628,44079.8,16192.8,8096.7,3177.53,9.93237
2.00055e+06,1.27295e+06,942953,617442,364646,237513,921161,446177,830310,23934.8,2622.73,147620,48667.3,18703.7,21632.4,8122.31,9.97862
2.52357e+06,1.72195e+06,879317,643820,486308,315169,925805,427636,903320,39376,1385.84,345136,58280.1,18954.2,30017.9,7146.67,10.1048
1.55792e+06,1.08059e+06,865033,685504,494434,372184,797080,544228,755754,4041.07,1600.55,1.137e+06,52057.5,26936.9,16073.2,5600.81,10.1051
1.48354e+06,894553,995047,1.29123e+06,690855,410584,1.00957e+06,833267,929760,5764.36,3449.22,326427,46860.4,34157.8,25545.5,8825.39,10.1652
2.03366e+06,1.39884e+06,872292,1.16561e+06,861129,535718,964458,732441,954845,8235.38,3688.85,698358,83695.8,45460.6,33754,12842.8,10.1688
2.68862e+06,1.537e+06,1.04956e+06,991860,793234,459444,1.03591e+06,643457,924873,72828.4,2510.37,259618,85726.6,33561.2,48120.4,12253.6,10.2155
2.41053e+06,1.39481e+06,1.03693e+06,1.58016e+06,1.51941e+06,775037,1.17626e+06,916163,1.03486e+06,7511.25,6086.79,1.02834e+06,104755,23463.1,34471.1,8707.84,10.2214
1.89965e+06,1.23425e+06,923467,925113,786843,532624,886377,623255,890595,5015,4746.14,1.15054e+06,77849.3,29825.6,23128.4,6886.62,10.2257
2.24109e+06,1.36182e+06,987394,1.19776e+06,1.0574e+06,764868,829475,881193,815547,6168.1,2374.44,732629,65769,20575.6,31079.3,7806.67,10.2721
1.5071e+06,1.04091e+06,868720,810550,564604,388481,872018,619951,784465,3717.76,2149.29,636110,44727.5,18035.6,16906.1,5374.7,10.2741
1.30339e+06,931598,839456,762950,537019,366964,878046,562925,813199,4495.14,1823.61,1.10086e+06,53979.9,28270.5,17126.8,5803.61,10.2858
1.37153e+06,882778,932194,731714,503505,334701,902606,548629,800229,3217.73,2173.29,1.14141e+06,49027.6,16642.8,14197,5609.89,10.3177
1.89833e+06,1.22751e+06,927894,889533,784908,529549,889332,624685,854382,8351.49,1541.43,423246,52143,12995.8,22363.7,9328.75,10.3325
2.92774e+06,1.78673e+06,983162,802940,593071,338336,1.05174e+06,489144,984913,40932.4,3868.12,217113,86758.6,40425.4,58277,13250.3,10.3361
1.84196e+06,1.2674e+06,872002,787930,665804,432098,924519,525458,899706,5520.23,1278.45,1.07805e+06,57451.6,31189.6,18786.1,8190.34,10.4066
1.57243e+06,1.11213e+06,848331,852597,659363,451897,875460,643529,794926,3756,2324.5,859471,51255,28981.8,17226.6,4443.13,10.4963
947650,589366,964749,1.03716e+06,582532,417459,837253,769889,808295,4424.59,4141.37,827424,54094.3,27446,16379.7,4914.9,10.624
1.54988e+06,1.18106e+06,787367,406352,278082,208499,800240,312676,779757,3455.32,2413.74,1.00156e+06,29573.9,6804.26,10704.2,4784.39,10.6561
746401,549826,814514,560135,265448,193223,824273,449873,747058,3806.15,2672,1.19345e+06,30900.4,22521.2,9829.11,4278.16,10.6605
1.79721e+06,1.12876e+06,955316,1.53067e+06,877897,521914,1.00924e+06,1.0051e+06,913743,8539.67,7160.19,1.19659e+06,78677.6,34480.6,28505,8351.47,10.6916
1.62006e+06,1.06962e+06,908771,891450,601816,401642,899033,618021,865456,4180.86,5677.07,1.04969e+06,50212.7,26829.1,26891.1,7753.52,10.7382
1.0871e+06,775042,841577,942760,649214,388100,1.00368e+06,604514,935721,6163.05,6680.34,287949,59382.4,30969.7,20062.4,5567.69,10.8081
2.32517e+06,1.41696e+06,984575,1.25671e+06,1.08963e+06,628098,1.04088e+06,783299,962630,8145.03,4934.36,1.15195e+06,83741.2,59440.5,34732.3,12644.6,10.8172
1.50377e+06,993039,908588,670223,494077,327380,905510,463260,868052,27863.9,2799.46,114755,52427.8,26123.7,23231.6,9426.92,10.9024
1.87855e+06,1.12042e+06,1.00599e+06,1.06502e+06,883906,525994,1.00827e+06,649019,984582,30429.1,1635.72,1.03478e+06,62720.2,22567.5,24760,12374.2,10.9298
1.42077e+06,935773,910972,559786,349325,262776,797618,426162,788132,3054.44,5775.92,771433,43853.3,14050.5,13258.1,7156.68,10.9309
1.47666e+06,998521,887309,476677,340419,249131,819856,360671,792983,9426.67,945.136,1.61544e+06,50372.3,7034.22,8458.13,5483.5,10.9952
2.21168e+06,1.42997e+06,927998,1.18016e+06,697922,427058,980553,750431,943587,4418.18,5507.47,1.2847e+06,50961.7,37426.3,24786.9,9331.33,11.0034
2.72846e+06,1.75134e+06,934755,778561,550263,323729,1.01986e+06,507834,919861,5327.07,1528.75,369858,48898.6,37827.4,18557.4,6769.27,11.0249
1.3269e+06,749644,1.06202e+06,877984,466234,275789,1.01433e+06,563424,934981,26606.1,3922.91,653882,55144.6,38157.3,24923.9,7824.47,11.0343
1.28278e+06,948900,811114,584835,407277,278017,878961,446978,785052,1836.95,2321.69,1.17335e+06,42374.6,14218.8,11331.4,4810.79,11.0483
1.96712e+06,1.36986e+06,861600,588329,368056,250871,880267,434370,812665,24619.1,1013.03,334789,45411.1,18167,36906,10087.7,11.0511
2.56265e+06,1.77655e+06,865491,472100,306902,211450,870850,334977,845611,30301,2838.53,455293,59339.7,22352.9,23907.5,8561.41,11.0657
956389,695956,824526,778683,473367,291511,974303,543210,860091,3634.47,3118.46,949787,48609.6,20125.5,18588.2,6035.18,11.087
1.38689e+06,861577,965827,1.15136e+06,880573,593008,890956,830294,832016,6975.38,2755.25,763027,63097.9,22270.5,22265.4,7609.2,11.1839
1.53199e+06,1.10146e+06,834527,699328,407472,296508,824541,552441,759532,2460.54,4082.94,1.20534e+06,36685.7,12886.5,12519.2,7192.79,11.1922
1.17676e+06,839491,841054,745508,544024,417133,782518,614421,728010,2969.62,2293.9,1.2567e+06,67250.3,17210.3,12656,4022.62,11.2049
1.37654e+06,868426,951058,659496,519152,351295,886694,485257,815439,4093.97,841.591,962722,32052,12529.9,13839.7,3590.91,11.2271
1.31743e+06,854699,924835,899925,601726,446883,807897,698641,772865,2266.06,4588.76,1.61085e+06,32499.6,26282.4,16445.5,4142.39,11.2989
1.28179e+06,794144,968431,885474,412702,255563,968923,593267,895523,5658.12,3121.12,297590,29378.5,26811.8,18011.2,4880.53,11.3256
2.35739e+06,1.53242e+06,923006,1.42061e+06,1.19456e+06,747302,959100,951046,896241,8118.83,5440.42,652720,111153,53623.8,34702.3,11899.2,11.333
1.15295e+06,804360,860025,873404,566227,396782,856229,632674,828298,2552.88,3432.05,1.39031e+06,43040,24123.3,10340.1,2907.03,11.353
1.17843e+06,773783,913770,892188,541912,342932,948139,619923,863515,3507.56,4123.64,1.10177e+06,38108.1,16035,17214.7,3516.2,11.3969
1.92705e+06,1.27681e+06,905556,739087,508980,329449,926966,510603,868487,5662.26,5462.31,750252,51218.1,21024.8,19266.2,6311.27,11.4068
1.2949e+06,944301,822766,693003,396267,284557,835545,548150,758555,3094.93,3260.06,919884,39093.8,14241.6,13146.7,3185.17,11.4333
1.26025e+06,767634,985042,861752,495588,288323,1.03132e+06,559105,924783,4045.65,4517.78,1.33158e+06,39644.5,19810.2,16908,5356.57,11.4772
1.76746e+06,1.30594e+06,812040,573747,358049,255555,840638,432724,795538,3404.9,1472.1,1.02631e+06,43547.9,20050.6,11156.8,4926.36,11.4808
1.81067e+06,1.23509e+06,879616,981163,763921,454137,1.00928e+06,671844,876242,5097,2694.44,414939,46064.6,29952.2,26049.1,6794.6,11.49
2.5038e+06,1.44676e+06,1.03837e+06,1.20713e+06,877046,519793,1.01238e+06,750175,965476,36745.4,2421.35,474212,68670,27380.9,40815.6,14361.5,11.5174
1.2982e+06,854767,911266,1.11232e+06,607563,386824,942386,781979,853465,4333.67,4810.12,553938,43687.9,32593.2,24311.9,7803.16,11.5204
1.5554e+06,1.14306e+06,816440,841737,625240,430815,870777,616833,818767,3985.53,2104.29,1.16021e+06,59090,29119.8,19892.9,5807.77,11.5376
1.27986e+06,1.03798e+06,739816,430942,270422,225615,719160,362547,713191,1935.07,2327.84,1.14611e+06,35162.5,8974.7,11091.7,3032.1,11.5952
1.36573e+06,829128,988313,1.38212e+06,1.0376e+06,642824,968476,900563,920838,7101.53,4748.7,544077,79293.9,53505.8,29386.4,10001.4,11.6442
2.37871e+06,1.74342e+06,818635,981543,742747,506183,880409,704514,835932,5967.18,2973.29,992379,65285.6,34970.7,26827.1,6250.27,11.6964
1.37259e+06,1.03906e+06,792593,593153,373158,285433,784405,476052,747590,2126.79,2888.5,1.09136e+06,23054,18503.1,9467.75,6743.98,11.7184
1.6199e+06,1.08458e+06,896141,639473,513307,317954,968644,418905,915920,5287.8,3110.27,497619,59475,15494.6,20027.6,3842.82,11.7486
1.32087e+06,961305,824422,789588,487587,349648,836705,595796,795160,2819.77,2783.99,1.13137e+06,27656.3,17568.5,13072.6,5052.53,11.7613
1.50826e+06,1.10247e+06,820844,799909,706036,523580,809087,616679,778275,3651.87,1320.99,989635,34313.6,19838.2,14145.7,5278.11,11.7826
1.7224e+06,1.13594e+06,909768,873936,726370,523428,832630,671860,780463,4493.33,981.349,1.04708e+06,50585.3,22377.2,22834.8,3813.11,11.7854
1.58371e+06,1.10408e+06,860651,655382,384318,265080,869891,481215,817160,6061.57,2442.03,120816,42955.1,30594.7,18530.6,7870.84,11.8267
1.83483e+06,1.25972e+06,873923,1.38689e+06,885395,571584,929412,949564,876335,4623.78,7310.46,1.07627e+06,60287.6,24203.8,22442.8,9637.32,11.8477
862122,456513,1.1331e+06,901684,647823,398517,975350,595903,907884,19826.5,4062.48,472179,73416.6,39756.8,25978.7,7683.62,11.9024
1.38436e+06,1.08304e+06,766926,412903,205002,160223,767686,356824,694297,10901,1852.37,1.37485e+06,13105.5,11847.1,8555.5,1750.75,11.9148
2.23224e+06,1.41212e+06,948462,1.11602e+06,886982,514724,1.03393e+06,652918,1.02557e+06,43702.5,4191.96,522137,85736.7,21628,26974.2,20273.5,11.9737
1.04951e+06,707189,890433,934944,967129,816033,711095,777387,721605,2716.25,3832.75,1.09939e+06,34712.4,16403.5,10645.7,5656.12,11.9858
1.34853e+06,909644,889485,838327,626575,430274,873734,600513,837611,4876.94,2026.4,276689,43474.2,16976.2,14392.8,6254.75,12.0413
1.63562e+06,961008,1.02119e+06,1.3418e+06,751296,488636,922522,982484,819436,5480.83,6513.03,1.23917e+06,83929.9,35896.1,24709.1,8776.72,12.1137
1.52016e+06,1.01302e+06,900377,904764,666886,425982,939316,622536,872011,6317.29,6273.23,582828,53679.2,30381.9,29552.6,11221.6,12.1306
1.68176e+06,1.35835e+06,742854,392676,341027,293575,696980,342486,687927,7444.29,412.105,18419.1,58062.7,24870.1,10451.1,1253.74,12.1719
1.35812e+06,881549,924367,1.06126e+06,543838,355157,918757,754474,843975,4091.83,3359.22,527749,45205.4,62925.1,17948.3,5442.56,12.1835
1.23196e+06,855512,864014,960207,631486,454462,833714,774105,744246,3505.17,1575.6,1.15282e+06,46602.2,17988.4,21123.6,5357.1,12.2156
2.09132e+06,1.43086e+06,876947,824953,496824,261190,1.14129e+06,509145,972163,3931.59,4001.41,1.74514e+06,45706.8,11881.6,14207.4,4026.38,12.2374
2.16478e+06,1.2821e+06,1.01308e+06,822023,592938,329803,1.07871e+06,509478,968077,31184.7,4320.55,401325,56037.4,17858.3,15403.7,9159.72,12.253
1.36452e+06,880918,929382,966523,583709,386067,907162,690297,840093,4661.07,3104.3,615985,54455.4,44331.2,17468,5957.44,12.2821
1.45115e+06,964273,902947,971032,657288,444738,886753,708254,822614,4076.89,4151.36,1.22835e+06,42430,18857.5,20586.8,10531.4,12.3024
1.61974e+06,1.19818e+06,811099,631279,569774,420248,813482,495255,764792,2636.98,6384.82,1.01447e+06,32934,16900.9,15335.8,3994.21,12.3315
2.53167e+06,1.66942e+06,909899,791683,562841,345801,976586,527769,900033,43258.8,3562.41,671094,60108,22452.5,25782.6,11245.4,12.3378
1.58356e+06,978040,971472,1.19519e+06,701579,432991,972186,780440,918859,6788.86,5009.62,204972,49204.5,34792.7,24411,12781.5,12.3419
1.93594e+06,1.28438e+06,904379,1.02664e+06,785145,518026,909389,738791,833776,9103.65,1225.9,1.0297e+06,85258.5,48723,26480,5299.69,12.4036
1.09134e+06,740259,884560,612748,336426,248267,813057,496669,740229,1637.99,3668.05,1.06681e+06,24425.3,19387.9,10076.3,5087.19,12.4216
1.66002e+06,1.15133e+06,865093,1.04778e+06,829203,537395,925803,704634,892192,5863.98,963.779,1.16728e+06,48444.6,18525.7,22265.1,5773.29,12.4657
1.7458e+06,1.16092e+06,902281,695291,472936,356050,796971,532307,783711,4823.67,3381.91,919765,51890.7,18802.3,21212.2,4617.03,12.4667
1.41944e+06,1.07825e+06,789860,463797,319735,248790,771097,369111,753915,2252.54,993.438,1.04179e+06,26533.2,10853.1,8523.68,3182.53,12.5084
1.75208e+06,1.10406e+06,952166,918617,536495,359296,895910,655732,840542,9091.01,6278.2,146052,16689,8381.63,2137.92,3760.52,12.5375
1.99425e+06,1.18005e+06,1.01398e+06,1.36883e+06,989664,646447,918557,952938,861858,6844.75,7188.18,1.16798e+06,117360,42805.1,27795.7,8705,12.5533
1.36815e+06,969720,846526,606687,338515,229601,884618,462259,787464,15105.8,1994.84,850321,37400,10183.3,13088.3,9892.22,12.5751
1.63733e+06,1.13891e+06,862579,746497,596903,402469,889861,559749,800177,3069.08,2878.6,1.15009e+06,45572.9,18415.7,14425.5,4655.89,12.5997
2.70426e+06,1.81073e+06,896079,598279,412831,275121,900327,424278,846066,21800.8,1827.84,221323,40271.2,14684,20334.4,5537.66,12.6601
2.06233e+06,1.24095e+06,997136,874281,698615,444053,943961,595631,880694,67097.9,1887.97,274222,64715.1,22113.3,30056.1,11415,12.6672
2.40529e+06,1.60778e+06,897619,1.01968e+06,862824,619789,835275,759736,805289,5067.82,4077.98,1.23714e+06,68160.7,16740.2,21390.9,4658.57,12.6724
1.56183e+06,1.16465e+06,804617,796548,658634,462889,853726,606811,787608,2174.97,5026,1.28758e+06,40797.4,22400.4,10782.5,4217.23,12.7358
2.61531e+06,1.70598e+06,919814,972920,874700,531857,986768,606757,962086,49459.1,2166.18,432442,71759.9,26374.1,34038.8,8323.79,12.8216
1.77537e+06,1.3444e+06,792339,520129,302307,209587,865436,381434,818169,2761.97,1772.05,1.03861e+06,27070.8,12149.4,11528.3,4438.4,12.9305
1.26224e+06,746978,1.01388e+06,617155,486622,296046,986242,384782,962346,12544.4,2491.09,628444,45993.3,33768,20100.3,12190,12.9568
1.70294e+06,1.16738e+06,875265,664070,507022,355085,856733,493401,807542,3537.79,1244.05,503391,46922.9,11483.7,13136.3,4622.14,13.0313
1.57291e+06,1.08367e+06,870883,610024,524642,407835,771845,488534,749209,2790.23,1461.77,1.20154e+06,42028.6,23826.8,14519.3,4413.38,13.1391
1.0977e+06,759738,866902,549134,288999,205649,843182,431507,763558,2507.24,3733.64,1.32238e+06,23176.7,11383.4,8657.01,2837.98,13.1945
1.57429e+06,988265,955788,1.4243e+06,759399,432436,1.05366e+06,849975,1.00542e+06,7323.5,3820.23,426400,46274.1,102360,19188.2,10390,13.2522
945957,616390,920804,773654,392298,259832,905889,563230,824161,3714.8,3791.24,264629,37408,35899.9,14020,6753,13.2533
1.11902e+06,791725,848039,760329,620774,417834,891418,543919,838723,4076.6,931.889,464818,42766.9,16751.8,15096.3,9578.01,13.2909
1.44701e+06,1.13512e+06,764861,421986,259149,202945,766166,366546,690750,528.496,2945.89,1.24795e+06,26748.8,7406.86,6782.86,1802.12,13.3597
1.98985e+06,1.2152e+06,982482,1.17977e+06,1.14077e+06,678861,1.00825e+06,706446,1.002e+06,7880.41,4970.41,533934,72972.7,38399.3,29351,10845.2,13.4418
1.7687e+06,1.31388e+06,807703,555791,324119,241293,805956,437429,762352,3548.22,1897.77,930659,44958.1,16596.4,13102.7,5868.73,13.4422
1.48787e+06,975292,915339,1.14966e+06,762512,504058,907648,833168,827919,5956.37,5549.6,1.18242e+06,43603.4,23782.3,26290.6,7160.8,13.4491
1.02992e+06,802994,769561,528729,297574,217338,821505,419113,756925,2317.68,3055.46,1.14197e+06,40917.4,1548.53,8503.73,2721.62,13.4672
2.15293e+06,1.46782e+06,880053,776136,477882,323488,886367,572372,813599,22619.7,6093.56,185952,50187.6,69862.9,20605.9,5314.72,13.4722
1.50695e+06,947606,954164,957422,621134,383499,971790,599497,958225,32677.3,4554.59,239562,51484.9,27042.9,34915.1,9971.71,13.5813
1.94432e+06,1.34586e+06,866798,709324,550695,382795,863169,523736,812612,23903.6,3546.84,396470,41722.7,11969.7,28453.2,6387.73,13.5959
2.10081e+06,1.37078e+06,919535,949810,679106,428366,951205,609764,934601,5339.7,2614.77,1.32069e+06,51588.7,22654.7,22912.1,7155.08,13.6566
2.37499e+06,1.52362e+06,935270,819974,492145,320950,920041,545177,902431,4437.95,1888.41,975440,58649,29253.8,18955.6,8095.26,13.6739
1.59888e+06,1.0236e+06,937214,1.01572e+06,654028,423270,927108,728175,836928,4122.96,4566.32,495142,40453.2,19760.4,21703.4,6512.65,13.7884
1.66646e+06,1.13392e+06,881786,616486,437499,301260,871338,486129,760892,1942.79,1288.69,1.07556e+06,44342.2,16473.1,12801.9,3946.69,13.7972
2.4104e+06,1.62562e+06,889656,797392,483578,320307,905840,559871,854545,35749,3158.8,157059,52051.9,44131.3,30536.1,8777.49,13.8461
1.4589e+06,970689,901773,871213,558502,384330,871910,624888,836514,3824.71,3637.5,1.26559e+06,46862.2,22383.1,16922.7,9086.33,13.9489
1.43387e+06,896005,960174,848537,495851,316617,939654,591247,861099,3121.54,3281.06,1.12711e+06,40649.6,23432.5,12085.5,6062.58,13.9708
1.69167e+06,1.17687e+06,862457,722280,463869,319961,869860,521813,830504,4524.49,2062.22,993436,57395,22294.1,16351.5,8155.83,14.0334
1.29324e+06,860074,902183,1.08064e+06,788565,489492,966592,741973,873862,4603.59,2732.47,218675,44429,32209.5,17661.6,7647.06,14.0704
2.08169e+06,1.50465e+06,830104,677739,352009,226987,930474,477147,852240,7587.17,1218.43,156570,18860.6,6909.46,847.273,2235.49,14.0796
1.83056e+06,1.26948e+06,865187,1.03018e+06,927601,664030,838156,741328,833785,5482.03,3807.92,1.39677e+06,81246.9,28841.4,23787.7,8130.35,14.1154
