"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.60247e+06,1.16173e+06,827625,607887,404087,263668,919536,426884,854406,28870.3,1448.05,299305,61342.1,28554.1,24800.8,6415.9,18.1595
1.82929e+06,1.22288e+06,897529,771227,524520,334309,941381,528963,874799,17060.9,2099.08,187000,48277.4,26249.8,23372.6,9435.37,18.1787
1.9595e+06,1.39884e+06,840483,586470,368772,260954,847900,442712,794833,14681.3,2768.64,123661,41858.2,40173.9,12666.8,7200.03,18.186
1.13453e+06,772680,880982,795710,609920,399398,916258,578124,825819,5568.4,-964.396,578747,62682.5,17605.3,21241.3,9505.76,18.1877
2.24425e+06,1.46244e+06,920755,901099,715061,445625,962775,611657,883926,36490.2,2373.77,320784,57244.2,25490.6,32211.3,12575.8,18.2122
2.35292e+06,1.37997e+06,1.02303e+06,1.27631e+06,720949,407408,1.06176e+06,792684,966066,42594.8,2925.16,324945,72667.9,49677.3,40661.5,15208.9,18.2233
1.93182e+06,1.26434e+06,916755,1.33539e+06,1.03293e+06,573479,1.0807e+06,788457,1.0162e+06,21827.1,2671.02,551174,66300.2,30926,25300.6,15728.9,18.2234
1.73054e+06,1.22379e+06,848448,664961,511233,332958,921257,470370,848218,27345.5,-749.061,274601,58602.2,23425.7,22763,5610.97,18.2689
2.15089e+06,1.24615e+06,1.03562e+06,977876,783252,479767,979540,628122,934095,30916.1,1191.8,220291,80831.2,33963.1,31331.4,13219.1,18.3202
1.49256e+06,1.13212e+06,791027,403038,283086,206980,820618,313641,771019,17127.5,3084.63,491408,44508.1,20391.5,24346.1,4007.02,18.3308
1.80201e+06,1.46395e+06,738555,399877,280150,212121,792426,319254,751520,17727.1,-486.874,304256,28667.7,11488.7,12304.7,3520.34,18.3326
2.41965e+06,1.62278e+06,894630,1.19112e+06,734630,446102,988066,790181,904438,56326.4,1418.6,82056.4,73238.9,44064.7,38522.8,8801.75,18.3365
