"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.74991e+06,1.36678e+06,768188,573672,503506,381719,791430,469558,733036,10257.7,168.853,48513.8,40217.2,12744.3,17687.6,5996.87,9.81513
1.89422e+06,1.52659e+06,744493,404288,220269,170874,773443,325634,744924,22248.8,-508.468,12648.2,61852.5,11619.3,15164,2926.37,9.83059
1.50439e+06,1.1169e+06,808163,370852,170284,131477,777096,319047,697425,8365.02,151.618,18215.5,56780.1,15599.1,12845.8,4121.47,9.97391
1.16131e+06,758750,918330,272295,216884,135544,960059,183928,888266,7825.19,160.88,27529.5,65364.3,14757.3,13737.6,1768.95,10.0616
1.00844e+06,639198,946597,525145,369123,244863,904481,394039,799634,2389.45,3001.93,802570,49879.9,14628.1,14327.6,1793.75,10.0771
1.66694e+06,1.24622e+06,802557,488297,373719,287947,778724,401148,730349,12393.9,-174.563,47575.9,29574.8,14549.6,7148.84,3735.91,10.181
1.71138e+06,1.22242e+06,839994,356485,211557,148276,856066,285035,750403,4738.45,1483.01,43063.8,122690,10862.3,14956.3,1211.46,10.1961
1.73074e+06,1.19007e+06,872586,677472,415887,299749,832471,512361,793353,2348.16,2910.93,832499,89339.9,10047,12462.5,2757.85,10.2138
1.633e+06,1.14497e+06,855739,809803,568296,369604,922549,587794,826619,17114.5,2966.77,67399.6,130874,32279.2,25702.5,4830.71,10.3579
2.02444e+06,1.35272e+06,897940,465469,260093,173713,898355,325871,857030,7568.01,3725.79,20172,19637.4,9792.57,9702.98,3992.07,10.4447
1.34092e+06,937685,858016,621328,350609,239794,877275,474922,784964,14192.4,3744.66,24848.3,68239,27960.1,11880.9,3391.63,10.4638
1.90897e+06,1.44807e+06,790973,678719,591578,443474,800377,542911,750089,13811.3,373.225,52477.7,62560.5,14086.5,18668.6,5702.03,10.5543
1.40198e+06,1.04428e+06,805520,752417,604609,420502,862696,575394,784594,22039.1,291.546,26676.1,52730.7,30139.4,17991.8,3663.6,10.8287
2.69988e+06,1.57654e+06,1.02752e+06,574861,462710,262788,1.05646e+06,343587,1.00387e+06,6864.69,475.64,84087.6,136809,9451.33,9835.4,2553.82,10.9758
2.34206e+06,1.71484e+06,819455,388076,293149,230967,761534,327071,711911,9857.74,0.550415,19620.6,125486,11617.3,21817.4,5547.07,11.0795
1.28971e+06,917027,843841,600358,382172,267862,856050,445717,808170,22564,1663.99,11161.6,36754.1,17679.9,13922.1,2989.66,11.0864
1.38581e+06,1.0149e+06,819279,546482,289665,206285,842519,434144,755254,563.631,4757.23,1.00079e+06,27045.2,6510.25,9666.61,2210.68,11.1008
1.29856e+06,941555,827498,430446,202215,140702,862311,333651,774064,14199.6,-411.723,44826.1,29031.2,19124,20177.2,1159.58,11.1502
1.82422e+06,1.41758e+06,772112,393917,281449,217744,775541,318772,741439,15359.9,-371.4,117432,36115.8,30485.2,13048,1344.96,11.1953
2.03828e+06,1.28295e+06,953247,760260,690221,529440,782208,585265,779400,4073.86,3074.41,410110,93184.1,18561.1,25935.4,1916.56,11.2114
1.89781e+06,1.36571e+06,833769,712266,471476,342432,826107,540665,790434,25799.6,1588.73,57954.4,44599.2,36869.2,33536,2339.95,11.3416
1.39691e+06,1.09658e+06,764326,468632,325479,251088,777765,375449,748914,15662.7,111.434,69135.9,44077.5,24010.7,13857.2,4171.48,11.3929
901062,605543,892814,758786,395281,299350,792278,593425,767193,3504.58,3539,752258,45776.2,7795.31,9051.68,2394.41,11.4316
1.13153e+06,840545,807712,636213,404061,257290,942269,468512,814766,1805.62,2939.51,1.03928e+06,64764.3,7609.06,7701.72,1711.31,11.4345
2.04038e+06,1.47596e+06,829444,691522,428477,291257,882677,498315,832633,29526,587.825,74815.4,64387.5,38761.8,25634.8,4910.3,11.7397
1.31096e+06,947163,830454,523805,460393,352887,782788,429091,732438,9933.94,626.635,91087.2,36137.3,14156.3,10350.2,6793.71,11.8289
1.05107e+06,754325,836038,593586,273629,198144,828577,473925,751493,10097,1117.27,837489,54121.1,17499.7,18576.2,1459.47,11.9969
1.11793e+06,899760,745484,393237,189767,148021,769216,339559,694848,1540.5,2178.29,1.07775e+06,17434.7,11297.8,8823,887.001,12.1141
1.29504e+06,821370,946011,1.5189e+06,1.1453e+06,905086,759240,1.28095e+06,711458,4664.12,4369.58,404453,113028,14669.2,14885.2,3405.72,12.1801
1.86792e+06,1.40766e+06,796184,639290,624262,478675,782487,510903,750776,3455.3,2506.66,788795,66100.3,6316.34,9769.29,2420.2,12.2203
1.83625e+06,1.29843e+06,848522,803157,603319,433950,834178,652647,738369,26091.7,3646.04,26925.6,71104.2,38678.4,34529.3,3221.56,12.2424
1.76209e+06,1.22254e+06,864800,440876,228506,142675,960952,313308,844299,14039.6,2356.44,18603.5,17544.1,14525.5,11277.5,2547.75,12.4361
2.35697e+06,1.70126e+06,831259,473438,406296,309101,788666,379522,748475,7376.72,582.361,155477,94973.1,17713.4,16438.5,4187.61,12.4553
1.85981e+06,1.48502e+06,751424,284049,175085,137917,761697,228735,745096,18429.2,-128.233,27733.4,37443.3,19137.6,18120.6,1761.89,12.462
1.85669e+06,1.11677e+06,997537,767903,436616,291462,898813,564316,816461,9899.13,2682.97,82433.3,105858,20674.8,13930.9,4177.91,12.5025
1.71444e+06,1.22086e+06,842574,676520,581300,406700,857586,522378,777046,18454.1,392.135,11095.4,46986.9,18953.1,25485.1,3904.56,12.5396
2.80413e+06,1.7733e+06,948784,494191,245629,162084,909264,358524,827043,7813.9,2566.67,27518.3,119785,28315.9,20722.5,2491.87,12.7787
1.55869e+06,939295,995653,904644,583704,375487,932715,637790,851043,4336.61,3434.21,628233,119131,29646.9,16561,2817.17,12.8396
1.89401e+06,1.27896e+06,888537,980136,599683,421375,853895,698941,841389,22161,4181.67,62209.5,76579.8,23681,35465.7,4512.43,13.0547
2.95202e+06,1.83307e+06,966255,939357,589366,398847,886604,664300,848433,31854,1716.52,25244.3,182978,42464.3,20203.9,5690.08,13.1045
1.59587e+06,1.16153e+06,824367,705344,506351,345970,878142,528663,800522,18911.6,1172.05,29923.5,74146.3,18365.6,22859.3,6412.01,13.1192
1.5854e+06,1.21922e+06,780199,405871,249484,192884,776065,333072,731141,7753.21,624.805,20115.4,33877.8,7971.96,17814.4,2131.58,13.2422
2.44764e+06,1.89288e+06,775848,421543,374247,284969,787975,353119,716263,2676.98,1369.06,53410.2,41415.5,23642.7,24442,5656,13.2657
1.25682e+06,919768,819870,606418,414786,297532,836453,448292,811638,32325.5,-420.048,19741.6,49613.1,17310.4,13942.7,4469.01,13.3006
1.72541e+06,1.28786e+06,803847,451453,280570,211017,797764,349741,774492,9914.89,413.453,33293.2,65395.3,18342.7,23438.6,4749.55,13.3033
1.40597e+06,975513,864757,343794,218989,163067,805762,276204,746827,22803.7,4021.46,75705.5,17922,10544,11175.2,2402.8,13.5205
1.27644e+06,740412,1.03438e+06,1.06189e+06,706343,452705,936163,762587,835488,3665.56,3989.32,728000,123447,49141.9,14482.7,3488.17,13.6204
1.88132e+06,1.55164e+06,727484,391682,234598,185169,760166,327062,718547,6015.9,730.073,8350.11,13974.6,7127.77,2162.71,2756.1,13.6788
1.26227e+06,929107,815149,544937,363889,280290,778955,454017,720154,11222.4,438.092,61227.5,51301.3,28255.7,17071.4,1395.23,13.7254
1.80653e+06,1.28081e+06,846277,580413,486206,359467,811545,464692,749416,14051.3,1864.09,8323.53,42164.4,17998.2,21575.2,1906.17,13.9373
1.68448e+06,1.34629e+06,750719,496989,376410,292579,771915,412488,722914,4283.12,2685.18,1.17687e+06,27937.4,8554.27,10347.4,2421.68,13.9448
