Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A
12931.3,953.778,1449.5,2135.03
13077.8,2310.61,1537.68,2344.21
18677,1849.31,1426.87,2562.03
9681.29,1209.96,1507.44,2192.95
15842.5,2261.64,2064.17,1622.5
15994,3360.23,2379.61,1024.3
16603.7,8618.24,3374.72,7518.66
13089.4,905.65,1326.64,2104.4
34434.2,5392.41,5321.49,3702.42
14860.9,841.38,1098.61,1980.86
38909.3,7589.97,5587.56,2929.56
12031.4,2071.75,803.743,1663.49
13557.8,2725.94,1983.71,2571.03
55791.2,1778.79,2823.65,2744.24
24812.1,4287.22,5808.35,3101.6
14086.7,2116.75,2141.91,1592.94
13874.3,5345.74,3491.09,2115.57
11786.9,1140.11,1960.67,2462.94
7138.51,1271.91,823.921,1772.43
17560,671.056,2914.39,2666.53
10347,753.299,1088.35,2353.6
12070,1593.7,1535.96,2394.19
12480.1,2131.95,1683.3,2538.26
49227.3,2207.67,1792.07,4233.28
9077.63,1058.3,1961.62,2113.82
9038.8,1487.64,1668.33,1175.71
6166.35,1317.98,1984.78,986.709
30587.1,5903.18,4323.34,1844.41
13228.5,1858.56,1247.28,2746.44
13439.8,2198.34,1365.12,4101.65
11851.3,2645.54,1575.44,3718.69
24551.8,280.265,2430.9,2077.23
15920.4,2168.34,1741.45,3425.55
11673.1,329.326,1173.07,1045.32
14837.4,2958.6,2512.29,2558.07
11046.8,3385.7,1511.37,2692.52
19415.5,1697.28,2443.65,2827.84
24978.2,2409.5,2836.63,2288.92
19981.8,993.231,1838.73,2301.6
45566.7,2900.7,1681.09,1845.88
12497.3,1290.57,1682,3729.68
12640.7,1411.51,1035.48,2173.27
8070.9,1157.53,1121.63,1740.18
12176.5,2318.99,1847.08,2337.49
13280.7,-1221.36,2316.38,3860.24
14441.2,5251.06,3215.78,8463.81
29442.9,4768.38,3775.91,7668.28
10824,1921.76,2357.97,1676
14530.4,947.77,1465.57,1931.95
9331.61,1070.53,1727.5,2023.59
12373.8,2780.02,3745.62,2460.17
20280.5,1544.97,1370.17,2558.99
5981.88,7380.28,780.429,-149.582
20514.4,5459.7,3711.05,3375.08
39807.5,5035.14,4020.44,2696.96
34549.9,1529.98,2081,3007.54
36349,10126.1,7781.32,18590.5
11707.2,3325.78,2935.56,7976.03
25424.6,10527.2,2615.5,3696.07
9081.96,954.732,1726.4,1580.58
9967.8,1216.3,2024.98,1418.15
20795.5,1034.71,2437.05,1162.41
16154.3,1617.54,2168.07,3351.92
15384.5,3468.36,2453.61,4282.8
14172.3,2069.74,2480.95,5086.6
19135.5,574.002,2127.83,1995.77
26367.9,2402.08,1611.74,1531.93
10828.6,1766.01,1311.99,2001.03
14966.5,1498.2,1619.07,2866.98
11933.8,924.281,2724.88,2115.56
13206.2,4453.59,3964.41,13228.5
12180.1,871.787,1759.65,2341.13
12162.6,1620.99,2741.84,3886.69
33966.7,432.261,2253.78,2150.7
10596.1,2559.88,1000.22,2547.09
31760,1221.04,1961.71,1716.32
12439.9,2149.93,635.02,3119.1
12444.6,807.144,1150.9,2748.4
15834.8,781.768,2446.82,3633.01
18674.7,4294.69,3646.53,2272.96
11374,606.171,1050.65,2807.17
10550.6,769.297,1232.05,2255.14
75067.2,3120.79,2870.09,6734.96
14461.5,2536.83,1493.04,1478.53
8194.98,1605.84,1734.13,1553.19
10986.1,1510,1247.14,1034.9
18596.1,2595.79,2311.17,2414.65
14713.5,338.197,2472.16,2425.72
10545.9,305.189,1878.65,1560.16
15418.4,3293.52,1568.76,878.109
9764.33,2880.36,1648.55,2349.02
14516.3,599.164,1924.44,3361.73
10499.5,6810.51,885.099,821.149
12042.2,1196.27,1753.93,1850.78
41841.9,4362.82,2227.16,4017.27
13595.4,2124.2,1607.46,2118.02
21418.9,1668.11,2011.03,2282.3
17396.1,984.15,1951.27,3133.81
11633.7,1966.99,2703.51,5984.09
13233.4,1979.89,1988.32,3943.84
14315.5,958.383,1691.89,5812.08
40242.2,6468.4,5787.53,5262.06
10536,327.261,868.176,2041.68
26200.7,2375.5,849.276,1418.44
17544.3,3376.96,2286.53,2583.61
15620.1,1037.99,1463.89,379.807
15824.4,5627.07,3557.09,9234.52
32500.7,2743.19,2005.98,2076.47
12129.6,1621.19,2293.44,2779.02
22046,1055.67,3553.88,1419.6
12068.4,2378.47,990.143,1605.96
11787.1,963.181,1169.41,1972.66
12265.9,1531.26,1480.41,2512.23
20221,260.774,2331.51,1574.84
10398.5,71.5503,1663.89,1886.74
22255.9,1237.17,3995.91,1830.92
33351,3401.64,5423.85,4794.66
9905.79,1474.04,1381.75,2890.01
11087.3,1677.21,1431.95,1754.58
23606.2,1974.36,2919.28,1930.29
38060.4,-10.3431,3166.47,2937.26
25207.7,1070.59,1766.49,829.134
12481.1,1179.4,1145.34,1679.25
16807.8,3353.51,1551.52,2467.56
11691.8,417.359,1361.2,1668.26
10978,1873.55,899.94,1388.58
10615,1228.41,1953.74,1926.22
8985.53,-583.57,1757.73,1501.04
19840.8,-214.951,3122.57,4068.84
9730.5,594.866,1654.93,3483.61
17755.4,5083.75,3273.81,1523.38
8791.48,680.815,1052.42,1703.56
27111.7,2166.93,2542.46,2937.44
15242.2,-630.492,1583.96,1728.07
11483,1371.44,1844.21,2862.07
31509.2,6387.58,4341.62,11773
9631.98,1018.59,2223.86,2597.13
9708.76,-166.356,1638.4,1855.53
10527.3,2177.93,1427.84,1694.98
9803.89,-123.962,792.086,1331.64
