"Comp-Alexa Fluor 647-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A"
1843.61,18763,2038.4,2578.49
3013.95,12362.2,2255.18,3219.63
2363.99,11747.9,2908.68,1174.28
1801.23,14561.9,908.184,3216.43
3410.71,26167.9,1336.74,1322.16
1507.11,15375.4,2270.43,2491.18
2024.2,16532.1,2288.69,3047.73
1118.23,13439.1,752.762,1660.18
4794.02,26663.5,4133.97,1027.47
1247.15,13337.3,2477.44,2608.64
2239.95,10709.5,2303.93,2300.15
3012.12,36776.6,4714.84,3337.15
1973.6,16433.1,534.052,2456.26
1460.94,8054.96,766.784,1752.09
2246.75,18293.3,1917.71,4438.18
1647.02,9542.28,2474.11,1070.36
1517.69,9659.34,2545.78,2274.93
1760.72,36712.2,2473.98,3097.64
2175.97,11777.2,1855.41,2578.47
1547.53,13496.1,2824.08,2685.02
2310.45,8940.99,1906.05,3896.18
1841.4,9396.28,986.375,505.904
2074.22,13638.2,2113.83,1661.07
1418.97,21423.7,3197.4,1201.31
1606.6,9821.43,3243.95,2031.57
1906.9,22972.7,1171.69,541.639
3901.31,15587.7,4460.02,7347.72
1133,8284.19,309.271,444.283
2668.74,14371.9,2443.44,4655.08
1105.19,13477.9,1794.92,1884.9
2475.14,31751.1,3804.25,2616.82
2861.41,43462.6,822.102,4435.57
1478.95,10650.6,1379.38,2200.98
1087.61,13717.8,2902.47,1817.95
2142.47,36145.7,1785.65,2646.7
1697.45,9656.42,1770.1,2192.62
3850.45,17205.1,1017.71,1019.25
2110.26,10617,3164.96,2520.45
1352.68,13681.9,31.1237,2476.78
1248.79,14086,2738.56,2014.18
4451.27,39648,1156.15,5821.68
1746.88,15106.8,2448.86,1173.91
5209.94,42511.3,2686.94,2291.4
2124.96,45083.2,2155.03,3127.71
4951.55,31834.5,2854.95,10939.2
2189.74,15912.1,2004.71,2976.72
2152.92,31906.1,1539.48,4174.27
1731.87,12726.1,609.527,1816.41
1267.53,8211.73,1703.71,1338.14
1854.92,11582.3,1614.28,1842.31
1490.54,13272.4,3115.76,1935.32
2672.71,15490.8,2802.59,2318.34
1551.54,11383.4,293.704,2628.62
1920.34,9694.09,2367.67,1529.69
2396.58,25167.3,2652.72,4195.76
1869.33,11685.3,1615.01,2085.06
1866.96,19666.4,2308.59,2229.41
1307.6,15054.2,2844.5,4641.22
1699.81,12607,3176.78,2849.76
2714.87,11326,4834.1,4042.9
2849.98,53039.9,462.484,3116.65
1457.71,9145.28,2073.82,1862.06
1964.77,17823.2,524.445,2350.01
1764.5,13942.5,801.836,2685.86
4299.44,28781.9,1165.66,2286.81
3446.24,21503.5,4328.98,3197.21
1592.78,11678,384.398,2329.39
1958.48,11784.7,937.162,1829.92
2579.63,20416.9,1621.35,1554.5
960.05,17978.6,2366.45,3238.32
1905.25,14943.5,1945.1,2318.73
2718.65,21323.9,2572.22,875.968
3686.91,19166.1,5399.02,10414.6
1976.86,16596.2,3301.11,2984.51
2137.5,20379.6,2248.3,1152.3
1733.29,13085.4,612.001,1640.63
1809.81,16997.1,2040.57,2201.4
2342.74,57371.4,1118.45,4035.44
1435.57,11201.1,2140.32,1021.48
1967.13,33753.8,654.329,1874.65
1149.71,14181,1108.99,2824.35
3648.39,30658.8,7016.02,2676.74
789.729,10121.9,-1.33527,1633.98
2465.8,12329,5255.88,3181.91
1717.3,14305.2,842.974,1953.87
3435.14,42500.9,4176.01,4028.27
1949.13,11133.6,331.516,3913.33
2751.58,25307.6,615.66,1244.86
1794.71,11459.4,1921.09,2318.19
1700.33,24341.4,2174.58,2546.56
1204.26,9220.75,1736.83,2015.26
2659.76,12367.5,2345.97,5879.06
1646.7,21377.1,1936.1,1883.76
2375,11621.4,471.68,3567.87
1664.6,10686.1,1987.12,1162.02
1376.46,9412.11,1770.55,1823.17
2386.1,28828,6410.57,3961.69
678.851,9826.91,239.625,1060.81
1012.14,15524.5,797.925,683.466
1903.53,10398,3346.5,1822.34
2961.91,64033.4,6209.43,3266.48
2233.6,16010.2,2988.3,3439.77
3128.94,53208.9,4244.76,4298.67
1510.52,8825.38,1189.36,1881.2
1860.67,10219.7,1146.04,1556.65
1397.23,9751.92,2742.14,1177.96
1585.61,11524.9,848.973,3096.69
1330.78,11731.8,2763.21,2603.53
2214.93,35972.2,1642.19,1497.03
1707.07,31601.1,849.569,1214.44
2742.12,26421.5,3197.66,2020.76
1729.04,12996.6,1318.15,2955.21
2563.37,29007.7,3188.18,2729.55
2682.55,11546.9,1233.88,2146.69
5453.95,25372.5,4868.44,3909.41
1581.51,16353.6,-290.743,2681.24
1156.71,9987.52,1087.68,1709.95
1974.75,41796.4,4541.17,3085.44
1863.88,19575.6,2121.16,1341.38
3004.35,13516,1494.41,1667.86
1156.54,13835.5,2499.15,2016.15
4929.79,69107.9,23031.2,9683.33
3309.62,14978.2,3183.67,10481
1433.29,9717.83,1448.41,1536.2
