Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A
19917.1,12548.7,8953.81,1603.69
1436.62,1295.4,1085.65,24.0828
5741.58,1659.73,2974.02,3346.29
10344.3,2739.07,5102.11,1239.77
38187.3,2223.05,3862.63,3576.67
1501.8,2029.4,447.183,-14.4279
7766.75,3202.64,8289.35,4007.04
15357.1,1522.51,6990.09,1742.29
2115.1,1440.43,330.494,113.599
17840.4,3490.65,9086.05,1162.81
2292.08,8771.53,470.59,102.679
2518.82,6146.62,1143.61,381.694
6851.06,1974.45,5160.75,1713.31
31323.7,6183.93,6899.54,2276.13
14520,6827.46,7721.24,366.473
2064.4,3300.21,1490.29,250.542
33466.4,3426.94,1251.43,2668.85
45468.4,7987.76,18746.4,4914.53
7057.47,14060.9,3289.58,265.144
6997.6,2712,3037.69,1764.01
12635.3,1985.45,5063.26,2475.77
8604.91,3796.41,4353.16,922.223
13530.2,4410.88,5636.54,463.568
3103.88,5092.49,1557.99,-306.458
11891.7,3082.72,1137.69,1959.67
1603.19,2173.06,1003.93,75.2807
4526.9,1902.83,2275.05,127.153
30458.9,7923.54,13653,5743.07
1517.94,2412.62,877.824,165.849
5982.13,961.941,3321.47,160.332
1695.97,2462.87,253.71,68.9525
2620.26,2686.49,1081.1,477.329
2555.53,1682.5,4472.58,1088.42
13194,2380.31,7061.03,377.428
7182.27,8920.66,2833.64,847.781
1750.85,2620.01,556.629,560.389
3999.06,8344.53,2874.63,564.011
5309.96,2967.69,1579.95,604.17
3366.15,2367.14,2522.79,-22.6636
4207.56,24660.8,1713.08,-138.51
18621,5086.86,8027.46,3144.5
8096.99,15483.5,5003.98,494.339
27390.4,3350.96,8834.86,2848.83
30324.2,6229.05,4749.69,3199.24
10729.5,3399.65,4188.7,730.721
5352.17,5244.41,3271.45,345.289
2837.26,2799.43,2007.89,391.026
13268.8,3639.95,4611.66,662.908
1725.85,3196.66,859.305,83.7388
16689.2,15217.7,5789.51,1794.18
1375.84,468.937,446.151,27.5146
4002.46,5208.42,2498.82,413.194
5180.71,19768.2,3095.69,770.102
2141.66,2627.64,701.143,194.751
15193.7,625.733,3810.25,2941.71
2005.03,1787.23,978.458,308.149
9563.24,884.874,5932.53,1281.65
14028.7,1503.51,7672.91,2460.2
19038.6,796.322,6257.49,657.267
12846.1,1238.38,6447.84,2388.61
8715.12,760.235,2031.05,760.292
4337.32,5858.79,4327.63,461.628
4151.03,1025.02,4833.44,307.157
34623,1249.87,6489.43,2351.92
22318.9,3006.65,2772.75,2355.17
17474.3,1810.23,10067.7,3368.57
808.587,3710.05,909.096,42.7573
4723.69,-38.6914,2474.56,548.72
14514.8,3784.31,2446.78,3222.91
26672.6,9780.85,3910.15,7988.95
11255.3,3517.05,4017.51,295.337
1843.38,2302.24,1539.63,289.162
18733.6,1365.66,2839.13,3622.43
11066.3,4442.43,2996.17,32.1243
1395.5,1639.07,889.987,-145.712
1908.99,678.697,249.007,189.777
2912.87,3174,2282.88,116.237
34055.7,817.778,2881.11,2005.45
3065.64,3148.47,2068.47,484.925
5589,6832.31,2613.98,-18.9323
38104.9,5495.75,19533.7,1389.46
3978.83,1974.99,2508.86,517.834
2434.49,3057.57,2064.37,-82.2084
1583.44,6388.59,397.492,-51.5492
5345.74,5289.48,4516.92,1209.46
22456.8,2320.89,7209.68,4515.03
13226.5,2439.37,1641.71,2047.42
34507.6,6150.46,3725.78,990.473
4938.04,3964.73,2874.61,592.574
10438.4,4139.64,5160.14,295.891
17740.6,-47.5863,8285.51,1103.12
5675.69,8011.22,3423.37,612.428
10880.9,19949.7,6491.16,1307.39
8092.33,4000.38,3220.55,810.72
18900.4,2693.49,7047.75,2160.64
1342.46,2849.97,393.25,-267.086
15754.9,-965.421,2493.49,2994.61
2765.5,3447.63,947.652,141.731
23561.3,2093.73,2939.31,2063.36
365.832,3113.87,340.874,-70.1795
