"Comp-Alexa Fluor 647-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A"
1899.6,2793.75,1095.51,54.4052
7109.01,8490.22,3388.25,813.094
3279.32,12964.8,6733.18,1126.95
1443.76,3367.8,-625.063,188.957
4804.16,22642.8,12909.2,6774.42
11768.8,27011.6,2625.8,2212.97
4525.99,17257.6,1335.08,2143.59
7073.16,31251.9,4146.92,3622.43
4184.56,7874.6,4635.62,414.264
2010.65,10724.9,1458.33,2478.05
2554.67,4979.71,1606.38,410.86
5716.68,8601.28,1810.12,593.327
913.159,1003.77,3281.73,-145.806
197.078,1239.1,7298.79,-116.351
4319.36,11012.8,1189.71,56.1624
5664.34,15540.4,8636.44,1340.42
1920.6,15369.8,1473.63,2941.56
4571.31,15131.1,4542.32,1253.81
6756.61,19431.3,3691.36,339.784
2803.25,4547.3,8180.1,708.001
809.827,2008.77,2151.07,164.242
2953.12,5717.69,7851.52,952.082
1559.63,3953.13,3173.82,-48.3881
7292.77,28863.6,11089.7,2422.42
329.022,1516.09,2437.13,322.928
14330.5,24239.4,44559.9,1829.63
8290.27,17993.4,1119.58,2906.53
1776.6,2682.44,2590.78,281.572
5952.68,34221.6,6959.41,1685.85
3694.62,5602.48,3462.82,512.757
3289.41,7501.16,2352.71,2012.42
4773.51,9857.98,2386.78,165.908
4998.06,22322.6,3563.86,2143.94
845.025,1699.51,10588.6,-74.6942
8001.77,14062.1,1593.85,1841.27
2772.83,12090.7,1644.05,2514.3
-176.535,962.562,472.59,192.629
8744.3,6559.61,1266.27,16.0624
5319,12885.5,3828.5,753.035
6511.46,16954.8,14493.6,9139.17
2814.45,16812.3,17003.9,4679.93
891.491,2222.7,11688.3,391.639
4691.93,14249.9,12530,8780.27
3752.78,9906.43,6386.97,451.346
1665.46,1841.16,5840.63,403.054
8944.85,12883.2,2291.37,953.432
3506.04,6321.56,10168.1,168.725
5189.35,11389.1,4241.41,4875.04
6925.61,31859.7,4488.16,2527.37
3574.8,6626.08,1941.68,454.009
8597.49,16965.7,15783.8,505.755
11842.5,11332.7,3528.4,1657.51
3322.91,6476.13,3211.03,331.097
4858.15,23993.2,4225.98,2486.18
4125.25,1278.85,1021.01,-228.844
9249.85,33562.7,2506.45,6186.3
901.07,4156.54,1120.48,425.261
5054.32,11633.1,5068.42,848.076
2281.84,13534.6,1524.79,10151.4
4758.76,7678.43,6827.57,926.475
1374.89,2189.07,-422.978,288.918
6035.08,17498.3,2619.66,123.589
2611.97,13399.6,2667.76,2307.31
1619.72,2206.16,3965.9,326.559
670.314,1452.03,1712.94,236.46
456.945,1074.76,2666.4,-58.7073
6924.32,42701.1,998.69,3476.47
3053.98,4871.57,38579.8,592.527
3789.93,19768.6,6583.12,6153.42
7419.12,20158.3,8238.74,887.885
2549.1,4688.41,1006.1,1831.52
3989.95,4955.39,42645.7,464.306
2117.29,3248.23,4016.02,177.666
13663.8,33462.3,7400.74,2852.03
1527.77,3240.77,1733.04,134.664
3675.22,7838.02,1351.85,111.287
287.742,928.569,1720.27,267.62
6508.21,16915.1,3338.15,953.451
3197.19,6859.47,-173.899,2889.33
2729.32,3514.47,941.395,380.903
1819.94,2614.66,6598.55,-12.8723
7112.19,15597.1,2448.97,912.58
2158.67,10326.9,2441.43,2093.74
1835.43,2174.27,5667.13,546.906
6079.41,12821.5,16274.1,46.5257
464.645,1649.23,488.905,232.627
1446.57,2985.84,2344.38,22.9884
6109.27,20165.7,451.635,1712.67
2855.19,4517.63,1133.89,113.616
7685.94,79342.5,46777.8,4547.81
5506.28,21593.6,4255.28,1261.22
6343.09,19387.7,3110.71,2512.28
1880.88,3324.66,19458,397.905
1541.45,808.155,-352.505,231.411
-34.0238,2046.81,2039.24,85.5423
6161.04,35682.3,5060.72,1775.38
3724.65,1371.81,1281.74,304.118
1961.51,10503.1,54.9001,2748.74
3566.74,10973,1028.22,344.189
2849.68,3463.55,6720.01,731.762
4353.68,10582,1555.78,1211.11
6615.31,8765.24,4427.42,-135.412
1996.87,4193.51,1129.09,232.14
4934.04,29308.6,7233.35,2017.47
1918.5,2158.08,5275.84,538.042
870.524,1623.84,451.686,252.908
3974.07,8957.74,6234.53,1945.35
3563.78,12008.3,5963.34,6734.16
2427.61,3371.9,1401.35,101.407
1478.6,2975.07,1739.62,-51.9461
5556.24,12780.8,2283.75,1643.92
7568.68,14306.9,2338.24,6440.71
2316.93,4626.74,1567.81,1674.89
1766.25,4306.52,2212.67,621.45
1921.59,9654.65,712.019,1784.17
742.948,753.72,2201.53,59.9191
1084.09,3744.37,2143.24,948.43
556.755,1378.31,2908.22,-428.861
3563.55,7754.41,7372.61,204.767
3638.75,10981.5,5202.81,763.727
168.204,1363.12,1793.08,-51.4833
2391.5,3599.69,1288.99,-282.166
13803.8,49978.5,11020.7,3512.05
3673.93,7620.48,761.437,1934.46
5539.12,7757.33,14811,682.951
425.484,7786.59,1485.29,414.409
1989.73,1931.87,5170.8,768.492
678.59,1850.31,1509.83,-39.7334
5212.94,5466.83,10370.4,647.906
5781.17,9701.64,3358.27,848.415
-45.9501,1054.15,944.429,294.011
2054.57,8236.76,1838.73,1173.79
720.26,2980.98,1103.3,250.464
9103.02,22363.4,8530.85,721.716
4833.76,8973.17,2624.38,-117.084
7789.83,21461.4,6241.82,2016.18
4396.3,5636.47,581.029,1077.98
8866.84,28511.9,28844.4,1242.79
2759.77,12396.5,2014.24,14269.2
3766.97,9332.05,2793.54,1367.4
232.627,2976.99,1604.9,-33.2065
5590.04,10967.9,2276.56,886.246
4231.81,16003.2,914.516,2551.74
2950.47,5112.24,4047.7,62.4535
1479.69,1957.13,1754.32,309.519
2882.18,5954.4,7404.16,-155.216
1764.69,2663.42,6035.12,294.247
367.224,795.602,3354.24,-113.376
1558.9,18328.6,2496.14,2668.24
8276.07,11282.8,12510,1712.98
4585.4,12072,1238.13,98.8321
188.651,609.205,452.597,-359.43
2162.93,12544,1993.21,4926.22
10302.9,26241.1,4316.66,1491.89
7945.29,14608.6,3520.66,3464.67
2184.77,8038.9,2545.66,3932.42
1548.52,11281.1,1428.04,2600.79
3618.16,5890.03,741.082,813.414
3056.34,2357.73,684.837,650.933
5383.52,9462.57,5315.09,121.43
-85.8344,1664.46,1364.62,200.664
6704.69,12893.9,1293.24,2485.02
793.274,6108.49,7948.6,644.232
5733.93,12966.8,1061.34,2169.68
3072.34,4765.69,1727.25,148.629
2098.47,3857.16,3370.91,-152.284
1164.1,9228,1931.95,1785.31
3613.96,3826.86,4009.75,303.048
3092.18,8747.59,2300.41,960.21
3552.69,7422.1,3877.77,779.682
1485.47,4897.31,1843.09,760.96
981.945,1881.66,311.358,265.799
2984.94,4216.39,5851.26,478.459
2141.12,11654.8,2377.55,2957
3967.84,6690.41,287.202,1449.46
2916.12,11451.5,2110.54,420.001
5179.9,11922.4,14096.6,1283.56
2206.63,25574.5,2651.69,2081.82
2954.6,7153.17,1377.11,726.638
3637.68,5226.77,991.674,778.972
5356.07,9418.53,6302.86,1102.16
4877.49,7504.86,2867.54,660.463
1098.17,2068.68,3480.89,-113.479
7480.19,9112.56,1760.79,3753.66
1093.62,1450.8,938.476,182.726
3267.27,11552.4,1790.92,1330.21
737.448,1269.74,2350.81,-119.319
5491.94,11731.8,21463.4,334.842
2786,18203.2,6383.79,6878.44
4768.94,14847.4,4364.84,878.569
764.326,2573.89,2667.18,275.723
5390.92,1761.75,823.545,515.807
3180.77,1313.09,3743.66,1630.88
3047.03,5322.12,3964.25,402.196
1420.65,2323.77,19646.4,348.125
11591.5,52035.7,89234.8,2240.84
1755.61,1908.34,3591.27,698.183
4731.26,8629.38,2492.52,807.776
1065.38,709.529,51.7748,-215.408
4114.99,19510,1421.59,1448.06
2346.3,5024.56,2636.74,271.245
2211.08,3996.33,2469.26,362.945
2461.41,8453.04,4355.74,51.4176
2623.08,6156.4,3393.96,405.529
3720.58,4449.76,3732.64,-79.9067
621.372,1903.6,4119.73,25.4126
3712.15,4423.66,4888.01,410.639
3681.56,3534.38,15051.6,1062.33
-111.352,1552.53,-319.916,552.001
786.954,1713.87,4628,322.217
1159.02,2287.73,5513.7,293.079
6070.18,12821,1432.15,586.417
5383.05,13492.4,2357.67,1205.1
5635.68,9696.19,2183.74,2062.3
4365.27,4928.75,2792.08,715.325
117.557,2519.52,2764.51,-527.143
1914.07,13378.4,1995.06,2231.13
1036.54,2128.39,23755.2,491.213
5923.75,7723.17,1797.04,506.478
3634.06,9317.55,137.144,570.848
4484.08,7094.28,2747.78,1904.05
2697.24,4104.27,4529.57,405.904
756.565,790.273,1993.74,-136.396
3978.34,8165.8,1783.62,356.525
5174.41,9179.79,2149.29,457.352
2757.31,5816.85,2558.44,852.272
1657.97,2111.46,2991.41,-557.186
5467.28,18395.5,2980.27,2944.29
3304.4,9045.61,1078.69,600.635
850.769,1068.24,1288.71,121.842
4963.92,7821.08,3912.09,558.845
2852.56,5761.04,5375.66,999.477
171.691,654.574,1418.76,85.6077
5699.53,22127.7,6481.29,2090.73
5110.83,16261.6,447.86,1863.88
853.793,1014.59,3338.88,-13.3233
4578.87,7777.32,5406.48,654.458
-137.968,1782.6,897.829,547.317
5330.07,7693.73,2786.87,615.74
4858.35,6792.21,829.55,1115.4
2257.76,3229.04,2927.74,200.73
4965.76,10709.3,2679.48,1027.88
2788.32,4552.95,3929.06,191.587
2281.51,4634.06,3290.67,-174.187
5660.77,21776.9,-269.58,57.0772
5876.85,9349.03,3975.64,634.934
2062.97,8098.05,2616.26,2368.49
2655.95,6910.76,1471.86,839.405
3514.41,14530.4,2116.17,1001.35
3111.27,3892.26,1674.67,266.922
1765.09,4317.48,2168.15,79.0154
6655.73,13884.5,2606.3,1122.15
5507.02,12337,3707.28,3559.89
829.203,2026.07,2522.95,-200.21
2508.23,3384.16,4556.84,153.575
4043.26,14954.4,10555.5,2069.38
1302.99,2211.65,2713.54,-201.217
6396.06,16021.7,14413.8,1427.98
573.788,1657.54,1982.87,387.633
12037.5,45729.3,12038.2,1959.5
3726.43,8148.44,13484.4,597.113
1629.5,2298.1,3664.82,713.575
1937.39,3617.14,1657.96,1290.32
3959.66,8082.15,-666.339,1193.23
9137.59,12822.4,2799.66,3256.82
3995.42,5637.76,4134.74,-10.8877
6120.28,18554.3,302.52,3715.44
2292.61,2727.26,8908.94,311.779
3415.03,5294.53,2447.13,-223.649
4296.73,33141.9,1749.43,2345.16
1802.54,3200.12,10321.4,97.0999
5411.15,12577.9,8247.84,941.4
651.808,1321.43,3880.52,228.835
7796.1,41922.8,12123.8,1291.87
2093.43,6271.61,1102.84,804.272
1287.04,1013.7,3698,717.266
5512.31,5784.49,16414.4,1960.58
2594.68,4479.1,6063.18,330.404
1185.19,2751.15,1047.51,40.7277
4293.75,11912.9,2055.86,878.93
