Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A
9546.06,950.922,1796.2,2343.33
12292.4,2852.26,957.021,816.823
13119.4,743.736,1304.66,1252.97
40510.1,3179.15,2476.82,324.294
13448.1,1434.51,1332.78,884.507
14733.5,1247.6,1457.52,1022.61
14937.5,2803.74,2283.23,1734.76
9162.08,570.823,2025.9,1603.83
11172.4,2364.03,1320.78,807.775
14122.5,2453.55,2356.34,1190.43
29228.2,1818.36,1825.51,2651.69
12069.8,-54.1438,1702.63,1572.75
16069.2,1964.96,2230.45,1174.79
13276.1,838.274,1618.63,1590.45
17644,1474.28,2030.64,304.346
18522.8,2978.41,2154.11,1984.51
25253.8,2479.95,2168.28,937.825
36726.9,5831.55,4283.17,3043.36
18090.7,1345.61,1518.55,391.706
21781.2,2143.69,2446.28,1319.94
30392.3,5550.73,3390.46,2618.26
27503.5,892.698,1168.15,1078.1
16792.9,990.29,1527.43,898.575
14160.3,1752.73,2089.73,2985.59
17134.7,1252.59,2294.23,1821.66
12607.6,1933.2,2745.11,1588.94
17391.7,1164.7,1504.3,1096.12
7914.17,2116.35,2569.19,1151.66
15426.6,3204.17,2043.26,2392.24
17292.3,2429.26,3035.01,2713.32
15766.1,2587.87,1626.18,1427.76
13493.9,477.384,2053.31,1917.37
31279.7,4172.72,2506.93,1758.68
14738.8,1714.08,1163.03,1321.02
17789.8,2702.65,2637.19,1583.28
13129.8,1228.86,1636.62,1968.46
14749.7,2713.86,1555.85,1802.47
7142,2362.72,1281.27,1049.4
33185.8,1838.61,2431.93,1363.56
10099.5,1374.19,1388.68,1357.7
25853.7,2606.37,2316.48,2182.55
10668.7,1637.73,1339.91,296.852
19436.1,2852.87,1437.13,692.611
10963.7,2928.07,2094.37,1052.03
16778.8,2499.26,2105.06,2241.94
13964.9,2393.95,2109.97,2076.81
9371.36,941.358,1794.98,604.898
25245.3,2496.83,2052.54,2221.92
13939.7,1003.39,1591.7,323.414
21170.7,994.069,1462.62,1075.03
15446.5,916.351,1975.34,1690.61
15222.2,1098.29,1693.6,1256.15
15072.4,3907.02,1860.25,2330.07
13618.8,2741.66,2125.41,1698.64
11296.3,1392.42,1828.94,1804.21
33977.9,2874.64,3884.23,2358.51
18160.1,3313.49,2378.72,8748
15055.9,67.0258,1806.74,2635.63
43295.8,7092.98,1969.48,2273.66
31971.8,-252.468,1833.23,830.52
14824.9,6003.01,2230.4,2085.74
8583.73,2210.18,2407.4,1346.38
48358.3,1539.27,1879.89,3654.64
10753.5,2609.82,1720.94,1031.28
11436.6,3174.9,1281.28,876.275
35089.4,2951.39,1808.65,1185.24
49776.6,2821.14,2477.11,2472.82
11760.7,2697.15,1518.19,831.702
11922.2,1267.86,1404.77,1770.75
10962.9,1655.79,2271.9,1230.42
13162.7,1843.56,1640.55,2741.38
12051.5,1098.95,1292.47,886.438
42752.7,1595.56,2197.46,1280.81
8277.11,-109.901,1711.42,712.73
11199.3,2456.2,997.282,721.428
12011.5,2084.81,1867.7,1104.42
17295.7,2202.05,2330.83,2027.42
10011.6,1435.97,1456.55,702.432
11783,3565.05,1420.08,1318.9
59092.9,2150.06,2025.03,2424.13
22835.9,1253.48,1803.03,946.288
26176.7,1652.51,2015.29,1600.35
26260.4,4225.9,3694.23,2887.85
17326.3,3247.24,1787.27,1495.99
14572.8,1888.15,2100.06,2457.88
21294.3,631.127,2160.06,1123.01
71299.6,2595.6,2642.75,3095.05
9418.4,1095.96,919.295,153.573
8972.57,2072.18,1481.57,924.883
13924,396.27,2581.6,1523.9
10357.1,2382.18,1581.92,1219.27
29903.5,149.587,2056.03,1785.02
16009.5,2079.65,1786.55,1742.05
32084,1556.22,5616.4,2668.16
39014.8,811.854,2341.24,4100.75
10981.2,1368.05,1735.74,1912.78
13502.4,929.798,1807.03,3502.09
17010.2,1973.83,1373.55,1187.03
14487.8,1409.25,780.805,1345.84
13898.6,2920.93,1482.25,2435.86
19878.8,3568.34,3543.57,2485.58
12820.4,802.099,1689.15,2263.83
1036.2,1049.81,167.498,-32.9701
