"Comp-Alexa Fluor 647-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A"
1899.05,10268.8,1761.27,3286.91
1746.47,40454.9,637.024,2136.3
2028.56,13093.7,1612.3,1907.09
2009.7,14204.4,2355.17,2113.22
1313.89,8833.99,1947.56,1890.96
2427.11,13995.2,1542.23,1958.51
1848.47,9946.29,2363.78,1215.14
2911.53,18745.7,1162.05,2378.2
2445.35,24670,3339.39,1639.08
2374.33,11837.1,2360.19,5040.67
1947.62,17675.2,1971.15,477.802
1197.89,12851.5,1522.28,1605.1
3008.81,28988,1129.44,2946.69
1702.07,12182.5,1162.55,1445.28
3442.28,19820.8,2141.31,5642.68
2681.28,14732,6051.28,9052.78
1637.1,12254.4,1968.57,1306.02
1923.2,21455.6,2824.4,1895.42
2042.15,47739.2,-29.7355,1538.28
1722.98,12712.4,515.018,6324.69
1951.55,11495.4,68.5917,1562.35
1039.61,18007.1,407.897,1157.73
2195.8,75035.4,2934.7,2834.75
1432.3,15925.2,2016.24,2065.13
1241.98,17586.9,1538.27,1485.16
1358.62,18665.1,1401.6,707.865
1682.21,17746.3,3790.71,3196.78
1302.15,9449.13,1526.41,826.952
3221.44,21745.2,2210.83,1282.58
1667.11,11142.4,2580.54,1618.5
1453.11,12086,3867.42,1428.19
1101.05,9429.16,1736.57,624.924
1980.07,7455.83,1939.18,946.275
1802.87,17701.6,2415.1,789.409
3470.83,30396.8,3098.22,3129
2163.65,12858.2,1754.7,2054.06
7458.94,42230,6399.96,12770.2
2112.38,11384.2,1601.52,2029.65
4271.04,26465.1,5269.08,2849.41
1476.83,18130.2,1424.79,2300.5
1086.83,17423.1,765.418,1577.25
1135.33,8654.66,1386.82,1524.97
1091.63,12624.4,1460.07,1396.97
1403.7,9134.3,1046.25,1427.06
1259.37,11477.1,1622.45,1303.08
1110.67,11550.6,2427.65,2201.28
1700.91,11938.3,2243.45,809.48
2736.42,22549,4961.94,7578.67
1933.88,12248.7,1337.95,2106.41
2096.84,13192.9,39.1885,1827.12
2141.67,23096.2,851.076,913.081
2094.14,15198.9,1665.72,1424.6
1440.38,11785.1,-397.475,1381.94
1921.41,17991,3589.87,2412.62
1630.38,12741.6,-27.8912,2073.63
1477.47,15178,8640.92,1485.02
2504.09,26661.8,1196.81,800.776
3117.55,27073.6,3182.57,3549.39
1313.58,23646,3292.63,1172.86
2167.71,16492.7,3313.13,836.444
2937.21,17283.8,2403.17,2640.41
