Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A
12507,3947.83,2626.91,1717.73
11969.3,1362.34,1135.72,2311.07
17489.2,4038.28,1641.37,3084.51
12154.8,621.22,1307.27,1069.52
21635.1,2249.78,2623.62,1958.58
8831.01,1769.91,1878.33,1184.81
32856.8,411.629,1598.31,2116.67
15710.1,5459.95,4523.24,6530
15197.5,1540.19,1113.32,1793.76
10417.7,2281.85,1855.13,1762.58
10811.2,1477.67,2170.11,3447.11
15132.9,4115.42,1802.44,4671.65
17788.7,2550.98,3289.99,2994.37
23726.4,1679.09,3545.55,2188.6
18006.1,4311.38,2641.55,1828.32
9319.79,1000.68,1420.98,1567.31
16020.4,1162.66,2481.32,1487.98
21334.7,7248.53,2766.16,2354.65
20759.6,1681.23,2711.96,6138.07
12258.8,882.951,2669.13,3437.95
14675.8,2008.24,1720.5,3933.14
21131.4,2744.33,1424.21,2072.99
36364.9,-37.4268,1891.08,928.451
16187.2,2911.4,2447.18,7535.52
14189.9,1056.37,1393.22,2478.55
14319.4,1499.58,1676.18,1679.79
13058.2,2093.54,1597.9,1258.59
14024.7,1991.47,1693.01,3122.24
13515.9,1326.03,1399.01,2443.28
16411.6,3817.55,1397.13,1305.01
14334.4,1416.17,2355.26,3320.48
17886.7,1122.91,2135.03,3521.28
38409.2,366.776,2286.21,5677.27
13385.1,1032.2,1654.37,2280.02
13610.9,1111.84,1158.7,2832.69
14405.9,3553.65,1304.31,1307.21
12289.2,2884.58,1239.76,1553.6
75331.3,2693.12,6612.76,5791.5
12549.2,2554.87,808.51,1458.55
53064.6,1994.16,2900.3,6416.84
17854.8,1518.95,1803.75,2679.32
30694.3,1889.91,965.557,2791.82
12732.4,2069.12,2665.06,4219.57
12066.6,2382.88,785.72,1920.49
14316.7,2914.71,1571.25,1665.07
20868.1,706.261,1995.21,1717.96
15414.4,3047.2,2076.3,1299.11
17116.5,3162.16,1525.54,3034.65
16327.1,2164.2,2856.73,6552.99
30433,4238.17,5381.45,17393.8
15511.4,1394.77,1200.81,2280.31
10796.9,-539.647,1838.24,2252.52
17431.2,429.073,1481.56,1803.98
11914.2,1518.13,1557.22,1758.37
15609.2,1400.53,1455.22,1591.04
22392.1,4514.74,2645.97,3719.29
13159.8,554.611,2134.61,1645.72
10679,3453,1769.9,2131.03
44847.9,2672.82,1369.59,1306.71
16679.4,1867.15,2510.3,3342.89
15782.5,1946.31,2093.97,3760.34
12635.7,2867.74,2243.01,2297.46
14772.5,869.229,1633.96,1685.26
20248.9,2445.12,2446.18,2859.7
9857.9,60.321,1491.31,2705.94
12478.9,2277.14,1194.24,1341.1
13942.1,2078.62,2236.78,2073.76
11442.8,-1038.8,2017.37,2262.94
14631.7,502.022,2376.16,2070.18
22980.1,2472.2,2141.26,1062.13
31239.6,1567.86,2649.9,2902.1
62719.9,2089.17,2531.24,5268.76
21225.8,2929.37,2515.18,3176.69
12655,3328.16,1761.84,1490.49
14525.9,2252.82,2290.75,1401.86
14470.9,900.504,1933.31,4104.17
10594.2,765.083,2043.21,5356.54
16003.5,1417.28,2675.36,2737.67
16669.4,2414.97,1248.24,1418.21
12967.1,394.441,2183.07,4192.68
9978.39,1275.14,1664.73,1354.48
24656.1,1070.64,2604.73,2273.93
12063.5,1284.11,1067.12,1037.06
12399.6,2859.57,1086.5,1059.07
13387.8,1235.94,1205.81,1224.16
9736.45,2092.82,2037.44,1105.75
11998,1865.44,1377.93,1603.85
15580.3,3618.43,2033.62,2485.51
38248.9,3316.04,2371.13,2751.76
15624.1,1229.9,1313.26,2437.63
57432.5,7369.63,2607.36,4876.51
15582.4,1986.43,1594.34,3033.04
11858.1,3077.88,2366.15,1051.91
22358.2,1363.78,1950.46,3842.33
11788.4,1423.03,2524.31,2053.59
15007,2350.77,1299,1559.31
8473.81,1099.17,1288.98,1873.19
52110.1,2125.86,1784.25,3542.54
22049.9,699.191,1611.46,2093.05
9809.13,1285.99,2188.45,3268.51
15498.1,1809.49,1087.52,1926.68
13717.6,3445.15,1450.91,1762.76
9595.45,2242.42,1062.53,1164.95
9986.04,2957.69,1880.42,4123.57
12124.6,2296.02,895.823,1365.59
9867.74,1271.16,1791.69,2955.44
21285.7,2368.13,1544.37,446.182
13816.8,1259.93,1316.92,311.68
21931.4,1614.68,1815.15,1379.54
33888.1,1238.69,1790.43,1791.48
14616.9,5743.67,1253.11,2334.52
17767,1828.83,1839.18,2791.66
12359.7,1566.82,1772.98,1649.48
23833.4,2202.55,1296.37,2131.89
14153.5,-122.197,1184.63,1955.51
50799.7,2089.91,1368.83,2408.79
12743.7,995.237,1578.43,1161.43
11520.9,518.491,2074.09,1849.75
20150.3,1931.84,2150.92,2144.62
24836.5,2776.39,2307.98,308.693
22431.4,1118.88,2069.62,2831.82
10702.8,3118.27,1307.09,2308.03
16414.7,1406.7,926.432,1753.19
15324.3,3541.27,1877.82,1751.37
12861.1,706.941,1406.62,2496.3
3384.65,4438.16,1501.81,-226.754
14026.6,-27.0066,1611.18,2350.25
22426.8,1081.81,2729.86,1841.74
20161.6,-527.448,1327.11,2026.09
35426.2,109.497,1941.58,2238.68
14547,3981.22,1603.48,3493.74
12530.4,963.481,1656.66,1619.42
34544.9,1367.3,2053.06,2422.75
16271.5,129.488,1388.54,2096.58
16403.4,2119.91,2516.7,2056.76
16401.5,1473.9,1225.62,1482.99
20050.2,1984.35,2012.64,2116.69
12236,2849.48,1205.14,1923.42
19023.1,4564.82,3233.3,2528.07
18728.6,2254.89,867.259,784.394
17226.2,239.976,2903.33,2861.22
11592.1,104.923,1215.6,1284.67
48809,3753.73,2102.29,1869.08
15935.9,1657.41,2401.68,8423.98
9923.03,39.3697,1703.61,1052.42
13500,1917.53,1295.03,1952.98
11867.6,1461.14,2589.77,2799.73
24699,1746.05,1650.17,3190.45
11252.7,657.655,1138.62,1300.02
12650.1,4267.27,1283.78,1875.81
13438.6,1616.87,1857.63,1811.19
21146,2437.08,2648.09,6205.77
13501.1,1085.49,1773.33,3111.53
18974.3,1352.77,1569.96,2271.45
13214.8,2326.05,1613.98,1636.81
11068.6,2061.73,1773.28,3768.08
50117.8,653.912,1351.36,2835.29
